20160119 090700;50.7;50.7;50.7;50.7;54
20160119 093100;51.23;51.32;51.18;51.3;8400
20160119 093200;51.3;51.4;51.27;51.35;4643
20160119 093300;51.36;51.4;51.34;51.4;2101
20160119 093400;51.375;51.41;51.34;51.36;3300
20160119 093500;51.36;51.4;51.345;51.37;2900
20160119 093600;51.38;51.38;51.2;51.26;15437
20160119 093700;51.23;51.23;51.14;51.16;9550
20160119 093800;51.19;51.34;51.17;51.29;6069
20160119 093900;51.28;51.38;51.23;51.37;7851
20160119 094000;51.38;51.38;51.16;51.22;4400
20160119 094100;51.24;51.28;51.18;51.24;5313
20160119 094200;51.21;51.24;51.18;51.22;3861
20160119 094300;51.23;51.36;51.23;51.35;9924
20160119 094400;51.37;51.37;51.23;51.23;1500
20160119 094500;51.24;51.26;51.17;51.21;4800
20160119 094600;51.19;51.32;51.19;51.302;3440
20160119 094700;51.32;51.32;51.19;51.225;4232
20160119 094800;51.2;51.2;51.12;51.12;3168
20160119 094900;51.11;51.18;51.11;51.18;2200
20160119 095000;51.18;51.18;51.12;51.18;5718
20160119 095100;51.16;51.18;51.04;51.05;3158
20160119 095200;51.07;51.09;51.04;51.04;2470
20160119 095300;51.02;51.07;51;51;2500
20160119 095400;51.01;51.08;51.01;51.07;2100
20160119 095500;51.07;51.11;51.065;51.09;3800
20160119 095600;51.08;51.11;51.05;51.09;7900
20160119 095700;51.1;51.17;51.1;51.17;4600
20160119 095800;51.18;51.21;51.17;51.18;3300
20160119 095900;51.18;51.23;51.16;51.2;5700
20160119 100000;51.2;51.23;51.15;51.21;4550
20160119 100100;51.23;51.26;51.16;51.18;6699
20160119 100200;51.22;51.27;51.19;51.24;4900
20160119 100300;51.26;51.26;51.04;51.04;9443
20160119 100400;51.04;51.08;51;51.08;6100
20160119 100500;51.1;51.1;51.05;51.07;12002
20160119 100600;51.09;51.24;51.08;51.22;6800
20160119 100700;51.23;51.23;51.17;51.17;2445
20160119 100800;51.19;51.23;51.17;51.17;2104
20160119 100900;51.19;51.22;51.11;51.11;2138
20160119 101000;51.11;51.11;51.05;51.052;6660
20160119 101100;51.07;51.12;51.05;51.09;9537
20160119 101200;51.09;51.12;51.09;51.09;1997
20160119 101300;51.11;51.13;51.09;51.11;1600
20160119 101400;51.08;51.16;51.08;51.155;2300
20160119 101500;51.13;51.13;51.1;51.1;1135
20160119 101600;51.09;51.13;51.08;51.08;2310
20160119 101700;51.1;51.15;51.09;51.1;2864
20160119 101800;51.12;51.13;51.09;51.11;1300
20160119 101900;51.1;51.1;51.05;51.06;3601
20160119 102000;51.07;51.1;51.05;51.05;7811
20160119 102100;51.05;51.14;51.04;51.13;6260
20160119 102200;51.13;51.17;51.1;51.11;5600
20160119 102300;51.11;51.13;51.04;51.08;10493
20160119 102400;51.07;51.09;51.04;51.09;5300
20160119 102500;51.1;51.17;51.07;51.1;5800
20160119 102600;51.12;51.18;51.12;51.18;2000
20160119 102700;51.18;51.2;51.1547;51.18;1887
20160119 102800;51.16;51.21;51.11;51.21;11492
20160119 102900;51.21;51.31;51.21;51.26;4302
20160119 103000;51.26;51.28;51.23;51.25;5095
20160119 103100;51.25;51.25;51.231;51.24;11200
20160119 103200;51.23;51.27;51.2;51.24;4500
20160119 103300;51.24;51.27;51.22;51.24;5800
20160119 103400;51.23;51.24;51.2;51.22;17023
20160119 103500;51.22;51.25;51.16;51.22;18116
20160119 103600;51.21;51.26;51.2;51.2;16352
20160119 103700;51.2;51.22;51.2;51.22;4825
20160119 103800;51.24;51.25;51.21;51.22;2533
20160119 103900;51.22;51.23;51.145;51.145;20480
20160119 104000;51.16;51.17;51.12;51.12;7815
20160119 104100;51.1;51.1;51.06;51.08;4755
20160119 104200;51.07;51.13;51.07;51.11;3326
20160119 104300;51.12;51.13;51.07;51.09;11665
20160119 104400;51.07;51.12;51.07;51.11;4799
20160119 104500;51.11;51.21;51.11;51.15;18695
20160119 104600;51.155;51.155;51.07;51.07;15300
20160119 104700;51.06;51.1;51.06;51.09;900
20160119 104800;51.085;51.17;51.07;51.16;11869
20160119 104900;51.16;51.18;51.16;51.18;1700
20160119 105000;51.18;51.25;51.18;51.25;4380
20160119 105100;51.25;51.3;51.25;51.26;4020
20160119 105200;51.26;51.27;51.15;51.17;5700
20160119 105300;51.16;51.16;51.09;51.14;4900
20160119 105400;51.14;51.15;51.09;51.11;5916
20160119 105500;51.11;51.13;51.1;51.1;2908
20160119 105600;51.09;51.125;51.04;51.07;14401
20160119 105700;51.07;51.08;51.04;51.07;5188
20160119 105800;51.07;51.12;51.07;51.11;15257
20160119 105900;51.11;51.13;51.1;51.1;5601
20160119 110000;51.08;51.08;51.03;51.03;3300
20160119 110100;51.03;51.06;50.99;50.99;3100
20160119 110200;50.98;51.01;50.95;50.96;5317
20160119 110300;50.97;51.02;50.96;51.01;3717
20160119 110400;51;51.03;51;51.01;2400
20160119 110500;51;51;50.95;50.95;3968
20160119 110600;50.95;50.97;50.92;50.93;4425
20160119 110700;50.9;50.93;50.89;50.91;7414
20160119 110800;50.91;50.93;50.89;50.89;2085
20160119 110900;50.9;50.94;50.87;50.94;5300
20160119 111000;50.94;50.99;50.94;50.96;3425
20160119 111100;50.96;50.96;50.9;50.9;4985
20160119 111200;50.89;50.9;50.88;50.88;1704
20160119 111300;50.88;50.9;50.84;50.84;1400
20160119 111400;50.84;50.88;50.83;50.85;2126
20160119 111500;50.83;50.86;50.82;50.86;800
20160119 111600;50.85;50.87;50.81;50.87;2300
20160119 111700;50.89;50.89;50.85;50.855;3900
20160119 111800;50.85;50.9;50.84;50.9;3600
20160119 111900;50.88;50.9;50.76;50.79;33777
20160119 112000;50.77;50.82;50.7;50.76;35089
20160119 112100;50.75;50.79;50.72;50.78;4000
20160119 112200;50.77;50.83;50.75;50.79;20488
20160119 112300;50.81;50.81;50.75;50.76;7982
20160119 112400;50.76;50.79;50.735;50.735;2800
20160119 112500;50.73;50.765;50.7;50.74;2950
20160119 112600;50.72;50.78;50.72;50.74;1798
20160119 112700;50.75;50.82;50.74;50.8;14401
20160119 112800;50.81;50.84;50.8;50.8;1401
20160119 112900;50.82;50.84;50.8;50.82;5100
20160119 113000;50.83;50.87;50.82;50.87;3841
20160119 113100;50.88;50.97;50.88;50.97;4486
20160119 113200;50.97;50.97;50.94;50.96;3000
20160119 113300;50.97;50.98;50.94;50.95;4255
20160119 113400;50.96;51.03;50.96;51.03;13162
20160119 113500;51.01;51.035;50.99;50.99;3600
20160119 113600;50.98;50.98;50.9;50.9;2655
20160119 113700;50.93;50.96;50.93;50.95;2300
20160119 113800;50.95;51;50.94;50.94;7067
20160119 113900;50.94;51.01;50.94;51.01;1382
20160119 114000;51.03;51.06;51.02;51.02;1600
20160119 114100;51.03;51.045;51;51;3026
20160119 114200;50.99;51.01;50.99;51.01;1300
20160119 114300;51.02;51.02;51;51.01;1300
20160119 114400;51;51.01;50.98;51.01;1500
20160119 114500;51.01;51.02;50.99;51;1200
20160119 114600;51.01;51.06;51.01;51.02;2042
20160119 114700;51.02;51.03;51.01;51.03;1500
20160119 114800;51.02;51.02;50.99;51;2421
20160119 114900;50.99;51;50.97;51;2328
20160119 115000;50.99;50.99;50.94;50.94;1100
20160119 115100;50.94;50.95;50.92;50.94;1765
20160119 115200;50.94;50.98;50.94;50.95;12850
20160119 115300;50.97;50.97;50.9139;50.9139;2093
20160119 115400;50.91;50.945;50.9;50.945;1335
20160119 115500;50.93;50.93;50.92;50.92;400
20160119 115600;50.91;50.92;50.91;50.92;500
20160119 115700;50.93;51.03;50.92;50.99;3000
20160119 115800;50.98;50.98;50.94;50.94;1000
20160119 115900;50.91;50.93;50.89;50.93;2233
20160119 120000;50.9285;50.96;50.92;50.92;5763
20160119 120200;50.93;50.95;50.905;50.937;1900
20160119 120300;50.94;50.94;50.908;50.91;1383
20160119 120400;50.9;50.9;50.88;50.88;1900
20160119 120500;50.86;50.86;50.86;50.86;100
20160119 120600;50.87;50.88;50.84;50.85;800
20160119 120700;50.855;50.95;50.843;50.95;39686
20160119 120800;50.92;50.93;50.858;50.88;6156
20160119 120900;50.9;50.92;50.84;50.85;7000
20160119 121000;50.83;50.87;50.81;50.829;7260
20160119 121100;50.83;50.88;50.82;50.87;5601
20160119 121200;50.87;50.9;50.868;50.868;6700
20160119 121300;50.868;50.9;50.868;50.89;7209
20160119 121400;50.89;50.94;50.89;50.94;800
20160119 121500;50.93;50.93;50.93;50.93;400
20160119 121600;50.9;50.91;50.85;50.85;1500
20160119 121700;50.85;50.91;50.84;50.84;5101
20160119 121800;50.84;50.85;50.81;50.82;1700
20160119 121900;50.8;50.8;50.78;50.78;700
20160119 122000;50.7;50.75;50.69;50.75;6551
20160119 122100;50.74;50.8;50.73;50.78;12399
20160119 122200;50.8;50.81;50.71;50.71;9900
