20160119 085600;65.19;65.19;65.19;65.19;936
20160119 092300;65.19;65.19;65.19;65.19;1500
20160119 093000;66.04;66.04;66.04;66.04;100
20160119 093100;66.245;66.255;66.06;66.06;700
20160119 093200;65.98;66.04;65.84;65.95;32615
20160119 093300;65.95;66.01;65.64;65.64;8044
20160119 093400;65.64;65.75;65.64;65.67;1200
20160119 093500;65.665;65.665;65.56;65.56;300
20160119 093600;65.52;65.6;65.38;65.38;7701
20160119 093700;65.47;65.47;65.19;65.28;5800
20160119 093800;65.29;65.44;64.91;64.91;8065
20160119 093900;64.91;65.16;64.86;65.11;2700
20160119 094000;65.1;65.355;65.1;65.345;1900
20160119 094100;65.34;65.34;65.34;65.34;100
20160119 094200;65.33;65.34;65.3;65.3;3381
20160119 094300;65.27;65.34;65.25;65.25;3400
20160119 094400;65.22;65.22;64.93;65;2000
20160119 094500;65.08;65.19;65.015;65.19;850
20160119 094600;65.15;65.2699;65.1;65.1;1900
20160119 094700;65.02;65.02;65.01;65.01;500
20160119 094800;65.01;65.06;64.94;64.94;3000
20160119 095100;65.03;65.03;64.83;64.83;3259
20160119 095200;64.78;64.8143;64.78;64.8143;433
20160119 095300;64.78;64.79;64.78;64.7898;400
20160119 095400;64.81;65.07;64.81;64.93;5100
20160119 095500;64.89;64.99;64.89;64.93;1000
20160119 095600;65;65;65;65;100
20160119 095700;65;65.08;64.93;64.93;2533
20160119 095800;65.07;65.07;65.025;65.03;1800
20160119 095900;65.06;65.11;65.06;65.1;1100
20160119 100000;65.1;65.14;65.09;65.1;572
20160119 100100;65.18;65.33;65.105;65.33;4400
20160119 100200;65.33;65.34;65.17;65.27;2871
20160119 100300;65.32;65.32;65.07;65.1249;2312
20160119 100400;65.06;65.155;64.94;65.155;3600
20160119 100500;65.15;65.17;65.1;65.165;3131
20160119 100600;65.16;65.33;65.12;65.25;16500
20160119 100700;65.24;65.24;65.18;65.2;2300
20160119 100800;65.18;65.25;65.18;65.19;800
20160119 100900;65.24;65.24;65.15;65.2;4700
20160119 101000;65.12;65.19;65.1;65.15;5909
20160119 101100;65.09;65.26;65.08;65.26;3700
20160119 101200;65.26;65.26;65.26;65.26;100
20160119 101300;65.32;65.35;65.25;65.31;8506
20160119 101400;65.33;65.42;65.33;65.41;1600
20160119 101500;65.435;65.54;65.39;65.42;3700
20160119 101600;65.415;65.44;65.4;65.44;2073
20160119 101700;65.42;65.49;65.42;65.475;3600
20160119 101800;65.49;65.51;65.41;65.44;3600
20160119 101900;65.44;65.44;65.37;65.41;1200
20160119 102000;65.43;65.57;65.43;65.57;1000
20160119 102100;65.58;65.61;65.58;65.6;600
20160119 102200;65.62;65.63;65.54;65.54;1552
20160119 102300;65.49;65.49;65.415;65.47;1200
20160119 102400;65.51;65.51;65.45;65.47;2030
20160119 102500;65.45;65.46;65.4;65.44;5700
20160119 102600;65.46;65.49;65.44;65.45;3300
20160119 102700;65.45;65.46;65.41;65.41;4461
20160119 102800;65.42;65.43;65.405;65.43;600
20160119 102900;65.465;65.465;65.425;65.43;400
20160119 103000;65.43;65.51;65.42;65.49;2300
20160119 103100;65.49;65.56;65.49;65.54;1500
20160119 103200;65.57;65.57;65.44;65.44;2500
20160119 103300;65.49;65.53;65.45;65.53;1500
20160119 103400;65.5;65.5;65.48;65.48;700
20160119 103500;65.49;65.49;65.42;65.42;1247
20160119 103600;65.45;65.46;65.44;65.45;2322
20160119 103700;65.45;65.45;65.42;65.45;800
20160119 103800;65.44;65.44;65.44;65.44;200
20160119 103900;65.45;65.48;65.44;65.44;2100
20160119 104000;65.41;65.4166;65.36;65.4;2203
20160119 104100;65.36;65.38;65.3;65.3;1000
20160119 104200;65.32;65.35;65.32;65.34;1000
20160119 104300;65.33;65.33;65.21;65.21;2097
20160119 104400;65.23;65.25;65.21;65.25;1200
20160119 104500;65.27;65.32;65.24;65.24;2300
20160119 104600;65.19;65.19;65.15;65.15;700
20160119 104700;65.19;65.19;65.13;65.13;700
20160119 104800;65.12;65.13;65.12;65.12;700
20160119 104900;65.15;65.23;65.15;65.23;1700
20160119 105000;65.24;65.26;65.24;65.26;300
20160119 105100;65.34;65.45;65.34;65.45;800
20160119 105200;65.41;65.41;65.33;65.35;1300
20160119 105300;65.28;65.31;65.24;65.25;1350
20160119 105500;65.1701;65.22;65.17;65.22;1000
20160119 105600;65.22;65.22;65.12;65.15;4700
20160119 105700;65.15;65.16;65.14;65.14;400
20160119 105800;65.17;65.22;65.15;65.21;900
20160119 105900;65.23;65.23;65.21;65.21;200
20160119 110000;65.2;65.21;65.19;65.21;1200
20160119 110100;65.16;65.2;65.11;65.2;2900
20160119 110200;65.18;65.19;65.16;65.16;4900
20160119 110300;65.15;65.22;65.13;65.22;1902
20160119 110400;65.23;65.23;65.18;65.19;1500
20160119 110500;65.18;65.18;65.13;65.13;1400
20160119 110600;65.19;65.19;65.13;65.13;900
20160119 110700;65.13;65.13;65.1;65.1;1400
20160119 110800;65.07;65.08;65;65.07;4000
20160119 110900;65.03;65.14;65.03;65.14;2200
20160119 111000;65.14;65.18;65.14;65.16;1320
20160119 111100;65.15;65.15;65.01;65.01;2000
20160119 111200;64.98;65.03;64.98;65;1000
20160119 111300;65.03;65.04;64.98;64.98;2000
20160119 111400;65;65.07;65;65;2650
20160119 111500;65.01;65.06;65.01;65.01;1700
20160119 111600;65;65.04;64.98;65;1300
20160119 111700;65.03;65.04;64.99;65.04;1200
20160119 111800;64.98;65.005;64.97;65.005;700
20160119 111900;65.03;65.06;65.02;65.06;1100
20160119 112000;65;65;64.96;64.96;400
20160119 112100;64.99;65.03;64.99;65.015;1510
20160119 112200;65.02;65.08;65.02;65.06;1000
20160119 112300;65.15;65.15;65.09;65.11;1900
20160119 112400;65.1;65.1;65.05;65.06;1200
20160119 112500;65.05;65.1;65.05;65.06;1862
20160119 112600;65.1;65.25;65.1;65.19;3090
20160119 112800;65.21;65.26;65.21;65.24;800
20160119 112900;65.34;65.35;65.34;65.35;900
20160119 113000;65.35;65.35;65.26;65.3;10951
20160119 113100;65.33;65.45;65.32;65.45;3375
20160119 113200;65.45;65.45;65.44;65.45;400
20160119 113300;65.46;65.46;65.4;65.425;2100
20160119 113400;65.45;65.47;65.45;65.465;900
20160119 113500;65.49;65.49;65.465;65.465;500
20160119 113600;65.44;65.44;65.36;65.39;1200
20160119 113700;65.42;65.44;65.42;65.425;700
20160119 113800;65.44;65.45;65.37;65.37;2900
20160119 113900;65.42;65.48;65.42;65.48;1800
20160119 114000;65.47;65.51;65.43;65.51;16646
20160119 114100;65.51;65.53;65.495;65.53;500
20160119 114200;65.53;65.54;65.53;65.53;980
20160119 114300;65.535;65.58;65.53;65.54;1735
20160119 114400;65.56;65.58;65.53;65.57;2300
20160119 114500;65.58;65.58;65.56;65.58;500
20160119 114600;65.58;65.58;65.53;65.56;9397
20160119 114700;65.57;65.57;65.51;65.545;8300
20160119 114800;65.52;65.545;65.43;65.43;6387
20160119 115000;65.43;65.43;65.38;65.38;1300
20160119 115100;65.37;65.4;65.325;65.37;2200
20160119 115200;65.45;65.465;65.43;65.43;1000
20160119 115300;65.47;65.485;65.45;65.475;1100
20160119 115400;65.475;65.48;65.44;65.45;1500
20160119 115500;65.45;65.46;65.43;65.46;700
