20160120 103800;14.2035;14.2035;14.2035;14.2035;850
20160120 123000;14.0001;14.0001;14.0001;14.0001;100
20160120 151400;14;14;14;14;100
20160120 151500;14.02;14.02;14.02;14.02;100
20160120 151600;14.02;14.02;14.02;14.02;200
20160120 154500;14.31;14.31;14.31;14.31;200
20160121 133800;14;14;14;14;335
20160121 134400;13.99;14;13.99;14;200
20160121 142700;14;14;14;14;200
20160121 152700;13.95;13.95;13.95;13.95;100
20160121 152900;13.99;14;13.99;13.99;523
20160121 155900;14;14;14;14;100
20160122 105300;14;14.28;14;14.28;835
20160122 105900;14.699;14.699;14.699;14.699;200
20160125 154700;14.461;14.4899;14.461;14.4899;200
20160126 114200;14.3;14.3;14.3;14.3;100
20160126 114300;14.29;14.29;14.29;14.29;100
20160126 123200;14.1525;14.1525;14.1525;14.1525;400
20160126 144000;14.55;14.55;14.55;14.55;156
20160126 144400;14.55;14.55;14.55;14.55;1000
20160126 144900;14.31;14.31;14.31;14.31;400
20160126 151800;14.33;14.33;14.33;14.33;150
20160126 152500;14.3432;14.3432;14.3432;14.3432;429
20160126 154000;14.4;14.4;14.4;14.4;100
20160126 155900;14.33;14.33;14.33;14.33;100
20160127 100300;14.35;14.35;14.35;14.35;100
20160127 100400;14.35;14.35;14.32;14.32;400
20160127 100600;14.61;14.61;14.61;14.61;100
20160127 100800;14.73;14.73;14.49;14.49;300
20160127 100900;14.69;14.69;14.57;14.57;200
20160127 101000;14.56;14.56;14.56;14.56;100
20160127 101100;14.57;14.57;14.57;14.57;100
20160127 101200;14.86;14.86;14.35;14.35;200
20160127 101300;14.35;14.44;14.35;14.44;500
20160127 101500;14.58;14.58;14.58;14.58;400
20160128 093100;14.5815;14.5815;14.5815;14.5815;100
20160128 095800;14.65;14.65;14.65;14.65;200
20160128 095900;14.65;14.65;14.63;14.63;200
20160128 100000;14.5911;14.5911;14.59;14.59;200
20160128 124500;14.67;14.6701;14.65;14.65;400
20160128 125200;14.65;14.65;14.65;14.65;100
20160128 125600;14.6;14.6;14.58;14.58;1100
20160128 130100;14.58;14.58;14.58;14.58;100
20160128 134300;14.668;14.668;14.668;14.668;800
20160128 142500;14.58;14.58;14.58;14.58;150
20160128 142700;14.58;14.58;14.58;14.58;100
20160128 142800;14.58;14.58;14.58;14.58;550
20160128 144700;14.7991;14.7991;14.7991;14.7991;700
20160128 145800;14.7067;14.7067;14.7067;14.7067;200
20160128 155700;14.58;14.58;14.58;14.58;118
20160129 111300;14.37;14.37;14.37;14.37;300
20160129 111500;14.48;14.48;14.48;14.48;200
20160129 112100;14.32;14.32;14.32;14.32;100
20160129 112300;14.33;14.33;14.33;14.33;500
20160129 112400;14.33;14.33;14.33;14.33;100
20160129 131400;14.58;14.58;14.58;14.58;300
20160129 144400;14.49;14.4901;14.43;14.4901;1180
20160129 144600;14.43;14.4301;14.25;14.25;620
20160129 150000;14.3;14.3;14.3;14.3;500
20160201 102600;14.31;14.31;14.3;14.3;229
20160201 111600;14.53;14.53;14.53;14.53;180
20160201 113600;14.4937;14.4937;14.4937;14.4937;300
20160201 121500;14.43;14.486;14.43;14.486;400
20160201 153700;14.4852;14.4852;14.4852;14.4852;400
20160201 153900;14.4999;14.4999;14.4999;14.4999;300
20160201 155900;14.48;14.48;14.48;14.48;100
20160202 140300;14.7;14.7;14.7;14.7;200
20160203 135000;15.1999;15.1999;15.1999;15.1999;100
20160203 145300;14.92;14.92;14.92;14.92;200
