20160119 093300;52.756;52.756;52.756;52.756;1000
20160119 093900;52.6;52.6;52.6;52.6;100
20160119 094300;52.62;52.62;52.6;52.6;200
20160119 094600;52.46;52.46;52.46;52.46;100
20160119 094700;52.3503;52.3503;52.3503;52.3503;185
20160119 094800;52.39;52.39;52.39;52.39;100
20160119 095200;52.37;52.37;52.36;52.36;200
20160119 095300;52.24;52.24;52.24;52.24;100
20160119 095700;52.28;52.28;52.28;52.28;100
20160119 101200;52.32;52.32;52.3;52.3;200
20160119 101500;52.24;52.24;52.24;52.24;100
20160119 101600;52.09;52.09;52.09;52.09;100
20160119 101900;52.1;52.1;52.1;52.1;100
20160119 102300;52.11;52.11;52.11;52.11;100
20160119 102400;52.06;52.06;52.06;52.06;100
20160119 103000;51.84;51.84;51.84;51.84;100
20160119 103100;51.84;51.84;51.8;51.8;300
20160119 103400;51.82;51.92;51.82;51.92;200
20160119 104000;51.88;51.88;51.8;51.8;300
20160119 104300;51.62;51.67;51.61;51.67;400
20160119 104400;51.57;51.61;51.57;51.6;600
20160119 105500;51.41;51.41;51.36;51.36;200
20160119 105900;51.25;51.25;51.23;51.23;203
20160119 110200;51.28;51.29;51.27;51.29;500
20160119 110300;51.33;51.37;51.33;51.37;600
20160119 110400;51.36;51.36;51.32;51.32;300
20160119 110500;51.375;51.46;51.31;51.46;2500
20160119 110600;51.57;51.6;51.57;51.6;200
20160119 110700;51.6;51.75;51.5;51.5;2286
20160119 110800;51.53;51.7;51.5;51.7;1400
20160119 111000;51.7;51.7;51.7;51.7;100
20160119 111100;51.73;51.73;51.73;51.73;100
20160119 111400;51.7828;51.7828;51.7828;51.7828;100
20160119 111800;51.75;51.75;51.75;51.75;100
20160119 112900;51.71;51.71;51.71;51.71;200
20160119 113100;51.73;51.73;51.72;51.72;200
20160119 113600;51.805;51.805;51.805;51.805;100
20160119 113700;51.815;51.815;51.815;51.815;100
20160119 114300;51.805;51.815;51.805;51.815;200
20160119 114600;51.8017;51.835;51.8017;51.835;200
20160119 115200;51.9;52.1;51.89;52.1;500
20160119 120400;51.97;51.99;51.84;51.915;700
20160119 120500;51.85;51.85;51.64;51.64;600
