20160119 090700;73.91;73.91;73.91;73.91;15
20160119 093100;71.9644;71.9644;71.9644;71.9644;324
20160119 093600;74.88;74.88;74.34;74.65;1300
20160119 093700;74.37;74.62;74.31;74.62;600
20160119 093800;74.35;74.35;74.35;74.35;100
20160119 094100;74.33;74.6;74.33;74.41;1200
20160119 094300;74.55;74.89;74.55;74.89;900
20160119 094400;74.93;74.93;74.93;74.93;100
20160119 094600;74.89;74.89;74.89;74.89;100
20160119 094700;74.715;74.715;74.715;74.715;200
20160119 094800;74.63;74.77;74.59;74.77;1900
20160119 095500;74.63;74.67;74.62;74.67;400
20160119 095600;74.5;74.5;74.5;74.5;100
20160119 095800;74.7;74.7;74.47;74.62;1834
20160119 095900;74.39;74.39;74.39;74.39;1597
20160119 100100;74.39;74.42;74.39;74.42;268
20160119 100200;74.42;74.42;74.39;74.395;400
20160119 100300;74.17;74.22;74.17;74.22;200
20160119 100400;74.2;74.2;74.19;74.2;600
20160119 100600;74.2299;74.3;74.17;74.3;1500
20160119 100700;74.325;74.325;74.21;74.21;1853
20160119 100800;74.21;74.22;74.13;74.13;700
20160119 100900;74.16;74.17;73.98;73.98;1300
20160119 101100;73.9;74.01;73.9;73.97;2100
20160119 101200;73.94;74.16;73.94;74.09;2150
20160119 101300;73.91;73.99;73.86;73.99;800
20160119 101400;74.02;74.07;73.97;74.07;500
20160119 101500;74.05;74.05;74.05;74.05;100
20160119 101600;74.01;74.01;74;74;200
20160119 101800;74.13;74.13;74.02;74.02;200
20160119 101900;74.02;74.02;73.95;73.95;700
20160119 102000;73.91;73.97;73.91;73.97;700
20160119 102100;74.005;74.2;74.005;74.2;800
20160119 102200;74.23;74.23;74.23;74.23;100
20160119 102300;74.2;74.2;74.15;74.15;500
20160119 102500;74.17;74.26;74.17;74.26;400
20160119 102900;74.315;74.3599;74.181;74.181;4786
20160119 103100;74.3175;74.345;74.27;74.31;2000
20160119 103200;74.25;74.25;74.22;74.22;400
20160119 103300;74.28;74.38;74.27;74.3;1790
20160119 103400;74.31;74.31;74.22;74.24;700
20160119 103500;74.3;74.3;74.25;74.25;500
20160119 103700;74.22;74.22;74.22;74.22;200
20160119 103800;74.24;74.24;74.24;74.24;100
20160119 103900;74.24;74.24;74.21;74.21;200
20160119 104000;74.17;74.17;74.07;74.07;500
20160119 104100;74.02;74.1;73.97;74.1;900
20160119 104200;74.14;74.14;74.11;74.11;300
20160119 104300;74.13;74.13;74.13;74.13;100
20160119 104400;74.08;74.08;74.08;74.08;200
20160119 104500;74.12;74.13;74.12;74.13;800
20160119 104600;74.13;74.13;74.08;74.11;500
20160119 104900;74.08;74.09;74.06;74.06;400
20160119 105000;74.18;74.22;74.18;74.18;800
20160119 105100;74.27;74.27;74.27;74.27;700
20160119 105200;74.22;74.22;74.08;74.08;1193
20160119 105300;74.08;74.08;74.03;74.03;300
20160119 105400;73.98;74.02;73.93;73.99;700
20160119 105500;73.94;73.94;73.94;73.94;100
20160119 105600;73.94;73.94;73.94;73.94;100
20160119 105700;74.02;74.04;73.95;73.96;700
20160119 105800;73.95;74;73.95;74;300
20160119 105900;74.05;74.05;73.96;73.96;500
20160119 110000;73.92;73.92;73.87;73.88;400
20160119 110100;73.82;73.92;73.82;73.92;400
20160119 110200;73.99;73.99;73.99;73.99;300
20160119 110300;74.04;74.04;74.04;74.04;100
20160119 110400;74.04;74.04;74.01;74.01;200
20160119 110500;74.02;74.02;74.02;74.02;100
20160119 110600;74.11;74.11;74.11;74.11;100
20160119 110800;74.1;74.1;74.1;74.1;100
20160119 110900;74.11;74.12;74.03;74.03;500
20160119 111100;74.16;74.16;74.01;74.025;1715
20160119 111200;74.04;74.04;73.93;73.93;900
