20160119 085600;37.64;37.64;37.64;37.64;1260
20160119 093200;37.96;38.2;37.93;38;25060
20160119 093300;37.91;37.91;37.6;37.6;3750
20160119 093400;37.6;37.6;37.37;37.45;4118
20160119 093500;37.48;37.59;37.45;37.59;2600
20160119 093600;37.63;37.63;37.5;37.5;5532
20160119 093700;37.43;37.47;37.43;37.43;4626
20160119 093800;37.41;37.48;37.41;37.47;1300
20160119 093900;37.44;37.44;37.33;37.34;1364
20160119 094000;37.27;37.27;37.27;37.27;300
20160119 094100;37.23;37.23;37.1;37.1;1075
20160119 094200;37.05;37.05;37.05;37.05;200
20160119 094300;37.05;37.09;37.03;37.06;1803
20160119 094400;37.02;37.02;36.87;36.87;700
20160119 094500;36.88;36.88;36.86;36.86;200
20160119 094600;37.06;37.07;37.03;37.03;400
20160119 094700;37.07;37.07;37.01;37.01;2427
20160119 094800;36.98;37.01;36.97;37.01;600
20160119 094900;37;37;36.96;36.96;400
20160119 095000;36.96;36.96;36.9;36.96;900
20160119 095100;36.95;36.95;36.8;36.8;1295
20160119 095200;36.84;36.85;36.82;36.82;500
20160119 095300;36.82;36.84;36.79;36.83;900
20160119 095400;36.83;36.96;36.83;36.93;600
20160119 095500;36.95;37.02;36.94;36.94;2310
20160119 095600;36.95;37.02;36.95;36.99;2414
20160119 095700;36.99;37.03;36.99;37.01;715
20160119 095800;37.04;37.1;37.04;37.1;1162
20160119 095900;37.11;37.11;37.08;37.1;400
20160119 100000;37.11;37.14;37.1;37.12;600
20160119 100100;37.17;37.23;37.13;37.22;2100
20160119 100200;37.29;37.31;37.29;37.29;430
20160119 100300;37.28;37.28;37.23;37.23;796
20160119 100400;37.22;37.24;37.2;37.23;1577
20160119 100500;37.2;37.24;37.19;37.23;700
20160119 100600;37.25;37.37;37.25;37.34;2601
20160119 100700;37.32;37.34;37.3;37.3;300
20160119 100800;37.34;37.39;37.33;37.35;1129
20160119 100900;37.35;37.36;37.29;37.29;600
20160119 101000;37.26;37.26;37.21;37.23;701
20160119 101100;37.24;37.28;37.23;37.23;600
20160119 101200;37.26;37.31;37.25;37.25;400
20160119 101300;37.22;37.22;37.1;37.19;10742
20160119 101400;37.17;37.21;37.17;37.21;300
20160119 101500;37.24;37.25;37.2;37.22;727
20160119 101600;37.24;37.24;37.24;37.24;100
20160119 101700;37.28;37.32;37.28;37.29;1400
20160119 101800;37.302;37.302;37.29;37.29;1400
20160119 101900;37.27;37.27;37.22;37.22;1400
20160119 102000;37.23;37.28;37.23;37.24;1001
20160119 102100;37.23;37.32;37.23;37.32;1100
20160119 102200;37.29;37.29;37.29;37.29;100
20160119 102300;37.25;37.25;37.2;37.23;1901
20160119 102400;37.23;37.235;37.23;37.235;700
20160119 102500;37.2;37.29;37.1641;37.29;2822
20160119 102600;37.28;37.36;37.28;37.36;1150
20160119 102700;37.33;37.34;37.31;37.34;700
20160119 102800;37.35;37.35;37.34;37.34;300
20160119 102900;37.37;37.405;37.37;37.405;400
20160119 103000;37.39;37.43;37.39;37.42;700
20160119 103100;37.42;37.48;37.42;37.48;1400
20160119 103200;37.46;37.46;37.42;37.44;1000
20160119 103300;37.44;37.48;37.44;37.45;800
20160119 103400;37.44;37.44;37.42;37.43;500
20160119 103500;37.41;37.41;37.33;37.33;2200
20160119 103600;37.34;37.35;37.32;37.32;1500
20160119 103700;37.31;37.33;37.3042;37.31;1863
20160119 103800;37.305;37.32;37.29;37.29;722
20160119 103900;37.285;37.285;37.22;37.22;1200
20160119 104000;37.22;37.25;37.15;37.17;2300
20160119 104100;37.18;37.2;37.18;37.19;800
20160119 104200;37.19;37.19;37.19;37.19;100
20160119 104300;37.22;37.22;37.16;37.16;903
20160119 104400;37.18;37.18;37.17;37.17;200
20160119 104500;37.2;37.25;37.2;37.21;2608
20160119 104600;37.18;37.18;37.17;37.17;200
20160119 104700;37.17;37.2;37.16;37.2;1512
20160119 104800;37.22;37.24;37.21;37.22;800
20160119 104900;37.26;37.29;37.26;37.28;700
20160119 105000;37.2641;37.3;37.25;37.3;1146
20160119 105100;37.32;37.33;37.31;37.31;1600
20160119 105200;37.31;37.31;37.23;37.23;900
20160119 105300;37.21;37.21;37.16;37.17;800
20160119 105400;37.185;37.185;37.16;37.16;200
20160119 105500;37.16;37.16;37.14;37.14;600
20160119 105600;37.12;37.12;37.12;37.12;100
20160119 105700;37.11;37.12;37.09;37.0903;4937
20160119 105800;37.09;37.09;37.09;37.09;300
20160119 105900;37.1;37.11;37.07;37.08;3701
20160119 110000;37.06;37.0797;37.03;37.03;1450
20160119 110100;37.03;37.09;37.03;37.05;1509
20160119 110200;37.08;37.08;37.06;37.06;600
20160119 110300;37.08;37.09;37.065;37.09;1500
20160119 110400;37.11;37.12;37.1;37.1;1947
20160119 110500;37.08;37.08;37.06;37.06;1178
20160119 110600;37.08;37.08;37.04;37.04;1600
20160119 110700;37.02;37.05;37.01;37.05;1278
20160119 110800;37.045;37.06;37.045;37.05;500
20160119 110900;37.02;37.09;37.01;37.07;700
20160119 111000;37.08;37.1;37.0798;37.09;5401
20160119 111100;37.08;37.08;37.03;37.03;3872
20160119 111200;37.05;37.05;37;37.01;1888
20160119 111300;37.01;37.01;36.97;36.97;3733
20160119 111400;36.98;37.03;36.97;36.97;2000
20160119 111500;37;37.02;36.98;36.98;600
20160119 111600;36.985;37.01;36.985;37.01;1200
20160119 111700;37.02;37.03;36.99;37;1859
20160119 111800;36.99;37;36.93;36.95;7555
20160119 111900;36.98;36.98;36.98;36.98;300
20160119 112000;36.97;36.98;36.93;36.93;1873
20160119 112100;36.95;36.97;36.95;36.96;1316
20160119 112200;36.94;36.99;36.94;36.99;2975
20160119 112300;37.01;37.01;36.97;36.98;2525
20160119 112400;36.9816;37;36.96;36.96;645
20160119 112500;36.94;36.99;36.94;36.98;1000
20160119 112600;36.99;37.03;36.99;37.02;700
20160119 112700;37.05;37.05;37.05;37.05;300
20160119 112800;37.07;37.11;37.07;37.11;1500
20160119 112900;37.1;37.1;37.09;37.09;1041
20160119 113000;37.13;37.18;37.13;37.18;900
20160119 113100;37.2;37.21;37.18;37.2;2400
20160119 113200;37.19;37.19;37.19;37.19;700
20160119 113300;37.21;37.22;37.2;37.21;1893
20160119 113400;37.22;37.22;37.2;37.2;200
20160119 113500;37.16;37.16;37.16;37.16;100
20160119 113600;37.16;37.17;37.14;37.14;1120
20160119 113700;37.12;37.16;37.11;37.15;2300
20160119 113800;37.14;37.14;37.13;37.13;200
20160119 113900;37.14;37.19;37.13;37.14;3833
20160119 114000;37.16;37.19;37.16;37.17;1500
20160119 114100;37.19;37.19;37.14;37.16;1100
20160119 114200;37.15;37.16;37.15;37.16;400
20160119 114300;37.18;37.18;37.17;37.17;500
20160119 114400;37.17;37.19;37.17;37.19;1150
20160119 114500;37.21;37.21;37.19;37.19;900
20160119 114600;37.2;37.26;37.2;37.26;2700
20160119 114700;37.24;37.25;37.23;37.23;600
20160119 114800;37.23;37.23;37.18;37.18;1200
20160119 115000;37.12;37.1247;37.12;37.1247;250
20160119 115100;37.11;37.13;37.09;37.13;1350
20160119 115200;37.12;37.13;37.12;37.13;400
20160119 115300;37.16;37.16;37.11;37.12;835
20160119 115400;37.12;37.12;37.11;37.12;1280
20160119 115500;37.14;37.14;37.11;37.13;2656
20160119 115600;37.13;37.16;37.13;37.16;1160
20160119 115700;37.18;37.24;37.18;37.2;2799
20160119 115800;37.22;37.22;37.165;37.165;4000
20160119 115900;37.19;37.19;37.16;37.16;949
20160119 120000;37.18;37.18;37.14;37.16;8181
20160119 120100;37.155;37.19;37.15;37.19;5960
20160119 120200;37.2;37.2;37.19;37.2;2201
20160119 120300;37.2;37.2;37.17;37.17;4333
20160119 120400;37.17;37.17;37.11;37.13;4945
20160119 120500;37.14;37.14;37.13;37.14;1100
20160119 120600;37.14;37.15;37.13;37.14;8218
20160119 120700;37.15;37.15;37.12;37.12;1200
20160119 120800;37.1;37.1;37.06;37.07;2000
20160119 120900;37.07;37.07;37.02;37.02;800
20160119 121000;37.02;37.04;36.99;36.99;1513
20160119 121100;37;37;37;37;151
20160119 121200;37.01;37.01;37.01;37.01;100
20160119 121300;37.01;37.03;37.01;37.02;997
20160119 121500;37.07;37.08;37.06;37.08;500
20160119 121600;37.06;37.06;37.06;37.06;200
20160119 121700;37.048;37.048;37.04;37.04;354
20160119 121800;37.05;37.05;37.01;37.01;300
20160119 121900;36.99;37;36.93;36.93;924
20160119 122000;36.96;36.97;36.94;36.94;1207
20160119 122100;36.96;36.97;36.94;36.95;1300
20160119 122200;36.97;36.97;36.91;36.91;400
20160119 122300;36.9;36.9;36.9;36.9;100
20160119 122400;36.94;36.95;36.93;36.93;700
20160119 122600;36.92;36.92;36.92;36.92;500
20160119 122700;36.91;36.91;36.89;36.89;800
20160119 122800;36.89;36.94;36.89;36.9335;900
20160119 122900;36.94;36.98;36.92;36.98;800
20160119 123000;36.99;37.03;36.99;37.02;600
20160119 123100;37.02;37.07;37.01;37.07;1902
20160119 123200;37.07;37.09;37.07;37.09;4997
20160119 123300;37.1;37.1;37.07;37.07;1501
20160119 123500;37.05;37.08;37.05;37.08;1000
20160119 123600;37.07;37.075;37.06;37.07;1700
20160119 123700;37.05;37.1;37.05;37.1;2020
20160119 123800;37.11;37.12;37.11;37.11;892
20160119 123900;37.05;37.05;37.03;37.03;400
20160119 124000;37.02;37.02;37.02;37.02;100
20160119 124100;37.03;37.03;37.02;37.02;512
20160119 124200;37.04;37.05;37.04;37.05;532
20160119 124300;37.05;37.08;37.05;37.05;1675
20160119 124400;37.04;37.07;37.04;37.06;3200
20160119 124500;37.06;37.06;37;37;1263
20160119 124600;37;37.01;37;37;600
20160119 124700;37.03;37.03;37.01;37.01;2200
20160119 124800;36.99;36.99;36.95;36.95;1559
20160119 124900;36.95;36.96;36.94;36.94;401
20160119 125000;36.96;36.97;36.93;36.93;900
20160119 125100;36.94;36.98;36.94;36.96;2300
20160119 125200;36.98;36.98;36.95;36.965;600
20160119 125300;36.93;36.94;36.93;36.94;200
20160119 125400;36.89;36.89;36.89;36.89;100
20160119 125500;36.895;36.895;36.895;36.895;100
20160119 125600;36.89;36.93;36.89;36.93;1302
20160119 125700;36.93;36.93;36.91;36.91;600
20160119 125800;36.93;36.95;36.92;36.95;1700
20160119 125900;36.94;36.94;36.94;36.94;200
20160119 130000;36.92;36.96;36.92;36.96;1400
20160119 130100;36.97;36.99;36.97;36.99;900
20160119 130200;37;37.01;36.98;37.01;2434
20160119 130300;37.01;37.02;37;37.02;1380
20160119 130400;37.01;37.03;37.01;37.03;400
20160119 130500;37.02;37.02;37;37;859
20160119 130600;36.98;36.98;36.96;36.97;800
20160119 130700;36.95;36.95;36.92;36.92;1160
20160119 130900;36.97;37.03;36.97;37.01;1700
20160119 131100;36.99;37;36.98;37;300
20160119 131200;37.01;37.03;37.01;37.03;1400
20160119 131300;37.04;37.04;37.02;37.02;800
20160119 131400;37.02;37.02;37.02;37.02;100
20160119 131500;37.01;37.01;36.95;36.96;1600
20160119 131700;36.94;36.96;36.94;36.96;1201
20160119 131800;36.98;36.98;36.96;36.96;700
20160119 131900;36.97;36.9722;36.97;36.9722;336
20160119 132000;37.03;37.08;37.03;37.06;2300
20160119 132100;37.07;37.11;37.07;37.09;900
20160119 132200;37.1;37.1;37.08;37.08;400
20160119 132300;37.08;37.08;37.0641;37.0641;614
20160119 132400;37.07;37.07;37.05;37.05;758
20160119 132500;37.02;37.05;37.02;37.02;400
20160119 132600;37;37;36.96;36.96;1000
20160119 132700;36.94;36.96;36.94;36.96;400
20160119 132800;36.94;36.956;36.91;36.91;725
20160119 132900;36.92;36.92;36.91;36.91;300
20160119 133000;36.91;36.91;36.86;36.86;4400
20160119 133100;36.91;36.91;36.91;36.91;100
20160119 133200;36.92;36.92;36.92;36.92;550
20160119 133300;36.9;36.9;36.85;36.85;1510
20160119 133400;36.86;36.86;36.82;36.82;1030
20160119 133500;36.82;36.85;36.82;36.85;400
20160119 133600;36.88;36.88;36.84;36.84;1000
20160119 133700;36.85;36.91;36.85;36.88;1300
20160119 133800;36.88;36.88;36.87;36.87;200
20160119 133900;36.87;36.87;36.87;36.87;100
20160119 134000;36.88;36.92;36.88;36.92;2926
20160119 134100;36.93;36.95;36.92;36.95;4000
20160119 134200;36.95;36.95;36.95;36.95;1100
20160119 134300;36.93;36.93;36.9;36.92;1400
20160119 134400;36.93;36.93;36.92;36.92;400
20160119 134500;36.89;36.895;36.84;36.86;2400
20160119 134600;36.87;36.87;36.87;36.87;300
20160119 134700;36.875;36.9;36.84;36.84;3400
20160119 134800;36.85;36.85;36.825;36.85;3050
20160119 134900;36.85;36.87;36.845;36.8501;2144
20160119 135000;36.89;36.89;36.86;36.87;2000
20160119 135100;36.86;36.86;36.84;36.85;1761
20160119 135200;36.86;36.87;36.8501;36.853;1955
20160119 135300;36.85;36.88;36.85;36.88;2200
20160119 135400;36.83;36.855;36.83;36.83;4400
20160119 135500;36.81;36.81;36.8;36.81;1300
20160119 135600;36.83;36.85;36.83;36.835;1300
20160119 135700;36.83;36.86;36.829;36.8331;4068
20160119 135800;36.84;36.88;36.84;36.86;5300
20160119 135900;36.86;36.86;36.84;36.84;1000
20160119 140000;36.85;36.85;36.85;36.85;600
20160119 140100;36.82;36.82;36.82;36.82;300
20160119 140200;36.8299;36.8299;36.8;36.8;1422
20160119 140300;36.8;36.81;36.79;36.8082;594
20160119 140400;36.8;36.83;36.8;36.81;1715
20160119 140500;36.8;36.81;36.8;36.8;1100
20160119 140600;36.79;36.79;36.7594;36.7594;1300
20160119 140700;36.76;36.76;36.68;36.68;8175
20160119 140800;36.67;36.68;36.6301;36.6301;4514
20160119 140900;36.63;36.63;36.62;36.62;1564
20160119 141000;36.6;36.62;36.53;36.53;4740
20160119 141100;36.54;36.58;36.52;36.52;2400
20160119 141200;36.5294;36.54;36.52;36.54;1508
20160119 141300;36.5599;36.56;36.53;36.55;2500
20160119 141400;36.54;36.55;36.54;36.5499;2400
20160119 141500;36.54;36.54;36.5;36.5;4188
20160119 141600;36.49;36.49;36.46;36.46;1385
20160119 141700;36.44;36.44;36.44;36.44;200
20160119 141800;36.45;36.48;36.43;36.4799;5597
20160119 141900;36.46;36.48;36.455;36.47;4205
20160119 142000;36.48;36.5;36.47;36.48;1000
20160119 142100;36.47;36.48;36.46;36.46;1901
20160119 142200;36.44;36.51;36.42;36.5;5094
20160119 142300;36.51;36.51;36.48;36.5;2037
20160119 142400;36.5;36.5;36.5;36.5;100
20160119 142500;36.52;36.54;36.52;36.52;1750
20160119 142600;36.53;36.55;36.52;36.52;2125
20160119 142700;36.52;36.52;36.51;36.51;400
20160119 142800;36.52;36.53;36.5;36.5;2004
20160119 142900;36.5024;36.5024;36.5;36.5;1774
20160119 143000;36.51;36.53;36.51;36.52;1001
20160119 143100;36.52;36.53;36.52;36.53;500
20160119 143200;36.53;36.57;36.53;36.57;1300
20160119 143300;36.55;36.56;36.54;36.55;1538
20160119 143400;36.55;36.55;36.55;36.55;865
20160119 143500;36.57;36.57;36.55;36.55;900
20160119 143600;36.555;36.56;36.55;36.56;400
20160119 143700;36.55;36.55;36.51;36.51;1886
20160119 143800;36.5;36.51;36.49;36.51;574
20160119 143900;36.5;36.5075;36.48;36.5;1743
20160119 144000;36.52;36.52;36.51;36.52;600
20160119 144100;36.515;36.53;36.49;36.49;1031
20160119 144200;36.5;36.5;36.5;36.5;400
20160119 144300;36.49;36.49;36.45;36.46;23400
20160119 144400;36.4536;36.4536;36.43;36.44;3000
20160119 144500;36.44;36.44;36.37;36.37;900
20160119 144600;36.36;36.36;36.34;36.35;1100
20160119 144700;36.33;36.34;36.32;36.32;2738
20160119 144800;36.31;36.31;36.28;36.28;1000
20160119 144900;36.27;36.3;36.27;36.3;2800
