20160119 094100;109.3715;109.3715;109.3715;109.3715;176
20160119 094200;109.91;109.91;109.91;109.91;100
20160119 095100;109.41;109.41;109.41;109.41;173
20160119 095400;109.52;109.52;109.52;109.52;100
20160119 095500;109.5;109.595;109.5;109.595;600
20160119 095600;109.75;109.75;109.13;109.13;1099
20160119 095700;109.48;109.68;109.48;109.62;1600
20160119 095800;109.52;109.74;109.4;109.4;1000
20160119 100400;109.66;109.66;109.63;109.63;262
20160119 101200;109.42;109.51;109.42;109.51;200
20160119 102300;109.4;109.4;109.4;109.4;100
20160119 102500;109.3;109.3;109.24;109.24;400
20160119 102600;109.25;109.25;109.25;109.25;200
20160119 102700;109.2595;109.2595;109.25;109.25;300
20160119 102800;109.25;109.25;109.22;109.22;300
20160119 103200;109.05;109.43;109.05;109.29;300
20160119 103300;109.28;109.29;109.25;109.25;300
20160119 104400;109.1;109.1;109;109;300
20160119 104700;108.8299;108.87;108.75;108.81;1415
20160119 104800;109.1;109.26;108.97;109.26;1505
20160119 104900;109.13;109.13;109.13;109.13;400
20160119 105000;109.33;109.33;109.33;109.33;100
20160119 105100;109.29;109.69;109.29;109.69;200
20160119 105400;109.03;109.03;109.03;109.03;100
20160119 105500;109.03;109.11;108.97;109.11;400
20160119 110800;109.26;109.26;109.26;109.26;200
20160119 112000;109.24;109.24;109.24;109.24;100
20160119 112400;108.61;108.61;108.61;108.61;100
20160119 114000;109.085;109.28;109.08;109.14;1320
20160119 114100;109;109.0095;109;109;400
20160119 114400;109.46;109.68;109;109.46;400
20160119 114500;109.6;109.6;109.3;109.3;400
20160119 114600;109.12;109.12;109.12;109.12;100
20160119 114700;109.16;109.16;109.08;109.08;400
20160119 114800;109.46;109.46;109.46;109.46;100
20160119 114900;109.69;109.69;109.235;109.27;1700
20160119 115000;109.16;109.16;109.09;109.09;300
20160119 115100;109.07;109.21;109;109;1070
20160119 115200;109.47;109.47;109.18;109.4;905
20160119 115300;109.37;109.37;109.15;109.15;1500
20160119 115400;109.15;109.15;109.15;109.15;100
20160119 115500;109.06;109.06;109.06;109.06;1100
20160119 115600;109.13;109.13;109.13;109.13;300
20160119 115700;108.84;109.32;108.84;109.17;1200
20160119 115800;109.065;109.065;109.065;109.065;200
20160119 120100;109.13;109.42;109.13;109.42;1800
20160119 120200;109.26;109.26;109.26;109.26;100
20160119 120300;109.25;109.25;109.25;109.25;100
20160119 120600;109.3;109.3;109.21;109.3;554
20160119 120700;109.3;109.3;109.3;109.3;100
