20160119 040000;18.95;19.95;18.95;19.95;500
20160119 040200;19.95;19.95;19.95;19.95;200
20160119 042200;20.01;20.01;20;20;1020
20160119 045500;20;20;20;20;80
20160119 055300;19.94;19.94;19.94;19.94;20
20160119 060100;19.93;19.93;19.93;19.93;500
20160119 060400;19.98;19.98;19.98;19.98;600
20160119 060800;19.98;19.98;19.98;19.98;300
20160119 060900;19.98;19.98;19.98;19.98;300
20160119 061300;19.98;19.99;19.98;19.99;220
20160119 061800;20;20;20;20;10
20160119 061900;20;20;20;20;300
20160119 062000;20;20;20;20;500
20160119 062100;19.95;19.95;19.95;19.95;80
20160119 062400;19.95;20.04;19.95;20.04;100
20160119 063700;20.03;20.09;20.03;20.09;820
20160119 070600;20;20;20;20;9931
20160119 070700;20;20;20;20;69
20160119 071200;19.99;20.01;19.99;20.01;400
20160119 071300;20.01;20.01;20.01;20.01;100
20160119 071700;20.02;20.02;20.01;20.01;200
20160119 071800;20.02;20.02;20.02;20.02;100
20160119 072400;20.01;20.1;20.01;20.1;251
20160119 072500;20;20;20;20;100
20160119 072600;20;20;20;20;100
20160119 072700;20.01;20.01;20.01;20.01;500
20160119 072900;20;20;20;20;800
20160119 073200;19.93;19.93;19.93;19.93;500
20160119 073300;19.93;19.93;19.86;19.86;1300
20160119 073800;19.88;19.88;19.88;19.88;200
20160119 074200;19.91;19.91;19.87;19.91;3589
20160119 074300;19.86;19.87;19.86;19.87;711
20160119 075300;19.96;19.98;19.96;19.98;400
20160119 080000;19.91;19.91;19.91;19.91;100
20160119 080100;19.91;19.92;19.91;19.92;650
20160119 080200;19.91;19.91;19.85;19.85;2539
20160119 080300;19.9;19.9;19.9;19.9;300
20160119 080400;19.95;19.95;19.91;19.91;100
20160119 080500;19.9;19.9;19.9;19.9;100
20160119 080600;19.91;19.91;19.91;19.91;100
20160119 081000;19.91;19.91;19.91;19.91;400
20160119 081100;19.92;19.92;19.92;19.92;100
20160119 081600;19.92;19.92;19.92;19.92;100
20160119 081700;19.92;19.92;19.9;19.9;1500
20160119 082200;19.87;19.87;19.87;19.87;200
20160119 083100;19.93;19.93;19.93;19.93;682
20160119 083700;19.83;19.83;19.83;19.83;125
20160119 084300;19.85;19.85;19.83;19.83;270
20160119 084800;19.9;19.9;19.9;19.9;600
20160119 084900;19.87;19.87;19.87;19.87;900
20160119 085000;19.87;19.9;19.87;19.9;500
20160119 085200;19.9;19.9;19.9;19.9;100
20160119 085500;19.9;19.9;19.9;19.9;100
20160119 085600;19.89;19.9;19.89;19.9;876
20160119 085900;19.88;19.88;19.88;19.88;100
20160119 090000;19.85;19.85;19.85;19.85;500
20160119 090200;19.81;19.81;19.8;19.8;400
20160119 090400;19.8;19.8;19.79;19.8;1300
20160119 090900;19.79;19.8;19.72;19.72;400
20160119 091000;19.71;19.71;19.71;19.71;2
20160119 091200;19.71;19.71;19.71;19.71;100
20160119 091300;19.71;19.71;19.71;19.71;100
20160119 091800;19.71;19.71;19.71;19.71;200
20160119 092000;19.75;19.75;19.75;19.75;100
20160119 092100;19.7;19.7;19.7;19.7;200
20160119 092200;19.73;19.73;19.7;19.7;880
20160119 092900;19.7;19.7;19.7;19.7;398
20160119 093000;19.62;19.62;19.62;19.62;1
20160119 093200;19.57;19.63;19.55;19.6254;37178
20160119 093300;19.57;19.68;19.5401;19.5642;15603
20160119 093400;19.59;19.61;19.4;19.46;8737
20160119 093500;19.46;19.46;19.38;19.3899;11398
20160119 093600;19.38;19.38;19.18;19.2;11326
20160119 093700;19.23;19.39;19.13;19.2503;33316
20160119 093800;19.2511;19.2999;19.16;19.19;4604
20160119 093900;19.15;19.34;19.12;19.31;8827
20160119 094000;19.24;19.27;19.11;19.12;7165
20160119 094100;19.13;19.15;19.09;19.11;5057
20160119 094200;19.1;19.15;19.06;19.08;10500
20160119 094300;19.08;19.18;19.08;19.135;9769
20160119 094400;19.12;19.16;19.1;19.11;3007
20160119 094500;19.105;19.145;19.1;19.1001;8553
20160119 094600;19.14;19.15;19.1;19.13;1200
20160119 094700;19.17;19.17;19.125;19.16;4200
20160119 094800;19.17;19.2;19.12;19.12;2500
20160119 094900;19.12;19.12;19.09;19.1;3461
20160119 095000;19.09;19.1;19;19;9301
20160119 095100;19.02;19.064;19;19.031;16913
20160119 095200;19.0111;19.03;19;19.02;4636
20160119 095300;19.01;19.02;19;19.0025;22734
20160119 095400;19;19.05;19;19.01;21535
20160119 095500;19.0101;19.02;19;19.0099;10578
20160119 095600;19;19.01;19;19.01;2946
20160119 095700;19.01;19.04;19;19;6027
20160119 095800;19;19.01;19;19.009;4790
20160119 095900;19;19.01;19;19.01;6964
20160119 100000;19.01;19.27;19.009;19.1;38027
20160119 100100;19.125;19.22;19.075;19.22;4171
20160119 100200;19.195;19.22;19.17;19.17;2820
20160119 100300;19.1712;19.21;19.12;19.12;1300
20160119 100400;19.1419;19.16;19.1419;19.16;2130
20160119 100500;19.16;19.22;19.16;19.18;800
20160119 100600;19.216;19.35;19.216;19.31;3479
20160119 100700;19.35;19.35;19.27;19.29;876
20160119 100800;19.2601;19.4365;19.2601;19.3201;3900
20160119 100900;19.32;19.4199;19.27;19.27;3437
20160119 101000;19.29;19.3895;19.27;19.3895;7586
20160119 101100;19.29;19.32;19.278;19.3;3148
20160119 101200;19.3;19.3;19.3;19.3;100
20160119 101300;19.33;19.33;19.33;19.33;100
20160119 101400;19.33;19.33;19.29;19.3299;1281
20160119 101600;19.32;19.35;19.32;19.35;1700
20160119 101700;19.35;19.4;19.35;19.4;3300
20160119 101800;19.4399;19.4399;19.4197;19.42;1250
20160119 101900;19.4099;19.4099;19.27;19.37;3610
20160119 102100;19.38;19.48;19.38;19.4458;11056
20160119 102200;19.38;19.39;19.38;19.39;200
20160119 102300;19.39;19.5;19.36;19.42;13489
20160119 102500;19.44;19.5;19.41;19.4799;3700
20160119 102600;19.4311;19.51;19.4311;19.51;4483
20160119 102700;19.54;19.56;19.54;19.56;1500
20160119 102800;19.57;19.59;19.51;19.51;6160
20160119 102900;19.51;19.51;19.51;19.51;100
20160119 103000;19.54;19.7;19.54;19.7;2500
20160119 103100;19.7;19.7399;19.69;19.7399;3200
20160119 103200;19.6979;19.6979;19.65;19.65;2001
20160119 103300;19.65;19.65;19.62;19.62;1700
20160119 103400;19.65;19.65;19.61;19.61;1300
20160119 103500;19.6;19.61;19.55;19.57;1640
20160119 103600;19.5798;19.608;19.56;19.56;1100
20160119 103700;19.57;19.57;19.56;19.56;600
20160119 103800;19.57;19.57;19.55;19.55;500
20160119 103900;19.6;19.62;19.52;19.52;2800
20160119 104000;19.51;19.51;19.42;19.42;1700
20160119 104200;19.445;19.445;19.445;19.445;100
20160119 104300;19.42;19.42;19.42;19.42;100
20160119 104400;19.4144;19.4144;19.41;19.4115;1200
20160119 104500;19.41;19.43;19.41;19.43;3100
20160119 104600;19.41;19.41;19.39;19.39;500
20160119 104700;19.4;19.4;19.34;19.37;7045
20160119 104800;19.36;19.37;19.31;19.37;2300
20160119 104900;19.37;19.38;19.37;19.38;1000
20160119 105000;19.37;19.49;19.37;19.45;2900
20160119 105100;19.45;19.45;19.45;19.45;200
20160119 105200;19.43;19.43;19.41;19.41;600
20160119 105300;19.41;19.41;19.34;19.376;971
20160119 105400;19.31;19.31;19.31;19.31;100
20160119 105500;19.26;19.29;19.26;19.29;350
20160119 105600;19.29;19.29;19.26;19.26;400
20160119 105700;19.26;19.27;19.26;19.27;1250
20160119 105800;19.26;19.29;19.25;19.25;4446
20160119 105900;19.3;19.31;19.28;19.3;1700
20160119 110000;19.29;19.29;19.28;19.28;400
20160119 110100;19.28;19.3;19.2701;19.2801;3600
20160119 110200;19.29;19.29;19.26;19.29;2300
20160119 110300;19.26;19.26;19.26;19.26;100
20160119 110400;19.26;19.36;19.26;19.36;3534
20160119 110500;19.31;19.37;19.31;19.31;1520
20160119 110600;19.33;19.33;19.31;19.31;200
20160119 110700;19.31;19.32;19.27;19.27;800
20160119 110800;19.3;19.3;19.29;19.29;300
20160119 110900;19.25;19.31;19.25;19.26;1600
20160119 111000;19.29;19.31;19.29;19.31;700
20160119 111100;19.27;19.27;19.27;19.27;356
20160119 111200;19.27;19.2715;19.2;19.2;5513
20160119 111300;19.19;19.19;19.1505;19.19;1700
20160119 111400;19.17;19.23;19.17;19.18;900
20160119 111500;19.22;19.22;19.16;19.19;3000
20160119 111600;19.16;19.17;19.16;19.17;1770
20160119 111700;19.1701;19.18;19.15;19.15;2700
20160119 111800;19.15;19.15;19.1001;19.1309;2709
20160119 111900;19.1;19.124;19.02;19.02;8758
20160119 112000;19.02;19.05;19.02;19.05;1643
20160119 112100;19.04;19.0696;19.02;19.03;3803
20160119 112200;19.03;19.1;19.03;19.03;1600
20160119 112300;19.04;19.1;19.03;19.1;1774
20160119 112400;19.08;19.08;19.07;19.07;400
20160119 112500;19.08;19.08;19.03;19.08;1579
20160119 112600;19.08;19.08;19.04;19.04;400
20160119 112700;19.08;19.08;19.06;19.06;1200
20160119 112800;19.08;19.135;19.08;19.135;1558
20160119 112900;19.12;19.12;19.08;19.08;200
20160119 113000;19.13;19.13;19.1;19.1;400
20160119 113100;19.13;19.17;19.13;19.17;800
20160119 113200;19.17;19.17;19.16;19.16;400
20160119 113300;19.16;19.17;19.16;19.17;1300
20160119 113400;19.195;19.195;19.15;19.15;1697
20160119 113500;19.1;19.11;19.1;19.1;300
20160119 113600;19.13;19.17;19.12;19.155;2756
20160119 113800;19.15;19.15;19.13;19.13;1000
20160119 113900;19.13;19.155;19.13;19.155;200
20160119 114000;19.14;19.14;19.14;19.14;100
20160119 114100;19.1415;19.15;19.14;19.15;831
20160119 114200;19.15;19.15;19.15;19.15;399
20160119 114400;19.14;19.14;19.1;19.125;1000
20160119 114500;19.11;19.11;19.11;19.11;100
20160119 114600;19.15;19.29;19.15;19.29;1680
20160119 114700;19.21;19.292;19.21;19.255;1200
20160119 114800;19.23;19.23;19.15;19.15;1400
20160119 114900;19.12;19.17;19.12;19.17;200
20160119 115000;19.12;19.14;19.12;19.14;327
20160119 115100;19.13;19.14;19.13;19.14;1158
20160119 115200;19.14;19.16;19.14;19.16;1100
20160119 115300;19.16;19.16;19.14;19.14;200
20160119 115400;19.13;19.13;19.13;19.13;100
20160119 115500;19.13;19.13;19.13;19.13;100
20160119 115600;19.11;19.15;19.11;19.15;200
20160119 115700;19.12;19.17;19.11;19.17;500
20160119 115900;19.11;19.115;19.11;19.11;500
20160119 120000;19.11;19.11;19.11;19.11;100
20160119 120100;19.1111;19.12;19.11;19.11;1700
20160119 120200;19.11;19.11;19.0301;19.04;1700
20160119 120300;19.0338;19.04;19.03;19.03;900
20160119 120400;19.04;19.04;19.04;19.04;300
20160119 120500;19.04;19.06;19.03;19.06;2600
20160119 120800;19.1;19.1;19.1;19.1;100
20160119 120900;19.04;19.04;19.03;19.03;900
20160119 121000;19.03;19.03;19.02;19.02;2950
20160119 121100;19.025;19.109;19.02;19.05;7114
20160119 121300;19.02;19.02;19.02;19.02;100
20160119 121400;19.02;19.045;19.02;19.045;300
20160119 121500;19.02;19.02;19.02;19.02;100
20160119 121600;19.02;19.03;19.02;19.03;200
20160119 121700;19.04;19.04;19.04;19.04;100
20160119 121800;19.08;19.08;19.04;19.04;200
20160119 121900;19.05;19.05;19.04;19.04;200
20160119 122000;19.05;19.056;19.05;19.056;320
20160119 122100;19.05;19.059;19.03;19.03;1044
20160119 122200;19.0301;19.0301;19.03;19.03;600
20160119 122300;19.0301;19.0301;19.03;19.03;600
20160119 122400;19.03;19.03;19.03;19.03;300
20160119 122500;19.03;19.03;19.0025;19.0025;4836
20160119 122600;19.0088;19.01;19;19;1600
20160119 122700;19.0001;19.006;19;19.0025;2500
20160119 122800;19;19.035;19;19.03;7114
20160119 122900;19.03;19.05;19.03;19.05;700
20160119 123100;19.03;19.04;19.03;19.04;400
20160119 123200;19.05;19.08;19.0301;19.06;2800
20160119 123300;19.08;19.14;19.075;19.13;1350
20160119 123400;19.12;19.14;19.1;19.1;2121
20160119 123500;19.1;19.11;19.08;19.08;2200
20160119 123600;19.09;19.09;19.09;19.09;513
20160119 123800;19.09;19.09;19.09;19.09;100
20160119 123900;19.08;19.08;19.08;19.08;400
20160119 124000;19.08;19.08;19.04;19.04;2300
20160119 124100;19.03;19.03;19.03;19.03;100
20160119 124200;19.035;19.08;19.035;19.08;935
20160119 124400;19.07;19.1222;19.07;19.1222;1600
20160119 124600;19.12;19.12;19.12;19.12;200
20160119 124700;19.12;19.12;19.07;19.07;3108
20160119 124800;19.0601;19.07;19.06;19.06;2090
20160119 124900;19.06;19.06;19.06;19.06;200
20160119 125000;19.06;19.06;19.06;19.06;300
20160119 125100;19.07;19.07;19.06;19.07;1000
20160119 125200;19.06;19.07;19.06;19.07;400
20160119 125300;19.0642;19.0666;19.05;19.05;2375
20160119 125400;19.05;19.05;19;19.0199;19432
20160119 125500;19.02;19.02;19.02;19.02;100
20160119 125700;19.04;19.04;19.04;19.04;100
20160119 125900;19.03;19.04;19.03;19.03;300
20160119 130000;19.03;19.0301;19.03;19.0301;200
20160119 130100;19.04;19.11;19.0301;19.1097;6000
20160119 130200;19.085;19.085;19.085;19.085;200
20160119 130300;19.11;19.11;19.11;19.11;100
20160119 130500;19.11;19.11;19.11;19.11;100
20160119 130600;19.1;19.1;19.07;19.07;700
20160119 130700;19.1;19.1;19.08;19.08;341
20160119 130800;19.06;19.06;19.04;19.04;800
20160119 130900;19.06;19.06;19.06;19.06;100
20160119 131000;19.05;19.05;19.05;19.05;100
20160119 131100;19.05;19.11;19.05;19.11;200
20160119 131200;19.06;19.06;19.06;19.06;100
20160119 131300;19.05;19.0501;19.05;19.05;400
20160119 131400;19.04;19.05;19.04;19.04;800
20160119 131500;19.04;19.05;19.04;19.05;700
20160119 131600;19.04;19.04;19.04;19.04;100
20160119 131700;19.04;19.04;19.04;19.04;500
20160119 131800;19.04;19.09;19.04;19.09;700
20160119 131900;19.07;19.07;19.07;19.07;100
20160119 132000;19.07;19.11;19.07;19.11;700
20160119 132100;19.11;19.11;19.1;19.1;633
20160119 132200;19.11;19.13;19.1039;19.1039;1895
20160119 132300;19.147;19.15;19.145;19.145;700
20160119 132400;19.15;19.1591;19.14;19.1591;1600
20160119 132500;19.18;19.18;19.18;19.18;100
20160119 132600;19.17;19.17;19.12;19.12;1100
20160119 132700;19.11;19.11;19.04;19.05;3100
20160119 132800;19.05;19.06;19.05;19.06;200
20160119 132900;19.05;19.05;19.04;19.04;500
20160119 133000;19.037;19.04;19.037;19.04;400
20160119 133100;19.06;19.08;19.06;19.08;200
20160119 133200;19.07;19.07;19.06;19.06;400
20160119 133300;19.03;19.03;19.015;19.0198;3181
20160119 133400;19.0139;19.02;19.0139;19.02;644
20160119 133500;19.02;19.02;19.01;19.01;400
20160119 133700;19.01;19.03;19.01;19.01;1600
20160119 133800;19.01;19.015;19.01;19.01;1010
20160119 133900;19;19.03;19;19.02;3200
20160119 134000;19.02;19.02;19.02;19.02;100
20160119 134200;19.03;19.03;19.02;19.02;200
20160119 134300;19.03;19.03;19.03;19.03;100
20160119 134400;19.02;19.02;19.01;19.01;1600
20160119 134500;19.01;19.01;19;19;500
20160119 134600;19.009;19.01;19;19.01;2340
20160119 134700;19.01;19.041;19.01;19.02;300
20160119 134800;19.0103;19.02;19;19.02;2700
20160119 134900;19.01;19.02;19;19.02;1800
20160119 135000;19.02;19.02;19;19.01;500
20160119 135200;19.01;19.02;19.01;19.02;200
20160119 135300;19;19.01;19;19;1646
20160119 135400;19.01;19.01;19;19;700
20160119 135500;19;19.01;19;19.0005;1300
20160119 135600;19;19;19;19;200
20160119 135700;19;19;19;19;600
20160119 135800;19;19;19;19;700
20160119 135900;19.01;19.01;19;19;200
20160119 140000;19.01;19.01;19;19.0001;1300
20160119 140100;19.01;19.01;19;19;300
20160119 140200;19;19.005;19;19.005;900
20160119 140300;19.005;19.01;19;19;600
20160119 140400;19;19;19;19;200
20160119 140500;19.005;19.01;19;19.0025;1300
20160119 140600;19.005;19.03;19;19.03;9268
20160119 140700;19.03;19.04;19.01;19.02;1842
20160119 140800;19.02;19.04;19.01;19.03;700
20160119 140900;19.03;19.03;19;19.02;2474
20160119 141000;19.0075;19.01;19;19.01;660
20160119 141100;19;19.005;19;19.005;3069
20160119 141200;19.0001;19.005;19;19.005;800
20160119 141300;19.005;19.01;19;19.005;43915
20160119 141400;19.005;19.005;18.8;18.881;48698
20160119 141500;18.88;18.94;18.86;18.91;4017
20160119 141600;18.91;18.93;18.91;18.93;2386
20160119 141700;18.93;19.0195;18.93;18.97;8938
20160119 141800;18.99;19;18.92;18.94;12698
20160119 141900;18.95;18.97;18.95;18.97;3900
20160119 142000;18.97;18.97;18.97;18.97;500
20160119 142100;18.97;18.98;18.94;18.98;400
20160119 142200;18.97;18.97;18.89;18.89;1599
20160119 142300;18.89;18.91;18.89;18.89;2700
20160119 142400;18.89;18.9;18.89;18.9;800
20160119 142500;18.91;18.91;18.84;18.84;2200
20160119 142600;18.85;18.86;18.85;18.86;400
20160119 142700;18.85;18.89;18.85;18.89;600
20160119 142800;18.87;18.88;18.85;18.85;750
20160119 142900;18.84;18.845;18.83;18.83;2195
20160119 143000;18.835;18.835;18.81;18.83;3000
20160119 143100;18.8334;18.84;18.8334;18.84;1087
20160119 143200;18.8401;18.8401;18.8401;18.8401;300
20160119 143300;18.84;18.84;18.8;18.8;6959
20160119 143400;18.8;18.81;18.8;18.81;1000
20160119 143500;18.85;18.86;18.85;18.85;300
20160119 143600;18.85;18.85;18.82;18.82;1300
20160119 143700;18.83;18.83;18.83;18.83;100
20160119 143800;18.82;18.83;18.82;18.82;1000
20160119 143900;18.82;18.83;18.82;18.82;400
20160119 144000;18.82;18.83;18.82;18.82;300
20160119 144100;18.82;18.83;18.82;18.83;1500
20160119 144200;18.83;18.83;18.82;18.83;900
20160119 144300;18.82;18.8215;18.8;18.81;1899
20160119 144400;18.795;18.795;18.79;18.795;1000
20160119 144500;18.765;18.775;18.7607;18.7607;3300
20160119 144600;18.77;18.77;18.71;18.77;13307
20160119 144700;18.73;18.73;18.73;18.73;200
20160119 144800;18.72;18.72;18.67;18.67;1250
20160119 144900;18.67;18.71;18.5801;18.5801;19090
20160119 145000;18.59;18.61;18.59;18.6;1690
20160119 145100;18.61;18.61;18.61;18.61;400
20160119 145200;18.58;18.62;18.58;18.6;1695
20160119 145300;18.59;18.61;18.59;18.61;700
20160119 145400;18.635;18.68;18.63;18.68;1700
20160119 145500;18.69;18.76;18.69;18.75;1996
20160119 145600;18.78;18.78;18.72;18.72;11532
20160119 145700;18.72;18.72;18.71;18.72;3300
20160119 145800;18.75;18.75;18.66;18.66;1573
20160119 145900;18.65;18.65;18.65;18.65;100
20160119 150000;18.68;18.78;18.68;18.76;1400
20160119 150100;18.76;18.77;18.76;18.77;200
20160119 150200;18.74;18.75;18.74;18.75;1300
20160119 150300;18.7201;18.8;18.7201;18.8;1292
20160119 150400;18.75;18.8;18.75;18.79;900
20160119 150500;18.79;18.79;18.76;18.77;700
20160119 150600;18.79;18.79;18.75;18.79;600
20160119 150700;18.79;18.79;18.75;18.76;2100
20160119 150800;18.77;18.8;18.77;18.8;1000
20160119 150900;18.79;18.8;18.77;18.78;900
20160119 151000;18.77;18.77;18.75;18.75;2500
20160119 151100;18.75;18.75;18.74;18.74;900
20160119 151200;18.74;18.74;18.74;18.74;300
20160119 151300;18.7;18.7;18.7;18.7;200
20160119 151400;18.74;18.74;18.7;18.7;300
20160119 151500;18.7;18.72;18.7;18.715;400
20160119 151600;18.71;18.71;18.6182;18.62;6700
20160119 151700;18.62;18.62;18.61;18.61;1300
20160119 151800;18.61;18.62;18.61;18.61;3300
20160119 151900;18.63;18.79;18.63;18.77;5300
20160119 152000;18.74;18.74;18.64;18.64;1400
20160119 152100;18.71;18.785;18.71;18.785;1600
20160119 152200;18.78;18.79;18.72;18.77;1700
20160119 152300;18.74;18.77;18.7;18.7;2600
20160119 152400;18.69;18.72;18.69;18.72;2925
20160119 152500;18.71;18.71;18.7;18.71;1170
20160119 152600;18.72;18.73;18.71;18.72;1463
20160119 152700;18.72;18.8;18.72;18.78;15700
20160119 152800;18.79;18.79;18.74;18.75;3700
20160119 152900;18.75;18.75;18.72;18.73;3673
20160119 153000;18.73;18.78;18.73;18.78;1949
20160119 153100;18.78;18.8;18.75;18.7673;3861
20160119 153200;18.75;18.75;18.71;18.71;3300
20160119 153300;18.71;18.71;18.67;18.68;6801
20160119 153400;18.67;18.75;18.67;18.75;3300
20160119 153500;18.76;18.8;18.76;18.8;2800
20160119 153600;18.79;18.79;18.71;18.72;1700
20160119 153700;18.73;18.74;18.71;18.73;1500
20160119 153800;18.71;18.72;18.64;18.654;3000
20160119 153900;18.655;18.71;18.655;18.68;3976
20160119 154000;18.66;18.66;18.66;18.66;2000
20160119 154100;18.67;18.67;18.66;18.67;1580
20160119 154200;18.66;18.77;18.66;18.748;5056
20160119 154300;18.76;18.85;18.76;18.83;2603
20160119 154400;18.7949;18.8;18.74;18.74;1811
20160119 154500;18.75;18.85;18.7499;18.84;4500
20160119 154600;18.9;18.9;18.78;18.78;2500
20160119 154700;18.78;18.83;18.78;18.83;2600
20160119 154800;18.83;18.84;18.8;18.8;4200
20160119 154900;18.79;18.8058;18.79;18.79;700
20160119 155000;18.79;18.83;18.79;18.83;2400
20160119 155100;18.83;18.83;18.81;18.81;3300
20160119 155200;18.8;18.81;18.8;18.81;2500
20160119 155300;18.81;18.81;18.73;18.73;2614
20160119 155400;18.74;18.76;18.74;18.76;3100
20160119 155500;18.76;18.76;18.7099;18.71;6200
20160119 155600;18.71;18.74;18.71;18.73;1200
20160119 155700;18.738;18.74;18.71;18.74;4472
20160119 155800;18.75;18.78;18.72;18.77;11800
20160119 155900;18.78;18.78;18.74;18.77;8078
20160119 160000;18.76;18.82;18.75;18.82;18721
20160119 161200;19.0529;19.0529;19.0529;19.0529;23800
20160120 040000;18.1;18.1;18.1;18.1;100
20160120 064700;18.07;18.07;18.07;18.07;100
20160120 064800;18.06;18.06;18.06;18.06;300
20160120 073800;18;18;18;18;2600
20160120 074000;18;18.07;18;18;510
20160120 081400;18;18;18;18;40
20160120 081900;18;18.25;18;18.19;200
20160120 082900;18.1;18.1;18.1;18.1;500
20160120 083000;18.1;18.1;18.1;18.1;500
20160120 084700;18.25;18.25;18.25;18.25;962
20160120 085300;18.25;18.25;18.25;18.25;400
20160120 090300;18.39;18.39;18.39;18.39;200
20160120 090600;18.39;18.41;18.39;18.4;1789
20160120 090800;18.4;18.4;18.4;18.4;1000
20160120 090900;18.41;18.41;18.4;18.4;2000
20160120 091000;18.4;18.4;18.4;18.4;4500
20160120 091100;18.4;18.4;18.4;18.4;1000
20160120 091200;18.4;18.4;18.4;18.4;2000
20160120 091400;18.42;18.42;18.42;18.42;1000
20160120 091500;18.43;18.43;18.43;18.43;400
20160120 091700;18.46;18.46;18.46;18.46;500
20160120 092200;18.42;18.42;18.42;18.42;240
20160120 092600;18.55;18.55;18.55;18.55;1000
20160120 092700;18.56;18.56;18.56;18.56;1
20160120 093100;18.4;18.4;18.1;18.345;23463
20160120 093200;18.301;18.41;18.24;18.255;1625
20160120 093300;18.24;18.4;18.16;18.4;19800
20160120 093400;18.337;18.35;18.337;18.34;2400
20160120 093500;18.313;18.3432;18.29;18.32;4200
20160120 093600;18.26;18.28;18.26;18.28;200
20160120 093700;18.27;18.285;18.21;18.28;1774
20160120 093800;18.286;18.4;18.2338;18.4;14050
20160120 093900;18.35;18.41;18.35;18.41;1288
20160120 094000;18.4;18.44;18.34;18.34;4315
20160120 094100;18.3;18.3;18.23;18.24;1000
20160120 094200;18.214;18.214;18.13;18.2;7600
20160120 094300;18.14;18.19;18.11;18.14;5050
20160120 094400;18.14;18.14;18.11;18.1321;1100
20160120 094500;18.11;18.16;18.11;18.16;1170
20160120 094600;18.19;18.22;18.1656;18.22;300
20160120 094700;18.22;18.29;18.22;18.28;2797
20160120 094800;18.32;18.36;18.23;18.245;4301
20160120 094900;18.25;18.26;18.24;18.24;1986
20160120 095000;18.27;18.27;18.23;18.23;1650
20160120 095100;18.23;18.242;18.19;18.2101;3650
20160120 095200;18.24;18.37;18.23;18.25;10043
20160120 095300;18.23;18.27;18.22;18.23;6600
20160120 095400;18.23;18.24;18.2;18.21;14366
20160120 095500;18.2;18.23;18.2;18.205;9585
20160120 095600;18.2;18.24;18.18;18.24;4500
20160120 095700;18.21;18.28;18.21;18.26;2700
20160120 095800;18.26;18.33;18.26;18.33;6395
20160120 095900;18.29;18.35;18.29;18.35;7000
20160120 100000;18.35;18.54;18.31;18.54;16420
20160120 100100;18.5025;18.55;18.38;18.38;8397
20160120 100200;18.35;18.35;18.35;18.35;100
20160120 100300;18.35;18.35;18.3;18.3;3400
20160120 100400;18.29;18.33;18.25;18.29;14000
20160120 100500;18.26;18.27;18.23;18.23;1100
20160120 100600;18.23;18.32;18.23;18.32;7140
20160120 100700;18.32;18.41;18.32;18.41;12950
20160120 100800;18.35;18.4;18.34;18.37;2200
20160120 100900;18.32;18.33;18.29;18.29;2000
20160120 101000;18.29;18.29;18.23;18.23;2450
20160120 101100;18.23;18.23;18.14;18.14;5223
20160120 101200;18.13;18.2;18.12;18.18;2744
20160120 101300;18.15;18.15;18.15;18.15;300
20160120 101400;18.14;18.2;18.14;18.19;3000
20160120 101500;18.17;18.19;18.1501;18.18;4400
20160120 101600;18.17;18.17;18.1354;18.1615;3000
20160120 101700;18.18;18.28;18.16;18.28;3150
20160120 101800;18.2;18.25;18.16;18.16;1300
20160120 101900;18.1207;18.19;18.1207;18.13;1600
20160120 102000;18.16;18.1758;18.145;18.145;4300
20160120 102200;18.13;18.13;18;18.012;16024
20160120 102300;18.01;18.09;18.01;18.09;6200
20160120 102500;18.0899;18.0899;18.07;18.07;2678
20160120 102600;18.08;18.08;18.03;18.03;3028
20160120 102700;18;18.0024;17.93;18;13574
20160120 102800;17.99;18.21;17.9884;18.21;9226
20160120 102900;18.15;18.15;18.04;18.12;34453
20160120 103000;18.1;18.1;18.06;18.0726;3445
20160120 103100;18.07;18.07;18.04;18.04;3450
20160120 103200;18.04;18.05;17.97;17.98;2519
20160120 103300;17.93;17.96;17.9;17.96;3070
20160120 103400;17.96;17.9699;17.95;17.96;5526
20160120 103500;17.96;17.9633;17.96;17.9633;1146
20160120 103600;17.96;17.96;17.96;17.96;633
