20160119 090700;139.27;139.27;139.27;139.27;15
20160119 093600;140.36;140.86;140.06;140.8571;1850
20160119 093700;140.84;141;140.84;141;767
20160119 093800;141.06;141.06;140.655;140.655;200
20160119 093900;141.18;141.19;140.54;140.8;1200
20160119 094000;140.71;140.71;140.35;140.4;1450
20160119 094100;140.2;140.38;140.08;140.18;1200
20160119 094200;140.62;140.62;140.39;140.55;1700
20160119 094300;140.495;140.495;140.495;140.495;100
20160119 094400;140.59;140.59;140.59;140.59;100
20160119 094500;140.57;140.57;140.28;140.3;800
20160119 094600;140.33;140.635;140.315;140.35;2971
20160119 094700;140.465;140.465;140.23;140.23;400
20160119 094800;140.14;140.15;139.75;140.03;1400
20160119 094900;139.9;140.35;139.83;140.35;5135
20160119 095000;140;140.49;139.95;140.49;1900
20160119 095100;140.42;140.42;140.13;140.13;3770
20160119 095200;139.98;140.12;139.95;140.12;1800
20160119 095300;139.98;140.17;139.9301;140;3074
20160119 095400;139.98;139.98;139.92;139.98;400
20160119 095500;139.83;139.93;139.8;139.93;600
20160119 095600;140.1;140.1;140.1;140.1;400
20160119 095700;140.17;140.2;139.75;139.75;3700
20160119 095800;140.15;140.17;139.88;139.88;1207
20160119 095900;140.2;140.33;140.2;140.33;600
20160119 100000;140.3;140.3;140.285;140.285;800
20160119 100100;140.25;140.315;140.05;140.21;706
20160119 100200;140.4;140.55;140.17;140.26;1824
20160119 100300;140.165;140.165;140.165;140.165;200
20160119 100500;140.14;140.22;139.66;140;1800
20160119 100600;140.19;140.19;140.19;140.19;200
20160119 100700;140.06;140.06;139.9;139.995;1200
20160119 100800;139.9;140.23;139.9;140.185;2700
20160119 100900;140.14;140.15;139.81;139.81;2200
20160119 101000;139.7;139.7;139.475;139.475;728
20160119 101100;139.5;139.78;139.485;139.78;700
20160119 101400;139.3;139.48;139.3;139.48;500
20160119 101500;139.535;139.7099;139.24;139.24;1150
20160119 101600;139.4595;139.6;139.45;139.6;2000
20160119 101700;139.59;139.6899;139.59;139.67;1500
20160119 101800;139.645;139.685;139.55;139.64;1200
20160119 101900;139.57;139.685;139.46;139.46;5774
20160119 102000;139.475;139.56;139.475;139.56;400
20160119 102100;139.615;139.65;139.6;139.65;900
20160119 102200;139.8;139.8199;139.8;139.8199;400
20160119 102500;139.81;139.86;139.74;139.74;900
20160119 102600;139.86;139.89;139.86;139.89;300
20160119 102800;140.0471;140.0471;140.0471;140.0471;204
20160119 103000;140.11;140.11;140.11;140.11;100
20160119 103200;140.12;140.17;140.12;140.17;700
20160119 103400;139.94;139.98;139.875;139.98;400
20160119 103500;139.96;139.96;139.96;139.96;100
20160119 103600;139.96;139.96;139.96;139.96;100
20160119 103900;139.63;139.74;139.63;139.74;500
20160119 104000;139.76;139.76;139.59;139.605;400
20160119 104300;139.57;139.57;139.54;139.54;1500
20160119 104500;139.57;140.03;139.57;139.7897;6000
20160119 104600;140;140;139.74;139.99;1000
20160119 104700;139.96;140;139.71;139.775;1100
20160119 104800;139.725;139.725;139.69;139.69;500
20160119 104900;139.56;139.56;139.56;139.56;100
20160119 105000;139.7;139.775;139.7;139.775;885
20160119 105100;139.95;140.11;139.95;140.11;300
20160119 105200;140;140.125;139.96;140.12;2300
20160119 105300;139.96;139.96;139.45;139.54;1100
20160119 105400;139.57;139.68;139.4;139.415;2590
20160119 105500;139.555;139.7;139.34;139.5;2501
20160119 105600;139.41;139.41;139.26;139.285;600
20160119 105700;139.36;139.36;139.35;139.35;301
20160119 105800;139.47;139.625;139.34;139.625;1000
20160119 105900;139.61;139.61;139.61;139.61;100
20160119 110000;139.44;139.46;139.2;139.25;900
20160119 110100;139.305;139.305;139.305;139.305;100
20160119 110200;139.2099;139.41;139.2099;139.24;1300
20160119 110300;139.24;139.24;139.24;139.24;100
20160119 110500;139.28;139.28;139.21;139.21;859
20160119 110600;139.13;139.305;139.01;139.23;1100
20160119 110900;139.23;139.475;139.23;139.475;600
20160119 111100;139.68;139.68;139.26;139.26;585
20160119 111200;139.35;139.35;139.16;139.16;700
20160119 111700;139.46;139.46;139.46;139.46;100
20160119 111900;139.38;139.38;139.38;139.38;100
20160119 112200;139.4996;139.4996;139.4996;139.4996;109
20160119 112300;139.18;139.21;139.14;139.14;600
20160119 112500;139.14;139.14;139.14;139.14;100
20160119 112600;139.14;139.21;139.13;139.21;1000
20160119 112800;139.21;139.24;139.11;139.11;820
20160119 112900;139.21;139.21;139.21;139.21;300
20160119 113000;139.21;139.44;139.21;139.265;8696
20160119 113300;139.455;139.455;139.455;139.455;100
20160119 113400;139.435;139.45;139.15;139.15;500
20160119 113500;139.185;139.38;139.185;139.38;700
20160119 113800;139.33;139.36;139.33;139.36;500
20160119 113900;139.37;139.37;139.37;139.37;100
20160119 114100;139.44;139.44;139.44;139.44;100
20160119 114600;139.49;139.49;139.355;139.355;495
20160119 114800;139.26;139.375;139.26;139.315;800
20160119 114900;139.305;139.305;139.305;139.305;100
20160119 115000;139.31;139.31;139.31;139.31;200
20160119 115100;139.31;139.31;139.23;139.31;300
20160119 115200;139.36;139.435;139.36;139.435;500
20160119 115300;139.51;139.53;139.51;139.53;400
20160119 115400;139.515;139.515;139.44;139.46;1400
20160119 115500;139.46;139.46;139.46;139.46;200
20160119 115600;139.42;139.455;139.415;139.42;500
20160119 115700;139.34;139.6;139.34;139.51;6275
20160119 120200;139.55;139.55;139.53;139.53;400
