20160119 092300;12.66;12.66;12.66;12.66;700
20160119 093900;12.82;12.83;12.81;12.83;900
20160119 094100;12.81;12.81;12.81;12.81;100
20160119 094400;12.63;12.63;12.63;12.63;100
20160119 094600;12.64;12.64;12.64;12.64;100
20160119 095100;12.64;12.64;12.64;12.64;100
20160119 095600;12.7;12.7;12.7;12.7;100
20160119 100600;12.73;12.78;12.73;12.74;1600
20160119 100900;12.77;12.77;12.72;12.72;300
20160119 101600;12.74;12.74;12.74;12.74;100
20160119 101900;12.72;12.72;12.67;12.67;700
20160119 102600;12.74;12.81;12.74;12.81;500
20160119 102700;12.79;12.79;12.79;12.79;100
20160119 102900;12.8;12.8;12.8;12.8;200
20160119 103200;12.84;12.84;12.84;12.84;100
20160119 103500;12.83;12.83;12.78;12.78;1000
20160119 103600;12.76;12.76;12.76;12.76;100
20160119 103800;12.77;12.77;12.77;12.77;100
20160119 103900;12.769;12.77;12.755;12.76;1551
20160119 104000;12.77;12.77;12.71;12.71;500
20160119 104400;12.7;12.71;12.7;12.71;200
20160119 104900;12.71;12.71;12.71;12.71;450
20160119 105000;12.75;12.75;12.74;12.74;200
20160119 105100;12.77;12.77;12.77;12.77;400
20160119 105200;12.76;12.76;12.76;12.76;200
20160119 105300;12.75;12.75;12.75;12.75;100
20160119 105400;12.72;12.72;12.72;12.72;100
20160119 105500;12.6925;12.6925;12.6925;12.6925;146
20160119 105800;12.7;12.7;12.7;12.7;200
20160119 105900;12.69;12.69;12.69;12.69;100
20160119 110000;12.69;12.69;12.69;12.69;100
20160119 110200;12.7;12.7;12.69;12.69;400
20160119 110700;12.7;12.72;12.695;12.72;600
20160119 110900;12.72;12.72;12.7;12.7101;600
20160119 111100;12.68;12.68;12.665;12.665;300
20160119 111400;12.66;12.66;12.65;12.65;300
20160119 111500;12.65;12.65;12.65;12.65;100
20160119 111600;12.645;12.645;12.62;12.63;800
20160119 111700;12.62;12.62;12.62;12.62;100
20160119 111800;12.63;12.63;12.61;12.61;600
20160119 111900;12.59;12.59;12.59;12.59;300
20160119 112200;12.59;12.59;12.58;12.58;300
20160119 112400;12.58;12.58;12.58;12.58;100
20160119 112600;12.6;12.6;12.6;12.6;100
20160119 112700;12.61;12.61;12.61;12.61;300
20160119 113100;12.61;12.61;12.61;12.61;100
20160119 113400;12.62;12.63;12.615;12.63;600
20160119 113600;12.62;12.62;12.6;12.61;300
20160119 113700;12.59;12.59;12.59;12.59;100
20160119 114000;12.61;12.62;12.61;12.62;200
20160119 114300;12.6228;12.6228;12.6228;12.6228;261
20160119 114400;12.61;12.61;12.58;12.58;300
20160119 114500;12.59;12.59;12.59;12.59;400
20160119 114700;12.61;12.61;12.61;12.61;100
20160119 114800;12.6;12.6;12.6;12.6;100
20160119 115000;12.6;12.6;12.59;12.59;300
20160119 115100;12.58;12.58;12.58;12.58;100
20160119 115300;12.57;12.59;12.57;12.59;200
20160119 115700;12.61;12.67;12.605;12.67;700
20160119 115800;12.66;12.66;12.63;12.63;600
20160119 120300;12.62;12.62;12.62;12.62;100
20160119 120900;12.62;12.62;12.54;12.54;400
20160119 121000;12.56;12.59;12.55;12.55;600
20160119 121300;12.58;12.58;12.54;12.54;200
20160119 121400;12.54;12.54;12.54;12.54;100
20160119 121800;12.56;12.56;12.56;12.56;100
20160119 121900;12.56;12.56;12.54;12.54;300
20160119 122100;12.52;12.52;12.52;12.52;100
20160119 122400;12.51;12.51;12.51;12.51;100
20160119 122700;12.53;12.53;12.53;12.53;100
20160119 123000;12.51;12.51;12.51;12.51;100
20160119 123100;12.52;12.52;12.52;12.52;100
20160119 123200;12.52;12.52;12.52;12.52;100
20160119 123500;12.51;12.51;12.51;12.51;200
20160119 123700;12.52;12.52;12.52;12.52;100
20160119 123800;12.52;12.52;12.52;12.52;200
20160119 123900;12.52;12.5226;12.52;12.5226;200
20160119 124300;12.51;12.51;12.51;12.51;100
20160119 124500;12.525;12.525;12.525;12.525;100
20160119 124600;12.52;12.52;12.52;12.52;100
20160119 124700;12.54;12.54;12.53;12.53;900
20160119 124800;12.51;12.51;12.51;12.51;100
20160119 124900;12.51;12.52;12.505;12.505;600
20160119 125000;12.52;12.52;12.52;12.52;300
20160119 125300;12.51;12.51;12.51;12.51;100
20160119 125400;12.51;12.51;12.505;12.51;400
20160119 125900;12.53;12.53;12.52;12.52;500
20160119 130500;12.5;12.5;12.5;12.5;2741
20160119 130600;12.5;12.5;12.5;12.5;200
20160119 130700;12.5;12.5;12.5;12.5;1200
20160119 130800;12.51;12.5175;12.51;12.5175;800
20160119 130900;12.52;12.52;12.52;12.52;100
20160119 131300;12.58;12.58;12.58;12.58;100
20160119 131600;12.58;12.58;12.58;12.58;200
20160119 131700;12.56;12.56;12.5325;12.5325;400
20160119 131800;12.51;12.51;12.51;12.51;100
20160119 132000;12.54;12.55;12.52;12.52;500
20160119 132100;12.52;12.52;12.52;12.52;100
