20160119 050400;98;98;98;98;1320
20160119 050500;98;98;98;98;1060
20160119 050700;98;98;98;98;400
20160119 050800;98;98;98;98;1100
20160119 050900;98;98;98;98;120
20160119 062900;98.15;98.15;98.15;98.15;2
20160119 063200;98.22;98.22;98.22;98.22;100
20160119 064600;98.38;98.4;98.38;98.4;1098
20160119 064900;98.06;98.06;98;98.02;1000
20160119 065000;98.02;98.02;98.02;98.02;100
20160119 070800;98;98.25;98;98.25;200
20160119 071800;98.02;98.02;98;98;500
20160119 072000;98;98;98;98;100
20160119 074200;98.11;98.11;98.11;98.11;6
20160119 080100;98;98;98;98;100
20160119 080200;98.0001;98.0001;98;98;620
20160119 080900;98;98;98;98;100
20160119 081600;98;98;98;98;67
20160119 082300;97.64;97.75;97.63;97.63;195
20160119 083100;97.99;98;97.99;98;707
20160119 083300;98.11;98.11;98.09;98.09;300
20160119 084400;98.03;98.03;98;98;400
20160119 085300;98;98;98;98;3
20160119 085600;98;98;97;97;28450
20160119 090100;98;98;98;98;100
20160119 090400;97.98;97.98;97.98;97.98;176
20160119 091000;98;98;97.96;97.98;157
20160119 092300;97;97;97;97;600
20160119 092600;97.8;97.8;97.73;97.73;475
20160119 092900;97.95;97.95;97.95;97.95;100
20160119 093100;98.06;98.08;97.889;98;10649
20160119 093200;98.05;98.1897;98;98.1;268652
20160119 093300;98.07;98.4;98.07;98.3597;57072
20160119 093400;98.36;98.39;98.28;98.3897;16897
20160119 093500;98.366;98.41;98.23;98.38;68786
20160119 093600;98.36;98.4;98.33;98.37;39721
20160119 093700;98.38;98.39;98.26;98.28;23938
20160119 093800;98.28;98.37;98.24;98.34;35087
20160119 093900;98.33;98.39;98.305;98.305;31632
20160119 094000;98.305;98.305;98.205;98.21;32052
20160119 094100;98.2;98.23;98.06;98.12;56885
20160119 094200;98.13;98.14;97.9297;98.01;115861
20160119 094300;98.01;98.02;97.75;97.77;34962
20160119 094400;97.7579;97.79;97.69;97.79;38486
20160119 094500;97.775;97.85;97.69;97.745;22661
20160119 094600;97.75;97.76;97.54;97.555;43657
20160119 094700;97.55;97.57;97.4102;97.45;45165
20160119 094800;97.46;97.49;97.35;97.36;34231
20160119 094900;97.36;97.44;97.22;97.36;23195
