20160119 085600;25.74;25.74;25.74;25.74;3636
20160119 090700;26.1;26.1;26.1;26.1;1
20160119 091200;26.1;26.1;26.1;26.1;100
20160119 092300;25.74;25.74;25.74;25.74;300
20160119 092700;26.15;26.15;26.15;26.15;1500
20160119 092900;25.9;25.9;25.88;25.88;400
20160119 093000;26.1;26.1;25.77;25.77;1184
20160119 093100;25.52;25.83;25.52;25.76;9107
20160119 093200;25.76;25.82;25.76;25.82;6600
20160119 093300;25.82;25.82;25.73;25.73;9368
20160119 093400;25.71;25.74;25.65;25.675;5211
20160119 093500;25.69;25.72;25.67;25.67;11333
20160119 093600;25.67;25.7;25.56;25.57;18821
20160119 093700;25.58;25.59;25.53;25.53;22641
20160119 093800;25.56;25.61;25.55;25.58;9242
20160119 093900;25.59;25.61;25.58;25.6;10262
20160119 094000;25.59;25.6;25.58;25.59;43690
20160119 094100;25.58;25.62;25.57;25.57;24655
20160119 094200;25.58;25.6;25.56;25.6;19552
20160119 094300;25.6;25.68;25.6;25.62;8650
20160119 094400;25.63;25.63;25.58;25.59;11804
20160119 094500;25.59;25.62;25.58;25.59;9000
20160119 094600;25.59;25.66;25.59;25.66;10850
20160119 094700;25.67;25.67;25.6;25.615;6614
20160119 094800;25.605;25.63;25.59;25.62;32818
20160119 094900;25.63;25.66;25.62;25.65;28500
20160119 095000;25.65;25.65;25.61;25.635;24582
20160119 095100;25.63;25.635;25.5699;25.5699;10933
20160119 095200;25.57;25.59;25.56;25.56;10611
20160119 095300;25.56;25.58;25.55;25.58;6900
20160119 095400;25.58;25.62;25.58;25.62;10900
20160119 095500;25.62;25.64;25.62;25.63;6880
20160119 095600;25.63;25.63;25.62;25.62;5493
20160119 095700;25.61;25.65;25.6;25.65;12032
20160119 095800;25.65;25.67;25.64;25.65;19603
20160119 095900;25.65;25.68;25.65;25.68;12950
20160119 100000;25.68;25.7;25.67;25.69;6393
20160119 100100;25.69;25.7;25.67;25.69;8514
20160119 100200;25.7;25.71;25.67;25.68;18680
20160119 100300;25.67;25.68;25.645;25.65;10369
20160119 100400;25.65;25.67;25.63;25.645;19223
20160119 100500;25.64;25.66;25.625;25.65;10092
20160119 100600;25.66;25.72;25.66;25.72;5003
20160119 100700;25.72;25.72;25.71;25.71;2613
20160119 100800;25.7;25.74;25.7;25.74;3800
20160119 100900;25.72;25.73;25.7;25.7;2563
20160119 101000;25.69;25.71;25.67;25.67;3901
20160119 101100;25.67;25.695;25.67;25.68;4840
20160119 101200;25.68;25.7;25.68;25.68;3901
20160119 101300;25.69;25.71;25.69;25.69;6847
20160119 101400;25.68;25.7;25.68;25.69;8000
20160119 101500;25.69;25.69;25.66;25.66;7288
20160119 101600;25.655;25.67;25.64;25.66;12574
20160119 101700;25.67;25.69;25.66;25.67;5979
20160119 101800;25.67;25.68;25.66;25.66;4600
