20160119 095400;20.53;20.53;20.53;20.53;100
20160119 101700;20.85;20.85;20.85;20.85;100
20160119 101900;20.54;20.54;20.54;20.54;100
20160119 102000;20.8;20.8;20.49;20.49;300
20160119 102100;20.7;20.7;20.48;20.48;400
20160119 102800;20.55;20.55;20.5;20.5;700
20160119 102900;20.46;20.46;20.46;20.46;200
20160119 103000;20.43;20.43;20.39;20.39;400
20160119 104100;20.32;20.32;20.32;20.32;100
20160119 104200;20.36;20.36;20.35;20.35;500
20160119 105600;20.09;20.15;20.09;20.15;500
20160119 105800;20.09;20.11;20.09;20.11;598
20160119 105900;20.0999;20.11;20.09;20.11;500
20160119 110000;20.13;20.15;20.12;20.15;800
20160119 110200;20.19;20.19;20.19;20.19;500
20160119 110300;20.19;20.19;20.19;20.19;100
20160119 111200;20.29;20.29;20.16;20.16;900
20160119 111400;20.38;20.38;20.2;20.2;500
20160119 111500;20.21;20.2195;20.21;20.2195;200
20160119 111600;20.35;20.4599;20.21;20.4599;700
20160119 111900;20.25;20.26;20.25;20.25;400
20160119 113300;20.27;20.29;20.2601;20.29;1600
20160119 113400;20.29;20.29;20.29;20.29;100
20160119 114000;20.29;20.29;20.29;20.29;100
20160119 120500;20.27;20.27;20.27;20.27;300
20160119 121900;20.25;20.25;20.25;20.25;300
20160119 122500;20.28;20.28;20.28;20.28;100
20160119 130300;20.21;20.21;20.21;20.21;100
20160119 130400;20.2;20.2;20.2;20.2;100
20160119 131900;20.25;20.4699;20.25;20.4699;900
20160119 135400;20.25;20.25;20.25;20.25;100
20160119 135700;20.22;20.22;20.22;20.22;100
20160119 140100;20.15;20.15;20.15;20.15;100
20160119 141000;20.11;20.11;20.11;20.11;453
20160119 141600;20.1;20.1;20.1;20.1;100
20160119 141700;20.05;20.05;20.05;20.05;100
20160119 142000;19.741;19.741;19.741;19.741;825
20160119 144300;19.75;19.75;19.75;19.75;100
20160119 145700;19.5;19.5;19.5;19.5;100
20160119 153700;19.63;19.64;19.63;19.64;200
20160119 154000;19.62;19.62;19.62;19.62;100
20160119 155700;19.73;19.73;19.63;19.63;200
20160119 155800;19.61;19.61;19.61;19.61;100
20160119 155900;19.73;19.73;19.73;19.73;100
20160119 160000;19.72;19.72;19.69;19.69;1698
20160119 160100;19.69;19.69;19.69;19.69;663
20160119 170700;19.69;19.69;19.69;19.69;17
20160120 093400;19.53;19.75;19.53;19.53;600
20160120 093500;19.82;19.82;19.82;19.82;196
20160120 094000;19.58;19.58;19.58;19.58;100
20160120 095600;19.35;19.37;19.35;19.37;200
20160120 095700;19.3;19.3;19.3;19.3;100
20160120 100300;19.25;19.25;19.25;19.25;100
20160120 101600;19.31;19.31;19.31;19.31;100
