20160119 093100;9.24;9.24;9.216;9.216;3224
20160119 093200;9.2;9.2;9.2;9.2;100
20160119 093300;9.19;9.1999;9.18;9.1999;2900
20160119 093400;9.19;9.1964;9.19;9.1964;3750
20160119 093500;9.2;9.2;9.2;9.2;1500
20160119 093600;9.1949;9.1949;9.18;9.19;2145
20160119 093700;9.199;9.199;9.199;9.199;500
20160119 093800;9.1881;9.1881;9.18;9.18;2500
20160119 094000;9.18;9.18;9.18;9.18;200
20160119 094300;9.199;9.199;9.199;9.199;5000
20160119 094400;9.18;9.18;9.18;9.18;200
20160119 094800;9.1816;9.1816;9.1816;9.1816;185
20160119 094900;9.185;9.185;9.18;9.1808;1600
20160119 095000;9.19;9.19;9.19;9.19;1000
20160119 095200;9.18;9.18;9.17;9.17;2107
20160119 095400;9.154;9.156;9.15;9.15;1132
20160119 095700;9.1511;9.1544;9.15;9.1544;600
20160119 095900;9.1568;9.1568;9.1568;9.1568;1100
20160119 100000;9.1699;9.1699;9.167;9.167;1100
20160119 100100;9.1631;9.1631;9.1631;9.1631;150
20160119 100200;9.17;9.17;9.17;9.17;500
20160119 100800;9.1605;9.1605;9.1605;9.1605;5738
20160119 100900;9.1601;9.1601;9.1601;9.1601;5000
20160119 101000;9.17;9.17;9.17;9.17;100
20160119 101200;9.165;9.169;9.165;9.169;209
20160119 101600;9.1699;9.1699;9.1699;9.1699;1500
20160119 101700;9.17;9.17;9.1699;9.1699;3400
20160119 101800;9.166;9.166;9.166;9.166;1500
20160119 101900;9.1618;9.1618;9.1618;9.1618;1600
20160119 102000;9.1601;9.1601;9.1601;9.1601;8443
20160119 102200;9.17;9.17;9.17;9.17;400
20160119 102300;9.172;9.172;9.172;9.172;500
20160119 102500;9.17;9.17;9.1616;9.1616;1700
20160119 102800;9.17;9.17;9.16;9.161;500
20160119 102900;9.16;9.16;9.15;9.16;1000
20160119 103000;9.1503;9.1503;9.1503;9.1503;439
20160119 103200;9.156;9.156;9.156;9.156;1500
20160119 103300;9.1516;9.1516;9.1501;9.1501;1803
20160119 103400;9.1501;9.1501;9.1501;9.1501;1300
20160119 103500;9.15;9.15;9.15;9.15;200
20160119 103700;9.16;9.16;9.1558;9.16;690
20160119 103800;9.158;9.158;9.158;9.158;200
20160119 104000;9.1599;9.16;9.1599;9.16;578
20160119 104100;9.1558;9.1558;9.1558;9.1558;200
20160119 104300;9.1599;9.1599;9.157;9.157;2150
20160119 104700;9.155;9.155;9.155;9.155;700
20160119 104800;9.151;9.16;9.151;9.1585;5275
20160119 104900;9.16;9.16;9.16;9.16;367
20160119 105000;9.16;9.16;9.16;9.16;100
20160119 105100;9.163;9.163;9.163;9.163;555
20160119 105400;9.15;9.15;9.15;9.15;100
20160119 105900;9.1501;9.1501;9.1501;9.1501;2300
20160119 110000;9.162;9.162;9.162;9.162;1000
20160119 110400;9.15;9.15;9.15;9.15;668
20160119 110500;9.15;9.1501;9.15;9.1501;8000
20160119 111600;9.15;9.15;9.15;9.15;2000
20160119 111700;9.15;9.15;9.15;9.15;200
20160119 111800;9.1599;9.1599;9.1599;9.1599;180
20160119 112200;9.1535;9.155;9.15;9.155;994
20160119 112400;9.15;9.15;9.15;9.15;200
20160119 112600;9.15;9.155;9.15;9.155;300
20160119 112800;9.15;9.155;9.14;9.145;3634
20160119 113400;9.1499;9.1499;9.1499;9.1499;4875
20160119 113900;9.15;9.15;9.145;9.145;640
20160119 114000;9.145;9.15;9.145;9.15;1183
20160119 114100;9.145;9.1499;9.14;9.14;500
