20160119 065400;57.55;57.55;57.55;57.55;95
20160119 070000;57.57;57.57;57.57;57.57;100
20160119 070400;58.29;58.36;58.01;58.01;394
20160119 071600;58.04;58.04;58.02;58.02;10
20160119 074500;58.2;58.25;58.2;58.25;1000
20160119 075900;58.03;58.03;58.03;58.03;395
20160119 080000;58.03;58.03;58.01;58.01;500
20160119 080100;58.16;58.37;58;58;921
20160119 080500;58.16;58.16;58.16;58.16;1000
20160119 080600;58.1;58.16;58.1;58.16;2196
20160119 080700;58.12;58.12;58.1;58.1;200
20160119 080800;58.1;58.1;58.1;58.1;4
20160119 081000;57.9001;57.9001;57.9;57.9;250
20160119 081100;57.9;57.9;57.82;57.88;942
20160119 081500;58.0199;58.02;57.99;57.99;700
20160119 081600;57.9001;57.9001;57.9;57.9;208
20160119 081700;57.99;57.99;57.99;57.99;750
20160119 082700;57.9;57.9;57.9;57.9;25
20160119 083600;57.9;57.99;57.9;57.99;450
20160119 083700;57.99;57.99;57.99;57.99;500
20160119 084500;57.99;57.99;57.99;57.99;1000
20160119 084600;57.99;57.99;57.99;57.99;600
20160119 084900;57.92;57.92;57.92;57.92;2500
20160119 085000;57.99;57.99;57.99;57.99;100
20160119 085100;57.99;57.99;57.99;57.99;205
20160119 085300;57.99;57.99;57.99;57.99;300
20160119 085600;57.9;57.92;57.04;57.04;38961
20160119 085800;57.86;57.86;57.86;57.86;400
20160119 085900;57.86;57.86;57.86;57.86;1096
20160119 090000;57.9;57.94;57.9;57.94;267
20160119 090100;57.94;57.94;57.04;57.04;236
20160119 090200;57.94;57.94;57.94;57.94;4
20160119 090300;57.85;57.86;57.85;57.85;458
20160119 090400;57.8;57.8;57.75;57.78;1980
20160119 090500;57.78;57.78;57.78;57.78;50
20160119 090600;57.04;57.77;57.04;57.77;13364
20160119 090700;57.75;57.75;57.75;57.75;300
20160119 090900;57.79;57.79;57.79;57.79;200
20160119 091000;57.75;57.79;57.75;57.75;1224
20160119 091100;57.75;57.75;57.75;57.75;200
20160119 091300;57.78;57.78;57.78;57.78;72
20160119 091400;57.75;57.75;57.75;57.75;400
20160119 091500;57.78;57.78;57.78;57.78;200
