20160119 082000;34.6;34.6;34.45;34.45;125
20160119 082600;34.51;34.51;34.51;34.51;1000
20160119 082800;34.51;34.51;34.51;34.51;300
20160119 083500;34.51;34.51;34.51;34.51;50
20160119 084000;34.51;34.51;34.51;34.51;100
20160119 085300;34.51;34.51;34.51;34.51;277
20160119 085600;34.5;34.5;34.5;34.5;14
20160119 091300;34.51;34.51;34.51;34.51;500
20160119 091900;34.2;34.2;33.91;33.91;365
20160119 092300;33.85;33.85;33.85;33.85;900
20160119 092800;34.29;34.32;34.29;34.32;100
20160119 092900;34.32;34.62;34.32;34.62;125
20160119 093000;34.54;34.54;34.54;34.54;1
20160119 093100;34.5705;34.76;34.515;34.72;5599
20160119 093200;34.61;34.88;34.51;34.7;13024
20160119 093300;34.591;34.75;34.46;34.5;8304
20160119 093400;34.25;34.25;34.21;34.21;900
20160119 093500;34.2549;34.2549;33.89;33.95;7184
20160119 093600;33.95;34;33.7;33.7357;8325
20160119 093700;33.7585;33.7585;33.31;33.52;8600
20160119 093800;33.37;33.49;33.3;33.49;3900
20160119 093900;33.4042;33.56;33.4;33.55;6375
20160119 094000;33.42;33.529;33.3;33.32;2299
20160119 094100;33.3499;33.3499;33.04;33.04;3400
20160119 094200;33.05;33.106;32.848;32.848;21320
20160119 094300;33.01;33.34;32.93;33.16;5100
20160119 094400;33.25;33.25;33.03;33.03;1900
20160119 094500;33.18;33.46;33.115;33.46;1700
20160119 094600;33.39;33.54;33.385;33.48;4900
20160119 094700;33.42;33.45;33.25;33.25;2800
20160119 094800;33.12;33.17;33.02;33.02;2600
20160119 094900;33.03;33.048;32.9;32.9;4582
20160119 095000;32.9;33.11;32.9;33.09;3500
20160119 095100;33.09;33.12;32.89;32.8982;5651
20160119 095200;32.9999;33;32.91;33;1633
20160119 095300;32.88;32.9;32.7352;32.7868;5900
20160119 095400;32.76;32.95;32.75;32.95;5400
20160119 095500;33;33.1495;32.99;33.1495;2138
20160119 095600;33.1537;33.16;33.097;33.13;9300
20160119 095700;33.12;33.2799;33.12;33.19;6400
20160119 095800;33.199;33.37;33.19;33.37;9318
20160119 095900;33.37;33.53;33.35;33.53;500
20160119 100000;33.528;33.61;33.41;33.56;4700
20160119 100100;33.5;33.63;33.49;33.49;4020
20160119 100200;33.5893;33.7;33.49;33.66;4000
20160119 100300;33.72;33.88;33.66;33.671;11364
20160119 100400;33.66;33.74;33.63;33.74;12652
20160119 100500;33.669;33.86;33.669;33.85;2100
20160119 100600;33.89;34.13;33.85;34.13;6800
20160119 100700;34.199;34.199;34.02;34.15;11795
20160119 100800;34.14;34.34;34.06;34.19;17744
20160119 100900;34.125;34.19;34.08;34.1599;5400
20160119 101000;34.09;34.12;33.71;33.89;10427
20160119 101100;33.9499;33.9499;33.66;33.66;400
20160119 101200;33.75;33.8799;33.75;33.8799;1800
20160119 101300;33.85;33.88;33.78;33.86;5675
20160119 101400;33.89;33.97;33.86;33.97;1700
20160119 101500;33.99;34.0215;33.94;34;1450
20160119 101600;34.03;34.03;33.97;33.97;400
20160119 101700;34.005;34.36;34.005;34.36;8094
20160119 101800;34.32;34.4;34.32;34.355;1600
20160119 101900;34.33;34.34;34.0604;34.15;6700
20160119 102000;34.04;34.31;34.04;34.25;3513
20160119 102100;34.19;34.2043;34.19;34.2043;400
20160119 102200;34.2;34.23;34.02;34.06;3356
20160119 102300;34.01;34.04;33.65;33.74;12342
20160119 102400;33.8;33.82;33.77;33.7922;600
20160119 102500;33.83;33.89;33.79;33.89;4700
20160119 102600;33.9;34.05;33.9;34;2441
20160119 102700;34.06;34.06;33.91;33.91;1900
20160119 102800;33.91;33.91;33.77;33.88;1600
20160119 102900;33.88;33.93;33.88;33.88;2961
20160119 103000;33.89;33.97;33.89;33.93;3300
20160119 103100;33.995;34.0299;33.92;33.9352;3470
20160119 103200;34;34;33.93;33.93;8803
20160119 103300;33.99;34.01;33.93;33.94;5080
20160119 103400;33.98;33.98;33.924;33.98;5350
20160119 103500;33.9613;34.01;33.9101;33.99;4590
20160119 103600;33.972;33.972;33.83;33.83;3116
20160119 103700;33.84;33.87;33.777;33.81;3325
20160119 103800;33.84;33.84;33.72;33.74;2000
20160119 103900;33.764;33.77;33.66;33.68;2650
20160119 104000;33.625;33.65;33.52;33.57;2620
20160119 104100;33.57;33.59;33.52;33.59;2500
20160119 104200;33.59;33.6293;33.545;33.62;3200
20160119 104300;33.63;33.66;33.61;33.65;3687
20160119 104400;33.59;33.63;33.55;33.57;2100
20160119 104500;33.58;33.7799;33.58;33.7799;2162
20160119 104600;33.66;33.72;33.656;33.7;7300
20160119 104700;33.74;33.76;33.73;33.76;3960
20160119 104800;33.725;33.78;33.725;33.76;2200
20160119 104900;33.727;33.78;33.721;33.78;2250
20160119 105000;33.83;33.92;33.78;33.905;1150
20160119 105100;33.958;34.1146;33.958;34.03;2850
20160119 105200;33.96;34;33.806;33.806;1400
20160119 105300;33.81;33.85;33.81;33.84;800
20160119 105400;33.76;33.8;33.75;33.8;1000
20160119 105500;33.76;33.79;33.66;33.78;3219
20160119 105600;33.73;33.77;33.73;33.77;1100
20160119 105800;33.6901;33.75;33.6901;33.73;814
20160119 105900;33.69;33.75;33.65;33.71;2150
20160119 110000;33.59;33.66;33.552;33.59;3900
20160119 110100;33.61;33.72;33.58;33.71;2000
20160119 110200;33.71;33.71;33.53;33.53;1838
20160119 110300;33.62;33.62;33.55;33.55;1600
20160119 110400;33.5773;33.6323;33.5773;33.629;1750
20160119 110500;33.65;33.65;33.54;33.54;800
20160119 110600;33.5414;33.6;33.52;33.56;1877
20160119 110700;33.56;33.56;33.5;33.5599;2510
20160119 110800;33.57;33.59;33.525;33.525;700
20160119 110900;33.55;33.55;33.52;33.52;500
20160119 111000;33.51;33.56;33.5;33.55;1200
20160119 111100;33.55;33.55;33.44;33.44;2000
20160119 111200;33.5099;33.51;33.44;33.47;3680
20160119 111300;33.42;33.46;33.41;33.45;700
20160119 111400;33.4555;33.68;33.45;33.5468;3060
20160119 111500;33.56;33.56;33.4983;33.4983;800
20160119 111600;33.49;33.56;33.49;33.56;500
20160119 111700;33.54;33.58;33.54;33.55;750
20160119 111800;33.49;33.53;33.4;33.47;1500
20160119 111900;33.39;33.43;33.2;33.31;9007
20160119 112000;33.31;33.31;33.27;33.27;400
20160119 112100;33.3;33.35;33.27;33.31;2110
20160119 112200;33.27;33.4;33.27;33.4;1400
20160119 112300;33.4;33.4;33.24;33.29;1320
20160119 112400;33.2112;33.27;33.2;33.21;2500
20160119 112500;33.25;33.25;33.02;33.092;5680
20160119 112600;33.03;33.1;33.03;33.1;3700
20160119 112700;33.12;33.12;33.02;33.08;3709
20160119 112800;33.11;33.19;33.11;33.19;1600
20160119 112900;33.19;33.19;33.09;33.09;300
20160119 113000;33.1799;33.19;33.1;33.1;2050
20160119 113100;33.14;33.25;33.1;33.25;2100
20160119 113200;33.18;33.229;33.18;33.22;500
20160119 113300;33.171;33.171;33.16;33.16;500
20160119 113400;33.22;33.24;33.15;33.19;1100
20160119 113500;33.1;33.13;33.1;33.12;500
20160119 113600;33.1;33.1;33.08;33.08;700
20160119 113700;33.04;33.11;33.04;33.075;800
20160119 113800;33.06;33.06;33.06;33.06;100
20160119 113900;33.0388;33.17;32.92;33.17;7180
20160119 114000;33.178;33.2195;33.15;33.2195;700
20160119 114100;33.21;33.22;33.21;33.22;505
20160119 114200;33.195;33.195;33.195;33.195;100
20160119 114300;33.22;33.35;33.22;33.33;2190
20160119 114400;33.34;33.34;33.26;33.26;300
20160119 114600;33.23;33.302;33.23;33.29;1500
20160119 114700;33.23;33.24;33.22;33.23;1000
20160119 114800;33.23;33.27;33.17;33.25;9300
20160119 114900;33.25;33.26;33.14;33.17;3800
20160119 115000;33.16;33.21;32.95;32.95;11235
