20160119 090700;41.76;41.76;41.76;41.76;16
20160119 090800;41.76;41.76;41.76;41.76;1
20160119 092300;41.76;41.76;41.76;41.76;1200
20160119 093600;41.88;41.91;41.86;41.86;1247
20160119 093800;41.92;41.92;41.69;41.7;400
20160119 093900;41.895;41.898;41.895;41.898;200
20160119 094000;41.81;41.81;41.74;41.74;353
20160119 094800;41.66;41.66;41.66;41.66;390
20160119 095000;41.6;41.6;41.6;41.6;100
20160119 095100;41.6;41.6;41.6;41.6;100
20160119 095400;41.61;41.66;41.6;41.6;600
20160119 100100;41.63;41.89;41.63;41.88;2300
20160119 100200;41.82;41.855;41.8;41.8;1047
20160119 100400;41.78;41.805;41.74;41.75;2659
20160119 100500;41.74;41.74;41.74;41.74;100
20160119 100600;41.82;41.88;41.82;41.88;500
20160119 101000;41.86;41.9;41.75;41.75;3799
20160119 101100;41.75;41.75;41.75;41.75;217
20160119 101400;41.77;41.77;41.71;41.73;800
20160119 101600;41.8;41.82;41.8;41.82;706
20160119 101700;41.92;41.92;41.87;41.87;200
20160119 101800;41.865;41.92;41.865;41.92;1200
20160119 101900;41.895;41.895;41.8;41.895;1680
20160119 102000;41.89;41.89;41.89;41.89;100
20160119 102200;41.95;41.95;41.91;41.91;300
20160119 102500;41.95;41.96;41.95;41.96;600
20160119 102600;42;42.09;42;42.09;900
20160119 103000;42.13;42.13;42.115;42.115;200
20160119 103100;42.07;42.16;42.07;42.16;1100
20160119 103200;42.14;42.25;42.11;42.23;3608
20160119 103700;42.16;42.16;42.13;42.15;1200
20160119 103800;42.19;42.22;42.19;42.22;200
20160119 104000;42.14;42.14;42.1;42.13;1300
20160119 104100;42.12;42.12;42.12;42.12;200
20160119 104400;42.1158;42.1158;42.1158;42.1158;100
20160119 104500;42.12;42.17;42.12;42.16;910
20160119 104600;42.1899;42.1899;42.12;42.15;925
20160119 104800;42.15;42.15;42.15;42.15;100
20160119 105100;42.2;42.28;42.2;42.28;300
20160119 105200;42.23;42.23;42.14;42.14;2000
20160119 105400;42.14;42.14;42.08;42.08;300
20160119 105500;42.12;42.12;42.12;42.12;200
20160119 105600;42.09;42.17;42.09;42.1195;635
20160119 105700;42.09;42.13;42.09;42.13;400
20160119 105900;42.18;42.18;42.18;42.18;100
20160119 110000;42.12;42.16;42.1;42.1;1000
20160119 110100;42.13;42.18;42.13;42.18;750
20160119 110400;42.18;42.28;42.18;42.28;900
20160119 110800;42.24;42.27;42.22;42.27;1600
20160119 110900;42.29;42.29;42.29;42.29;100
20160119 111000;42.26;42.26;42.26;42.26;300
20160119 111100;42.26;42.26;42.24;42.26;1698
20160119 111200;42.265;42.265;42.23;42.23;443
20160119 111300;42.17;42.17;42.17;42.17;400
20160119 111400;42.14;42.2199;42.14;42.2199;494
