20160119 085600;70.67;70.67;70.67;70.67;2610
20160119 092300;70.67;70.67;70.67;70.67;1000
20160119 093200;71.1213;71.1213;71.02;71.05;1775
20160119 093300;71.03;71.03;71.03;71.03;100
20160119 093400;71.17;71.17;71.04;71.14;1700
20160119 093500;71.16;71.24;71.16;71.16;4006
20160119 093600;71.22;71.38;71.22;71.38;6459
20160119 093700;71.38;71.42;71.32;71.41;1121
20160119 093800;71.42;71.5;71.38;71.4;2787
20160119 093900;71.38;71.48;71.34;71.38;5550
20160119 094000;71.38;71.38;71.28;71.28;3212
20160119 094100;71.28;71.34;71.28;71.29;2900
20160119 094200;71.29;71.32;71.21;71.315;6916
20160119 094300;71.29;71.3;71.13;71.21;5610
20160119 094400;71.21;71.24;71.18;71.18;4300
20160119 094500;71.18;71.21;71.13;71.15;2850
20160119 094600;71.16;71.21;71.16;71.21;3540
20160119 094700;71.2199;71.2199;71.1896;71.2;1884
20160119 094800;71.18;71.18;71.06;71.11;2788
20160119 094900;71.11;71.12;70.99;71.04;2290
20160119 095000;71.04;71.09;71.04;71.07;900
20160119 095100;71.08;71.08;71.03;71.04;2962
20160119 095200;71.07;71.17;71.07;71.13;5846
20160119 095300;71.12;71.16;71.1;71.16;1348
20160119 095400;71.1799;71.22;71.16;71.18;5215
20160119 095500;71.18;71.21;71.13;71.15;4980
20160119 095600;71.155;71.18;71.15;71.15;900
20160119 095700;71.18;71.235;71.16;71.235;4758
20160119 095800;71.21;71.21;71.14;71.16;3485
20160119 095900;71.159;71.16;71.14;71.16;760
20160119 100000;71.15;71.17;71.115;71.115;600
20160119 100100;71.125;71.195;71.1;71.164;4779
20160119 100200;71.2;71.2;71.11;71.12;3364
20160119 100300;71.12;71.18;71.11;71.18;2001
20160119 100400;71.22;71.22;71.16;71.18;3401
20160119 100500;71.18;71.2;71.14;71.15;1501
20160119 100600;71.17;71.23;71.17;71.21;1600
20160119 100700;71.19;71.24;71.19;71.2;1992
20160119 100800;71.19;71.2;71.17;71.2;500
20160119 100900;71.18;71.24;71.18;71.2101;4725
20160119 101000;71.24;71.26;71.24;71.25;2304
20160119 101100;71.25;71.265;71.23;71.23;700
20160119 101200;71.26;71.27;71.21;71.22;1700
20160119 101300;71.25;71.25;71.22;71.24;1800
20160119 101400;71.23;71.23;71.2;71.22;401
20160119 101500;71.2;71.24;71.19;71.21;1700
20160119 101600;71.2;71.215;71.16;71.16;3471
20160119 101700;71.18;71.2;71.13;71.15;5108
20160119 101800;71.15;71.187;71.15;71.16;3130
20160119 101900;71.15;71.19;71.1301;71.19;2238
20160119 102000;71.19;71.21;71.17;71.19;900
20160119 102100;71.19;71.27;71.19;71.27;2775
20160119 102200;71.29;71.32;71.26;71.32;5305
20160119 102300;71.32;71.36;71.29;71.33;5200
20160119 102400;71.31;71.35;71.31;71.35;500
20160119 102500;71.35;71.4;71.3401;71.4;3681
20160119 102600;71.41;71.42;71.36;71.37;4000
20160119 102700;71.38;71.405;71.37;71.39;2667
20160119 102800;71.37;71.4;71.37;71.39;800
20160119 102900;71.41;71.46;71.41;71.44;3000
20160119 103000;71.44;71.48;71.44;71.44;1980
20160119 103100;71.46;71.47;71.43;71.45;3109
20160119 103200;71.46;71.466;71.4;71.44;2800
20160119 103300;71.52;71.53;71.46;71.48;7577
20160119 103400;71.474;71.51;71.47;71.47;900
20160119 103500;71.47;71.48;71.44;71.47;4261
20160119 103600;71.46;71.527;71.46;71.46;8300
20160119 103700;71.4699;71.47;71.4505;71.47;567
20160119 103800;71.45;71.477;71.45;71.477;800
20160119 103900;71.45;71.48;71.44;71.48;3225
20160119 104000;71.44;71.47;71.41;71.41;2600
20160119 104100;71.4;71.42;71.394;71.41;900
20160119 104200;71.42;71.44;71.415;71.44;1201
20160119 104300;71.44;71.44;71.43;71.44;1022
20160119 104400;71.4;71.41;71.4;71.41;601
20160119 104500;71.44;71.4799;71.43;71.43;2284
20160119 104600;71.41;71.41;71.39;71.39;2000
20160119 104700;71.38;71.41;71.37;71.4;1600
20160119 104800;71.41;71.432;71.4;71.4;1000
20160119 104900;71.43;71.45;71.41;71.41;1200
20160119 105000;71.41;71.46;71.41;71.46;800
20160119 105100;71.49;71.53;71.49;71.53;800
20160119 105200;71.49;71.49;71.46;71.46;1600
20160119 105300;71.46;71.47;71.417;71.4299;1550
20160119 105400;71.41;71.41;71.38;71.41;601
20160119 105500;71.37;71.37;71.35;71.3599;484
20160119 105600;71.36;71.3799;71.33;71.33;904
20160119 105700;71.35;71.4;71.35;71.4;600
20160119 105800;71.4;71.44;71.4;71.4;804
20160119 105900;71.4489;71.4489;71.4299;71.4299;400
20160119 110000;71.3904;71.42;71.39;71.42;1700
20160119 110100;71.43;71.48;71.41;71.41;2800
20160119 110200;71.39;71.44;71.39;71.43;1400
20160119 110300;71.4;71.46;71.4;71.46;1151
20160119 110400;71.45;71.51;71.44;71.48;3057
20160119 110500;71.47;71.47;71.4417;71.46;1316
20160119 110600;71.46;71.48;71.44;71.44;2633
20160119 110700;71.44;71.44;71.42;71.42;800
20160119 110800;71.41;71.41;71.33;71.33;1050
20160119 110900;71.32;71.42;71.32;71.42;2125
20160119 111000;71.42;71.45;71.42;71.45;800
20160119 111100;71.42;71.43;71.41;71.4101;1623
20160119 111200;71.45;71.45;71.4199;71.4199;484
20160119 111300;71.38;71.38;71.35;71.35;500
20160119 111400;71.37;71.4;71.36;71.36;2705
20160119 111500;71.35;71.38;71.35;71.36;901
20160119 111600;71.365;71.41;71.365;71.37;1100
20160119 111700;71.41;71.41;71.38;71.39;1100
20160119 111800;71.38;71.38;71.36;71.37;500
20160119 111900;71.37;71.4099;71.37;71.39;1084
20160119 112000;71.37;71.4;71.35;71.36;3100
20160119 112100;71.3512;71.3799;71.32;71.32;1844
20160119 112200;71.34;71.36;71.34;71.36;1700
20160119 112300;71.38;71.39;71.34;71.34;701
20160119 112400;71.335;71.335;71.31;71.32;900
20160119 112500;71.3;71.3046;71.28;71.29;1518
20160119 112600;71.3;71.38;71.3;71.35;1142
20160119 112700;71.38;71.38;71.36;71.38;384
20160119 112800;71.39;71.43;71.39;71.42;3637
20160119 112900;71.4299;71.4299;71.42;71.42;2670
20160119 113000;71.43;71.46;71.42;71.45;1801
20160119 113100;71.48;71.5;71.48;71.4999;1292
20160119 113200;71.48;71.5;71.47;71.49;2950
20160119 113300;71.5;71.5;71.4859;71.49;747
20160119 113400;71.51;71.55;71.51;71.55;2062
20160119 113500;71.56;71.56;71.24;71.285;43537
20160119 113600;71.3;71.39;71.3;71.35;3505
20160119 113700;71.39;71.4;71.39;71.4;500
20160119 113800;71.39;71.42;71.39;71.4;1200
20160119 113900;71.42;71.4699;71.42;71.4699;900
20160119 114000;71.46;71.53;71.46;71.53;1000
20160119 114100;71.5402;71.5402;71.49;71.5;3549
20160119 114200;71.47;71.48;71.47;71.48;918
20160119 114300;71.4916;71.51;71.48;71.48;1300
20160119 114400;71.49;71.54;71.49;71.52;1725
20160119 114500;71.53;71.53;71.46;71.46;2700
20160119 114600;71.49;71.53;71.47;71.47;3500
20160119 114700;71.4728;71.49;71.4728;71.48;930
20160119 114800;71.47;71.47;71.457;71.457;200
20160119 114900;71.48;71.49;71.46;71.46;1011
20160119 115000;71.46;71.46;71.43;71.43;2884
20160119 115100;71.43;71.44;71.39;71.41;2502
20160119 115200;71.41;71.45;71.41;71.43;2500
20160119 115300;71.4;71.41;71.38;71.39;800
20160119 115400;71.37;71.39;71.37;71.39;948
20160119 115500;71.37;71.38;71.34;71.36;900
20160119 115600;71.37;71.38;71.35;71.38;1501
20160119 115700;71.37;71.41;71.37;71.38;3963
20160119 115800;71.38;71.4099;71.37;71.39;1832
20160119 115900;71.4;71.419;71.35;71.38;3751
20160119 120000;71.36;71.36;71.36;71.36;211
20160119 120100;71.34;71.3599;71.33;71.33;441
