20160119 093400;35.76;35.76;35.76;35.76;200
20160119 093600;35.52;35.52;35.52;35.52;200
20160119 093700;35.52;35.52;35.52;35.52;100
20160119 093900;35.71;35.71;35.71;35.71;100
20160119 094000;35.74;35.74;35.39;35.39;200
20160119 094400;35.31;35.31;35.31;35.31;100
20160119 094700;35.68;35.68;35.68;35.68;100
20160119 095100;35.31;35.31;35.31;35.31;100
20160119 095500;35.42;35.42;35.42;35.42;400
20160119 095600;35.33;35.33;35.33;35.33;100
20160119 100500;35.31;35.31;35.31;35.31;100
20160119 101200;35.52;35.52;35.52;35.52;100
20160119 102200;35.5698;35.5698;35.5698;35.5698;130
20160119 102900;35.65;35.65;35.55;35.55;600
20160119 103600;35.57;35.57;35.57;35.57;100
20160119 103900;35.6;35.6;35.345;35.345;200
20160119 104000;35.32;35.32;35.32;35.32;100
20160119 104100;35.28;35.39;35.28;35.29;872
20160119 104600;35.34;35.34;35.34;35.34;200
20160119 104900;35.48;35.48;35.48;35.48;100
20160119 105100;35.5576;35.5576;35.53;35.53;253
20160119 105600;35.3035;35.3035;35.3035;35.3035;812
20160119 110400;35.4;35.4;35.31;35.31;300
20160119 110900;35.24;35.24;35.24;35.24;200
20160119 112000;35.22;35.22;35.22;35.22;100
20160119 114200;35.33;35.33;35.27;35.28;300
20160119 115700;35.36;35.51;35.34;35.34;500
20160119 115900;35.33;35.33;35.33;35.33;100
20160119 120500;35.185;35.185;35.185;35.185;239
20160119 121900;35.2;35.2;34.83;34.83;500
20160119 122900;34.97;34.97;34.94;34.94;200
20160119 123100;34.95;35.11;34.95;35.11;200
20160119 125100;35.06;35.06;35.06;35.06;100
20160119 130100;35.15;35.15;35.15;35.15;300
20160119 131000;35.19;35.19;35.19;35.19;100
20160119 131500;35.23;35.23;35.23;35.23;100
20160119 132300;35.21;35.21;35.2;35.2;200
20160119 133000;34.94;34.94;34.94;34.94;100
20160119 133100;35.035;35.035;34.955;34.955;234
20160119 133500;35;35;35;35;100
20160119 134000;35;35;34.92;34.92;200
20160119 134600;34.9;34.9;34.9;34.9;100
20160119 135000;34.96;34.96;34.74;34.74;300
20160119 135400;34.84;34.84;34.84;34.84;100
20160119 135500;34.67;34.67;34.67;34.67;100
20160119 140400;35.03;35.03;35.03;35.03;100
20160119 140500;34.94;34.94;34.88;34.88;200
20160119 141000;34.89;34.89;34.89;34.89;100
20160119 141300;34.93;34.93;34.93;34.93;100
20160119 141500;34.75;34.75;34.575;34.575;400
20160119 141700;34.61;34.61;34.61;34.61;100
20160119 141900;34.6921;34.6921;34.6921;34.6921;111
20160119 142000;34.78;34.78;34.78;34.78;250
20160119 142300;34.63;34.63;34.63;34.63;400
20160119 142500;34.62;34.62;34.62;34.62;100
20160119 142800;34.65;34.65;34.64;34.64;200
20160119 143500;34.76;34.76;34.76;34.76;100
20160119 143800;34.61;34.61;34.56;34.56;555
20160119 144500;34.27;34.27;34.27;34.27;100
20160119 145000;34.33;34.33;34.33;34.33;100
20160119 145500;34.35;34.35;34.35;34.35;200
20160119 145800;34.51;34.51;34.46;34.46;500
20160119 150300;34.455;34.58;34.455;34.58;200
20160119 150500;34.49;34.6;34.49;34.6;559
20160119 151200;34.53;34.53;34.53;34.53;100
20160119 151400;34.65;34.65;34.65;34.65;100
20160119 151500;34.53;34.53;34.53;34.53;100
20160119 151600;34.59;34.59;34.46;34.46;200
20160119 151700;34.58;34.61;34.48;34.61;400
20160119 152100;34.5;34.5;34.32;34.32;800
20160119 152200;34.44;34.44;34.44;34.44;100
20160119 152300;34.47;34.48;34.43;34.43;400
20160119 152400;34.48;34.61;34.42;34.42;864
20160119 152500;34.46;34.46;34.46;34.46;100
20160119 152600;34.61;34.61;34.61;34.61;100
20160119 152700;34.68;34.68;34.68;34.68;100
20160119 152800;34.73;34.88;34.73;34.88;200
20160119 153000;34.77;34.77;34.77;34.77;100
20160119 153100;34.79;34.79;34.79;34.79;500
20160119 153500;34.73;34.73;34.73;34.73;100
20160119 153800;34.74;34.74;34.69;34.69;400
20160119 154000;34.54;34.56;34.54;34.56;200
20160119 154100;34.58;34.58;34.49;34.49;700
20160119 154500;34.57;34.74;34.57;34.74;600
20160119 154800;34.75;34.76;34.75;34.76;200
20160119 155000;34.75;34.75;34.75;34.75;100
20160119 155400;34.75;34.77;34.75;34.77;300
20160119 155500;34.67;34.75;34.67;34.75;300
20160119 155600;34.68;34.68;34.68;34.68;100
20160119 155700;34.79;34.79;34.79;34.79;100
20160119 155800;34.68;34.68;34.68;34.68;100
20160119 155900;34.67;34.67;34.67;34.67;100
20160119 160000;34.63;34.68;34.6;34.66;900
20160119 160300;34.68;34.68;34.68;34.68;1443
20160120 094600;34.24;34.24;34.24;34.24;200
20160120 094700;34.14;34.14;34.14;34.14;202
20160120 094800;34.07;34.07;34.07;34.07;100
20160120 095000;34.16;34.16;34.1;34.15;500
20160120 095100;33.99;33.99;33.99;33.99;100
20160120 095200;34.14;34.14;34.14;34.14;100
20160120 095400;34.16;34.16;34.15;34.15;200
20160120 095800;34.04;34.04;34.04;34.04;200
20160120 095900;33.91;34.11;33.9;34.11;400
20160120 100400;34.25;34.25;34.25;34.25;100
20160120 100800;34.28;34.28;34.08;34.23;600
20160120 101300;34.1;34.1;33.94;33.965;700
20160120 101400;33.98;34.06;33.98;34.06;200
20160120 101700;34.09;34.1;34.09;34.1;300
20160120 101800;34.1;34.1;33.925;33.925;200
20160120 102000;34.06;34.06;34.06;34.06;100
20160120 102600;34.1;34.11;33.95;34.1;800
20160120 103000;34.07;34.08;33.99;34.08;400
20160120 103700;33.81;33.96;33.81;33.96;300
20160120 104600;33.88;33.88;33.88;33.88;100
20160120 105000;33.82;33.82;33.8;33.8;300
20160120 105700;33.73;33.73;33.73;33.73;100
20160120 110200;33.71;33.73;33.675;33.72;400
20160120 110300;33.86;33.87;33.65;33.87;300
20160120 110500;33.9;33.9;33.825;33.825;200
20160120 110900;33.99;33.99;33.99;33.99;100
20160120 111000;34.1;34.1;34.1;34.1;115
20160120 111300;34.02;34.02;34.02;34.02;100
20160120 111900;34.08;34.08;33.98;34.02;774
20160120 112300;34.0803;34.0803;34.0803;34.0803;100
20160120 112600;34.0903;34.0903;33.98;33.98;510
20160120 112700;34.13;34.13;34.01;34.02;500
20160120 112800;34.01;34.01;34.01;34.01;100
20160120 113400;34.03;34.03;34.03;34.03;100
20160120 113900;33.95;33.95;33.95;33.95;100
20160120 114500;33.9;33.9;33.9;33.9;100
20160120 115100;33.86;33.86;33.735;33.735;200
20160120 115400;33.92;33.92;33.71;33.71;200
20160120 115500;33.775;33.83;33.7703;33.7703;300
20160120 115900;33.76;33.85;33.76;33.85;200
20160120 120300;33.74;33.76;33.74;33.76;200
20160120 120700;33.71;33.71;33.71;33.71;100
20160120 121200;33.77;33.78;33.7;33.78;600
20160120 121300;33.77;33.82;33.65;33.65;1004
20160120 121400;33.62;33.83;33.62;33.83;200
20160120 121500;33.7;33.7;33.57;33.57;400
20160120 121700;33.69;33.69;33.51;33.51;200
20160120 121900;33.71;33.72;33.63;33.63;500
20160120 122100;33.725;33.725;33.725;33.725;100
20160120 122200;33.5801;33.5801;33.5801;33.5801;100
20160120 122500;33.54;33.54;33.54;33.54;100
20160120 122800;33.51;33.51;33.42;33.42;200
20160120 123400;33.52;33.52;33.52;33.52;100
20160120 124300;33.38;33.67;33.38;33.67;300
20160120 124400;33.49;33.49;33.49;33.49;100
20160120 124500;33.52;33.52;33.52;33.52;100
20160120 124900;33.57;33.57;33.47;33.47;200
20160120 125400;33.68;33.68;33.68;33.68;100
20160120 125500;33.79;33.79;33.79;33.79;100
20160120 125600;33.8;33.8;33.8;33.8;200
20160120 125700;33.79;33.87;33.79;33.84;500
20160120 125800;33.895;33.895;33.74;33.76;1500
20160120 130200;33.88;33.88;33.73;33.73;400
20160120 130300;33.65;33.65;33.65;33.65;100
20160120 130400;33.685;33.76;33.685;33.71;1400
20160120 130500;33.7;33.72;33.69;33.69;800
20160120 130600;33.67;33.73;33.67;33.68;400
20160120 130700;33.69;33.7;33.63;33.69;600
20160120 130800;33.71;33.73;33.67;33.7;600
20160120 130900;33.73;33.73;33.66;33.66;300
20160120 131000;33.81;33.81;33.81;33.81;100
20160120 131800;33.74;33.74;33.71;33.74;300
20160120 132500;33.81;33.81;33.81;33.81;100
20160120 133000;33.99;33.99;33.72;33.72;2700
20160120 133300;33.8;33.8;33.8;33.8;100
20160120 133700;33.92;33.92;33.92;33.92;100
20160120 133900;33.885;33.885;33.84;33.84;1090
20160120 134000;34.07;34.07;34.07;34.07;100
20160120 134700;34.21;34.21;34.21;34.21;100
20160120 140600;34.14;34.14;34.14;34.14;200
20160120 141300;34.41;34.42;34.18;34.42;600
20160120 143200;34.49;34.49;34.235;34.4;500
20160120 144700;34.5;34.5;34.5;34.5;100
20160120 145000;34.37;34.37;34.37;34.37;100
20160120 145200;34.53;34.53;34.53;34.53;100
20160120 145300;34.54;34.66;34.5;34.5;400
20160120 145700;34.7;34.7;34.7;34.7;190
20160120 150500;34.66;34.66;34.59;34.66;400
20160120 150700;34.72;34.73;34.72;34.73;300
20160120 150900;34.7657;34.7657;34.7657;34.7657;245
20160120 151800;34.98;34.98;34.98;34.98;100
20160120 151900;35.06;35.06;34.925;34.925;584
20160120 152300;35.11;35.11;35.06;35.06;300
20160120 152500;35.11;35.11;35.11;35.11;100
20160120 152900;35;35;35;35;100
20160120 153000;35;35;35;35;100
20160120 153100;35.04;35.13;34.93;34.93;1200
20160120 153400;35.02;35.02;35.02;35.02;200
20160120 153500;34.97;34.97;34.97;34.97;100
20160120 153700;35.02;35.02;35.02;35.02;100
20160120 153800;35.04;35.06;34.885;35.06;300
20160120 154200;35.1;35.1;34.675;35.01;5158
20160120 154300;35.11;35.11;34.91;34.99;2300
20160120 154400;35.02;35.1;35.005;35.005;400
20160120 154700;35;35;34.98;34.98;463
20160120 155000;34.825;34.96;34.825;34.96;200
20160120 155200;35;35;35;35;100
20160120 155500;35.085;35.17;35.085;35.17;200
20160120 155600;35.01;35.12;35;35.12;600
20160120 155800;35;35.1;35;35.1;300
20160120 155900;35.02;35.13;35.01;35.07;1599
20160120 160000;35.07;35.07;35.05;35.0599;300
20160121 090600;35.06;35.06;35.06;35.06;629
20160121 093500;35.08;35.08;35.08;35.08;200
20160121 093600;34.92;34.92;34.92;34.92;100
20160121 093900;35.03;35.03;35.03;35.03;100
20160121 095900;34.96;34.96;34.96;34.96;100
20160121 100700;35.05;35.15;34.89;35.15;400
20160121 100800;35.2;35.2;35.03;35.03;600
20160121 100900;34.96;35.01;34.78;34.78;400
20160121 101700;34.9043;34.9043;34.9043;34.9043;230
20160121 102900;34.99;34.99;34.99;34.99;100
20160121 103100;34.94;34.94;34.84;34.84;200
20160121 103200;34.95;34.95;34.95;34.95;100
20160121 104200;34.87;34.87;34.87;34.87;700
20160121 105000;34.95;34.95;34.615;34.615;300
20160121 105100;35.01;35.01;35;35;200
20160121 111000;35.095;35.095;35.095;35.095;100
20160121 111200;35.02;35.09;34.7;34.7;300
20160121 111900;34.9;34.9;34.9;34.9;100
20160121 112200;34.97;34.97;34.97;34.97;100
20160121 113100;34.7;34.7;34.7;34.7;100
20160121 113500;34.777;34.777;34.777;34.777;300
20160121 113700;34.77;34.77;34.77;34.77;100
20160121 113800;34.81;34.81;34.81;34.81;100
20160121 113900;34.9;34.9;34.86;34.86;200
20160121 115700;35.04;35.04;35.04;35.04;100
20160121 120200;35.2;35.2;35.16;35.16;200
20160121 120800;35.15;35.15;35.14;35.14;200
20160121 120900;35.14;35.14;35.14;35.14;100
20160121 122200;35.15;35.15;35.15;35.15;200
20160121 122500;35.15;35.15;35.1;35.1;300
20160121 123100;34.98;34.98;34.98;34.98;100
20160121 123700;35.12;35.12;34.96;35.06;300
20160121 124600;35.24;35.25;35.01;35.23;1100
20160121 124800;35.23;35.23;35.23;35.23;100
20160121 125500;35.09;35.21;35.09;35.21;1200
20160121 130100;35;35;35;35;100
20160121 131900;35;35.05;34.99;34.99;1400
20160121 132000;34.99;34.99;34.99;34.99;100
20160121 132700;34.82;34.82;34.82;34.82;100
20160121 133100;34.88;34.91;34.88;34.91;200
20160121 133500;34.76;34.77;34.75;34.75;405
20160121 133900;34.88;34.88;34.88;34.88;100
20160121 134900;35.11;35.13;35.11;35.13;200
20160121 135300;35.01;35.01;35.01;35.01;200
20160121 135400;34.82;34.92;34.82;34.86;1900
20160121 135500;34.87;34.87;34.87;34.87;1695
20160121 135700;34.9;34.9;34.9;34.9;100
20160121 140700;35.03;35.03;35.03;35.03;177
20160121 141200;34.84;34.84;34.655;34.655;200
20160121 142100;34.665;34.665;34.665;34.665;100
20160121 142700;34.58;34.58;34.58;34.58;100
20160121 142800;34.64;34.64;34.495;34.495;200
20160121 143000;34.55;34.55;34.55;34.55;100
20160121 143100;34.58;34.62;34.58;34.62;400
20160121 143800;34.73;34.73;34.66;34.66;200
20160121 144800;34.6;34.6;34.6;34.6;100
20160121 145200;34.68;34.68;34.68;34.68;200
20160121 145500;34.82;34.82;34.82;34.82;100
20160121 145700;34.86;34.94;34.86;34.94;200
20160121 150400;34.755;34.755;34.755;34.755;100
20160121 150600;34.78;34.78;34.61;34.61;300
20160121 151300;34.72;34.72;34.72;34.72;200
20160121 151900;34.69;34.7;34.69;34.7;200
20160121 152000;34.72;34.72;34.72;34.72;100
20160121 152900;34.71;34.71;34.71;34.71;100
20160121 153000;34.635;34.635;34.635;34.635;100
20160121 153300;34.8;34.81;34.8;34.81;200
20160121 154500;34.78;34.78;34.78;34.78;100
20160121 154600;34.77;34.77;34.77;34.77;200
20160121 154800;34.82;34.82;34.82;34.82;100
20160121 154900;34.82;34.82;34.82;34.82;156
20160121 155000;34.83;34.83;34.73;34.74;500
20160121 155300;34.74;34.74;34.73;34.74;300
20160121 155400;34.74;34.74;34.74;34.74;200
20160121 155700;34.75;34.75;34.73;34.75;627
20160121 155800;34.75;34.75;34.67;34.75;1092
20160121 155900;34.75;34.75;34.71;34.71;400
20160121 160000;34.71;34.72;34.61;34.61;900
20160121 160500;34.65;34.65;34.65;34.65;3300
20160122 094300;35.2;35.26;35.2;35.26;1500
20160122 095000;35.2;35.2;35.2;35.2;100
20160122 095100;35.45;35.45;35.45;35.45;100
20160122 095600;35.43;35.47;35.43;35.47;200
20160122 100900;35.42;35.42;35.42;35.42;400
20160122 101500;35.47;35.47;35.3991;35.3991;500
20160122 101700;35.4;35.4;35.4;35.4;100
20160122 101900;35.38;35.38;35.38;35.38;100
20160122 103700;35.19;35.19;35.14;35.14;300
20160122 104200;35;35;35;35;100
20160122 104600;35.01;35.01;35.01;35.01;100
20160122 105700;34.59;34.615;34.59;34.615;200
20160122 111200;34.59;34.59;34.59;34.59;100
20160122 112200;34.7;34.7;34.7;34.7;100
20160122 112700;34.67;34.67;34.67;34.67;100
20160122 113200;34.84;34.84;34.84;34.84;100
20160122 113500;34.71;34.71;34.71;34.71;100
20160122 113700;34.79;34.79;34.78;34.78;300
20160122 114000;34.59;34.59;34.59;34.59;100
20160122 114300;34.59;34.59;34.59;34.59;100
20160122 115400;34.66;34.66;34.66;34.66;100
20160122 115800;34.69;34.69;34.69;34.69;200
20160122 120400;34.6;34.6;34.6;34.6;100
20160122 120700;34.7;34.7;34.7;34.7;100
20160122 123100;35.02;35.02;35.02;35.02;100
20160122 123900;34.9535;34.9535;34.9535;34.9535;103
20160122 124000;34.84;34.84;34.84;34.84;100
20160122 124700;34.82;34.82;34.82;34.82;100
20160122 124800;34.78;34.78;34.78;34.78;100
20160122 125200;34.78;34.78;34.78;34.78;100
20160122 130700;34.77;34.8;34.53;34.53;1300
20160122 131000;34.48;34.48;34.37;34.37;200
20160122 131300;34.4896;34.4896;34.4896;34.4896;300
20160122 132800;34.571;34.571;34.4;34.4;300
20160122 134800;34.842;34.842;34.82;34.82;675
20160122 135300;35;35;34.85;34.85;200
20160122 140400;35.07;35.07;35.07;35.07;100
20160122 140600;34.89;34.89;34.89;34.89;100
20160122 140700;34.87;34.87;34.86;34.86;487
20160122 141900;34.9;34.9;34.9;34.9;100
20160122 142500;34.84;34.84;34.84;34.84;100
20160122 143000;34.73;34.73;34.73;34.73;200
20160122 143100;34.62;34.62;34.62;34.62;100
20160122 143300;34.63;34.63;34.63;34.63;100
20160122 143500;34.76;34.76;34.76;34.76;100
