20160119 091600;76.69;76.69;76.69;76.69;1
20160119 093200;77.21;77.21;77.21;77.21;600
20160119 093300;77.26;77.51;77.26;77.51;200
20160119 094000;77.11;77.11;76.84;76.84;300
20160119 094100;76.8;76.8;76.8;76.8;300
20160119 094200;76.77;76.97;76.75;76.97;1100
20160119 094400;76.89;77.04;76.8;77.04;1700
20160119 094600;76.95;77.11;76.94;77.11;400
20160119 095100;76.76;76.99;76.73;76.89;1000
20160119 095200;76.96;76.96;76.96;76.96;100
20160119 095300;76.89;76.97;76.89;76.97;300
20160119 095900;76.97;77.14;76.89;77.14;600
20160119 100000;77.18;77.18;77.18;77.18;100
20160119 100300;77.23;77.23;77.06;77.06;1500
20160119 100400;77.11;77.11;77.03;77.03;200
20160119 100500;77.02;77.02;77.02;77.02;100
20160119 100600;77.11;77.11;77.11;77.11;100
20160119 100700;77.12;77.12;77.12;77.12;100
20160119 100900;77.11;77.11;77.02;77.11;600
20160119 101000;77.09;77.09;77.09;77.09;100
20160119 101700;77.03;77.11;77.03;77.11;600
20160119 102500;76.9;77.005;76.9;77.005;200
20160119 102700;76.86;77.1;76.86;77.1;300
20160119 103000;77.1;77.1;77.1;77.1;100
20160119 103200;77.15;77.15;77.11;77.11;400
20160119 103400;77.11;77.11;77.11;77.11;100
20160119 103500;77.07;77.11;77.06;77.11;500
20160119 103900;76.86;77.09;76.86;77.09;300
20160119 104200;77;77;77;77;200
20160119 104300;76.72;76.96;76.72;76.96;300
20160119 104800;76.89;77.06;76.89;77.06;700
20160119 105000;77.01;77.15;77.01;77.15;400
20160119 105500;76.82;77;76.74;77;700
20160119 105600;76.75;76.86;76.75;76.86;225
20160119 105700;76.75;76.75;76.75;76.75;100
20160119 110100;76.76;76.76;76.69;76.69;500
20160119 110900;76.695;76.86;76.695;76.86;300
20160119 111100;76.91;76.91;76.91;76.91;100
20160119 111200;76.7;76.89;76.67;76.89;700
20160119 111300;76.67;76.87;76.67;76.87;200
20160119 111500;76.62;76.735;76.62;76.735;200
20160119 111800;76.62;76.62;76.59;76.59;200
20160119 112300;76.58;76.76;76.58;76.76;800
20160119 112800;76.7;76.84;76.5;76.5;1200
20160119 112900;76.5;76.78;76.5;76.78;300
20160119 113100;76.645;76.645;76.645;76.645;100
20160119 113600;76.59;76.59;76.59;76.59;100
20160119 114100;76.61;76.72;76.61;76.72;800
20160119 114200;76.61;76.61;76.57;76.57;200
20160119 114500;76.47;76.47;76.47;76.47;100
20160119 114800;76.68;76.68;76.68;76.68;100
20160119 115000;76.7;76.72;76.7;76.72;200
20160119 115200;76.48;76.58;76.48;76.48;800
20160119 115300;76.47;76.59;76.47;76.59;1600
20160119 115400;76.65;76.71;76.65;76.65;800
20160119 115500;76.83;76.83;76.63;76.63;2000
20160119 115600;76.63;76.63;76.6;76.6;500
20160119 115700;76.6;76.7;76.6;76.69;1700
20160119 115800;76.58;76.64;76.54;76.54;700
20160119 115900;76.51;76.51;76.51;76.51;1000
20160119 120000;76.57;76.66;76.57;76.65;1300
20160119 120100;76.58;76.6899;76.58;76.6899;1200
20160119 120200;76.69;76.69;76.69;76.69;100
20160119 120300;76.69;76.69;76.69;76.69;100
20160119 120400;76.77;76.77;76.77;76.77;100
20160119 121000;76.64;76.64;76.64;76.64;100
20160119 121100;76.64;76.64;76.64;76.64;100
20160119 121400;76.75;76.76;76.75;76.76;200
20160119 121500;76.65;76.65;76.65;76.65;100
20160119 121900;76.55;76.55;76.54;76.54;200
20160119 122200;76.63;76.63;76.63;76.63;100
20160119 122400;76.6;76.61;76.6;76.61;370
20160119 124200;76.64;76.64;76.64;76.64;100
20160119 124400;76.505;76.63;76.5;76.63;600
20160119 124600;76.68;76.68;76.68;76.68;100
20160119 124900;76.53;76.53;76.52;76.52;200
20160119 125300;76.63;76.63;76.63;76.63;100
20160119 125400;76.53;76.53;76.52;76.52;500
20160119 125500;76.59;76.59;76.59;76.59;100
20160119 125800;76.59;76.59;76.5;76.5;300
20160119 125900;76.51;76.565;76.51;76.565;282
20160119 130700;76.49;76.49;76.47;76.47;400
20160119 130800;76.44;76.44;76.44;76.44;100
20160119 130900;76.55;76.55;76.55;76.55;100
20160119 131800;76.44;76.44;76.44;76.44;100
20160119 132000;76.5;76.51;76.5;76.51;400
20160119 132100;76.55;76.55;76.55;76.55;100
20160119 132300;76.685;76.685;76.685;76.685;100
20160119 132900;76.57;76.57;76.57;76.57;100
20160119 134100;76.34;76.48;76.34;76.48;200
20160119 134200;76.41;76.41;76.41;76.41;150
20160119 134300;76.4;76.4;76.4;76.4;100
20160119 134500;76.34;76.34;76.32;76.32;200
20160119 135100;76.41;76.41;76.41;76.41;100
20160119 135200;76.37;76.37;76.36;76.36;200
20160119 135300;76.39;76.39;76.39;76.39;100
20160119 135400;76.4;76.4;76.29;76.29;1008
20160119 135800;76.36;76.36;76.36;76.36;100
20160119 140600;76.29;76.29;76.29;76.29;100
20160119 140700;76.27;76.305;76.27;76.28;600
20160119 140800;76.23;76.23;76.22;76.22;492
20160119 141400;76.08;76.08;76.08;76.08;100
20160119 141500;76.05;76.05;76.05;76.05;200
20160119 141700;76;76;76;76;100
20160119 142300;76;76.02;76;76.02;200
20160119 143100;76.055;76.1;76.02;76.06;800
20160119 143500;76.02;76.02;76.02;76.02;300
20160119 143700;75.94;75.94;75.9;75.9;800
20160119 143800;75.87;75.87;75.83;75.83;200
20160119 143900;75.79;75.79;75.79;75.79;100
20160119 144200;75.79;75.79;75.79;75.79;200
20160119 144500;75.69;75.69;75.65;75.66;600
20160119 144600;75.57;75.68;75.57;75.68;740
20160119 144700;75.56;75.56;75.56;75.56;100
20160119 144800;75.6575;75.695;75.65;75.695;700
20160119 144900;75.6;75.6;75.57;75.57;200
20160119 145000;75.6326;75.65;75.6326;75.65;332
20160119 145100;75.56;75.56;75.56;75.56;200
20160119 145300;75.61;75.7;75.61;75.61;900
20160119 145900;75.735;75.745;75.67;75.73;710
20160119 150300;75.78;75.985;75.78;75.985;1337
20160119 150400;75.91;75.91;75.91;75.91;200
20160119 150700;75.96;75.96;75.96;75.96;110
20160119 150900;75.96;75.96;75.95;75.95;700
20160119 151000;75.9;76;75.9;75.995;1000
20160119 151100;76;76;76;76;400
20160119 151300;75.99;75.99;75.99;75.99;300
20160119 151800;75.91;75.91;75.91;75.91;100
20160119 151900;75.97;76.08;75.97;76.08;500
20160119 152000;76.055;76.055;76.055;76.055;100
20160119 152100;76.04;76.04;76.04;76.04;100
20160119 152200;76.04;76.04;76.04;76.04;200
20160119 152400;76.1136;76.1136;76.11;76.11;310
20160119 152500;76.1;76.13;76.1;76.12;700
20160119 152700;76.13;76.25;76.13;76.25;500
20160119 152800;76.26;76.26;76.24;76.24;300
20160119 152900;76.24;76.26;76.24;76.24;300
20160119 153000;76.25;76.25;76.25;76.25;100
20160119 153100;76.39;76.44;76.39;76.44;400
20160119 153500;76.37;76.43;76.37;76.43;200
20160119 153600;76.38;76.41;76.38;76.41;300
20160119 153800;76.35;76.35;76.33;76.33;300
20160119 153900;76.37;76.37;76.37;76.37;100
20160119 154000;76.37;76.38;76.37;76.38;200
20160119 154100;76.37;76.4;76.37;76.4;500
20160119 154200;76.43;76.43;76.43;76.43;100
20160119 154300;76.51;76.51;76.51;76.51;100
20160119 154500;76.49;76.49;76.47;76.48;1000
