20160119 084600;16.3;16.3;16.3;16.3;10
20160119 090700;16.1;16.1;16.1;16.1;8
20160119 093200;16.36;16.37;16.35;16.37;1306
20160119 093300;16.365;16.365;16.26;16.28;5673
20160119 093400;16.27;16.28;16.16;16.17;5127
20160119 093500;16.16;16.21;16.16;16.19;1000
20160119 093600;16.17;16.17;16.02;16.1199;8355
20160119 093700;16.08;16.1;15.97;15.97;12700
20160119 093800;15.93;16.05;15.93;16.02;4599
20160119 093900;16.035;16.14;15.97;16.06;13180
20160119 094000;16.06;16.07;16;16;6543
20160119 094100;15.97;15.97;15.93;15.97;2700
20160119 094200;15.96;15.97;15.9;15.9;11799
20160119 094300;15.93;15.96;15.9;15.93;8800
20160119 094400;15.91;15.91;15.8;15.83;3599
20160119 094500;15.84;15.9;15.84;15.86;5620
20160119 094600;15.88;15.94;15.88;15.93;1893
20160119 094700;15.92;15.92;15.86;15.86;5388
20160119 094800;15.86;15.87;15.81;15.82;10600
20160119 094900;15.82;15.8256;15.77;15.78;20880
20160119 095000;15.79;15.8;15.79;15.8;4900
20160119 095100;15.79;15.795;15.71;15.71;6235
20160119 095200;15.71;15.76;15.7;15.71;14697
20160119 095300;15.7;15.73;15.7;15.72;2100
20160119 095400;15.72;15.81;15.71;15.81;10456
20160119 095500;15.8;15.85;15.795;15.82;11400
20160119 095600;15.82;15.85;15.82;15.85;900
20160119 095700;15.845;15.845;15.822;15.84;10900
20160119 095800;15.855;15.9055;15.855;15.9;1500
20160119 095900;15.9;15.91;15.9;15.9;1700
20160119 100000;15.91;15.96;15.9;15.96;2200
20160119 100100;15.95;15.955;15.9;15.91;21698
20160119 100200;15.93;15.94;15.91;15.92;3900
20160119 100300;15.93;15.93;15.9;15.905;4600
20160119 100400;15.9;15.9;15.89;15.89;3100
20160119 100500;15.89;15.9;15.89;15.89;5054
20160119 100600;15.915;16.01;15.915;16.01;11450
20160119 100700;16.01;16.02;16;16;3200
20160119 100800;16.02;16.05;16.02;16.04;4400
20160119 100900;16.03;16.04;15.985;15.985;16600
20160119 101000;15.99;15.99;15.93;15.93;2400
20160119 101100;15.95;15.95;15.915;15.915;2428
