20160119 080200;14.78;14.78;14.78;14.78;509
20160119 090700;14.65;14.65;14.65;14.65;26
20160119 093100;14.75;14.75;14.65;14.75;20157
20160119 093200;14.75;14.8;14.75;14.77;3163
20160119 093300;14.7;14.7;14.69;14.69;300
20160119 093400;14.69;14.69;14.69;14.69;100
20160119 093500;14.62;14.67;14.62;14.67;200
20160119 093600;14.66;14.67;14.56;14.57;1400
20160119 093700;14.51;14.53;14.48;14.53;704
20160119 093800;14.52;14.52;14.42;14.42;3796
20160119 093900;14.43;14.47;14.39;14.42;6057
20160119 094000;14.4;14.465;14.4;14.465;730
20160119 094100;14.41;14.41;14.41;14.41;500
20160119 094200;14.41;14.41;14.41;14.41;500
20160119 094300;14.47;14.48;14.42;14.48;500
20160119 094400;14.43;14.44;14.42;14.44;2700
20160119 094500;14.43;14.48;14.41;14.445;12600
20160119 094600;14.44;14.48;14.44;14.465;3620
20160119 094700;14.4725;14.48;14.45;14.46;8661
20160119 094800;14.45;14.47;14.45;14.45;5300
20160119 094900;14.46;14.48;14.45;14.47;4200
20160119 095000;14.45;14.5;14.44;14.49;3500
20160119 095100;14.48;14.49;14.36;14.4;8563
20160119 095200;14.4;14.41;14.37;14.37;3202
20160119 095300;14.4;14.4;14.37;14.37;1200
20160119 095400;14.4;14.48;14.39;14.45;4729
20160119 095500;14.47;14.4774;14.44;14.44;3235
20160119 095600;14.45;14.5;14.44;14.48;1345
20160119 095700;14.47;14.48;14.46;14.48;3200
20160119 095800;14.48;14.5;14.48;14.48;1387
20160119 095900;14.5;14.5;14.5;14.5;900
20160119 100000;14.5;14.5;14.5;14.5;100
20160119 100100;14.52;14.55;14.51;14.53;3734
20160119 100200;14.56;14.56;14.54;14.54;500
20160119 100300;14.53;14.53;14.5;14.5;4325
20160119 100400;14.49;14.49;14.48;14.49;1090
20160119 100500;14.48;14.48;14.47;14.47;400
20160119 100600;14.48;14.53;14.48;14.51;2478
20160119 100700;14.51;14.53;14.51;14.52;3440
20160119 100800;14.52;14.54;14.51;14.54;9625
20160119 100900;14.51;14.53;14.47;14.47;6449
20160119 101000;14.47;14.47;14.47;14.47;1015
20160119 101100;14.48;14.48;14.44;14.45;5700
20160119 101200;14.43;14.465;14.43;14.465;2500
20160119 101300;14.45;14.45;14.45;14.45;200
20160119 101400;14.441;14.46;14.44;14.46;3217
20160119 101500;14.46;14.465;14.45;14.45;2700
20160119 101600;14.45;14.47;14.45;14.47;1300
20160119 101700;14.48;14.515;14.47;14.49;3700
20160119 101800;14.5;14.5;14.5;14.5;300
20160119 101900;14.49;14.49;14.47;14.47;832
20160119 102000;14.48;14.49;14.48;14.485;2500
20160119 102100;14.48;14.5;14.48;14.49;2210
20160119 102200;14.5;14.5;14.46;14.46;900
20160119 102300;14.47;14.47;14.45;14.45;2400
20160119 102400;14.45;14.46;14.445;14.46;1500
20160119 102500;14.45;14.47;14.44;14.46;3725
20160119 102600;14.46;14.48;14.46;14.48;2054
20160119 102700;14.48;14.51;14.48;14.5;3800
20160119 102800;14.51;14.51;14.47;14.49;20440
20160119 102900;14.47;14.52;14.47;14.51;5700
20160119 103000;14.5;14.53;14.49;14.53;1100
20160119 103100;14.51;14.53;14.51;14.53;1200
20160119 103200;14.53;14.535;14.5;14.52;9347
20160119 103300;14.515;14.515;14.51;14.51;3666
20160119 103400;14.51;14.52;14.51;14.515;2206
20160119 103500;14.51;14.51;14.48;14.48;2400
20160119 103600;14.48;14.49;14.48;14.48;5101
20160119 103700;14.47;14.475;14.47;14.47;800
20160119 103800;14.46;14.465;14.455;14.455;1400
20160119 103900;14.45;14.45;14.43;14.45;11560
20160119 104000;14.45;14.45;14.42;14.42;3768
20160119 104100;14.415;14.42;14.4;14.405;4905
20160119 104200;14.4;14.405;14.39;14.39;4297
20160119 104300;14.4;14.4;14.38;14.38;2300
20160119 104400;14.38;14.39;14.38;14.39;6595
20160119 104500;14.4;14.41;14.39;14.39;1384
20160119 104600;14.39;14.395;14.38;14.39;1500
20160119 104700;14.39;14.39;14.39;14.39;400
20160119 104800;14.39;14.4;14.38;14.4;5450
20160119 104900;14.41;14.43;14.41;14.43;4464
20160119 105000;14.43;14.45;14.43;14.45;1500
20160119 105100;14.45;14.46;14.44;14.45;4105
20160119 105200;14.44;14.445;14.42;14.42;2200
20160119 105300;14.42;14.42;14.4;14.4;1400
20160119 105400;14.4;14.41;14.39;14.4;2368
20160119 105500;14.4;14.4;14.39;14.4;2900
20160119 105600;14.395;14.395;14.38;14.38;2600
20160119 105800;14.39;14.4;14.39;14.39;2900
20160119 105900;14.39;14.415;14.39;14.41;6806
20160119 110000;14.41;14.41;14.39;14.39;2500
20160119 110100;14.385;14.415;14.385;14.4;3581
20160119 110200;14.4;14.4;14.395;14.4;1504
20160119 110300;14.4;14.41;14.397;14.4;5950
20160119 110400;14.4;14.43;14.4;14.42;1700
20160119 110500;14.41;14.42;14.41;14.42;1900
20160119 110600;14.41;14.41;14.4;14.4;1100
20160119 110700;14.405;14.405;14.4;14.4;800
20160119 110900;14.39;14.395;14.38;14.395;3700
20160119 111000;14.4;14.41;14.4;14.4;4961
20160119 111100;14.39;14.4;14.39;14.4;1600
20160119 111200;14.38;14.39;14.38;14.38;1502
20160119 111300;14.38;14.38;14.37;14.37;1400
20160119 111400;14.37;14.39;14.37;14.39;1420
20160119 111500;14.384;14.384;14.384;14.384;100
20160119 111600;14.38;14.4;14.38;14.39;2000
20160119 111700;14.4;14.405;14.4;14.405;1600
20160119 111800;14.39;14.39;14.39;14.39;515
20160119 111900;14.39;14.39;14.385;14.385;800
20160119 112000;14.38;14.385;14.35;14.35;2800
20160119 112100;14.36;14.37;14.36;14.37;2110
20160119 112200;14.37;14.37;14.37;14.37;1500
20160119 112300;14.38;14.38;14.37;14.37;1100
20160119 112400;14.37;14.37;14.36;14.36;400
20160119 112500;14.36;14.365;14.36;14.36;2200
20160119 112600;14.37;14.39;14.37;14.39;1200
20160119 112700;14.39;14.4;14.39;14.4;700
20160119 112800;14.4;14.44;14.4;14.44;2500
20160119 112900;14.42;14.43;14.41;14.43;4600
20160119 113000;14.43;14.45;14.43;14.45;7306
20160119 113100;14.44;14.47;14.44;14.47;4822
20160119 113200;14.465;14.47;14.465;14.47;400
20160119 113300;14.47;14.49;14.47;14.49;2700
20160119 113400;14.49;14.51;14.48;14.48;3400
20160119 113600;14.47;14.47;14.46;14.465;2300
20160119 113700;14.46;14.48;14.46;14.48;3925
20160119 113800;14.48;14.48;14.48;14.48;2400
20160119 113900;14.48;14.48;14.48;14.48;841
20160119 114000;14.49;14.5;14.49;14.495;1978
20160119 114100;14.49;14.49;14.49;14.49;1600
