20160119 080500;15.62;15.62;15.62;15.62;144
20160119 093600;15.57;15.63;15.57;15.62;800
20160119 093700;15.55;15.55;15.55;15.55;100
20160119 093800;15.52;15.56;15.52;15.56;300
20160119 093900;15.56;15.56;15.51;15.56;400
20160119 094000;15.52;15.52;15.51;15.51;500
20160119 094100;15.51;15.55;15.464;15.55;1500
20160119 094200;15.52;15.5294;15.48;15.5294;900
20160119 094400;15.49;15.49;15.49;15.49;100
20160119 094600;15.5;15.5;15.5;15.5;100
20160119 094700;15.53;15.53;15.53;15.53;100
20160119 095200;15.5;15.5;15.5;15.5;100
20160119 095600;15.44;15.53;15.44;15.53;300
20160119 095900;15.55;15.55;15.55;15.55;100
20160119 100100;15.62;15.62;15.62;15.62;100
20160119 100400;15.6055;15.6055;15.6055;15.6055;200
20160119 100600;15.5785;15.61;15.5785;15.61;325
20160119 100800;15.54;15.576;15.54;15.576;600
20160119 100900;15.54;15.54;15.54;15.54;100
20160119 101100;15.59;15.59;15.59;15.59;100
20160119 101400;15.62;15.62;15.62;15.62;100
20160119 101500;15.555;15.555;15.555;15.555;100
20160119 101600;15.555;15.58;15.555;15.58;300
20160119 101900;15.574;15.574;15.55;15.55;500
20160119 102100;15.59;15.62;15.59;15.62;300
20160119 102400;15.59;15.6;15.59;15.6;200
20160119 102500;15.57;15.57;15.57;15.57;100
20160119 102600;15.6;15.6;15.6;15.6;100
20160119 103100;15.65;15.65;15.65;15.65;100
20160119 103600;15.6;15.61;15.6;15.61;200
20160119 104000;15.57;15.57;15.57;15.57;100
20160119 104100;15.53;15.57;15.51;15.57;400
20160119 104500;15.5101;15.5101;15.5101;15.5101;700
20160119 104600;15.52;15.52;15.52;15.52;100
20160119 104800;15.52;15.52;15.52;15.52;100
20160119 105100;15.58;15.58;15.58;15.58;100
20160119 105600;15.43;15.43;15.43;15.43;100
20160119 110000;15.38;15.38;15.37;15.37;400
20160119 110700;15.36;15.36;15.36;15.36;500
20160119 110800;15.36;15.36;15.36;15.36;100
20160119 110900;15.35;15.38;15.35;15.38;400
20160119 111100;15.4;15.43;15.3999;15.43;713
20160119 111300;15.38;15.38;15.38;15.38;300
20160119 111400;15.39;15.39;15.39;15.39;200
20160119 111600;15.42;15.42;15.42;15.42;100
