20160119 090700;23.53;23.53;23.53;23.53;37
20160119 092300;23.53;23.53;23.53;23.53;2100
20160119 093300;23.74;23.74;23.74;23.74;100
20160119 093400;23.73;23.73;23.6401;23.6628;1450
20160119 093500;23.77;23.77;23.77;23.77;100
20160119 093600;23.69;23.69;23.66;23.66;500
20160119 093700;23.61;23.62;23.61;23.62;600
20160119 093900;23.63;23.66;23.63;23.65;500
20160119 094000;23.64;23.64;23.6;23.6;200
20160119 094100;23.6;23.6;23.6;23.6;100
20160119 094200;23.58;23.6;23.58;23.59;1617
20160119 094300;23.64;23.65;23.64;23.65;600
20160119 094400;23.64;23.64;23.6;23.6;3540
20160119 094600;23.59;23.64;23.59;23.62;1000
20160119 094700;23.64;23.64;23.64;23.64;700
20160119 094800;23.62;23.62;23.62;23.62;100
20160119 094900;23.6;23.6;23.6;23.6;500
20160119 095000;23.61;23.65;23.61;23.65;900
20160119 095100;23.67;23.67;23.59;23.61;1910
20160119 095200;23.61;23.62;23.6;23.6;2100
20160119 095300;23.6;23.6;23.6;23.6;100
20160119 095400;23.62;23.642;23.62;23.642;450
20160119 095500;23.65;23.66;23.65;23.66;300
20160119 095700;23.69;23.76;23.69;23.76;2700
20160119 095800;23.78;23.84;23.77;23.84;2050
20160119 095900;23.82;23.82;23.81;23.81;602
20160119 100000;23.84;23.84;23.83;23.84;400
20160119 100100;23.84;23.89;23.84;23.86;3416
20160119 100200;23.865;23.865;23.865;23.865;100
20160119 100300;23.87;23.87;23.84;23.845;709
20160119 100400;23.82;23.83;23.81;23.81;800
20160119 100500;23.81;23.85;23.81;23.85;500
20160119 100600;23.84;23.9;23.84;23.9;1305
20160119 100700;23.91;23.93;23.9;23.93;900
20160119 100900;23.902;23.902;23.88;23.88;722
20160119 101000;23.87;23.87;23.84;23.87;1100
20160119 101100;23.85;23.8725;23.85;23.8725;2100
20160119 101200;23.88;23.89;23.87;23.89;1100
20160119 101500;23.87;23.89;23.87;23.875;1100
20160119 101600;23.87;23.875;23.86;23.875;800
20160119 101700;23.88;23.9;23.88;23.89;742
20160119 101800;23.91;23.92;23.89;23.89;1000
20160119 101900;23.9;23.9;23.82;23.85;1800
20160119 102000;23.83;23.83;23.83;23.83;100
20160119 102100;23.88;23.88;23.87;23.87;300
20160119 102300;23.83;23.83;23.83;23.83;200
20160119 102500;23.84;23.85;23.83;23.85;800
20160119 102600;23.86;23.86;23.86;23.86;300
20160119 102700;23.86;23.89;23.86;23.87;2300
20160119 102800;23.85;23.85;23.85;23.85;300
20160119 102900;23.84;23.888;23.84;23.87;2100
20160119 103100;23.88;23.88;23.872;23.872;400
20160119 103200;23.86;23.86;23.86;23.86;109
20160119 103300;23.87;23.87;23.87;23.87;500
20160119 103400;23.86;23.86;23.86;23.86;500
20160119 103500;23.85;23.85;23.83;23.83;1000
20160119 103600;23.81;23.83;23.81;23.83;700
20160119 103700;23.82;23.82;23.82;23.82;1009
