20160119 091600;29.62;29.62;29.62;29.62;5
20160119 093400;29.85;29.85;29.79;29.79;300
20160119 093500;29.73;29.73;29.73;29.73;100
20160119 093800;29.59;29.595;29.59;29.595;485
20160119 094000;29.61;29.61;29.47;29.5;2493
20160119 094200;29.57;29.76;29.53;29.76;2431
20160119 094300;29.77;29.77;29.68;29.72;1300
20160119 094400;29.65;29.65;29.52;29.52;200
20160119 094500;29.5786;29.67;29.5786;29.67;286
20160119 094600;29.67;29.67;29.67;29.67;100
20160119 095000;29.56;29.57;29.54;29.57;700
20160119 095100;29.51;29.51;29.51;29.51;100
20160119 095200;29.56;29.56;29.52;29.52;651
20160119 095300;29.535;29.61;29.53;29.61;800
20160119 095400;29.54;29.58;29.54;29.54;3015
20160119 095500;29.58;29.6;29.58;29.6;400
20160119 095700;29.6;29.63;29.6;29.61;500
20160119 095800;29.61;29.65;29.56;29.57;1300
20160119 100100;29.62;29.691;29.59;29.691;901
20160119 100300;29.69;29.69;29.65;29.65;600
20160119 100400;29.61;29.65;29.61;29.65;300
20160119 100600;29.69;29.69;29.69;29.69;100
20160119 100700;29.7;29.7;29.7;29.7;100
20160119 100800;29.7;29.7;29.7;29.7;200
20160119 100900;29.69;29.69;29.68;29.68;300
20160119 101000;29.65;29.67;29.6;29.6;800
20160119 101200;29.55;29.55;29.55;29.55;200
20160119 101300;29.6;29.6;29.59;29.6;400
20160119 101400;29.62;29.62;29.61;29.615;400
20160119 101500;29.67;29.67;29.67;29.67;200
20160119 101600;29.705;29.705;29.705;29.705;100
20160119 101900;29.68;29.68;29.67;29.67;400
20160119 102000;29.65;29.68;29.65;29.68;400
20160119 102100;29.62;29.68;29.62;29.68;300
20160119 102200;29.7195;29.7195;29.7195;29.7195;153
20160119 102400;29.67;29.7;29.67;29.67;500
20160119 102500;29.67;29.68;29.67;29.68;200
20160119 102600;29.71;29.71;29.71;29.71;100
20160119 102700;29.7;29.8;29.7;29.8;2300
20160119 102800;29.78;29.79;29.78;29.79;1500
20160119 102900;29.76;29.76;29.76;29.76;100
20160119 103000;29.8;29.82;29.79;29.8;1200
20160119 103200;29.82;29.82;29.82;29.82;100
20160119 103300;29.8;29.8;29.8;29.8;382
20160119 103400;29.82;29.82;29.82;29.82;100
20160119 103500;29.74;29.74;29.74;29.74;100
20160119 103700;29.73;29.73;29.72;29.72;700
20160119 103900;29.73;29.73;29.69;29.695;400
20160119 104000;29.68;29.68;29.68;29.68;400
20160119 104200;29.58;29.58;29.58;29.58;1500
20160119 104300;29.56;29.56;29.56;29.56;100
20160119 104400;29.54;29.55;29.54;29.55;300
20160119 104500;29.56;29.59;29.56;29.58;1600
20160119 104600;29.58;29.58;29.56;29.56;400
20160119 105000;29.58;29.59;29.565;29.59;2159
20160119 105100;29.6;29.6;29.6;29.6;300
20160119 105200;29.59;29.595;29.57;29.57;300
20160119 105300;29.5;29.52;29.48;29.48;1000
20160119 105400;29.47;29.47;29.43;29.45;600
20160119 105500;29.44;29.44;29.44;29.44;100
20160119 105600;29.42;29.44;29.42;29.44;300
20160119 105700;29.43;29.43;29.43;29.43;501
20160119 105800;29.43;29.45;29.42;29.44;1000
20160119 110000;29.41;29.41;29.39;29.39;400
20160119 110300;29.36;29.42;29.36;29.42;700
20160119 110400;29.42;29.42;29.42;29.42;100
20160119 110500;29.43;29.43;29.43;29.43;100
20160119 110600;29.44;29.44;29.44;29.44;100
20160119 110700;29.42;29.42;29.41;29.41;700
20160119 110900;29.42;29.46;29.415;29.46;900
20160119 111000;29.4799;29.4799;29.4799;29.4799;642
20160119 111200;29.48;29.48;29.48;29.48;200
20160119 111300;29.45;29.45;29.425;29.425;1100
20160119 111400;29.45;29.47;29.45;29.46;400
20160119 111600;29.44;29.44;29.39;29.39;800
20160119 111700;29.43;29.43;29.41;29.41;200
20160119 111800;29.38;29.38;29.38;29.38;100
20160119 111900;29.38;29.39;29.37;29.37;400
20160119 112000;29.35;29.38;29.325;29.325;1000
20160119 112100;29.34;29.4;29.34;29.39;900
20160119 112200;29.4;29.42;29.4;29.4;700
20160119 112400;29.39;29.405;29.36;29.36;1200
20160119 112500;29.355;29.355;29.345;29.345;500
20160119 112600;29.37;29.38;29.37;29.37;300
20160119 112700;29.39;29.39;29.39;29.39;200
20160119 112800;29.45;29.46;29.44;29.46;300
20160119 112900;29.43;29.43;29.43;29.43;100
20160119 113000;29.43;29.47;29.43;29.45;1220
20160119 113100;29.49;29.52;29.46;29.48;4050
20160119 113200;29.5;29.52;29.49;29.5;1700
20160119 113300;29.495;29.495;29.495;29.495;100
20160119 113400;29.49;29.495;29.49;29.495;200
20160119 113500;29.5;29.5;29.44;29.44;700
20160119 113600;29.47;29.47;29.36;29.39;14225
20160119 113700;29.37;29.46;29.36;29.44;1900
20160119 113800;29.42;29.43;29.37;29.37;6700
20160119 113900;29.39;29.39;29.39;29.39;200
20160119 114000;29.44;29.45;29.44;29.45;500
20160119 114100;29.489;29.489;29.489;29.489;1016
20160119 114200;29.45;29.45;29.45;29.45;400
20160119 114500;29.48;29.54;29.48;29.54;1800
20160119 114600;29.54;29.6;29.54;29.55;700
20160119 114700;29.545;29.545;29.545;29.545;100
20160119 114800;29.51;29.51;29.51;29.51;200
20160119 114900;29.51;29.51;29.5;29.5;300
20160119 115000;29.495;29.52;29.495;29.52;300
20160119 115200;29.5025;29.57;29.5025;29.57;1000
20160119 115300;29.57;29.59;29.57;29.59;300
20160119 115400;29.575;29.575;29.575;29.575;100
20160119 115500;29.59;29.6;29.59;29.6;200
20160119 115700;29.63;29.71;29.63;29.71;500
20160119 115800;29.71;29.71;29.68;29.68;300
20160119 115900;29.71;29.71;29.71;29.71;100
20160119 120000;29.69;29.7;29.685;29.685;600
20160119 120200;29.697;29.74;29.697;29.74;1200
20160119 120300;29.73;29.73;29.69;29.69;500
20160119 120400;29.64;29.64;29.63;29.63;600
20160119 120500;29.64;29.69;29.64;29.67;800
20160119 120700;29.68;29.68;29.68;29.68;100
20160119 120800;29.69;29.69;29.69;29.69;300
20160119 120900;29.68;29.68;29.65;29.65;800
20160119 121000;29.64;29.64;29.55;29.55;300
20160119 121200;29.575;29.62;29.575;29.62;600
20160119 121300;29.59;29.59;29.59;29.59;100
20160119 121400;29.635;29.635;29.63;29.63;600
20160119 121500;29.64;29.65;29.64;29.64;300
20160119 121600;29.61;29.61;29.59;29.59;500
20160119 121900;29.56;29.56;29.53;29.53;1000
20160119 122000;29.46;29.46;29.46;29.46;800
20160119 122200;29.39;29.39;29.39;29.39;100
20160119 122300;29.35;29.35;29.35;29.35;100
20160119 122400;29.36;29.39;29.36;29.39;200
20160119 122500;29.39;29.39;29.39;29.39;100
20160119 122600;29.3653;29.3653;29.364;29.364;228
20160119 122700;29.34;29.34;29.34;29.34;400
20160119 122800;29.33;29.37;29.33;29.37;800
20160119 122900;29.4;29.44;29.39;29.39;2100
20160119 123000;29.4299;29.47;29.405;29.4601;900
20160119 123200;29.45;29.46;29.42;29.46;800
20160119 123300;29.44;29.48;29.44;29.48;318
20160119 123500;29.43;29.46;29.41;29.41;601
20160119 123700;29.395;29.42;29.395;29.42;400
20160119 123800;29.48;29.48;29.435;29.435;599
20160119 123900;29.41;29.41;29.41;29.41;300
20160119 124100;29.38;29.38;29.38;29.38;100
20160119 124200;29.41;29.41;29.41;29.41;400
20160119 124300;29.43;29.43;29.43;29.43;100
20160119 124400;29.425;29.425;29.425;29.425;100
20160119 124500;29.4;29.42;29.4;29.4;400
20160119 124600;29.42;29.42;29.42;29.42;100
20160119 124700;29.42;29.43;29.41;29.41;700
20160119 124800;29.4;29.4;29.39;29.39;200
20160119 125000;29.4;29.41;29.38;29.38;400
20160119 125100;29.38;29.38;29.37;29.37;1531
20160119 125200;29.3844;29.3844;29.3844;29.3844;148
20160119 125300;29.36;29.365;29.34;29.34;500
20160119 125400;29.34;29.34;29.34;29.34;200
20160119 125500;29.37;29.37;29.3625;29.37;2900
20160119 125600;29.36;29.36;29.325;29.325;1075
20160119 125700;29.35;29.375;29.305;29.375;2600
20160119 125800;29.38;29.39;29.38;29.39;200
20160119 130000;29.41;29.41;29.41;29.41;100
20160119 130500;29.48;29.48;29.44;29.44;600
20160119 130600;29.42;29.44;29.42;29.44;300
20160119 130700;29.38;29.38;29.38;29.38;228
20160119 130900;29.41;29.45;29.395;29.45;400
20160119 131200;29.46;29.49;29.46;29.49;400
20160119 131300;29.48;29.5497;29.47;29.5497;400
20160119 131500;29.5;29.5;29.46;29.46;500
20160119 131800;29.49;29.51;29.49;29.51;500
20160119 131900;29.53;29.5497;29.51;29.53;1005
20160119 132000;29.59;29.6197;29.58;29.58;1100
20160119 132100;29.6197;29.6197;29.6197;29.6197;100
20160119 132200;29.595;29.62;29.595;29.62;400
20160119 132400;29.61;29.61;29.59;29.59;300
20160119 132500;29.55;29.56;29.52;29.56;900
20160119 132600;29.55;29.55;29.55;29.55;100
20160119 132700;29.54;29.54;29.54;29.54;100
20160119 132800;29.544;29.55;29.47;29.47;402
20160119 133100;29.474;29.474;29.44;29.44;300
20160119 133200;29.49;29.52;29.49;29.52;500
20160119 133300;29.4901;29.52;29.47;29.47;800
20160119 133500;29.45;29.48;29.45;29.48;400
20160119 133600;29.5;29.5;29.46;29.46;600
20160119 133900;29.47;29.49;29.47;29.49;300
20160119 134000;29.49;29.49;29.49;29.49;700
20160119 134100;29.48;29.48;29.4087;29.4087;883
20160119 134200;29.41;29.41;29.39;29.39;400
20160119 134300;29.38;29.38;29.38;29.38;200
20160119 134500;29.4;29.4;29.4;29.4;100
20160119 134700;29.38;29.38;29.35;29.36;800
20160119 134800;29.36;29.36;29.36;29.36;100
20160119 134900;29.38;29.41;29.36;29.36;800
20160119 135100;29.405;29.405;29.405;29.405;100
