20160119 085600;69.2;69.2;69.2;69.2;6102
20160119 091000;69.2;69.2;69.2;69.2;58
20160119 092500;69.91;69.91;69.91;69.91;26
20160119 093000;70.08;70.09;70.08;70.09;1000
20160119 093100;70.03;70.21;69.8429;70.029;5239
20160119 093200;69.96;70.08;69.91;70.08;8702
20160119 093300;70.04;70.14;69.94;70;9345
20160119 093400;70.02;70.1;69.97;70.06;16660
20160119 093500;70.0659;70.18;70;70.06;4303
20160119 093600;70.05;70.11;70.03;70.09;11342
20160119 093700;70.06;70.12;69.93;70.12;8586
20160119 093800;70.14;70.18;69.97;70.0876;8227
20160119 093900;70.09;70.2;70.04;70.09;4714
20160119 094000;70.05;70.08;69.93;69.93;10439
20160119 094100;69.99;70.06;69.93;69.93;10302
20160119 094200;69.93;70.07;69.92;70.03;3919
20160119 094300;70.08;70.08;69.98;70.02;6698
20160119 094400;70;70.07;69.97;70.02;7700
20160119 094500;70.04;70.1;69.9401;69.99;30725
20160119 094600;70.03;70.15;70.03;70.15;6900
20160119 094700;70.14;70.14;70.03;70.07;5100
20160119 094800;70.06;70.07;69.9513;69.9513;5606
20160119 094900;70;70.03;69.91;69.975;7324
20160119 095000;69.9843;70;69.86;69.9;2449
20160119 095100;69.91;69.95;69.88;69.9;4111
20160119 095200;69.895;69.9;69.83;69.83;7400
20160119 095300;69.8079;69.908;69.79;69.891;4885
20160119 095400;69.92;70.0099;69.92;69.9575;4189
20160119 095500;69.95;70.065;69.92;70.06;5633
20160119 095600;70.05;70.05;69.94;69.94;3100
20160119 095700;69.94;70.08;69.94;70.01;4700
20160119 095800;70.02;70.06;69.99;70.0307;6525
20160119 095900;70.04;70.05;69.99;70;3800
20160119 100000;69.99;70.05;69.96;69.96;2300
20160119 100100;69.979;70.15;69.979;70.08;37974
20160119 100200;70.13;70.18;70.08;70.08;5051
20160119 100300;70.07;70.11;70.01;70.015;3587
20160119 100400;70.075;70.16;70.04;70.09;8000
20160119 100500;70.1;70.1;70.03;70.07;1900
20160119 100600;70.07;70.165;70.05;70.15;10200
20160119 100700;70.12;70.15;70.07;70.09;6521
20160119 100800;70.1;70.15;70.03;70.03;5173
20160119 100900;70.02;70.12;70.02;70.05;7857
20160119 101000;70.04;70.11;70.03;70.06;4100
20160119 101100;70.08;70.14;69.92;69.99;6780
20160119 101200;69.99;70.105;69.99;70.01;4600
20160119 101300;69.99;70.06;69.99;70;8258
20160119 101400;70;70.1;70;70.06;3100
20160119 101500;70.02;70.06;69.95;69.97;10090
20160119 101600;69.97;70;69.95;69.95;6124
20160119 101700;69.97;70;69.92;69.95;4064
20160119 101800;69.97;69.97;69.93;69.95;1717
20160119 101900;69.93;69.94;69.89;69.94;2970
20160119 102000;69.97;70;69.97;69.97;2840
20160119 102100;69.97;70.04;69.97;70.04;6258
20160119 102200;70.04;70.05;69.9301;69.9301;6062
20160119 102300;69.96;69.96;69.91;69.94;1900
20160119 102400;69.92;69.95;69.9;69.95;3234
20160119 102500;69.98;69.984;69.92;69.98;4596
20160119 102600;69.99;70.09;69.99;70.07;9836
20160119 102700;70.085;70.14;70.07;70.1;5565
20160119 102800;70.105;70.16;70.08;70.09;3850
20160119 102900;70.08;70.155;70.08;70.1;3306
20160119 103000;70.1;70.16;70.05;70.06;5851
20160119 103100;70.06;70.13;70.05;70.13;3274
20160119 103200;70.11;70.12;70.04;70.12;3751
20160119 103300;70.13;70.1578;70.11;70.12;6279
20160119 103400;70.09;70.14;70.09;70.11;3156
20160119 103500;70.1;70.1;70.02;70.09;3480
20160119 103600;70.1;70.13;70.07;70.12;2800
20160119 103700;70.09;70.09;70.04;70.08;2700
20160119 103800;70.092;70.092;70.02;70.07;3043
20160119 103900;70.05;70.05;70.03;70.03;1100
20160119 104000;70.03;70.066;69.9903;70.03;7316
20160119 104100;70.01;70.05;70;70.05;26799
20160119 104200;70.05;70.11;70.035;70.11;5879
20160119 104300;70.09;70.11;70.08;70.08;1600
20160119 104400;70.08;70.13;70.055;70.12;7120
20160119 104500;70.14;70.18;70.08;70.09;32746
20160119 104600;70.07;70.1296;70.04;70.1296;8107
20160119 104700;70.0948;70.14;70.09;70.095;6536
20160119 104800;70.11;70.17;70.091;70.14;3358
20160119 104900;70.128;70.17;70.12;70.14;3254
20160119 105000;70.12;70.2;70.1;70.195;4651
20160119 105100;70.21;70.2755;70.1901;70.203;5661
20160119 105200;70.2;70.2099;70.13;70.13;4734
20160119 105300;70.1332;70.1332;70.04;70.085;9839
20160119 105400;70.07;70.09;70.01;70.0515;5800
20160119 105500;70.062;70.08;70.025;70.0699;6804
20160119 105600;70.03;70.03;69.94;69.944;7106
20160119 105700;69.935;70.01;69.935;70.01;9756
20160119 105800;70.018;70.05;70;70.005;8673
20160119 105900;70.01;70.11;70.01;70.062;10940
20160119 110000;70.05;70.05;70.01;70.01;6844
20160119 110100;70.01;70.1;70;70.03;8506
20160119 110200;70.03;70.0955;70.02;70.025;10300
20160119 110300;70.045;70.08;70.025;70.08;3344
20160119 110400;70.0705;70.12;70.045;70.11;10438
