20160119 085600;25.4;25.4;25.4;25.4;4230
20160119 090600;25.4;25.4;25.4;25.4;1494
20160119 092600;25.4;25.4;25.4;25.4;12
20160119 092800;25.4;25.4;25.4;25.4;29
20160119 093100;25.69;25.69;25.59;25.6;27513
20160119 093200;25.65;25.66;25.64;25.65;7764
20160119 093300;25.65;25.67;25.62;25.62;4286
20160119 093400;25.62;25.67;25.61;25.66;3814
20160119 093500;25.67;25.68;25.65;25.68;2600
20160119 093600;25.68;25.75;25.63;25.75;11163
20160119 093700;25.74;25.84;25.74;25.82;7377
20160119 093800;25.84;25.87;25.79;25.79;11696
20160119 093900;25.79;25.82;25.74;25.75;12546
20160119 094000;25.73;25.73;25.71;25.72;4000
20160119 094100;25.72;25.78;25.72;25.77;4392
20160119 094200;25.78;25.79;25.75;25.78;10540
20160119 094300;25.78;25.78;25.76;25.76;4721
20160119 094400;25.76;25.7701;25.73;25.75;3800
20160119 094500;25.75;25.75;25.72;25.73;3100
20160119 094600;25.74;25.78;25.74;25.78;10446
20160119 094700;25.79;25.8;25.78;25.78;7383
20160119 094800;25.78;25.78;25.715;25.72;4179
20160119 094900;25.73;25.75;25.73;25.75;2000
20160119 095000;25.75;25.775;25.74;25.775;6900
20160119 095100;25.77;25.77;25.73;25.735;5500
20160119 095200;25.74;25.76;25.74;25.74;3367
20160119 095300;25.73;25.74;25.73;25.74;300
20160119 095400;25.73;25.75;25.73;25.73;4300
20160119 095500;25.72;25.73;25.71;25.73;4872
20160119 095600;25.72;25.725;25.71;25.72;3101
20160119 095700;25.72;25.75;25.72;25.75;2493
20160119 095800;25.755;25.8;25.755;25.8;3300
20160119 095900;25.8;25.8;25.79;25.8;5200
20160119 100000;25.8;25.81;25.78;25.78;2400
20160119 100100;25.78;25.78;25.74;25.76;18798
20160119 100200;25.76;25.79;25.76;25.79;8611
20160119 100300;25.78;25.78;25.73;25.73;15104
20160119 100400;25.73;25.735;25.72;25.735;14401
20160119 100500;25.73;25.73;25.69;25.695;19789
20160119 100600;25.7;25.715;25.7;25.7;9061
20160119 100700;25.705;25.73;25.705;25.72;16262
20160119 100800;25.72;25.74;25.72;25.74;7992
20160119 100900;25.73;25.75;25.73;25.74;35709
20160119 101000;25.74;25.74;25.685;25.7;12513
20160119 101100;25.7;25.705;25.67;25.68;3200
20160119 101200;25.68;25.695;25.67;25.67;3811
20160119 101300;25.665;25.68;25.665;25.68;1901
20160119 101400;25.675;25.685;25.675;25.68;1300
20160119 101500;25.68;25.68;25.675;25.675;500
20160119 101600;25.675;25.68;25.67;25.67;8304
20160119 101700;25.68;25.69;25.68;25.68;4512
20160119 101800;25.69;25.7;25.69;25.7;3752
20160119 101900;25.695;25.695;25.695;25.695;100
20160119 102000;25.7;25.715;25.695;25.695;26346
20160119 102100;25.7;25.735;25.7;25.735;12831
20160119 102200;25.74;25.74;25.74;25.74;400
20160119 102300;25.74;25.775;25.73;25.775;7775
20160119 102400;25.77;25.785;25.765;25.785;7846
20160119 102500;25.78;25.79;25.78;25.79;3604
20160119 102600;25.795;25.83;25.795;25.83;3300
20160119 102700;25.83;25.83;25.81;25.81;3370
20160119 102800;25.81;25.81;25.8;25.8;700
20160119 102900;25.805;25.805;25.79;25.7901;6600
20160119 103000;25.795;25.815;25.79;25.81;3700
20160119 103100;25.805;25.805;25.785;25.79;2500
20160119 103200;25.785;25.79;25.77;25.77;1600
20160119 103300;25.77;25.8;25.76;25.79;6340
20160119 103400;25.78;25.78;25.77;25.77;2500
20160119 103500;25.76;25.765;25.74;25.745;3339
20160119 103600;25.75;25.765;25.75;25.75;6530
20160119 103700;25.745;25.745;25.721;25.73;5765
20160119 103800;25.74;25.75;25.735;25.75;10953
20160119 103900;25.75;25.76;25.745;25.75;8776
20160119 104000;25.755;25.765;25.74;25.74;5514
20160119 104100;25.74;25.75;25.74;25.74;12100
20160119 104200;25.74;25.765;25.74;25.76;10534
20160119 104300;25.77;25.77;25.755;25.76;5986
20160119 104400;25.755;25.765;25.75;25.76;5200
20160119 104500;25.76;25.78;25.76;25.77;12870
20160119 104600;25.77;25.77;25.74;25.74;11386
20160119 104700;25.745;25.77;25.74;25.76;12540
20160119 104800;25.76;25.77;25.75;25.75;6680
20160119 104900;25.76;25.775;25.75;25.77;3245
20160119 105000;25.77;25.81;25.77;25.81;14037
20160119 105100;25.8;25.8301;25.8;25.82;19179
20160119 105200;25.825;25.825;25.8;25.8;11801
20160119 105300;25.79;25.79;25.75;25.75;4628
20160119 105400;25.76;25.76;25.74;25.755;13528
20160119 105500;25.755;25.76;25.74;25.74;6600
20160119 105600;25.74;25.74;25.71;25.71;8452
20160119 105700;25.72;25.735;25.72;25.735;3917
20160119 105800;25.73;25.75;25.73;25.735;5617
20160119 105900;25.735;25.74;25.725;25.725;5280
20160119 110000;25.72;25.725;25.71;25.72;3150
20160119 110100;25.72;25.75;25.715;25.72;11387
20160119 110200;25.72;25.74;25.71;25.74;2500
20160119 110300;25.74;25.76;25.74;25.75;6737
20160119 110400;25.75;25.75;25.74;25.74;3950
20160119 110500;25.74;25.74;25.72;25.72;5750
20160119 110600;25.72;25.75;25.72;25.73;8060
20160119 110700;25.73;25.745;25.73;25.74;6250
20160119 110800;25.745;25.75;25.73;25.735;7329
20160119 110900;25.73;25.765;25.72;25.75;8087
20160119 111000;25.76;25.8;25.755;25.795;9802
20160119 111100;25.79;25.79;25.77;25.78;10791
20160119 111200;25.78;25.79;25.76;25.765;4300
20160119 111300;25.77;25.78;25.735;25.745;9558
20160119 111400;25.74;25.77;25.74;25.75;5300
20160119 111500;25.75;25.76;25.745;25.75;1700
20160119 111600;25.74;25.77;25.74;25.77;7403
20160119 111700;25.77;25.78;25.7637;25.771;16366
20160119 111800;25.77;25.78;25.76;25.77;2104
20160119 111900;25.77;25.78;25.77;25.78;1300
20160119 112000;25.78;25.78;25.74;25.74;8810
20160119 112100;25.745;25.77;25.745;25.755;5700
20160119 112200;25.75;25.78;25.75;25.78;3400
20160119 112300;25.775;25.78;25.75;25.76;5981
20160119 112400;25.76;25.76;25.73;25.74;4034
20160119 112500;25.735;25.74;25.72;25.735;5490
20160119 112600;25.74;25.76;25.735;25.75;6271
20160119 112700;25.75;25.765;25.75;25.76;2100
20160119 112800;25.77;25.79;25.77;25.781;9129
20160119 112900;25.785;25.805;25.78;25.801;5300
20160119 113000;25.805;25.825;25.8;25.825;6500
20160119 113100;25.83;25.84;25.82;25.83;2900
20160119 113200;25.83;25.83;25.82;25.8275;1300
20160119 113300;25.83;25.831;25.825;25.83;3001
20160119 113400;25.82;25.83;25.8;25.82;34687
20160119 113500;25.81;25.82;25.775;25.78;4957
20160119 113600;25.771;25.81;25.771;25.79;7628
20160119 113700;25.79;25.8;25.785;25.8;2900
20160119 113800;25.795;25.795;25.771;25.7799;4355
20160119 113900;25.775;25.815;25.775;25.815;4025
20160119 114000;25.815;25.84;25.815;25.84;4050
20160119 114100;25.85;25.85;25.82;25.83;12403
20160119 114200;25.83;25.84;25.82;25.82;3100
20160119 114300;25.82;25.83;25.8;25.81;2400
20160119 114400;25.805;25.81;25.8;25.805;1500
20160119 114500;25.8;25.81;25.795;25.8;7246
20160119 114600;25.81;25.84;25.81;25.83;3300
20160119 114700;25.825;25.83;25.82;25.825;900
20160119 114800;25.83;25.83;25.795;25.795;4367
20160119 114900;25.795;25.82;25.79;25.815;3410
20160119 115000;25.815;25.82;25.79;25.79;1950
20160119 115100;25.79;25.83;25.79;25.83;4680
20160119 115200;25.82;25.85;25.82;25.825;4947
20160119 115300;25.83;25.83;25.82;25.82;3603
20160119 115400;25.82;25.82;25.78;25.8;3792
20160119 115500;25.8;25.8;25.78;25.79;1800
20160119 115600;25.785;25.79;25.77;25.78;3828
20160119 115700;25.78;25.83;25.78;25.82;8930
20160119 115800;25.82;25.83;25.805;25.805;3600
20160119 115900;25.805;25.82;25.805;25.81;4400
20160119 120000;25.81;25.82;25.8;25.8;3300
20160119 120100;25.8;25.83;25.79;25.825;8511
20160119 120200;25.82;25.84;25.81;25.82;4718
20160119 120300;25.81;25.82;25.79;25.79;2900
20160119 120400;25.785;25.79;25.77;25.78;3400
20160119 120500;25.775;25.79;25.77;25.78;4765
20160119 120600;25.77;25.79;25.77;25.785;2870
20160119 120700;25.78;25.8;25.78;25.79;3000
20160119 120800;25.795;25.795;25.76;25.77;5485
20160119 120900;25.765;25.78;25.76;25.77;2601
20160119 121000;25.76;25.77;25.75;25.76;11183
20160119 121100;25.75;25.77;25.745;25.77;6790
20160119 121200;25.76;25.79;25.76;25.79;6342
20160119 121300;25.79;25.79;25.79;25.79;600
20160119 121400;25.78;25.8;25.78;25.8;3795
20160119 121500;25.795;25.82;25.795;25.82;3788
20160119 121600;25.81;25.815;25.8;25.8;4850
20160119 121700;25.8;25.8;25.77;25.77;5233
20160119 121800;25.77;25.79;25.76;25.77;11085
20160119 121900;25.77;25.77;25.72;25.72;6782
20160119 122000;25.72;25.73;25.72;25.72;3700
20160119 122100;25.72;25.72;25.71;25.715;2500
20160119 122200;25.71;25.715;25.68;25.69;4200
20160119 122300;25.69;25.69;25.665;25.67;1604
20160119 122400;25.67;25.7;25.67;25.675;7820
20160119 122500;25.68;25.68;25.65;25.66;2100
20160119 122600;25.655;25.67;25.655;25.67;4002
20160119 122700;25.66;25.68;25.66;25.68;3870
20160119 122800;25.68;25.71;25.67;25.71;3123
20160119 122900;25.71;25.74;25.71;25.73;7760
20160119 123000;25.73;25.76;25.73;25.75;9574
20160119 123100;25.74;25.74;25.72;25.74;7018
20160119 123200;25.74;25.74;25.72;25.74;5400
20160119 123300;25.74;25.74;25.72;25.72;5468
20160119 123400;25.72;25.74;25.72;25.735;5500
20160119 123500;25.73;25.75;25.73;25.75;7744
20160119 123600;25.75;25.75;25.73;25.735;5089
20160119 123700;25.7325;25.76;25.7325;25.76;3402
20160119 123800;25.77;25.78;25.76;25.7763;3985
20160119 123900;25.78;25.78;25.75;25.76;14639
20160119 124000;25.75;25.77;25.75;25.755;3866
20160119 124100;25.75;25.755;25.73;25.75;6969
20160119 124200;25.75;25.78;25.75;25.75;11863
20160119 124300;25.76;25.77;25.76;25.76;2600
20160119 124400;25.75;25.75;25.745;25.745;3401
20160119 124500;25.74;25.74;25.715;25.72;4400
20160119 124600;25.73;25.74;25.725;25.73;2576
20160119 124700;25.73;25.74;25.73;25.73;1400
20160119 124800;25.73;25.73;25.715;25.72;2200
20160119 124900;25.72;25.72;25.715;25.715;700
20160119 125000;25.72;25.74;25.72;25.74;3527
20160119 125100;25.73;25.74;25.725;25.73;5069
20160119 125200;25.74;25.75;25.73;25.74;1300
20160119 125300;25.74;25.74;25.71;25.71;4705
20160119 125400;25.71;25.71;25.7;25.71;3826
20160119 125500;25.71;25.725;25.71;25.715;2587
20160119 125600;25.72;25.73;25.72;25.73;1400
20160119 125700;25.735;25.735;25.73;25.73;2300
20160119 125800;25.73;25.735;25.7225;25.73;2000
20160119 125900;25.73;25.74;25.72;25.72;2900
20160119 130000;25.72;25.72;25.7125;25.7125;1738
20160119 130100;25.72;25.74;25.72;25.73;4799
20160119 130200;25.73;25.74;25.73;25.74;2400
20160119 130300;25.74;25.745;25.74;25.74;1901
20160119 130400;25.74;25.74;25.74;25.74;1400
20160119 130500;25.74;25.74;25.72;25.72;2000
20160119 130600;25.72;25.72;25.715;25.715;1200
20160119 130700;25.72;25.73;25.72;25.72;5700
20160119 130800;25.72;25.74;25.71;25.74;5100
