20160119 085600;64.55;64.55;64.55;64.55;1602
20160119 092400;65.84;65.84;65.84;65.84;109
20160119 093000;65.53;65.56;65.53;65.56;266
20160119 093100;65.29;65.375;65.1011;65.34;6553
20160119 093200;65.31;65.45;65.31;65.45;629
20160119 093300;65.39;65.39;65.28;65.28;1900
20160119 093400;65.24;65.28;65.18;65.18;7450
20160119 093500;65.12;65.19;65.12;65.13;3800
20160119 093600;65.13;65.13;65.12;65.12;300
20160119 093700;65.1;65.1;64.97;65.02;1410
20160119 093800;65.03;65.08;65.03;65.034;1100
20160119 093900;65.12;65.12;65.12;65.12;100
20160119 094000;65.12;65.12;64.98;65.03;4400
20160119 094100;64.95;64.98;64.93;64.98;600
20160119 094200;64.98;65.05;64.98;65.05;1200
20160119 094300;65.07;65.15;65.07;65.14;5073
20160119 094400;65.09;65.09;64.99;64.99;2012
20160119 094500;65.02;65.02;64.91;64.91;700
20160119 094600;64.91;65.1;64.91;65.1;6400
20160119 094700;65.1235;65.13;65.08;65.08;1034
20160119 094800;65.075;65.075;65.01;65.01;1100
20160119 094900;64.98;65.02;64.98;65.01;1600
20160119 095000;64.99;65.005;64.95;64.99;799
20160119 095100;65.03;65.06;65.01;65.01;1307
20160119 095200;65.04;65.04;64.98;64.985;1300
20160119 095300;64.9;64.93;64.9;64.93;1315
20160119 095400;64.91;64.98;64.91;64.98;4721
20160119 095500;65;65.05;64.98;65.01;2272
20160119 095600;64.986;65.015;64.96;64.96;777
20160119 095700;64.9;64.9;64.9;64.9;540
20160119 095800;64.89;64.91;64.89;64.9;1940
20160119 100000;64.85;64.89;64.85;64.89;400
20160119 100100;64.87;64.98;64.87;64.98;1800
20160119 100200;65;65.07;65;65.07;900
20160119 100300;65.02;65.02;64.98;64.99;1654
20160119 100400;64.96;64.96;64.92;64.93;600
20160119 100500;64.93;64.93;64.93;64.93;500
20160119 100600;64.93;64.97;64.93;64.97;900
20160119 100700;64.98;65;64.98;64.98;900
20160119 100800;64.99;65.06;64.99;65.05;300
20160119 100900;65.04;65.05;65.04;65.04;400
20160119 101000;64.98;64.98;64.9;64.91;1400
20160119 101100;64.94;64.98;64.9;64.9;3100
20160119 101200;64.93;64.99;64.91;64.91;2200
20160119 101300;64.9;64.97;64.9;64.93;1300
20160119 101400;64.92;64.92;64.89;64.89;200
20160119 101500;65;65.03;65;65.03;500
20160119 101600;65.05;65.1;65.03;65.08;3931
20160119 101700;65.07;65.18;65.07;65.18;1200
20160119 101800;65.17;65.17;65.11;65.11;1350
20160119 101900;65.1;65.1;65.02;65.03;1100
20160119 102000;65.05;65.08;65.05;65.05;1000
20160119 102100;65.06;65.1311;65.06;65.1311;2132
20160119 102200;65.12;65.12;65.06;65.06;1035
20160119 102300;65.07;65.09;65.05;65.08;1900
20160119 102400;65.07;65.07;65.04;65.06;1100
20160119 102500;65.08;65.1;65.02;65.05;2700
20160119 102600;65.09;65.14;65.09;65.13;2309
20160119 102700;65.12;65.13;65.07;65.07;1325
20160119 102800;65.08;65.085;65.08;65.08;400
20160119 102900;65.09;65.11;65.04;65.09;4800
20160119 103000;65.09;65.16;65.09;65.16;2600
20160119 103100;65.17;65.17;65.14;65.14;1900
20160119 103200;65.11;65.16;65.07;65.16;2100
20160119 103300;65.16;65.21;65.13;65.13;3008
20160119 103400;65.11;65.11;65.11;65.11;200
20160119 103500;65.07;65.07;65;65;2200
20160119 103600;65.01;65.03;64.98;64.9953;1500
20160119 103700;64.96;64.97;64.95;64.97;300
20160119 103800;64.93;64.95;64.93;64.95;200
20160119 103900;64.93;64.96;64.93;64.96;780
20160119 104000;64.92;64.92;64.86;64.86;900
20160119 104100;64.85;64.86;64.84;64.84;900
20160119 104200;64.83;64.84;64.82;64.84;300
20160119 104300;64.85;64.86;64.84;64.84;600
20160119 104400;64.81;64.82;64.81;64.82;200
20160119 104500;64.84;64.9;64.83;64.86;2100
20160119 104600;64.83;64.83;64.8;64.8;600
20160119 104700;64.8;64.8125;64.79;64.8125;400
20160119 104800;64.83;64.87;64.83;64.87;1417
20160119 104900;64.92;64.95;64.91;64.91;1000
