20160119 090700;27.27;27.27;27.27;27.27;12
20160119 091600;27.27;27.27;27.27;27.27;5
20160119 092300;27.27;27.27;27.27;27.27;400
20160119 093100;27.75;27.75;27.75;27.75;405
20160119 093200;27.41;27.41;27.41;27.41;100
20160119 093400;27.33;27.33;27.33;27.33;100
20160119 093600;27.38;27.38;27.15;27.15;1200
20160119 093700;27.11;27.11;27.09;27.09;300
20160119 093800;27.12;27.12;27.05;27.05;300
20160119 093900;27.13;27.13;27.07;27.07;1400
20160119 094000;27.02;27.02;26.99;26.99;600
20160119 094100;26.97;26.97;26.86;26.87;1467
20160119 094300;26.87;26.89;26.87;26.88;600
20160119 094500;26.85;26.85;26.85;26.85;100
20160119 094600;26.89;26.94;26.89;26.94;1100
20160119 094700;26.95;26.95;26.91;26.91;600
20160119 094800;26.81;26.81;26.79;26.79;300
20160119 094900;26.81;26.83;26.81;26.83;300
20160119 095100;26.83;26.83;26.73;26.73;704
20160119 095400;26.76;26.78;26.76;26.78;300
20160119 095500;26.75;26.77;26.75;26.77;200
20160119 095600;26.72;26.76;26.72;26.76;900
20160119 095700;26.79;26.79;26.77;26.77;200
20160119 095900;26.82;26.82;26.79;26.79;200
20160119 100100;26.805;26.805;26.805;26.805;300
20160119 100200;26.92;26.97;26.92;26.96;1199
20160119 100300;26.9101;26.9101;26.88;26.88;473
20160119 100400;26.86;26.86;26.86;26.86;200
20160119 100500;26.87;26.87;26.8042;26.81;800
20160119 100600;26.88;26.95;26.88;26.95;500
20160119 100700;27;27;26.88;26.88;845
20160119 100800;26.9;26.9;26.9;26.9;400
20160119 100900;26.88;26.88;26.84;26.84;200
20160119 101000;26.77;26.77;26.77;26.77;100
20160119 101100;26.77;26.77;26.77;26.77;200
20160119 101200;26.72;26.72;26.72;26.72;100
20160119 101400;26.73;26.81;26.73;26.81;1000
20160119 101500;26.86;26.89;26.86;26.89;942
20160119 101600;26.88;26.88;26.875;26.875;500
20160119 101700;26.88;26.88;26.81;26.81;1770
20160119 102000;26.85;26.88;26.84;26.84;1100
20160119 102100;26.89;26.93;26.88;26.93;800
20160119 102300;26.89;26.89;26.89;26.89;300
20160119 102400;26.85;26.85;26.85;26.85;200
20160119 102500;26.81;26.83;26.8;26.83;500
20160119 102600;26.84;26.89;26.84;26.89;300
20160119 102700;26.89;26.89;26.89;26.89;100
20160119 102800;26.88;26.88;26.88;26.88;100
20160119 102900;26.88;26.91;26.88;26.91;400
20160119 103000;26.9;26.92;26.88;26.9;600
20160119 103100;26.9;26.91;26.88;26.91;1500
20160119 103200;26.9;26.91;26.9;26.9;1000
20160119 103300;26.9;26.91;26.89;26.9;1200
20160119 103400;26.87;26.89;26.85;26.85;400
20160119 103500;26.83;26.83;26.8;26.81;700
20160119 103600;26.84;26.9;26.84;26.9;1600
20160119 103800;26.86;26.88;26.86;26.88;400
20160119 103900;26.85;26.85;26.83;26.84;600
20160119 104000;26.805;26.805;26.805;26.805;100
20160119 104100;26.74;26.78;26.73;26.78;400
20160119 104400;26.7;26.7;26.7;26.7;100
20160119 104500;26.73;26.77;26.71;26.71;800
20160119 104600;26.71;26.74;26.71;26.74;200
20160119 104800;26.73;26.73;26.73;26.73;300
20160119 105000;26.75;26.75;26.75;26.75;300
20160119 105100;26.77;26.79;26.77;26.79;600
20160119 105200;26.8;26.8;26.77;26.775;700
20160119 105300;26.75;26.75;26.71;26.71;300
20160119 105400;26.71;26.71;26.6975;26.6975;300
20160119 105500;26.69;26.95;26.69;26.91;39859
20160119 105600;26.9;26.92;26.83;26.83;1900
20160119 105700;26.84;26.85;26.81;26.81;300
20160119 105800;26.87;26.88;26.87;26.88;600
20160119 105900;26.84;26.84;26.78;26.78;700
20160119 110000;26.74;26.74;26.64;26.64;600
20160119 110100;26.56;26.57;26.56;26.56;500
20160119 110200;26.56;26.57;26.5;26.5;1550
20160119 110300;26.55;26.57;26.52;26.56;1722
20160119 110400;26.54;26.54;26.53;26.53;400
20160119 110500;26.52;26.52;26.5;26.5;1500
20160119 110600;26.51;26.51;26.5;26.5;300
20160119 110700;26.51;26.54;26.51;26.54;900
20160119 110800;26.51;26.51;26.51;26.51;100
20160119 110900;26.54;26.56;26.54;26.56;800
20160119 111000;26.56;26.56;26.56;26.56;500
20160119 111100;26.54;26.55;26.5;26.5;1558
20160119 111200;26.5;26.5;26.43;26.43;4439
20160119 111300;26.43;26.43;26.39;26.39;400
20160119 111400;26.42;26.44;26.39;26.43;800
20160119 111500;26.44;26.45;26.44;26.445;1000
