20160119 093600;15.89;16.1;15.88;16.09;1800
20160119 093700;16.08;16.08;16.08;16.08;1000
20160119 094000;15.92;15.92;15.92;15.92;100
20160119 094100;15.88;15.88;15.88;15.88;400
20160119 094200;15.88;15.88;15.65;15.65;593
20160119 094500;15.66;15.66;15.66;15.66;100
20160119 095500;15.55;15.63;15.55;15.55;400
20160119 101000;15.72;15.72;15.72;15.72;100
20160119 101100;15.72;15.72;15.72;15.72;200
20160119 103100;15.6;15.6;15.6;15.6;100
20160119 103500;15.63;15.63;15.63;15.63;200
20160119 104700;15.59;15.59;15.59;15.59;200
20160119 105000;15.59;15.59;15.59;15.59;100
20160119 105200;15.59;15.59;15.56;15.56;200
20160119 105300;15.56;15.56;15.56;15.56;500
20160119 110700;15.39;15.39;15.39;15.39;100
20160119 111300;15.305;15.305;15.305;15.305;200
20160119 112000;15.26;15.26;15.26;15.26;100
20160119 112700;15.22;15.3;15.22;15.3;400
20160119 113000;15.24;15.24;15.24;15.24;100
20160119 113800;15.355;15.355;15.355;15.355;100
20160119 114100;15.32;15.32;15.32;15.32;100
20160119 114400;15.3;15.3;15.3;15.3;100
20160119 115500;15.2;15.21;15.2;15.21;200
20160119 115600;15.2;15.2;15.2;15.2;100
20160119 115700;15.21;15.21;15.21;15.21;200
20160119 120200;15.181;15.1842;15.18;15.18;500
20160119 120800;15.28;15.33;15.27;15.33;400
20160119 121000;15.31;15.31;15.31;15.31;300
20160119 121700;15.32;15.32;15.32;15.32;100
20160119 124800;15.25;15.25;15.25;15.25;200
20160119 130000;15.24;15.24;15.24;15.24;100
20160119 130100;15.22;15.22;15.22;15.22;200
20160119 131200;15.1;15.1;15.1;15.1;100
20160119 131300;15.1;15.1;15.1;15.1;500
20160119 131400;15.02;15.02;15;15;2800
20160119 131500;15;15;15;15;1000
20160119 131800;15;15;15;15;100
20160119 132000;15.13;15.13;15.13;15.13;100
20160119 132100;15.2;15.2;15.2;15.2;100
20160119 132300;15.18;15.18;15.18;15.18;100
20160119 132500;15.2;15.2;15.2;15.2;100
20160119 132600;15.08;15.08;15.08;15.08;100
20160119 132700;15.06;15.14;15.06;15.13;300
20160119 133000;15.06;15.1;15.06;15.1;400
20160119 133300;15.09;15.09;15.09;15.09;100
20160119 133600;15.08;15.08;15.08;15.08;200
20160119 134000;15.06;15.08;15.06;15.08;300
20160119 134100;15.065;15.065;15.04;15.04;200
20160119 134400;15.06;15.06;15.06;15.06;200
20160119 134500;15.09;15.09;15.09;15.09;100
20160119 134800;15.11;15.11;15.11;15.11;100
20160119 135000;15.1;15.115;15.04;15.04;900
20160119 135100;15.04;15.04;15.04;15.04;100
20160119 135300;15.08;15.08;15.08;15.08;100
20160119 135500;15.07;15.07;15.07;15.07;300
20160119 135700;15.07;15.07;15.07;15.07;100
20160119 140000;15.07;15.07;15.07;15.07;100
20160119 140300;15.08;15.09;15.07;15.08;900
20160119 140500;15.07;15.07;15.07;15.07;100
20160119 140900;15.06;15.07;15.02;15.02;500
20160119 141100;15.06;15.06;15.06;15.06;100
20160119 141200;14.98;14.98;14.93;14.97;400
20160119 141400;14.96;14.96;14.96;14.96;200
20160119 141800;14.96;14.96;14.96;14.96;100
20160119 142000;14.98;14.98;14.97;14.97;200
20160119 142100;14.97;14.97;14.97;14.97;200
20160119 142300;15.0299;15.0299;15.0299;15.0299;150
20160119 142400;15.0065;15.0065;15.0065;15.0065;200
20160119 142600;15.02;15.02;15.02;15.02;100
20160119 142700;15.03;15.03;15.03;15.03;100
20160119 143000;15.12;15.12;15.12;15.12;100
20160119 143200;15.13;15.13;15.13;15.13;100
20160119 143300;15.17;15.17;15.17;15.17;100
20160119 143500;15.2;15.2;15.17;15.18;700
20160119 143600;15.18;15.18;15.16;15.16;700
20160119 143700;15.16;15.16;15.16;15.16;100
20160119 143800;15.17;15.17;15.17;15.17;100
20160119 143900;15.14;15.14;15.14;15.14;100
20160119 144000;15.15;15.15;15.15;15.15;100
20160119 144400;15.1;15.1;15.1;15.1;100
20160119 144500;15.14;15.14;15.04;15.04;200
20160119 145100;15.11;15.11;15.11;15.11;300
20160119 145200;15.11;15.11;14.98;14.98;1100
20160119 145400;14.98;14.98;14.98;14.98;100
20160119 150200;15.02;15.04;15.02;15.04;400
20160119 150300;15.06;15.06;15.06;15.06;100
20160119 150600;15.1;15.23;15.1;15.23;500
20160119 150700;15.17;15.19;15.15;15.15;800
20160119 150800;15.125;15.125;15.125;15.125;100
20160119 151000;15.12;15.18;15.12;15.18;200
20160119 151500;15.25;15.25;15.25;15.25;600
20160119 151600;15.25;15.25;15.23;15.23;500
20160119 152100;15.23;15.24;15.23;15.24;300
20160119 152200;15.2401;15.25;15.2401;15.25;400
20160119 152300;15.25;15.25;15.25;15.25;200
20160119 152400;15.29;15.3;15.29;15.3;200
20160119 152700;15.37;15.43;15.37;15.43;300
20160119 153100;15.51;15.51;15.36;15.38;2200
20160119 153500;15.43;15.43;15.43;15.43;500
20160119 154000;15.49;15.49;15.39;15.47;1356
20160119 154100;15.37;15.37;15.37;15.37;100
20160119 154500;15.49;15.49;15.49;15.49;100
20160119 154800;15.52;15.52;15.52;15.52;100
20160119 154900;15.6;15.6;15.6;15.6;200
20160119 155000;15.59;15.59;15.32;15.32;700
20160119 155100;15.34;15.4;15.34;15.4;500
20160119 155300;15.52;15.52;15.42;15.42;300
20160119 155400;15.45;15.45;15.45;15.45;300
20160119 155500;15.44;15.44;15.43;15.43;500
20160119 155600;15.43;15.43;15.35;15.35;200
20160119 155700;15.46;15.46;15.46;15.46;100
20160119 155800;15.45;15.45;15.42;15.42;300
20160119 155900;15.42;15.43;15.42;15.43;1159
20160119 160000;15.39;15.58;15.36;15.39;8448
20160119 160100;15.39;15.39;15.39;15.39;127
20160119 162000;15.39;15.39;15.39;15.39;318
20160119 162800;15.39;15.39;15.39;15.39;87
20160120 094300;14.62;14.62;14.62;14.62;100
20160120 095900;14.9;14.9;14.9;14.9;200
20160120 100300;14.99;14.99;14.99;14.99;200
20160120 101100;14.91;14.91;14.91;14.91;100
20160120 101300;14.91;14.91;14.91;14.91;100
20160120 101700;14.7491;14.9;14.7491;14.9;600
20160120 102600;14.99;14.99;14.99;14.99;100
20160120 103000;14.97;14.97;14.97;14.97;100
20160120 103900;14.74;14.75;14.74;14.74;800
20160120 104000;14.8;14.8;14.8;14.8;100
20160120 104500;14.69;14.69;14.64;14.64;200
20160120 104600;14.55;14.55;14.55;14.55;500
20160120 104900;14.65;14.65;14.65;14.65;200
20160120 105100;14.64;14.64;14.528;14.528;517
20160120 105200;14.5;14.5;14.5;14.5;600
20160120 105300;14.5;14.5;14.5;14.5;100
20160120 105500;14.36;14.37;14.36;14.3615;1454
20160120 105800;14.4;14.4;14.39;14.39;300
20160120 105900;14.26;14.26;14.26;14.26;100
20160120 110600;14.37;14.37;14.37;14.37;100
20160120 110700;14.32;14.36;14.32;14.36;200
20160120 110800;14.41;14.41;14.41;14.41;100
20160120 111100;14.42;14.42;14.42;14.42;700
20160120 111200;14.42;14.55;14.42;14.55;1700
20160120 111400;14.53;14.53;14.53;14.53;700
20160120 111500;14.57;14.7;14.57;14.67;2900
20160120 112300;14.69;14.69;14.69;14.69;100
20160120 112500;14.63;14.63;14.63;14.63;200
20160120 113000;14.63;14.63;14.63;14.63;100
20160120 113300;14.75;14.75;14.75;14.75;381
20160120 113600;14.76;14.76;14.76;14.76;100
20160120 113900;14.73;14.73;14.715;14.715;200
20160120 114300;14.71;14.71;14.71;14.71;100
20160120 114800;14.7;14.7;14.7;14.7;100
20160120 115900;14.62;14.62;14.62;14.62;100
20160120 120200;14.68;14.68;14.68;14.68;100
20160120 121800;14.57;14.57;14.57;14.57;100
20160120 122600;14.61;14.61;14.61;14.61;100
20160120 124300;14.565;14.66;14.45;14.565;5982
20160120 124500;14.62;14.62;14.62;14.62;100
20160120 124600;14.55;14.55;14.55;14.55;5600
20160120 125000;14.62;14.79;14.62;14.79;200
20160120 125500;14.69;14.76;14.69;14.76;200
20160120 130200;14.83;14.83;14.83;14.83;400
20160120 130400;14.8;14.8;14.8;14.8;100
20160120 130500;14.8;14.81;14.8;14.81;500
20160120 130600;14.94;14.94;14.94;14.94;100
20160120 131000;15.03;15.03;15.03;15.03;100
20160120 131700;14.94;14.94;14.94;14.94;100
20160120 132000;14.99;14.99;14.99;14.99;100
20160120 132600;15.12;15.12;15.12;15.12;100
20160120 133700;15.23;15.25;15.23;15.25;1000
20160120 133800;15.25;15.25;15.24;15.24;200
20160120 133900;15.25;15.315;15.245;15.315;2203
20160120 135200;15.39;15.39;15.365;15.39;1500
20160120 135300;15.35;15.35;15.35;15.35;100
20160120 135500;15.36;15.36;15.36;15.36;100
20160120 135700;15.44;15.45;15.44;15.45;300
20160120 140100;15.49;15.49;15.49;15.49;300
20160120 141300;15.55;15.55;15.55;15.55;100
20160120 141700;15.54;15.565;15.54;15.565;200
20160120 142300;15.53;15.53;15.53;15.53;100
20160120 142500;15.57;15.57;15.57;15.57;200
20160120 142600;15.57;15.58;15.57;15.57;400
20160120 143800;15.46;15.46;15.46;15.46;300
20160120 144100;15.43;15.43;15.43;15.43;100
20160120 144500;15.37;15.37;15.34;15.34;500
20160120 151000;15.4;15.4;15.4;15.4;100
20160120 151800;15.71;15.72;15.71;15.72;200
20160120 152300;15.67;15.67;15.66;15.66;300
20160120 154400;15.68;15.68;15.68;15.68;100
20160120 154600;15.67;15.67;15.67;15.67;313
20160120 154900;15.46;15.46;15.46;15.46;100
20160120 155100;15.49;15.49;15.49;15.49;100
20160120 155900;15.57;15.64;15.57;15.57;500
20160120 160000;15.7;15.81;15.7;15.7;2108
20160121 093900;16.201;16.22;16.201;16.22;200
20160121 094400;15.8;15.93;15.76;15.76;700
20160121 094500;15.75;15.75;15.63;15.63;1200
20160121 094700;15.58;15.58;15.58;15.58;100
20160121 095100;15.71;15.71;15.71;15.71;100
20160121 100700;16.16;16.16;16.16;16.16;720
20160121 101100;16.355;16.5465;16.355;16.48;8800
20160121 101200;16.4;16.4;16.4;16.4;400
20160121 101500;16.5415;16.625;16.5401;16.5401;1300
20160121 101600;16.62;16.62;16.55;16.55;2000
20160121 101700;16.61;16.61;16.61;16.61;100
20160121 102200;16.6;16.6;16.6;16.6;300
20160121 102300;16.6;16.6;16.5;16.5;400
20160121 103000;16.31;16.31;16.31;16.31;100
20160121 103500;16.47;16.5;16.47;16.5;1346
20160121 103600;16.5;16.5;16.5;16.5;291
20160121 103700;16.48;16.48;16.47;16.47;500
20160121 105700;16.36;16.36;16.36;16.36;100
20160121 110900;16.48;16.49;16.48;16.49;200
20160121 111000;16.49;16.49;16.49;16.49;100
20160121 111100;16.49;16.49;16.49;16.49;100
20160121 111600;16.48;16.48;16.42;16.42;1000
20160121 112000;16.39;16.39;16.39;16.39;400
20160121 112900;16.28;16.28;16.27;16.27;500
20160121 113200;16.04;16.04;16.04;16.04;100
20160121 113900;16.25;16.25;16.25;16.25;100
20160121 114600;16.3;16.3;16.3;16.3;400
20160121 115000;16.33;16.33;16.33;16.33;100
20160121 115800;16.3;16.3;16.3;16.3;100
20160121 121300;16.4;16.4;16.4;16.4;100
20160121 121400;16.4;16.4;16.4;16.4;220
20160121 122600;16.3699;16.3699;16.3699;16.3699;300
20160121 122800;16.37;16.37;16.37;16.37;100
20160121 123200;16.35;16.35;16.35;16.35;100
20160121 125300;16.36;16.36;16.36;16.36;200
20160121 125700;16.39;16.39;16.39;16.39;100
20160121 130300;16.38;16.38;16.38;16.38;100
20160121 130400;16.39;16.39;16.39;16.39;100
20160121 130500;16.39;16.39;16.39;16.39;200
20160121 130600;16.39;16.39;16.39;16.39;200
20160121 130800;16.35;16.35;16.35;16.35;100
20160121 131500;16.365;16.365;16.3;16.3;500
20160121 132200;16.25;16.25;16.25;16.25;100
20160121 132400;16.07;16.07;16.0501;16.0501;200
20160121 135900;16;16;16;16;100
20160121 140800;15.94;15.9499;15.86;15.86;512
20160121 140900;15.83;15.83;15.83;15.83;100
20160121 141400;15.84;15.84;15.82;15.82;300
20160121 142200;16.02;16.02;16.02;16.02;100
20160121 144000;16.11;16.11;16.11;16.11;200
20160121 144100;16.16;16.16;16.16;16.16;100
20160121 144500;16.06;16.06;16.04;16.05;400
20160121 145200;16;16;16;16;100
20160121 150000;16.16;16.16;16.04;16.04;200
20160121 150600;16.05;16.05;16.05;16.05;200
20160121 150700;16.1;16.1;15.99;15.99;400
20160121 151900;16.07;16.07;16.07;16.07;100
20160121 152300;16;16;15.99;15.99;200
20160121 152400;15.9801;16.01;15.98;15.98;300
20160121 152700;15.99;16.03;15.99;16.03;300
20160121 153500;16.09;16.09;16.09;16.09;100
20160121 153800;16.13;16.13;16.13;16.13;100
20160121 154300;16.08;16.08;16.08;16.08;100
20160121 154900;16.02;16.02;16.02;16.02;300
20160121 155000;16.05;16.05;16.05;16.05;300
20160121 155400;16.03;16.03;16.03;16.03;227
20160121 155600;16;16;16;16;100
20160121 155700;15.98;16.07;15.98;16.07;1486
20160121 160000;16.05;16.05;15.99;15.99;2736
20160121 161100;15.99;15.99;15.99;15.99;10
20160121 162700;15.99;15.99;15.99;15.99;124
20160121 162900;15.9881;15.9881;15.9881;15.9881;247
20160122 093300;16.78;16.7999;16.78;16.7999;400
20160122 093400;16.8;17.43;16.8;17.43;1200
20160122 093600;17;17.2;16.79;16.9699;1984
20160122 094000;16.45;16.45;16.45;16.45;100
20160122 094100;16.54;16.54;16.54;16.54;100
20160122 094200;16.18;16.18;16.18;16.18;100
20160122 094300;16.18;16.18;16.18;16.18;300
20160122 094600;16.314;16.321;16.18;16.27;5534
20160122 094700;16.115;16.115;16.09;16.09;200
20160122 095800;16.29;16.31;16.29;16.31;400
20160122 100600;16.4;16.4;16.4;16.4;100
20160122 100800;16.44;16.44;16.44;16.44;100
20160122 101100;16.505;16.56;16.46;16.46;300
20160122 101200;16.46;16.46;16.46;16.46;100
20160122 101300;16.495;16.495;16.495;16.495;200
20160122 102100;16.45;16.48;16.45;16.45;600
20160122 103200;16.41;16.41;16.41;16.41;100
20160122 104100;16.34;16.4;16.255;16.35;605
20160122 104700;16.32;16.32;16.32;16.32;100
20160122 105000;16.34;16.34;16.34;16.34;200
20160122 110100;16.31;16.36;16.31;16.36;1025
20160122 110600;16.28;16.28;16.14;16.27;1000
20160122 111600;16.21;16.21;16.21;16.21;200
20160122 112300;16.26;16.26;16.26;16.26;300
20160122 112400;16.26;16.26;16.26;16.26;100
20160122 113100;16.22;16.22;16.22;16.22;100
20160122 114000;16.275;16.275;16.275;16.275;175
20160122 114800;16.22;16.23;16.22;16.23;300
20160122 115300;16.21;16.21;16.21;16.21;200
20160122 121100;16.201;16.25;16.201;16.25;200
20160122 121500;16.17;16.17;16.17;16.17;100
20160122 121600;16.18;16.18;16.18;16.18;100
20160122 122200;16.17;16.17;16.17;16.17;100
20160122 122300;16.22;16.22;16.22;16.22;100
20160122 123100;16.211;16.211;16.211;16.211;308
20160122 123800;16.28;16.28;16.25;16.25;200
20160122 124000;16.26;16.34;16.25;16.34;500
20160122 124100;16.34;16.34;16.28;16.28;648
20160122 124200;16.28;16.28;16.28;16.28;300
20160122 124300;16.28;16.28;16.28;16.28;200
20160122 130700;16.19;16.19;16.19;16.19;100
20160122 131100;16.05;16.05;16.05;16.05;100
20160122 132700;16.11;16.11;16.11;16.11;100
20160122 134400;16.19;16.19;16.19;16.19;100
20160122 134600;16.18;16.18;16.17;16.17;200
20160122 135900;16.19;16.19;16.17;16.17;300
20160122 140800;16.18;16.19;16.18;16.19;200
20160122 140900;16.18;16.18;16.18;16.18;200
20160122 141000;16.17;16.17;16.17;16.17;200
20160122 141200;16.15;16.15;16.15;16.15;100
20160122 141500;16.25;16.25;16.25;16.25;200
20160122 144100;16.19;16.19;16.19;16.19;200
20160122 144400;16.1;16.1;16.1;16.1;100
20160122 144800;16.19;16.19;16.19;16.19;100
20160122 145500;16.23;16.23;16.23;16.23;100
20160122 150200;16.29;16.29;16.29;16.29;200
20160122 150500;16.29;16.29;15.99;16.05;3400
20160122 150600;15.96;16;15.96;15.97;900
20160122 152400;15.89;15.89;15.89;15.89;100
20160122 152700;15.89;15.89;15.89;15.89;100
20160122 152800;15.9;15.9;15.9;15.9;214
20160122 153200;15.72;15.72;15.72;15.72;100
20160122 153900;15.78;15.78;15.78;15.78;100
20160122 154100;15.74;15.74;15.74;15.74;100
20160122 154500;15.71;15.71;15.71;15.71;100
20160122 154700;15.71;15.75;15.71;15.75;1000
20160122 154800;15.89;15.9;15.76;15.83;800
20160122 154900;15.765;15.89;15.765;15.89;400
20160122 155000;15.83;15.83;15.83;15.83;100
20160122 155300;15.8;15.8;15.76;15.79;1575
20160122 155800;15.84;15.84;15.84;15.84;100
20160122 155900;15.88;15.88;15.88;15.88;200
20160122 160000;15.87;15.9;15.78;15.78;950
20160122 162600;15.78;15.78;15.78;15.78;120
20160125 094500;16.98;16.98;16.98;16.98;100
20160125 094800;16;16;15.97;15.99;1000
20160125 094900;16;16;15.98;15.98;1000
20160125 095000;16;16;16;16;300
20160125 095100;16;16;16;16;300
20160125 095200;15.99;15.99;15.99;15.99;100
20160125 095300;15.99;15.99;15.99;15.99;100
20160125 095600;16;16;16;16;100
20160125 095800;15.985;15.985;15.9801;15.9801;200
20160125 100000;15.985;16.085;15.98;15.995;3200
20160125 100100;16;16;15.99;15.99;700
20160125 100600;15.88;15.88;15.88;15.88;1000
20160125 101600;15.75;15.785;15.75;15.7501;300
20160125 102100;15.8798;15.8798;15.875;15.875;350
20160125 102200;15.875;15.875;15.875;15.875;100
20160125 102500;15.86;15.86;15.86;15.86;100
20160125 102600;15.91;15.91;15.91;15.91;100
20160125 102800;15.915;15.915;15.915;15.915;100
20160125 103300;15.88;15.88;15.88;15.88;100
20160125 103400;15.9;15.9;15.9;15.9;200
20160125 103500;15.87;15.87;15.87;15.87;300
20160125 103600;15.88;15.88;15.88;15.88;100
20160125 103700;15.84;15.84;15.84;15.84;100
20160125 104500;15.83;15.83;15.83;15.83;100
20160125 104600;15.865;15.865;15.8301;15.85;300
20160125 104700;15.9;15.9;15.9;15.9;200
20160125 105000;15.89;15.89;15.87;15.87;900
20160125 105200;15.87;15.87;15.87;15.87;100
20160125 105300;15.895;15.895;15.87;15.87;200
20160125 105400;15.82;15.82;15.82;15.82;100
20160125 105500;15.82;15.82;15.82;15.82;100
20160125 105600;15.85;15.85;15.85;15.85;200
20160125 110500;15.84;15.84;15.84;15.84;100
20160125 110700;15.85;15.85;15.85;15.85;200
20160125 110800;15.91;15.91;15.91;15.91;100
20160125 111400;15.86;15.86;15.86;15.86;500
20160125 112000;15.8;15.8;15.8;15.8;100
20160125 112200;15.85;15.85;15.85;15.85;100
20160125 113000;15.86;15.86;15.82;15.82;200
20160125 113100;15.86;15.86;15.86;15.86;100
20160125 113300;15.82;15.82;15.82;15.82;100
20160125 113700;15.855;15.855;15.855;15.855;100
20160125 113800;15.82;15.82;15.8;15.8;300
20160125 114000;15.77;15.77;15.77;15.77;100
20160125 115500;15.72;15.72;15.72;15.72;100
20160125 115800;15.7985;15.799;15.752;15.7985;1000
20160125 120100;15.715;15.715;15.715;15.715;100
20160125 120300;15.7;15.7;15.68;15.68;200
20160125 120400;15.68;15.68;15.68;15.68;100
20160125 120700;15.665;15.665;15.665;15.665;100
20160125 121000;15.63;15.63;15.63;15.63;100
20160125 122200;15.58;15.58;15.51;15.51;618
