20160119 091600;32.76;32.76;32.76;32.76;3
20160119 092300;32.76;32.76;32.76;32.76;1800
20160119 093500;32.8;32.8;32.79;32.79;200
20160119 093700;32.81;32.81;32.77;32.77;292
20160119 093800;32.79;32.85;32.79;32.85;300
20160119 094000;32.8;32.8;32.8;32.8;100
20160119 094200;32.85;32.85;32.85;32.85;100
20160119 094300;32.84;32.86;32.84;32.86;200
20160119 094500;32.92;32.92;32.92;32.92;100
20160119 094600;32.9;32.9;32.88;32.88;300
20160119 094700;32.87;32.87;32.86;32.86;400
20160119 095300;32.76;32.76;32.76;32.76;200
20160119 095600;32.85;32.85;32.85;32.85;100
20160119 095800;32.85;32.86;32.85;32.86;300
20160119 095900;32.87;32.87;32.87;32.87;200
20160119 100100;32.98;32.98;32.98;32.98;100
20160119 100200;32.99;32.99;32.99;32.99;100
20160119 100300;32.94;32.94;32.89;32.89;384
20160119 100600;32.89;32.89;32.89;32.89;100
20160119 101200;32.86;32.89;32.86;32.89;500
20160119 101700;32.92;32.92;32.92;32.92;100
20160119 101800;32.93;32.93;32.93;32.93;100
20160119 101900;32.89;32.89;32.89;32.89;200
20160119 102400;32.865;32.88;32.865;32.88;600
20160119 102500;32.9;32.91;32.9;32.91;200
20160119 103000;32.94;32.94;32.94;32.94;200
20160119 103100;32.94;32.94;32.94;32.94;100
20160119 103500;32.91;32.91;32.91;32.91;100
20160119 103600;32.94;32.95;32.91;32.94;700
20160119 104000;32.89;32.89;32.89;32.89;100
20160119 104300;32.82;32.82;32.78;32.78;200
20160119 104400;32.82;32.82;32.82;32.82;100
20160119 104800;32.8;32.8;32.8;32.8;100
20160119 105200;32.82;32.82;32.73;32.73;700
20160119 105400;32.57;32.57;32.57;32.57;100
20160119 105700;32.62;32.63;32.62;32.63;200
20160119 105800;32.62;32.62;32.62;32.62;100
20160119 110400;32.57;32.57;32.57;32.57;200
20160119 110700;32.56;32.56;32.52;32.52;300
20160119 110900;32.53;32.55;32.53;32.55;600
20160119 111000;32.57;32.57;32.57;32.57;100
20160119 111200;32.56;32.59;32.52;32.52;700
20160119 111400;32.46;32.48;32.46;32.48;600
20160119 111700;32.5;32.5;32.5;32.5;100
20160119 111800;32.49;32.49;32.48;32.48;200
20160119 111900;32.46;32.46;32.46;32.46;100
20160119 112000;32.4601;32.4601;32.46;32.46;300
20160119 112200;32.47;32.5;32.47;32.5;300
20160119 112500;32.43;32.43;32.43;32.43;100
20160119 112600;32.45;32.45;32.45;32.45;100
20160119 112700;32.48;32.48;32.48;32.48;100
20160119 113000;32.52;32.55;32.52;32.55;300
20160119 113100;32.56;32.61;32.54;32.61;700
20160119 113500;32.55;32.55;32.54;32.54;200
20160119 113900;32.54;32.55;32.54;32.55;200
20160119 114800;32.54;32.54;32.54;32.54;300
20160119 115000;32.5;32.53;32.5;32.525;1200
20160119 115500;32.52;32.52;32.52;32.52;100
20160119 115700;32.51;32.53;32.48;32.53;500
20160119 120000;32.49;32.49;32.46;32.46;400
20160119 120100;32.46;32.46;32.46;32.46;186
20160119 120200;32.43;32.43;32.428;32.428;500
20160119 120300;32.41;32.41;32.41;32.41;100
20160119 121000;32.4;32.4;32.4;32.4;300
20160119 121100;32.39;32.39;32.39;32.39;157
20160119 121200;32.4;32.4;32.4;32.4;100
20160119 121400;32.42;32.44;32.42;32.44;453
20160119 121800;32.39;32.39;32.39;32.39;100
20160119 121900;32.38;32.38;32.32;32.35;600
20160119 122100;32.27;32.33;32.27;32.33;500
20160119 122200;32.29;32.33;32.28;32.28;1200
20160119 122300;32.27;32.28;32.27;32.28;300
20160119 122400;32.3;32.3;32.3;32.3;100
20160119 122600;32.33;32.33;32.33;32.33;100
20160119 122800;32.29;32.3;32.29;32.3;200
20160119 122900;32.33;32.33;32.33;32.33;200
20160119 123300;32.31;32.31;32.31;32.31;200
20160119 123500;32.28;32.28;32.28;32.28;100
20160119 123700;32.3;32.3;32.3;32.3;100
20160119 123800;32.31;32.31;32.28;32.28;200
20160119 123900;32.26;32.26;32.26;32.26;100
20160119 124000;32.23;32.23;32.23;32.23;100
20160119 124300;32.27;32.27;32.27;32.27;100
20160119 124400;32.21;32.21;32.21;32.21;100
20160119 124600;32.2;32.2;32.2;32.2;200
20160119 124900;32.15;32.15;32.15;32.15;173
20160119 125100;32.14;32.14;32.14;32.14;100
20160119 125200;32.16;32.16;32.16;32.16;100
20160119 125300;32.128;32.128;32.128;32.128;445
20160119 125400;32.09;32.09;32.09;32.09;300
20160119 125700;32.15;32.15;32.15;32.15;100
20160119 125800;32.17;32.17;32.17;32.17;100
20160119 130000;32.18;32.2;32.18;32.2;200
20160119 130300;32.23;32.23;32.23;32.23;100
20160119 130500;32.23;32.28;32.23;32.275;2100
20160119 130600;32.26;32.29;32.26;32.28;2900
20160119 130700;32.3;32.33;32.3;32.33;1000
20160119 131000;32.33;32.33;32.33;32.33;100
20160119 131400;32.3;32.3;32.3;32.3;100
20160119 131500;32.3;32.3;32.28;32.3;400
20160119 132000;32.33;32.4;32.33;32.4;500
20160119 132200;32.44;32.44;32.44;32.44;400
20160119 132400;32.42;32.42;32.42;32.42;100
20160119 132800;32.33;32.33;32.33;32.33;100
20160119 133000;32.36;32.36;32.36;32.36;100
20160119 133100;32.36;32.36;32.36;32.36;100
20160119 133200;32.36;32.37;32.36;32.37;499
20160119 133300;32.33;32.33;32.28;32.28;300
20160119 133400;32.3;32.3;32.3;32.3;200
20160119 133500;32.31;32.31;32.31;32.31;100
20160119 133600;32.34;32.34;32.34;32.34;176
20160119 133800;32.33;32.33;32.33;32.33;100
20160119 134500;32.3;32.3;32.3;32.3;100
20160119 134700;32.3;32.3;32.3;32.3;100
20160119 134900;32.32;32.34;32.32;32.34;900
20160119 135100;32.37;32.37;32.37;32.37;100
