20160119 090700;16.68;16.68;16.68;16.68;27
20160119 090800;16.68;16.68;16.68;16.68;1
20160119 093300;16.785;16.85;16.785;16.85;200
20160119 093400;16.85;16.85;16.73;16.76;2000
20160119 093500;16.82;16.83;16.76;16.83;1000
20160119 093600;16.8;16.8;16.64;16.64;2560
20160119 093700;16.68;16.68;16.51;16.51;9470
20160119 093800;16.48;16.53;16.46;16.5;3782
20160119 093900;16.49;16.5;16.48;16.49;3425
20160119 094000;16.4798;16.48;16.46;16.46;1600
20160119 094100;16.4;16.4;16.36;16.39;2593
20160119 094200;16.39;16.39;16.36;16.39;700
20160119 094300;16.39;16.405;16.39;16.405;1700
20160119 094400;16.4;16.41;16.36;16.41;1877
20160119 094500;16.4;16.42;16.4;16.42;300
20160119 094600;16.45;16.47;16.44;16.455;800
20160119 094700;16.45;16.47;16.35;16.37;9158
20160119 094800;16.35;16.36;16.315;16.33;3131
20160119 094900;16.3274;16.3274;16.32;16.32;500
20160119 095000;16.3;16.33;16.3;16.33;700
20160119 095100;16.32;16.32;16.32;16.32;795
20160119 095200;16.24;16.24;16.24;16.24;100
20160119 095300;16.25;16.27;16.25;16.27;850
20160119 095400;16.29;16.32;16.29;16.31;1300
20160119 095500;16.34;16.39;16.34;16.34;2485
20160119 095600;16.35;16.35;16.35;16.35;400
20160119 095700;16.37;16.38;16.37;16.38;200
20160119 095800;16.38;16.39;16.38;16.39;200
20160119 095900;16.4;16.42;16.39;16.42;1300
20160119 100000;16.39;16.42;16.39;16.4002;1117
20160119 100100;16.42;16.435;16.41;16.435;1218
20160119 100200;16.44;16.47;16.44;16.445;3050
20160119 100300;16.44;16.44;16.4;16.4;500
20160119 100400;16.36;16.37;16.355;16.365;6945
20160119 100500;16.35;16.39;16.35;16.385;1700
20160119 100600;16.39;16.46;16.39;16.46;2700
20160119 100700;16.45;16.46;16.42;16.42;1500
20160119 100800;16.41;16.42;16.4;16.4;1400
20160119 100900;16.388;16.388;16.37;16.37;500
20160119 101000;16.35;16.35;16.3;16.3;2300
20160119 101100;16.31;16.36;16.31;16.33;1375
20160119 101200;16.35;16.35;16.32;16.32;500
20160119 101300;16.34;16.34;16.34;16.34;300
20160119 101400;16.35;16.375;16.35;16.375;1900
20160119 101500;16.37;16.37;16.34;16.34;800
20160119 101600;16.34;16.36;16.335;16.34;3356
20160119 101700;16.35;16.38;16.34;16.34;9801
20160119 101800;16.34;16.34;16.33;16.33;725
20160119 101900;16.35;16.35;16.31;16.34;5800
20160119 102000;16.34;16.35;16.33;16.33;939
20160119 102100;16.33;16.33;16.32;16.32;303
20160119 102200;16.32;16.32;16.3;16.3;2400
20160119 102300;16.29;16.31;16.29;16.29;1180
20160119 102400;16.2867;16.29;16.28;16.28;2115
20160119 102500;16.26;16.28;16.24;16.28;2100
20160119 102600;16.29;16.29;16.29;16.29;876
20160119 102700;16.31;16.31;16.31;16.31;994
20160119 102800;16.31;16.355;16.3;16.355;2250
20160119 102900;16.36;16.36;16.355;16.355;300
20160119 103000;16.35;16.37;16.34;16.37;5535
20160119 103100;16.38;16.4;16.375;16.4;3200
20160119 103200;16.39;16.39;16.35;16.35;1500
20160119 103300;16.36;16.39;16.36;16.39;5761
20160119 103400;16.39;16.4;16.36;16.37;7423
20160119 103500;16.36;16.39;16.34;16.38;28128
20160119 103600;16.38;16.38;16.31;16.3599;8662
20160119 103700;16.32;16.32;16.3;16.3;1200
20160119 103800;16.29;16.29;16.25;16.25;3300
20160119 103900;16.25;16.25;16.216;16.22;4078
20160119 104000;16.215;16.215;16.19;16.19;1500
20160119 104100;16.185;16.185;16.15;16.17;4326
20160119 104200;16.18;16.2;16.175;16.2;1200
20160119 104300;16.2;16.21;16.15;16.16;8199
20160119 104400;16.16;16.16;16.145;16.145;1300
20160119 104500;16.14;16.14;16.13;16.13;7595
20160119 104600;16.13;16.13;16.1;16.1;3100
20160119 104700;16.1;16.1;16.1;16.1;700
20160119 104800;16.12;16.14;16.11;16.12;4302
20160119 104900;16.12;16.155;16.12;16.155;1200
20160119 105000;16.16;16.23;16.16;16.23;2476
20160119 105100;16.24;16.28;16.22;16.22;2800
20160119 105200;16.22;16.22;16.19;16.19;1060
20160119 105300;16.18;16.18;16.145;16.15;1978
20160119 105400;16.1495;16.1495;16.08;16.08;1401
20160119 105500;16.09;16.1;16.085;16.1;2800
20160119 105600;16.1;16.1;16.1;16.1;700
20160119 105700;16.095;16.11;16.095;16.11;1100
20160119 105800;16.11;16.11;16.1;16.11;1350
20160119 105900;16.09;16.126;16.09;16.1;2200
20160119 110000;16.1;16.1;16.09;16.09;2000
20160119 110100;16.1;16.13;16.1;16.1;800
20160119 110200;16.1;16.1;16.05;16.05;15517
20160119 110300;16.05;16.07;16.05;16.07;700
20160119 110400;16.08;16.08;16.08;16.08;1601
20160119 110500;16.07;16.08;16.05;16.08;1800
20160119 110600;16.08;16.09;16.07;16.07;937
20160119 110700;16.06;16.08;16.06;16.07;1800
20160119 110800;16.06;16.06;16.055;16.055;1300
20160119 110900;16.07;16.1;16.07;16.1;2890
20160119 111000;16.1;16.1;16.1;16.1;100
20160119 111100;16.09;16.09;16.07;16.08;3159
20160119 111200;16.07;16.07;16.02;16.02;1479
20160119 111300;16.03;16.03;16.01;16.03;4084
20160119 111400;16.03;16.06;16.03;16.05;1042
20160119 111500;16.04;16.04;16.02;16.02;1400
20160119 111600;16.02;16.02;15.9785;15.99;10715
20160119 111700;15.99;15.997;15.9899;15.9899;1406
20160119 111800;15.98;15.98;15.97;15.97;1801
20160119 111900;15.98;15.98;15.98;15.98;800
20160119 112000;15.97;15.97;15.9;15.9;9744
20160119 112100;15.9;15.92;15.9;15.91;5762
20160119 112200;15.9;15.9;15.87;15.8701;14601
20160119 112300;15.88;15.91;15.88;15.89;3340
20160119 112400;15.89;15.895;15.87;15.87;6674
20160119 112500;15.88;15.9;15.88;15.89;15551
20160119 112600;15.9;15.96;15.895;15.95;5351
20160119 112700;15.96;15.98;15.96;15.98;1322
20160119 112800;15.98;15.995;15.96;15.995;5152
20160119 112900;16;16.01;15.98;16.01;5980
20160119 113000;16.01;16.02;16.01;16.02;700
20160119 113100;16.03;16.05;16.03;16.05;3800
20160119 113200;16.05;16.06;16.045;16.05;7826
20160119 113300;16.07;16.11;16.07;16.11;1300
20160119 113400;16.12;16.13;16.09;16.09;3920
20160119 113500;16.1;16.12;16.1;16.1;2550
20160119 113600;16.09;16.09;16.09;16.09;1300
20160119 113700;16.09;16.1;16.08;16.1;1942
20160119 113800;16.09;16.09;16.07;16.07;1857
20160119 113900;16.08;16.11;16.08;16.11;2100
20160119 114000;16.11;16.145;16.11;16.13;1577
20160119 114100;16.12;16.12;16.1;16.1;1078
20160119 114200;16.1;16.1;16.08;16.08;2700
20160119 114300;16.1;16.1001;16.07;16.07;1805
20160119 114400;16.07;16.1;16.07;16.0701;3471
20160119 114500;16.08;16.08;16.06;16.06;1700
