20160119 085600;45.02;45.02;45.02;45.02;2070
20160119 093300;45.36;45.36;45.04;45.04;4600
20160119 093400;45.085;45.13;45.03;45.06;7262
20160119 093500;45.085;45.085;45.04;45.04;1718
20160119 093600;45.055;45.055;44.5103;44.5103;11601
20160119 093700;44.47;44.69;44.4503;44.509;18724
20160119 093800;44.51;44.69;44.5;44.68;5100
20160119 093900;44.7;44.85;44.67;44.79;15550
20160119 094000;44.75;44.79;44.67;44.785;13628
20160119 094100;44.72;44.79;44.63;44.63;44612
20160119 094200;44.66;44.66;44.53;44.53;10350
20160119 094300;44.54;44.59;44.52;44.54;29276
20160119 094400;44.51;44.51;44.27;44.3;22102
20160119 094500;44.27;44.27;43.98;44;12772
20160119 094600;43.98;44.06;43.96;44.06;25719
20160119 094700;44.05;44.05;44;44;12361
20160119 094800;44;44.04;43.96;43.99;58462
20160119 094900;44;44.04;44;44.03;4412
20160119 095000;44.01;44.22;44;44.2;37900
20160119 095100;44.2;44.2;44.03;44.0325;6341
20160119 095200;44.04;44.08;44;44;32056
20160119 095300;44;44.04;44;44.02;25382
20160119 095400;44.01;44.03;44;44;24164
20160119 095500;43.99;44.13;43.95;44.13;9059
20160119 095600;44.12;44.23;44.1;44.23;2900
20160119 095700;44.2;44.23;44.16;44.22;3700
20160119 095800;44.25;44.318;44.235;44.25;16317
20160119 095900;44.2501;44.31;44.25;44.3;7700
20160119 100000;44.3;44.3;44.27;44.29;1550
20160119 100100;44.27;44.27;44.16;44.22;11990
20160119 100200;44.24;44.29;44.17;44.19;19201
20160119 100300;44.18;44.18;44.04;44.06;34733
20160119 100400;44.04;44.07;43.89;43.91;54404
20160119 100500;43.93;43.94;43.87;43.92;10778
20160119 100600;43.95;44.13;43.94;44.13;24547
20160119 100700;44.14;44.18;44.02;44.02;16205
20160119 100800;44.03;44.07;44.01;44.04;19278
20160119 100900;44.04;44.19;44.04;44.06;17998
20160119 101000;44.07;44.1;43.94;43.95;7017
20160119 101100;43.93;44.02;43.91;44;40279
20160119 101200;44;44.045;43.995;44.02;60048
20160119 101300;44.025;44.115;44.01;44.07;16555
20160119 101400;44.045;44.11;44.01;44.01;31995
20160119 101500;44.02;44.025;43.93;43.93;7200
20160119 101600;43.9;44.005;43.89;43.99;20385
20160119 101700;44;44.05;44;44.01;8786
20160119 101800;44.02;44.1;44.01;44.065;30086
20160119 101900;44.07;44.1;44.035;44.06;39404
20160119 102000;44.07;44.09;44.02;44.02;10964
20160119 102100;44.04;44.07;44.01;44.04;10920
20160119 102200;44.02;44.04;44.01;44.01;6912
20160119 102300;44.01;44.03;43.94;43.97;11483
20160119 102400;43.97;44.09;43.97;44.07;15200
20160119 102500;44.07;44.175;44.02;44.13;36564
20160119 102600;44.155;44.295;44.155;44.28;12034
20160119 102700;44.28;44.39;44.26;44.32;5700
20160119 102800;44.325;44.5;44.325;44.49;11420
20160119 102900;44.49;44.49;44.35;44.35;7800
20160119 103000;44.35;44.37;44.26;44.325;4990
20160119 103100;44.325;44.44;44.325;44.44;3300
20160119 103200;44.44;44.4416;44.35;44.365;9902
20160119 103300;44.38;44.42;44.375;44.39;4301
20160119 103400;44.4;44.41;44.37;44.38;8100
20160119 103500;44.355;44.37;44.28;44.28;5100
20160119 103600;44.3;44.32;44.26;44.26;9500
20160119 103700;44.26;44.27;44.24;44.27;6345
20160119 103800;44.27;44.27;44.215;44.22;12196
20160119 103900;44.23;44.23;44.19;44.19;3994
20160119 104000;44.19;44.19;44.03;44.04;11121
20160119 104100;44.05;44.13;44.04;44.1;9272
20160119 104200;44.095;44.13;44.09;44.13;5234
20160119 104300;44.13;44.165;44.04;44.09;28723
20160119 104400;44.09;44.1;44.05;44.05;4401
20160119 104500;44.07;44.15;44.07;44.07;11720
20160119 104600;44.07;44.07;44.05;44.06;3100
20160119 104700;44.06;44.06;44.03;44.05;3200
20160119 104800;44.06;44.09;44.05;44.07;28610
20160119 104900;44.08;44.17;44.08;44.1675;41273
20160119 105000;44.16;44.225;44.145;44.2;15600
20160119 105100;44.21;44.24;44.18;44.185;21092
20160119 105200;44.18;44.18;44.11;44.12;8019
20160119 105300;44.115;44.12;44.01;44.06;5069
20160119 105400;44.065;44.07;44.02;44.06;4561
20160119 105500;44.05;44.05;44.03;44.03;2400
20160119 105600;44.03;44.06;44;44.04;3339
20160119 105700;44.04;44.04;43.985;44.03;10801
20160119 105800;44.025;44.085;44.025;44.04;28200
20160119 105900;44.01;44.09;44.01;44.02;11200
20160119 110000;44.03;44.03;43.95;43.95;3100
20160119 110100;43.96;44.03;43.96;44;7095
20160119 110200;44;44.05;44;44.01;4600
20160119 110300;44.02;44.05;44.02;44.04;1400
20160119 110400;44.03;44.08;44.03;44.07;6259
20160119 110500;44.05;44.055;43.96;44;7566
20160119 110600;44;44.05;43.98;43.99;5301
20160119 110700;44;44;43.96;43.97;8781
20160119 110800;43.98;43.98;43.93;43.93;13314
20160119 110900;43.93;43.99;43.92;43.96;16430
20160119 111000;43.97;43.97;43.94;43.965;6161
20160119 111100;43.95;43.96;43.92;43.93;14142
20160119 111200;43.94;43.95;43.8;43.83;11576
20160119 111300;43.82;43.88;43.82;43.8399;17714
20160119 111400;43.84;43.91;43.84;43.86;9900
20160119 111500;43.85;43.87;43.82;43.855;4750
20160119 111600;43.85;43.91;43.85;43.89;7400
20160119 111700;43.9;43.92;43.87;43.87;12617
20160119 111800;43.86;43.87;43.83;43.87;5762
20160119 111900;43.87;43.88;43.8;43.8;9262
20160119 112000;43.8;43.8;43.715;43.72;7266
20160119 112100;43.73;43.73;43.67;43.69;4194
20160119 112200;43.72;43.77;43.71;43.77;6264
20160119 112300;43.78;43.79;43.75;43.79;3500
20160119 112400;43.78;43.78;43.71;43.73;4218
20160119 112500;43.715;43.74;43.69;43.73;3900
20160119 112600;43.725;43.795;43.725;43.73;6500
20160119 112700;43.735;43.775;43.73;43.77;2500
20160119 112800;43.77;43.84;43.76;43.84;4400
20160119 112900;43.85;43.86;43.82;43.84;9800
20160119 113000;43.85;43.87;43.82;43.84;8620
20160119 113100;43.86;43.91;43.82;43.86;22666
20160119 113200;43.84;43.87;43.81;43.82;6639
20160119 113300;43.83;43.84;43.79;43.79;8027
20160119 113400;43.8;43.83;43.75;43.78;14962
20160119 113500;43.7897;43.7897;43.72;43.72;3811
20160119 113600;43.73;43.73;43.705;43.73;4866
20160119 113700;43.73;43.79;43.73;43.79;4900
20160119 113800;43.79;43.8;43.78;43.78;4994
20160119 113900;43.77;43.82;43.77;43.815;8501
20160119 114000;43.825;43.825;43.78;43.8;7500
20160119 114100;43.79;43.79;43.76;43.77;3800
20160119 114200;43.77;43.77;43.71;43.71;4084
20160119 114300;43.74;43.78;43.74;43.75;4315
20160119 114400;43.74;43.74;43.7;43.71;9648
20160119 114500;43.72;43.72;43.69;43.69;6001
20160119 114600;43.71;43.77;43.71;43.76;5800
20160119 114700;43.74;43.74;43.71;43.73;4312
20160119 114800;43.74;43.75;43.69;43.69;3600
20160119 114900;43.7;43.7;43.67;43.67;4100
20160119 115000;43.65;43.66;43.62;43.62;5184
20160119 115100;43.62;43.63;43.57;43.58;8394
20160119 115200;43.57;43.6;43.54;43.54;12535
20160119 115300;43.545;43.55;43.51;43.51;7100
20160119 115400;43.51;43.52;43.49;43.51;8617
20160119 115500;43.515;43.54;43.5;43.505;12486
20160119 115600;43.5;43.61;43.49;43.6;34051
20160119 115700;43.595;43.71;43.595;43.62;19275
20160119 115800;43.62;43.64;43.575;43.575;6306
20160119 115900;43.58;43.63;43.58;43.61;6450
20160119 120000;43.61;43.62;43.58;43.62;6265
20160119 120100;43.61;43.685;43.61;43.68;5100
20160119 120200;43.67;43.69;43.67;43.68;5814
20160119 120300;43.69;43.71;43.69;43.71;6965
20160119 120400;43.7;43.72;43.7;43.71;9118
20160119 120500;43.7;43.74;43.7;43.73;16740
20160119 120600;43.73;43.77;43.72;43.76;28653
20160119 120700;43.76;43.785;43.75;43.7601;6788
20160119 120800;43.76;43.77;43.7399;43.77;9511
20160119 120900;43.77;43.77;43.72;43.73;20973
20160119 121000;43.72;43.74;43.67;43.67;19806
20160119 121100;43.68;43.71;43.67;43.68;3316
20160119 121200;43.69;43.72;43.69;43.705;24701
20160119 121300;43.7;43.705;43.685;43.69;3100
20160119 121400;43.7;43.765;43.7;43.75;48131
20160119 121500;43.77;43.785;43.74;43.7608;5658
20160119 121600;43.76;43.765;43.72;43.74;4500
20160119 121700;43.73;43.74;43.69;43.71;5420
20160119 121800;43.7;43.72;43.67;43.67;2800
20160119 121900;43.665;43.67;43.595;43.595;3404
20160119 122000;43.59;43.61;43.58;43.59;7960
20160119 122100;43.59;43.61;43.59;43.6;5627
20160119 122200;43.6;43.62;43.59;43.61;7800
20160119 122300;43.6;43.62;43.59;43.61;12592
20160119 122400;43.61;43.66;43.595;43.6;14721
20160119 122500;43.61;43.61;43.59;43.6;4000
20160119 122600;43.6001;43.61;43.59;43.59;5352
20160119 122700;43.59;43.59;43.54;43.54;3227
20160119 122800;43.53;43.57;43.51;43.57;4801
20160119 122900;43.57;43.63;43.565;43.62;4450
20160119 123000;43.63;43.68;43.6201;43.68;3300
20160119 123100;43.68;43.7;43.66;43.68;3746
20160119 123200;43.68;43.715;43.68;43.715;6101
20160119 123300;43.715;43.75;43.7;43.73;5900
20160119 123400;43.73;43.76;43.73;43.74;10358
20160119 123500;43.75;43.76;43.73;43.75;3540
20160119 123600;43.74;43.76;43.74;43.74;2799
20160119 123700;43.74;43.76;43.74;43.74;5687
20160119 123800;43.75;43.75;43.69;43.7;9300
20160119 123900;43.7099;43.7099;43.62;43.65;25686
20160119 124000;43.65;43.67;43.65;43.67;2267
20160119 124100;43.67;43.67;43.635;43.65;5552
20160119 124200;43.66;43.685;43.65;43.67;3469
20160119 124300;43.68;43.68;43.65;43.65;3602
20160119 124400;43.64;43.695;43.63;43.69;7343
20160119 124500;43.69;43.695;43.64;43.65;6550
