20160119 090700;11.54;11.8;11.54;11.8;2108
20160119 090800;11.8;11.8;11.8;11.8;1200
20160119 090900;11.8;11.8;11.8;11.8;699
20160119 091600;11.54;11.54;11.54;11.54;8
20160119 093000;11.77;11.77;11.77;11.77;100
20160119 093100;11.8;11.8;11.8;11.8;21069
20160119 093200;11.76;11.76;11.75;11.75;200
20160119 093300;11.7;11.7;11.66;11.68;800
20160119 093400;11.67;11.67;11.66;11.66;600
20160119 093600;11.59;11.59;11.56;11.56;500
20160119 093700;11.57;11.58;11.55;11.58;6000
20160119 093800;11.56;11.57;11.56;11.56;3600
20160119 093900;11.58;11.59;11.57;11.57;4400
20160119 094000;11.58;11.62;11.57;11.57;3200
20160119 094100;11.58;11.58;11.48;11.48;111404
20160119 094200;11.47;11.47;11.47;11.47;100
20160119 094300;11.45;11.47;11.45;11.45;400
20160119 094400;11.45;11.45;11.44;11.44;1900
20160119 094500;11.44;11.45;11.44;11.44;300
20160119 094600;11.46;11.46;11.43;11.44;5100
20160119 094700;11.43;11.43;11.43;11.43;400
20160119 094800;11.42;11.42;11.39;11.39;5905
20160119 094900;11.39;11.4;11.38;11.39;1500
20160119 095000;11.42;11.42;11.42;11.42;600
20160119 095100;11.42;11.42;11.42;11.42;800
20160119 095200;11.41;11.412;11.4;11.4;1100
20160119 095300;11.4;11.4;11.37;11.39;2100
20160119 095400;11.4;11.44;11.39;11.4398;1892
20160119 095500;11.43;11.47;11.43;11.47;600
20160119 095600;11.48;11.5;11.48;11.5;700
20160119 095700;11.49;11.5;11.47;11.5;2815
20160119 095800;11.51;11.51;11.51;11.51;300
20160119 095900;11.51;11.54;11.51;11.54;2015
20160119 100000;11.55;11.56;11.54;11.55;800
20160119 100100;11.54;11.59;11.51;11.59;4421
20160119 100200;11.57;11.67;11.57;11.64;10600
20160119 100300;11.64;11.69;11.54;11.54;67623
20160119 100400;11.5428;11.5899;11.5428;11.55;14133
20160119 100500;11.57;11.57;11.53;11.54;1000
20160119 100600;11.58;11.61;11.575;11.61;2500
20160119 100700;11.62;11.63;11.62;11.63;1200
20160119 100800;11.63;11.63;11.63;11.63;600
20160119 100900;11.62;11.65;11.6;11.61;1100
20160119 101000;11.59;11.59;11.58;11.58;500
20160119 101100;11.57;11.59;11.55;11.57;1600
20160119 101200;11.56;11.58;11.56;11.57;900
20160119 101300;11.57;11.61;11.56;11.59;4540
20160119 101400;11.61;11.61;11.61;11.61;200
20160119 101500;11.63;11.63;11.625;11.625;400
20160119 101600;11.62;11.68;11.62;11.67;3152
20160119 101700;11.665;11.69;11.66;11.66;5700
20160119 101800;11.63;11.63;11.63;11.63;500
20160119 101900;11.64;11.64;11.625;11.625;800
20160119 102000;11.6201;11.7;11.6201;11.66;20934
20160119 102100;11.65;11.7;11.65;11.7;9788
20160119 102200;11.67;11.68;11.67;11.68;200
20160119 102300;11.65;11.67;11.62;11.62;1400
20160119 102400;11.62;11.63;11.6;11.61;1000
20160119 102500;11.59;11.64;11.59;11.64;1600
20160119 102600;11.67;11.68;11.67;11.68;400
20160119 102700;11.68;11.69;11.68;11.685;900
20160119 102800;11.71;11.71;11.69;11.7;1300
20160119 102900;11.69;11.7;11.68;11.7;2600
20160119 103000;11.68;11.68;11.66;11.66;900
20160119 103100;11.65;11.67;11.64;11.67;4692
20160119 103200;11.66;11.66;11.63;11.65;1100
20160119 103300;11.65;11.67;11.64;11.64;1900
20160119 103400;11.62;11.625;11.6;11.6;900
20160119 103500;11.59;11.59;11.5514;11.5514;1775
20160119 103600;11.57;11.58;11.54;11.54;1600
20160119 103700;11.54;11.54;11.54;11.54;100
20160119 103800;11.54;11.54;11.53;11.53;500
20160119 103900;11.53;11.55;11.52;11.52;1573
20160119 104000;11.49;11.49;11.46;11.46;900
20160119 104100;11.46;11.47;11.455;11.47;3300
20160119 104200;11.46;11.462;11.46;11.462;200
20160119 104300;11.45;11.45;11.43;11.44;2300
20160119 104400;11.46;11.46;11.455;11.46;895
20160119 104500;11.46;11.49;11.46;11.46;1600
20160119 104600;11.462;11.462;11.462;11.462;400
20160119 104700;11.44;11.45;11.44;11.44;3624
20160119 104800;11.44;11.46;11.44;11.46;1100
20160119 104900;11.48;11.48;11.465;11.465;200
20160119 105000;11.49;11.51;11.49;11.51;500
20160119 105100;11.51;11.52;11.49;11.49;3070
20160119 105200;11.48;11.48;11.45;11.45;1100
20160119 105300;11.44;11.445;11.44;11.445;1000
20160119 105400;11.44;11.44;11.44;11.44;800
20160119 105500;11.44;11.45;11.44;11.445;1300
20160119 105600;11.44;11.45;11.44;11.445;2500
20160119 105700;11.45;11.48;11.45;11.47;1800
20160119 105800;11.47;11.48;11.47;11.47;2200
20160119 105900;11.48;11.5;11.48;11.5;6400
20160119 110000;11.485;11.495;11.47;11.47;5402
20160119 110100;11.47;11.52;11.47;11.5;5247
20160119 110200;11.51;11.52;11.51;11.51;1100
