20160119 093200;17.32;17.32;17.32;17.32;100
20160119 093300;17.43;17.45;17.33;17.33;500
20160119 093400;17.33;17.33;17.33;17.33;342
20160119 093500;17.34;17.34;17.34;17.34;100
20160119 093600;17.29;17.29;17.22;17.22;200
20160119 093700;17.15;17.15;17.12;17.12;300
20160119 093800;17.12;17.12;17.12;17.12;200
20160119 093900;17.13;17.19;17.12;17.16;2800
20160119 094000;17.19;17.275;17.17;17.275;1100
20160119 094100;17.21;17.24;17.1374;17.1374;808
20160119 094200;17.2;17.21;17.2;17.21;900
20160119 094300;17.21;17.25;17.21;17.25;300
20160119 094400;17.25;17.26;17.25;17.25;400
20160119 094600;17.25;17.25;17.19;17.19;200
20160119 095000;17.19;17.21;17.19;17.2;1300
20160119 095100;17.19;17.21;17.145;17.185;2700
20160119 095200;17.2299;17.2299;17.2299;17.2299;260
20160119 095300;17.2;17.2;17.2;17.2;200
20160119 095500;17.21;17.21;17.21;17.21;200
20160119 095600;17.226;17.23;17.19;17.23;1622
20160119 095700;17.23;17.25;17.22;17.23;500
20160119 095800;17.23;17.23;17.15;17.21;14700
20160119 095900;17.2;17.21;17.2;17.21;300
20160119 100200;17.2785;17.2785;17.2785;17.2785;150
20160119 100300;17.25;17.265;17.24;17.26;600
20160119 100400;17.26;17.26;17.23;17.23;200
20160119 100600;17.3;17.3;17.3;17.3;100
20160119 101000;17.26;17.26;17.26;17.26;100
20160119 101100;17.27;17.27;17.27;17.27;100
20160119 101200;17.27;17.3;17.27;17.3;200
20160119 101600;17.3;17.3;17.3;17.3;100
20160119 101700;17.31;17.34;17.31;17.34;500
20160119 101800;17.35;17.35;17.35;17.35;100
20160119 101900;17.37;17.37;17.32;17.32;200
20160119 102200;17.34;17.34;17.34;17.34;100
20160119 102400;17.32;17.33;17.3;17.33;500
20160119 102600;17.37;17.37;17.37;17.37;100
20160119 102700;17.38;17.38;17.38;17.38;100
20160119 102800;17.39;17.4;17.39;17.4;200
20160119 103300;17.43;17.43;17.43;17.43;100
20160119 103400;17.42;17.42;17.41;17.41;200
20160119 103500;17.39;17.39;17.39;17.39;100
20160119 103600;17.39;17.39;17.39;17.39;300
20160119 103700;17.4;17.405;17.39;17.405;900
20160119 104000;17.38;17.38;17.35;17.35;400
20160119 104300;17.33;17.33;17.33;17.33;100
20160119 104500;17.3303;17.34;17.33;17.33;300
20160119 104600;17.31;17.31;17.3;17.31;610
20160119 104800;17.33;17.33;17.315;17.33;400
20160119 105100;17.4;17.4;17.4;17.4;100
20160119 105200;17.36;17.36;17.33;17.34;700
20160119 105300;17.36;17.36;17.315;17.315;500
20160119 105400;17.29;17.29;17.29;17.29;200
20160119 105900;17.27;17.27;17.27;17.27;100
20160119 110100;17.27;17.27;17.27;17.27;100
20160119 110500;17.28;17.31;17.28;17.31;300
20160119 110700;17.28;17.29;17.26;17.26;800
20160119 110800;17.29;17.29;17.29;17.29;100
20160119 110900;17.31;17.31;17.31;17.31;400
20160119 111100;17.3499;17.3499;17.3499;17.3499;445
20160119 111200;17.35;17.35;17.3;17.31;500
20160119 111500;17.29;17.29;17.29;17.29;100
20160119 111900;17.29;17.29;17.29;17.29;100
20160119 112000;17.27;17.27;17.27;17.27;300
20160119 112100;17.25;17.26;17.25;17.25;500
20160119 112200;17.27;17.3;17.27;17.3;500
20160119 112300;17.29;17.29;17.28;17.28;200
20160119 112400;17.29;17.29;17.27;17.27;400
20160119 112600;17.25;17.27;17.25;17.27;200
20160119 112700;17.2772;17.2772;17.2772;17.2772;153
20160119 113100;17.35;17.364;17.35;17.364;510
20160119 113200;17.36;17.36;17.36;17.36;814
20160119 113400;17.4;17.41;17.4;17.41;558
20160119 113600;17.37;17.39;17.36;17.39;700
20160119 114300;17.36;17.36;17.36;17.36;100
20160119 114400;17.36;17.4;17.36;17.4;1200
20160119 114800;17.37;17.38;17.35;17.35;850
20160119 115000;17.37;17.37;17.36;17.36;600
20160119 115100;17.36;17.36;17.3401;17.3401;350
20160119 115400;17.34;17.345;17.28;17.295;6690
20160119 115500;17.2974;17.35;17.2974;17.35;1350
20160119 115800;17.36;17.39;17.36;17.39;300
20160119 120100;17.39;17.39;17.39;17.39;100
20160119 120200;17.37;17.37;17.36;17.36;400
20160119 120300;17.35;17.35;17.35;17.35;400
20160119 120400;17.33;17.33;17.33;17.33;100
20160119 120500;17.33;17.34;17.33;17.34;305
20160119 120800;17.32;17.32;17.32;17.32;100
20160119 121000;17.32;17.32;17.3;17.3;600
20160119 121300;17.29;17.3;17.29;17.3;513
20160119 121900;17.32;17.32;17.27;17.27;800
20160119 122200;17.21;17.21;17.21;17.21;200
20160119 122400;17.23;17.24;17.23;17.235;300
20160119 122600;17.25;17.25;17.25;17.25;300
20160119 122700;17.23;17.23;17.22;17.22;200
20160119 122900;17.225;17.25;17.21;17.23;2900
20160119 123000;17.23;17.26;17.23;17.26;700
20160119 123100;17.25;17.25;17.25;17.25;100
20160119 123200;17.245;17.28;17.23;17.27;5182
20160119 123300;17.25;17.25;17.23;17.235;600
20160119 123600;17.26;17.26;17.26;17.26;100
20160119 123700;17.26;17.26;17.245;17.26;400
20160119 123900;17.23;17.23;17.21;17.21;1000
20160119 124000;17.2;17.21;17.2;17.21;700
20160119 124400;17.22;17.22;17.205;17.21;1000
20160119 124600;17.21;17.21;17.21;17.21;100
20160119 124900;17.19;17.2;17.17;17.195;2658
20160119 125300;17.1999;17.1999;17.1999;17.1999;200
20160119 125400;17.2;17.2;17.17;17.17;1500
20160119 125800;17.18;17.18;17.18;17.18;400
20160119 130100;17.2;17.22;17.2;17.22;400
20160119 130400;17.215;17.215;17.215;17.215;100
20160119 130500;17.2;17.21;17.2;17.2;700
20160119 130800;17.14;17.14;17.14;17.14;500
20160119 130900;17.18;17.19;17.18;17.19;500
20160119 131000;17.19;17.19;17.19;17.19;100
20160119 131100;17.2;17.2;17.2;17.2;200
20160119 131200;17.21;17.21;17.2;17.2;500
20160119 131300;17.21;17.21;17.2;17.2;300
20160119 132000;17.2;17.22;17.2;17.22;3300
20160119 132400;17.21;17.215;17.19;17.19;415
20160119 132500;17.18;17.18;17.18;17.18;200
20160119 132600;17.155;17.155;17.155;17.155;100
20160119 132700;17.14;17.14;17.14;17.14;400
20160119 132800;17.15;17.15;17.11;17.11;1000
20160119 133000;17.1;17.1;17.1;17.1;100
20160119 133300;17.11;17.11;17.11;17.11;100
20160119 133400;17.07;17.07;17.07;17.07;200
20160119 133500;17.06;17.07;17.06;17.07;213
20160119 133600;17.07;17.11;17.07;17.11;200
20160119 133800;17.11;17.1125;17.1;17.1;2400
20160119 134000;17.1;17.11;17.1;17.11;400
20160119 134300;17.1;17.11;17.07;17.07;400
20160119 134400;17.07;17.09;17.07;17.09;356
20160119 134500;17.07;17.07;17.06;17.06;300
20160119 134600;17.06;17.07;17.06;17.07;200
20160119 134700;17.1;17.1;17.1;17.1;100
20160119 134900;17.11;17.11;17.11;17.11;100
20160119 135000;17.09;17.09;17.09;17.09;100
20160119 135200;17.09;17.1;17.09;17.1;205
20160119 135300;17.08;17.08;17.08;17.08;300
20160119 135400;17.07;17.07;17.05;17.05;200
20160119 135500;17.03;17.05;17.03;17.05;800
20160119 135700;17.0526;17.0526;17.05;17.05;600
20160119 135900;17.04;17.05;17.03;17.05;400
20160119 140600;17.05;17.05;17.04;17.04;600
20160119 140700;17.03;17.03;17.01;17.01;300
20160119 140800;16.99;16.99;16.99;16.99;100
20160119 140900;16.98;16.98;16.9632;16.9632;294
20160119 141200;16.96;16.96;16.94;16.96;600
20160119 141500;16.91;16.91;16.89;16.89;200
20160119 141600;16.93;16.93;16.93;16.93;858
20160119 141700;16.9;16.9;16.87;16.87;300
20160119 141800;16.89;16.89;16.89;16.89;200
20160119 142000;16.91;16.91;16.91;16.91;200
20160119 142200;16.92;16.92;16.9;16.92;1763
20160119 142300;16.92;16.92;16.92;16.92;400
20160119 142600;16.99;16.99;16.97;16.97;200
20160119 142700;16.96;16.96;16.96;16.96;100
20160119 142800;16.97;16.97;16.97;16.97;200
20160119 143000;16.97;16.97;16.97;16.97;100
20160119 143100;16.97;16.97;16.97;16.97;100
20160119 143300;16.9749;16.9749;16.96;16.96;990
20160119 143400;16.95;16.95;16.95;16.95;100
20160119 143600;16.94;16.94;16.94;16.94;100
20160119 143700;16.94;16.94;16.94;16.94;100
20160119 143800;16.92;16.92;16.9;16.9;800
20160119 144100;16.89;16.89;16.89;16.89;300
20160119 144300;16.87;16.87;16.85;16.85;300
20160119 144400;16.86;16.86;16.86;16.86;100
20160119 144500;16.85;16.85;16.85;16.85;100
20160119 144600;16.81;16.81;16.81;16.81;100
20160119 144900;16.79;16.79;16.79;16.79;300
20160119 145100;16.8;16.82;16.79;16.82;2100
20160119 145200;16.82;16.82;16.82;16.82;300
20160119 145300;16.8319;16.8319;16.8319;16.8319;558
20160119 145400;16.84;16.85;16.83;16.85;400
20160119 145500;16.83;16.83;16.83;16.83;108
20160119 145600;16.85;16.87;16.84;16.84;2090
20160119 145700;16.85;16.85;16.85;16.85;200
20160119 145800;16.85;16.85;16.85;16.85;300
20160119 145900;16.84;16.84;16.83;16.83;300
20160119 150000;16.83;16.84;16.83;16.84;500
20160119 150100;16.84;16.84;16.84;16.84;400
20160119 150200;16.83;16.83;16.83;16.83;100
20160119 150300;16.85;16.86;16.85;16.85;500
20160119 150400;16.87;16.87;16.87;16.87;100
20160119 150500;16.87;16.9;16.87;16.9;700
20160119 150600;16.91;16.92;16.91;16.92;600
20160119 150900;16.91;16.91;16.91;16.91;400
20160119 151000;16.9;16.9;16.9;16.9;100
20160119 151100;16.91;16.92;16.895;16.92;700
20160119 151300;16.88;16.89;16.88;16.89;358
20160119 151400;16.89;16.89;16.89;16.89;300
20160119 151600;16.85;16.85;16.85;16.85;300
20160119 151800;16.84;16.84;16.8;16.82;3900
20160119 151900;16.84;16.87;16.84;16.87;400
20160119 152000;16.86;16.86;16.86;16.86;100
20160119 152100;16.86;16.89;16.86;16.89;200
20160119 152300;16.9;16.92;16.9;16.92;500
20160119 152600;16.93;16.9724;16.93;16.9724;399
20160119 152700;17;17.02;17;17.02;700
20160119 152800;17.03;17.05;17.03;17.04;1349
20160119 152900;17.03;17.04;17.03;17.04;800
20160119 153100;17.08;17.1;17.08;17.1;400
20160119 153200;17.1;17.1;17.05;17.05;800
20160119 153300;17.025;17.04;17.01;17.01;300
20160119 153400;17.02;17.02;17.01;17.01;300
20160119 153500;17.01;17.01;17.01;17.01;584
20160119 153600;17.005;17.005;16.96;17;1908
20160119 153700;17;17.01;16.9889;16.9889;600
20160119 153800;16.97;16.97;16.955;16.955;400
20160119 153900;16.955;16.98;16.95;16.95;1702
20160119 154000;16.95;16.96;16.95;16.96;400
20160119 154100;16.97;16.97;16.95;16.95;800
20160119 154200;16.95;16.97;16.94;16.965;2500
20160119 154300;16.98;16.98;16.97;16.97;1600
20160119 154400;16.98;16.98;16.97;16.98;800
20160119 154500;16.98;16.98;16.965;16.97;1200
20160119 154600;16.96;16.965;16.955;16.965;1000
20160119 154700;16.98;17.01;16.975;17.01;1964
20160119 154800;17.02;17.02;17.01;17.01;1600
20160119 154900;17;17;17;17;200
20160119 155000;17;17;16.98;16.99;1600
20160119 155100;17;17;16.98;16.98;900
20160119 155200;16.98;16.98;16.96;16.96;300
20160119 155300;16.96;16.96;16.95;16.95;1658
20160119 155400;16.94;16.94;16.92;16.93;1000
20160119 155500;16.93;16.95;16.93;16.935;1200
20160119 155600;16.94;16.94;16.93;16.93;1450
20160119 155700;16.92;16.93;16.91;16.91;1500
20160119 155800;16.91;16.92;16.9;16.91;3676
20160119 155900;16.91;16.92;16.9;16.9;2955
20160119 160000;16.9;16.91;16.89;16.89;2100
20160119 160300;16.89;16.89;16.89;16.89;6357
20160120 093500;16.6246;16.6246;16.6246;16.6246;303
20160120 093700;16.69;16.785;16.56;16.56;5400
20160120 093900;16.58;16.58;16.58;16.58;100
20160120 094600;16.7;16.7;16.65;16.65;200
20160120 094700;16.62;16.62;16.62;16.62;100
20160120 095200;16.63;16.63;16.61;16.61;519
20160120 095300;16.57;16.57;16.57;16.57;100
20160120 095500;16.56;16.56;16.56;16.56;200
20160120 095600;16.52;16.52;16.52;16.52;100
20160120 095700;16.51;16.51;16.51;16.51;100
20160120 095800;16.51;16.51;16.51;16.51;100
20160120 100000;16.5;16.5;16.4875;16.4875;700
20160120 100100;16.51;16.51;16.51;16.51;200
20160120 100400;16.46;16.46;16.46;16.46;300
20160120 100500;16.42;16.42;16.42;16.42;100
20160120 100600;16.43;16.46;16.43;16.46;1472
20160120 100700;16.46;16.5;16.46;16.5;600
20160120 100800;16.505;16.505;16.49;16.49;400
20160120 100900;16.5;16.5;16.5;16.5;100
20160120 101000;16.49;16.49;16.465;16.49;600
20160120 101100;16.4908;16.4908;16.4908;16.4908;141
20160120 101800;16.62;16.62;16.59;16.59;500
20160120 101900;16.5478;16.5478;16.5478;16.5478;282
20160120 102000;16.58;16.58;16.58;16.58;100
20160120 102200;16.56;16.56;16.51;16.53;400
20160120 102300;16.51;16.51;16.51;16.51;100
20160120 102400;16.53;16.53;16.53;16.53;900
20160120 102700;16.58;16.58;16.58;16.58;100
20160120 103000;16.55;16.575;16.55;16.5675;700
20160120 103300;16.56;16.56;16.56;16.56;200
20160120 103400;16.55;16.55;16.52;16.52;300
20160120 103500;16.51;16.51;16.51;16.51;300
20160120 103600;16.5;16.5;16.46;16.46;526
20160120 103900;16.44;16.44;16.44;16.44;400
20160120 104000;16.46;16.47;16.45;16.45;1200
20160120 104100;16.45;16.45;16.44;16.445;1541
20160120 104200;16.43;16.435;16.43;16.43;600
20160120 104300;16.43;16.465;16.43;16.465;2629
20160120 104500;16.465;16.465;16.465;16.465;2800
20160120 104800;16.48;16.48;16.48;16.48;100
20160120 104900;16.465;16.465;16.465;16.465;100
20160120 105000;16.46;16.46;16.46;16.46;200
20160120 105100;16.46;16.49;16.46;16.47;4509
20160120 105200;16.46;16.47;16.455;16.46;880
20160120 105300;16.47;16.47;16.47;16.47;300
20160120 105400;16.46;16.47;16.46;16.46;800
20160120 105500;16.46;16.48;16.46;16.48;300
20160120 105700;16.47;16.48;16.46;16.47;2223
20160120 105800;16.46;16.47;16.46;16.47;1080
20160120 110000;16.485;16.485;16.485;16.485;200
20160120 110200;16.49;16.5;16.49;16.5;410
20160120 110300;16.52;16.52;16.52;16.52;200
20160120 110400;16.51;16.52;16.51;16.52;200
20160120 110500;16.51;16.52;16.51;16.52;300
20160120 110700;16.57;16.6;16.57;16.6;300
20160120 110800;16.59;16.59;16.59;16.59;400
20160120 110900;16.58;16.58;16.57;16.58;1200
20160120 111100;16.57;16.57;16.57;16.57;200
20160120 111300;16.66;16.66;16.66;16.66;800
20160120 111500;16.67;16.69;16.67;16.69;300
20160120 111600;16.66;16.66;16.65;16.65;600
20160120 111800;16.65;16.65;16.65;16.65;200
20160120 111900;16.66;16.7;16.66;16.69;800
20160120 112000;16.69;16.69;16.68;16.68;700
20160120 112300;16.69;16.69;16.69;16.69;100
20160120 112400;16.72;16.72;16.7;16.7;1900
20160120 112600;16.68;16.68;16.66;16.66;200
20160120 112800;16.66;16.66;16.66;16.66;200
20160120 112900;16.64;16.64;16.63;16.63;400
20160120 113100;16.65;16.68;16.65;16.67;800
20160120 113700;16.69;16.71;16.68;16.71;700
20160120 113800;16.7;16.7;16.65;16.66;1800
20160120 113900;16.65;16.65;16.65;16.65;300
20160120 114100;16.65;16.65;16.65;16.65;300
20160120 114200;16.598;16.609;16.598;16.609;650
20160120 114400;16.59;16.59;16.57;16.57;400
20160120 114500;16.57;16.57;16.53;16.53;300
20160120 114600;16.55;16.55;16.53;16.53;900
20160120 114900;16.52;16.55;16.52;16.54;400
20160120 115000;16.53;16.53;16.53;16.53;400
20160120 115400;16.54;16.54;16.54;16.54;100
20160120 115500;16.5;16.5;16.49;16.5;800
20160120 115600;16.5;16.51;16.5;16.51;600
20160120 115800;16.53;16.53;16.53;16.53;100
20160120 115900;16.55;16.57;16.55;16.57;600
20160120 120000;16.59;16.59;16.57;16.57;581
20160120 120100;16.56;16.57;16.56;16.57;400
20160120 120400;16.58;16.58;16.56;16.56;900
20160120 120500;16.56;16.57;16.55;16.55;500
20160120 120700;16.52;16.52;16.52;16.52;600
20160120 120800;16.48;16.48;16.46;16.46;300
20160120 120900;16.46;16.46;16.46;16.46;100
20160120 121000;16.46;16.46;16.46;16.46;500
20160120 121100;16.46;16.46;16.45;16.45;800
20160120 121200;16.45;16.45;16.45;16.45;200
20160120 121300;16.475;16.475;16.475;16.475;300
20160120 121600;16.485;16.497;16.47;16.47;3600
20160120 121800;16.49;16.49;16.475;16.49;900
20160120 122000;16.49;16.49;16.48;16.48;600
20160120 122100;16.5;16.5;16.5;16.5;300
20160120 122200;16.49;16.49;16.47;16.47;500
20160120 122300;16.46;16.46;16.46;16.46;100
20160120 122600;16.4401;16.4401;16.4401;16.4401;500
20160120 122700;16.44;16.44;16.44;16.44;300
20160120 122800;16.43;16.43;16.42;16.42;200
20160120 122900;16.44;16.44;16.44;16.44;200
20160120 123100;16.46;16.46;16.46;16.46;400
20160120 123300;16.49;16.49;16.49;16.49;100
20160120 123400;16.488;16.488;16.48;16.48;377
20160120 123600;16.5;16.5;16.5;16.5;100
20160120 123800;16.5;16.5;16.45;16.47;600
20160120 124400;16.48;16.48;16.48;16.48;100
20160120 124500;16.48;16.48;16.48;16.48;200
20160120 124700;16.51;16.51;16.51;16.51;100
20160120 124800;16.535;16.535;16.51;16.51;1303
20160120 125000;16.52;16.53;16.52;16.53;200
20160120 125200;16.56;16.56;16.56;16.56;300
20160120 125300;16.57;16.57;16.57;16.57;100
20160120 125400;16.57;16.58;16.57;16.58;700
20160120 125600;16.63;16.63;16.63;16.63;600
20160120 125700;16.64;16.67;16.64;16.67;900
20160120 125800;16.68;16.68;16.68;16.68;200
20160120 130000;16.68;16.68;16.68;16.68;100
20160120 130100;16.69;16.69;16.67;16.67;200
20160120 130200;16.68;16.68;16.68;16.68;100
20160120 130600;16.7;16.7;16.7;16.7;300
20160120 130800;16.71;16.71;16.7;16.7;550
20160120 130900;16.69;16.69;16.68;16.68;600
20160120 131100;16.7136;16.7136;16.7136;16.7136;276
20160120 131300;16.72;16.72;16.69;16.69;600
20160120 131500;16.71;16.71;16.71;16.71;200
20160120 131600;16.68;16.68;16.68;16.68;100
20160120 131800;16.65;16.65;16.65;16.65;200
20160120 132100;16.64;16.64;16.64;16.64;300
20160120 132300;16.66;16.67;16.66;16.67;900
20160120 132400;16.69;16.7;16.69;16.7;600
20160120 132500;16.72;16.72;16.71;16.71;300
20160120 132700;16.68;16.68;16.68;16.68;300
20160120 132800;16.68;16.68;16.68;16.68;300
20160120 132900;16.7;16.7;16.7;16.7;100
20160120 133000;16.694;16.694;16.694;16.694;317
20160120 133200;16.73;16.74;16.73;16.74;300
20160120 133300;16.75;16.75;16.6881;16.6881;2879
20160120 133400;16.7;16.72;16.7;16.72;800
20160120 133600;16.735;16.735;16.73;16.73;316
20160120 133800;16.755;16.755;16.75;16.75;500
20160120 133900;16.76;16.785;16.75;16.785;500
20160120 134200;16.81;16.81;16.81;16.81;211
20160120 134300;16.82;16.83;16.82;16.83;600
20160120 134400;16.83;16.83;16.83;16.83;200
20160120 134600;16.87;16.87;16.87;16.87;400
20160120 134700;16.85;16.85;16.84;16.84;203
20160120 134800;16.82;16.82;16.7975;16.7975;3790
20160120 134900;16.81;16.81;16.81;16.81;300
20160120 135000;16.83;16.85;16.83;16.85;678
20160120 135100;16.87;16.87;16.86;16.87;5800
20160120 135200;16.89;16.9;16.89;16.9;200
20160120 135300;16.89;16.89;16.88;16.88;200
20160120 135400;16.91;16.91;16.91;16.91;100
20160120 135600;16.95;16.95;16.91;16.91;900
20160120 135700;16.89;16.89;16.89;16.89;200
20160120 135800;16.9;16.91;16.9;16.91;300
20160120 140000;16.91;16.91;16.91;16.91;200
20160120 140100;16.89;16.89;16.89;16.89;200
20160120 140200;16.87;16.87;16.87;16.87;4398
20160120 140400;16.87;16.87;16.86;16.86;786
20160120 140600;16.85;16.86;16.85;16.86;400
20160120 140700;16.87;16.8953;16.87;16.892;1020
20160120 140800;16.88;16.88;16.88;16.88;200
20160120 140900;16.87;16.87;16.87;16.87;200
20160120 141000;16.88;16.92;16.88;16.92;599
20160120 141100;16.94;16.94;16.94;16.94;100
20160120 141200;16.97;16.97;16.955;16.96;700
20160120 141400;17;17;16.99;16.99;500
20160120 141500;16.98;16.98;16.97;16.97;300
20160120 141600;16.96;16.96;16.96;16.96;200
20160120 141700;16.95;16.95;16.94;16.94;500
20160120 141800;16.97;16.97;16.97;16.97;300
20160120 141900;16.98;16.99;16.98;16.99;400
20160120 142100;16.99;16.99;16.99;16.99;100
20160120 142300;16.99;16.99;16.98;16.98;500
20160120 142400;16.97;16.97;16.97;16.97;300
20160120 142600;16.98;16.995;16.98;16.98;400
20160120 142700;16.97;16.98;16.97;16.97;1000
20160120 142900;16.97;16.97;16.96;16.97;1200
20160120 143000;16.96;16.96;16.95;16.95;200
20160120 143200;16.925;16.925;16.91;16.91;1100
20160120 143400;16.9;16.9;16.89;16.89;300
20160120 143500;16.89;16.91;16.88;16.9;777
20160120 143600;16.92;16.92;16.92;16.92;400
20160120 143900;16.93;16.93;16.93;16.93;100
20160120 144100;16.96;16.98;16.96;16.98;408
20160120 144400;16.995;16.995;16.98;16.98;1200
20160120 144500;16.97;16.97;16.97;16.97;300
20160120 144700;16.94;16.95;16.94;16.945;600
20160120 144900;16.93;16.95;16.93;16.95;589
20160120 145100;16.97;16.97;16.97;16.97;100
20160120 145300;17.02;17.02;17.02;17.02;300
20160120 145400;17.02;17.02;17.02;17.02;100
20160120 145500;17.04;17.04;17.04;17.04;100
20160120 145700;17.07;17.075;17.06;17.06;700
20160120 145900;17.08;17.08;17.08;17.08;100
20160120 150000;17.08;17.08;17.06;17.06;300
20160120 150100;17.03;17.03;17.015;17.015;300
20160120 150200;17.03;17.03;17.03;17.03;100
20160120 150500;17.06;17.08;17.06;17.08;300
20160120 150600;17.08;17.09;17.08;17.09;506
20160120 150700;17.09;17.09;17.08;17.09;3991
20160120 150800;17.09;17.09;17.08;17.08;900
20160120 150900;17.09;17.09;17.09;17.09;5900
20160120 151100;17.11;17.11;17.11;17.11;200
20160120 151200;17.15;17.15;17.13;17.13;500
20160120 151300;17.13;17.13;17.11;17.12;1000
20160120 151600;17.16;17.16;17.16;17.16;300
20160120 151700;17.19;17.19;17.19;17.19;100
20160120 151800;17.21;17.21;17.21;17.21;100
20160120 151900;17.24;17.26;17.24;17.26;1000
20160120 152000;17.285;17.3;17.26;17.26;1748
20160120 152100;17.27;17.29;17.27;17.28;566
20160120 152200;17.3;17.3;17.28;17.28;800
20160120 152300;17.27;17.275;17.24;17.24;900
20160120 152400;17.25;17.29;17.25;17.29;637
20160120 152500;17.3004;17.3004;17.28;17.28;811
20160120 152600;17.28;17.295;17.27;17.27;600
20160120 152700;17.27;17.3;17.27;17.3;400
20160120 152800;17.28;17.32;17.28;17.31;3800
20160120 152900;17.31;17.34;17.31;17.34;1000
20160120 153000;17.33;17.34;17.33;17.34;700
20160120 153100;17.34;17.34;17.34;17.34;100
20160120 153200;17.33;17.375;17.33;17.36;1900
20160120 153300;17.36;17.37;17.36;17.36;500
20160120 153400;17.36;17.365;17.35;17.35;1294
20160120 153500;17.32;17.335;17.3;17.3;1600
20160120 153600;17.31;17.33;17.3;17.31;900
20160120 153700;17.33;17.33;17.3;17.3;899
20160120 153800;17.3;17.32;17.3;17.32;600
20160120 153900;17.34;17.34;17.32;17.32;1800
20160120 154000;17.32;17.35;17.32;17.34;700
20160120 154100;17.36;17.36;17.33;17.33;2678
20160120 154200;17.32;17.34;17.32;17.34;3278
20160120 154300;17.34;17.34;17.33;17.33;1900
20160120 154400;17.34;17.37;17.34;17.37;2106
20160120 154500;17.36;17.36;17.33;17.33;630
20160120 154600;17.33;17.34;17.32;17.33;7388
20160120 154700;17.33;17.34;17.31;17.31;3301
20160120 154800;17.32;17.32;17.305;17.305;2500
20160120 154900;17.31;17.33;17.31;17.33;1000
20160120 155000;17.34;17.34;17.325;17.325;799
20160120 155100;17.34;17.34;17.32;17.33;2969
20160120 155200;17.31;17.33;17.3;17.33;2700
20160120 155300;17.34;17.34;17.32;17.33;1000
20160120 155400;17.33;17.34;17.33;17.34;2371
20160120 155500;17.35;17.36;17.34;17.36;1000
20160120 155600;17.34;17.35;17.31;17.32;3509
20160120 155700;17.33;17.34;17.33;17.33;2000
20160120 155800;17.34;17.34;17.32;17.32;8133
20160120 155900;17.33;17.34;17.32;17.33;6853
20160120 160000;17.33;17.33;17.31;17.31;7387
20160120 160300;17.32;17.32;17.32;17.32;3912
20160121 090600;17.32;17.32;17.32;17.32;2771
20160121 093300;17.3;17.3;17.3;17.3;100
