20160119 093200;65.01;65.15;64.6;65.15;1042
20160119 093300;65.02;65.02;65.02;65.02;100
20160119 093400;65.02;65.02;64.83;64.9;500
20160119 093500;64.5;64.5;64.31;64.31;400
20160119 093600;64.58;64.58;64.291;64.291;800
20160119 093700;64.58;64.83;64.58;64.83;600
20160119 093800;65.07;65.35;65;65.35;400
20160119 094000;65.305;65.305;65.305;65.305;200
20160119 094100;65.35;65.35;65.33;65.33;200
20160119 094200;65.48;65.48;65.48;65.48;100
20160119 094300;65.39;65.391;65.39;65.391;200
20160119 094400;65.39;65.42;65.32;65.32;300
20160119 094500;65.42;65.42;65.42;65.42;200
20160119 094600;65.44;65.44;65.44;65.44;100
20160119 094700;65.6;65.6;65.59;65.59;300
20160119 094800;65.43;65.55;65.38;65.41;1200
20160119 094900;65.3;65.54;65.3;65.302;300
20160119 095000;65.302;65.51;65.26;65.51;500
20160119 095100;65.51;65.51;65.33;65.34;700
20160119 095200;65.5;65.5;65.37;65.37;800
20160119 095600;65.211;65.231;65.211;65.231;300
20160119 095700;65.22;65.33;65.22;65.33;600
20160119 095800;65.241;65.241;65.241;65.241;100
20160119 095900;65.235;65.235;65.235;65.235;100
20160119 100000;65.27;65.3;65.23;65.23;500
20160119 100100;65.22;65.22;65.19;65.19;500
20160119 100500;64.94;64.94;64.94;64.94;100
20160119 100600;64.92;64.92;64.92;64.92;100
20160119 100700;65.05;65.05;65.05;65.05;100
20160119 101100;64.97;65.02;64.77;64.99;1874
20160119 101200;64.84;65.06;64.84;65;900
20160119 101300;65;65;65;65;200
20160119 101400;65.04;65.04;65;65;200
20160119 101500;65;65.01;65;65;400
20160119 101700;65;65.04;65;65.04;200
20160119 101800;65.13;65.28;65.13;65.28;200
20160119 102000;65.52;65.52;65.52;65.52;100
20160119 102300;65.43;65.43;65.43;65.43;100
20160119 102500;65.44;65.44;65.44;65.44;100
20160119 102800;65.63;65.63;65.63;65.63;100
20160119 103100;65.625;65.625;65.625;65.625;100
20160119 103200;65.7;65.7;65.62;65.68;600
20160119 103300;65.58;65.58;65.58;65.58;100
20160119 103400;65.401;65.401;65.401;65.401;100
20160119 103500;65.36;65.61;65.35;65.61;300
20160119 104000;65.34;65.34;65.34;65.34;100
20160119 104100;65.26;65.26;65.26;65.26;200
20160119 104400;65.28;65.28;65.28;65.28;100
20160119 105100;65.34;65.36;65.34;65.36;200
20160119 105600;65.27;65.27;65.27;65.27;500
20160119 105800;65.24;65.26;65.19;65.19;400
20160119 105900;65.23;65.23;65.2001;65.2001;200
20160119 110200;65.17;65.22;65.17;65.17;400
20160119 110300;65.2;65.2;65.2;65.2;300
