20160119 093500;0.128;0.128;0.128;0.128;100
20160119 093600;0.14;0.14;0.14;0.14;100
20160119 093900;0.132;0.132;0.1279;0.1279;814
20160119 095200;0.13;0.13;0.13;0.13;1100
20160119 095400;0.13;0.13;0.13;0.13;100
20160119 095500;0.13;0.13;0.1281;0.1281;5100
20160119 100000;0.128;0.128;0.128;0.128;5000
20160119 100700;0.128;0.128;0.1279;0.1279;8580
20160119 101300;0.1299;0.1299;0.1299;0.1299;200
20160119 102200;0.1281;0.1281;0.1281;0.1281;12000
20160119 102400;0.1297;0.1297;0.1297;0.1297;200
20160119 102500;0.1297;0.1297;0.1297;0.1297;200
20160119 103200;0.1281;0.1281;0.1279;0.1279;10000
20160119 103600;0.1289;0.1289;0.1289;0.1289;125
20160119 104900;0.1288;0.1288;0.1288;0.1288;200
20160119 105300;0.128;0.128;0.128;0.128;438
20160119 105400;0.128;0.1283;0.128;0.1283;408
20160119 105500;0.128;0.128;0.128;0.128;190
20160119 110000;0.14;0.14;0.14;0.14;100
20160119 110600;0.128;0.128;0.128;0.128;300
20160119 110800;0.128;0.128;0.128;0.128;300
20160119 110900;0.128;0.128;0.128;0.128;300
20160119 111300;0.128;0.128;0.128;0.128;11200
20160119 111500;0.128;0.128;0.128;0.128;300
20160119 111600;0.134;0.134;0.134;0.134;300
20160119 111800;0.134;0.134;0.134;0.134;100
20160119 112300;0.1366;0.1366;0.1366;0.1366;600
20160119 112400;0.128;0.128;0.128;0.128;2500
20160119 112500;0.128;0.128;0.1279;0.1279;9968
20160119 112600;0.1339;0.1339;0.1339;0.1339;200
20160119 113000;0.1339;0.1339;0.1339;0.1339;200
20160119 114200;0.1398;0.1398;0.1398;0.1398;100
20160119 114400;0.1399;0.1399;0.1339;0.1339;4100
20160119 114600;0.1399;0.1399;0.1399;0.1399;100
20160119 115100;0.1399;0.1399;0.1399;0.1399;200
20160119 115400;0.128;0.128;0.128;0.128;2100
20160119 120500;0.134;0.134;0.134;0.134;100
20160119 120700;0.1399;0.1399;0.1399;0.1399;120
20160119 120800;0.128;0.128;0.128;0.128;2000
20160119 121800;0.1295;0.1295;0.128;0.128;10000
20160119 121900;0.134;0.14;0.128;0.128;1800
20160119 122000;0.134;0.134;0.134;0.134;300
20160119 122600;0.128;0.128;0.128;0.128;600
20160119 122700;0.128;0.128;0.128;0.128;500
20160119 122800;0.128;0.128;0.128;0.128;300
20160119 123600;0.128;0.128;0.128;0.128;700
20160119 123700;0.1386;0.1386;0.1386;0.1386;1000
20160119 124000;0.134;0.134;0.134;0.134;400
20160119 124200;0.134;0.14;0.134;0.1368;4950
20160119 125100;0.139;0.139;0.139;0.139;100
20160119 130600;0.139;0.139;0.139;0.139;100
20160119 130800;0.128;0.128;0.128;0.128;10000
20160119 130900;0.139;0.139;0.139;0.139;300
20160119 131000;0.139;0.15;0.139;0.15;200
20160119 131700;0.14;0.14;0.14;0.14;300
20160119 132500;0.14;0.14;0.14;0.14;300
20160119 133600;0.13;0.13;0.13;0.13;200
20160119 134700;0.13;0.1306;0.13;0.13;20300
20160119 134800;0.13;0.14;0.13;0.1302;52800
20160119 134900;0.131;0.14;0.1307;0.1307;51367
20160119 135000;0.13;0.135;0.12;0.1214;51600
20160119 135100;0.1275;0.1275;0.1275;0.1275;400
20160119 135300;0.1203;0.1203;0.1203;0.1203;100
20160119 140400;0.1499;0.1499;0.1499;0.1499;100
20160119 140700;0.12;0.12;0.12;0.12;1000
20160119 141600;0.15;0.15;0.15;0.15;100
20160119 142800;0.138;0.138;0.138;0.138;100
20160119 143400;0.138;0.138;0.138;0.138;100
20160119 144000;0.138;0.138;0.138;0.138;100
20160119 150000;0.12;0.1208;0.12;0.1208;10300
20160119 150500;0.12;0.12;0.12;0.12;14996
20160119 150600;0.1275;0.1275;0.1275;0.1275;300
20160119 150700;0.1275;0.1275;0.1275;0.1275;200
20160119 151700;0.1275;0.1275;0.1275;0.1275;30900
20160119 152400;0.1386;0.1386;0.1386;0.1386;100
20160119 153700;0.1496;0.1496;0.1496;0.1496;100
20160119 154300;0.1496;0.1496;0.1496;0.1496;100
20160119 155500;0.13;0.13;0.1277;0.1283;5200
20160119 155700;0.1275;0.1275;0.11;0.1237;15400
20160119 155800;0.1232;0.1232;0.1103;0.1103;7300
20160119 160000;0.14;0.14;0.14;0.14;500
20160120 093200;0.1275;0.14;0.12;0.12;6132
20160120 093300;0.12;0.12;0.12;0.12;3860
20160120 093900;0.147;0.147;0.147;0.147;100
20160120 094100;0.147;0.147;0.147;0.147;100
20160120 094500;0.1227;0.1227;0.1227;0.1227;1930
20160120 100600;0.1288;0.14;0.1201;0.1399;5805
20160120 102900;0.1395;0.1395;0.1395;0.1395;100
20160120 105300;0.1394;0.1394;0.1394;0.1394;500
20160120 111100;0.1394;0.1394;0.1394;0.1394;100
20160120 112300;0.1235;0.1235;0.12;0.12;27718
20160120 112900;0.1194;0.1194;0.1194;0.1194;100
20160120 113200;0.1254;0.1254;0.12;0.12;400
20160120 113300;0.1254;0.1254;0.1254;0.1254;300
20160120 115100;0.1102;0.115;0.1102;0.1102;5900
20160120 115800;0.1252;0.1255;0.1252;0.1255;9932
20160120 120100;0.1101;0.1101;0.1101;0.1101;5000
20160120 121900;0.1102;0.1102;0.1102;0.1102;9085
20160120 122200;0.1255;0.1255;0.1255;0.1255;100
20160120 122300;0.1255;0.1255;0.1255;0.1255;100
20160120 122600;0.1255;0.1255;0.1255;0.1255;200
20160120 123100;0.115;0.115;0.115;0.115;2300
20160120 123200;0.115;0.115;0.115;0.115;1400
20160120 123300;0.115;0.115;0.115;0.115;10000
20160120 123600;0.115;0.115;0.115;0.115;800
20160120 124200;0.115;0.115;0.115;0.115;20000
20160120 124600;0.115;0.115;0.115;0.115;10000
20160120 125300;0.116;0.116;0.116;0.116;1000
20160120 125400;0.116;0.116;0.116;0.116;400
20160120 130000;0.116;0.116;0.116;0.116;400
20160120 130100;0.116;0.116;0.116;0.116;200
20160120 131200;0.115;0.115;0.115;0.115;1000
20160120 131300;0.115;0.1223;0.115;0.1223;500
20160120 131700;0.12;0.1201;0.12;0.12;70600
20160120 131800;0.1199;0.1199;0.1197;0.1197;4700
20160120 132600;0.1177;0.1177;0.1177;0.1177;3000
20160120 133800;0.1151;0.1151;0.1151;0.1151;100
20160120 133900;0.13;0.13;0.1151;0.1151;200
20160120 135400;0.1151;0.1151;0.1151;0.1151;100
20160120 140300;0.1151;0.1151;0.1151;0.1151;100
20160120 140400;0.1151;0.1151;0.1151;0.1151;4000
20160120 140500;0.1151;0.1151;0.1151;0.1151;10100
20160120 140800;0.1151;0.1151;0.1151;0.1151;2200
20160120 140900;0.1151;0.1151;0.1151;0.1151;10000
20160120 141000;0.1166;0.1166;0.1151;0.1151;9800
20160120 141500;0.1198;0.1198;0.1158;0.1198;10000
20160120 141600;0.1158;0.1158;0.11;0.11;10000
20160120 143000;0.12;0.12;0.12;0.12;2500
20160120 143100;0.12;0.12;0.11;0.113;7550
20160120 143200;0.113;0.113;0.113;0.113;2300
20160120 143600;0.1129;0.1129;0.0927;0.0927;25600
20160120 143700;0.0969;0.0969;0.0969;0.0969;100
20160120 143900;0.0953;0.12;0.0953;0.12;16100
20160120 144200;0.1101;0.12;0.1101;0.12;300
20160120 144300;0.1002;0.1002;0.1;0.1;7400
20160120 144400;0.11;0.11;0.11;0.11;100
20160120 144600;0.1115;0.1182;0.1115;0.1182;300
20160120 150000;0.103;0.103;0.0927;0.0927;33058
20160120 150100;0.09;0.1;0.0819;0.1;10699
20160120 150500;0.0986;0.0986;0.0986;0.0986;100
20160120 150600;0.0985;0.0985;0.0985;0.0985;100
20160120 150900;0.099;0.099;0.099;0.099;100
20160120 151200;0.0986;0.1039;0.09;0.1039;30500
20160120 151300;0.1039;0.1039;0.1001;0.1039;2300
20160120 151400;0.1035;0.1039;0.1035;0.1039;300
20160120 151800;0.1069;0.1069;0.1069;0.1069;500
20160120 151900;0.1069;0.1069;0.1069;0.1069;600
20160120 152100;0.107;0.107;0.107;0.107;300
20160120 152200;0.107;0.107;0.107;0.107;300
20160120 152300;0.1069;0.1069;0.1069;0.1069;1699
20160120 152400;0.107;0.107;0.107;0.107;100
20160120 152900;0.107;0.107;0.107;0.107;9500
20160120 153000;0.1069;0.1069;0.1069;0.1069;100
20160120 153100;0.107;0.107;0.107;0.107;300
20160120 153300;0.107;0.107;0.107;0.107;5000
20160120 153400;0.107;0.107;0.1069;0.107;15400
20160120 153500;0.107;0.1071;0.107;0.1071;5531
20160120 153600;0.1071;0.1071;0.1071;0.1071;200
20160120 153800;0.1111;0.1111;0.1111;0.1111;100
20160120 153900;0.11;0.11;0.11;0.11;5000
20160120 154600;0.115;0.115;0.1101;0.1101;6100
20160120 155300;0.1101;0.115;0.1101;0.115;25800
20160120 155400;0.1126;0.115;0.1126;0.115;600
20160120 155700;0.1103;0.1103;0.1103;0.1103;200
20160120 155800;0.1103;0.1103;0.1103;0.1103;200
20160120 155900;0.1102;0.1102;0.11;0.1102;9900
20160120 160000;0.115;0.115;0.1111;0.1111;200
20160120 163700;0.1;0.1;0.1;0.1;100
20160121 093900;0.1177;0.1177;0.1176;0.1176;1002
20160121 094700;0.1198;0.1198;0.1198;0.1198;450
20160121 095600;0.1198;0.1198;0.1198;0.1198;100
20160121 100200;0.1198;0.1198;0.1198;0.1198;100
20160121 102000;0.11;0.11;0.11;0.11;100
20160121 102700;0.1172;0.1172;0.1172;0.1172;400
20160121 102800;0.12;0.12;0.12;0.12;100
20160121 105700;0.1101;0.1101;0.11;0.11;200
20160121 110000;0.11;0.11;0.11;0.11;8678
20160121 111300;0.1198;0.1198;0.1198;0.1198;100
20160121 111900;0.1199;0.1199;0.1199;0.1199;100
20160121 112300;0.1198;0.1198;0.1198;0.1198;100
20160121 112800;0.1199;0.1199;0.1199;0.1199;200
20160121 114100;0.1199;0.1199;0.1199;0.1199;100
20160121 115200;0.1157;0.1157;0.1157;0.1157;1000
20160121 120200;0.1199;0.13;0.1199;0.13;40000
20160121 120300;0.13;0.1348;0.13;0.1348;10700
20160121 120500;0.1347;0.1393;0.1347;0.1393;10608
20160121 120600;0.1392;0.1392;0.1306;0.1306;1200
20160121 120800;0.1363;0.15;0.135;0.1351;6800
20160121 121100;0.15;0.15;0.15;0.15;15742
20160121 121600;0.1431;0.1431;0.1431;0.1431;180
20160121 121800;0.1438;0.1438;0.1438;0.1438;200
20160121 122200;0.142;0.1439;0.142;0.142;5500
20160121 122300;0.1436;0.1439;0.14;0.14;10050
20160121 122400;0.14;0.1401;0.14;0.1401;3100
20160121 122600;0.1437;0.1437;0.14;0.1437;10300
20160121 123300;0.1437;0.1437;0.1437;0.1437;300
20160121 123900;0.1409;0.1409;0.1409;0.1409;100
20160121 124400;0.1409;0.1409;0.1408;0.1408;9507
20160121 124700;0.1408;0.1408;0.132;0.1347;5200
20160121 125300;0.1399;0.1399;0.1399;0.1399;200
20160121 125800;0.1312;0.1312;0.1312;0.1312;1000
20160121 130600;0.1354;0.1354;0.1354;0.1354;100
20160121 130900;0.1395;0.1395;0.1395;0.1395;2500
20160121 132400;0.1394;0.1394;0.1394;0.1394;500
20160121 132700;0.1394;0.1394;0.1394;0.1394;1000
20160121 133000;0.135;0.135;0.135;0.135;100
20160121 134500;0.135;0.135;0.135;0.135;200
20160121 134800;0.1312;0.1312;0.1312;0.1312;250
20160121 135400;0.1311;0.1311;0.1311;0.1311;400
20160121 135600;0.1311;0.1311;0.1311;0.1311;100
20160121 135700;0.135;0.1351;0.135;0.1351;200
20160121 144100;0.1311;0.1311;0.1311;0.1311;100
20160121 145400;0.1312;0.1312;0.1312;0.1312;2000
20160121 150100;0.139;0.139;0.1339;0.1339;200
20160121 150400;0.1359;0.1389;0.135;0.135;5200
20160121 151100;0.1309;0.1389;0.1309;0.1389;1300
20160121 151600;0.1351;0.1389;0.1351;0.1389;200
20160121 153600;0.1314;0.1314;0.1314;0.1314;3100
20160121 153800;0.1313;0.1313;0.1313;0.1313;100
20160121 154000;0.1313;0.1313;0.1313;0.1313;100
20160121 154500;0.1313;0.1313;0.1313;0.1313;100
20160121 155100;0.1313;0.1313;0.1313;0.1313;100
20160121 155500;0.1312;0.1312;0.106;0.106;11991
20160122 093600;0.1365;0.1365;0.1365;0.1365;500
20160122 094100;0.13;0.13;0.13;0.13;200
20160122 095400;0.13;0.13;0.13;0.13;100
20160122 095600;0.1299;0.1299;0.1299;0.1299;600
20160122 101600;0.13;0.13;0.118;0.118;800
20160122 101700;0.13;0.13;0.13;0.13;100
20160122 102200;0.126;0.126;0.126;0.126;1000
20160122 102600;0.13;0.13;0.13;0.13;27200
20160122 104900;0.1289;0.1295;0.1289;0.1295;6600
20160122 105000;0.1295;0.1295;0.1289;0.1295;5030
20160122 105100;0.1294;0.1294;0.1294;0.1294;1500
20160122 105600;0.1295;0.1295;0.1295;0.1295;300
20160122 110000;0.1295;0.1295;0.1295;0.1295;100
20160122 110300;0.1295;0.1295;0.1295;0.1295;2000
20160122 113000;0.13;0.13;0.13;0.13;9800
20160122 114500;0.13;0.13;0.13;0.13;200
20160122 114600;0.13;0.13;0.13;0.13;200
20160122 115400;0.1298;0.1298;0.1298;0.1298;1650
20160122 120400;0.13;0.13;0.13;0.13;100
20160122 121800;0.13;0.13;0.13;0.13;1800
20160122 124800;0.13;0.13;0.13;0.13;200
20160122 125700;0.1299;0.1299;0.1299;0.1299;600
20160122 125900;0.13;0.13;0.13;0.13;100
20160122 130900;0.1299;0.1299;0.1299;0.1299;3500
20160122 131300;0.13;0.13;0.13;0.13;4600
20160122 131400;0.13;0.13;0.13;0.13;100
20160122 131900;0.13;0.13;0.13;0.13;100
20160122 132300;0.13;0.13;0.13;0.13;200
20160122 132500;0.13;0.13;0.13;0.13;100
20160122 134100;0.13;0.1388;0.13;0.1388;3600
20160122 134200;0.1388;0.1388;0.1388;0.1388;100
20160122 134800;0.1388;0.1388;0.1388;0.1388;100
20160122 140100;0.1388;0.1388;0.1388;0.1388;100
20160122 144100;0.1375;0.1375;0.1375;0.1375;100
20160122 145500;0.1374;0.1375;0.1374;0.1375;10400
20160122 145600;0.1327;0.1327;0.1327;0.1327;1000
20160122 145900;0.1375;0.1375;0.1375;0.1375;100
20160122 150000;0.1375;0.1375;0.1375;0.1375;100
20160122 151100;0.1333;0.1333;0.1333;0.1333;1500
20160122 151400;0.1374;0.1374;0.1374;0.1374;100
20160122 151600;0.1375;0.1375;0.1375;0.1375;500
20160122 151800;0.1374;0.1375;0.1374;0.1375;5000
20160122 152100;0.1375;0.1375;0.1375;0.1375;400
20160122 152700;0.1373;0.1373;0.1373;0.1373;100
20160122 153100;0.1374;0.1375;0.1374;0.1375;3249
20160122 154200;0.1371;0.1372;0.1371;0.1372;11600
20160122 154300;0.1399;0.1399;0.1399;0.1399;1500
20160122 154800;0.14;0.14;0.14;0.14;200
20160122 154900;0.1494;0.1494;0.1494;0.1494;100
20160122 155600;0.1447;0.1447;0.1399;0.1414;3088
20160122 155700;0.1412;0.1412;0.1412;0.1412;2200
20160122 155800;0.1413;0.1413;0.14;0.14;1535
20160125 093100;0.12;0.12;0.12;0.12;24572
20160125 093400;0.12;0.12;0.12;0.12;1000
20160125 093600;0.127;0.127;0.127;0.127;600
20160125 093700;0.127;0.127;0.127;0.127;200
20160125 095300;0.126;0.126;0.126;0.126;250
20160125 095500;0.127;0.127;0.127;0.127;400
20160125 095700;0.13;0.13;0.13;0.13;100
20160125 100800;0.1296;0.13;0.1296;0.13;217
20160125 101400;0.131;0.136;0.131;0.131;300
20160125 101700;0.131;0.131;0.131;0.131;300
20160125 101800;0.13;0.13;0.13;0.13;5100
20160125 103100;0.1336;0.1336;0.1336;0.1336;200
20160125 103200;0.1335;0.1335;0.1335;0.1335;200
20160125 104400;0.1336;0.137;0.1336;0.137;715
20160125 105400;0.1336;0.1336;0.1336;0.1336;100
20160125 105500;0.1303;0.1303;0.1303;0.1303;5000
20160125 105700;0.1335;0.137;0.1335;0.137;200
20160125 110400;0.1336;0.1336;0.1336;0.1336;100
20160125 111100;0.1341;0.1369;0.1341;0.1369;300
20160125 111300;0.137;0.137;0.137;0.137;200
20160125 111400;0.137;0.137;0.137;0.137;100
20160125 111500;0.137;0.137;0.137;0.137;300
20160125 111600;0.137;0.137;0.137;0.137;100
20160125 111700;0.137;0.137;0.137;0.137;2400
20160125 111800;0.137;0.137;0.137;0.137;100
20160125 112200;0.1387;0.1387;0.1387;0.1387;1500
20160125 113000;0.1399;0.1399;0.1399;0.1399;380
20160125 113600;0.1397;0.1397;0.1397;0.1397;300
20160125 114500;0.1391;0.1391;0.1391;0.1391;200
20160125 114600;0.14;0.14;0.14;0.14;100
20160125 121400;0.1399;0.1399;0.1399;0.1399;200
20160125 121600;0.14;0.14;0.14;0.14;100
20160125 130200;0.14;0.14;0.14;0.14;100
20160125 130800;0.1347;0.1347;0.1347;0.1347;1000
20160125 132100;0.1399;0.1399;0.1399;0.1399;400
20160125 132600;0.1399;0.1399;0.1399;0.1399;2000
20160125 141800;0.139;0.1391;0.139;0.1391;2600
20160125 142200;0.1391;0.1391;0.1391;0.1391;345
20160125 143700;0.1398;0.1398;0.1398;0.1398;200
20160125 144000;0.1393;0.1393;0.139;0.139;4200
20160125 151000;0.137;0.137;0.137;0.137;5600
20160125 154100;0.12;0.12;0.12;0.12;500
20160125 154700;0.1267;0.1267;0.1267;0.1267;100
20160126 094500;0.1299;0.1299;0.1299;0.1299;2000
20160126 100200;0.13;0.13;0.13;0.13;2600
20160126 100600;0.13;0.13;0.13;0.13;100
20160126 104300;0.13;0.13;0.13;0.13;2700
20160126 111000;0.1303;0.1303;0.1303;0.1303;200
20160126 112400;0.1398;0.1398;0.1398;0.1398;200
20160126 113300;0.1336;0.1336;0.1336;0.1336;3500
20160126 120400;0.1398;0.1398;0.1398;0.1398;100
20160126 125400;0.1397;0.1397;0.1397;0.1397;600
20160126 132500;0.1398;0.1398;0.1398;0.1398;100
20160126 133100;0.1398;0.1398;0.1391;0.1391;3200
20160126 134400;0.1398;0.1398;0.1339;0.1339;1000
20160126 134800;0.1398;0.1398;0.1398;0.1398;200
20160126 135600;0.1398;0.1398;0.1398;0.1398;2500
20160126 142000;0.1397;0.1397;0.1397;0.1397;4000
20160126 142200;0.1398;0.1398;0.1398;0.1398;200
20160126 142500;0.1398;0.1398;0.1398;0.1398;100
