20160119 081300;35.87;35.87;35.87;35.87;5
20160119 085600;35.57;35.57;35.57;35.57;1890
20160119 091500;36;36;36;36;70
20160119 092300;35.57;35.57;35.57;35.57;300
20160119 093200;36.27;36.37;36.2501;36.29;18245
20160119 093300;36.25;36.28;35.95;35.98;24243
20160119 093400;35.9401;35.97;35.9;35.95;13742
20160119 093500;35.95;36.04;35.93;36.04;8137
20160119 093600;36.06;36.08;35.9;35.98;22085
20160119 093700;35.97;36;35.91;35.93;19020
20160119 093800;35.94;35.94;35.7501;35.81;27652
20160119 093900;35.81;36.12;35.775;36.09;19796
20160119 094000;36.08;36.1;36.04;36.06;31807
20160119 094100;36.06;36.06;35.95;35.97;14460
20160119 094200;35.99;36;35.93;35.96;10055
20160119 094300;35.955;36.095;35.955;36.03;6000
20160119 094400;36.01;36.02;35.84;35.93;13109
20160119 094500;35.93;36.07;35.93;35.94;6150
20160119 094600;35.95;36.08;35.95;36.02;12448
20160119 094700;36.03;36.03;35.87;35.91;7157
20160119 094800;35.87;35.87;35.79;35.85;8279
20160119 094900;35.84;35.84;35.79;35.82;5606
20160119 095000;35.8;35.85;35.8;35.81;6707
20160119 095100;35.8199;35.82;35.64;35.64;11368
20160119 095200;35.65;35.76;35.64;35.64;6777
20160119 095300;35.6;35.65;35.57;35.61;8809
20160119 095400;35.59;35.86;35.59;35.86;14895
20160119 095500;35.86;35.94;35.8;35.88;7606
20160119 095600;35.88;35.9;35.85;35.8899;5954
20160119 095700;35.88;35.95;35.85;35.93;3255
20160119 095800;35.95;36.04;35.94;36;9032
20160119 095900;36.0093;36.03;35.985;36.0162;10654
20160119 100000;36.03;36.05;36.03;36.049;2269
20160119 100100;36.04;36.07;35.98;36.06;24296
20160119 100200;36.08;36.165;36.07;36.07;6862
20160119 100300;36.07;36.07;35.95;35.9596;2812
20160119 100400;35.95;35.97;35.87;35.97;4542
20160119 100500;35.93;35.95;35.86;35.9;3512
20160119 100600;35.91;36.12;35.91;36.12;5300
20160119 100700;36.11;36.11;36.03;36.06;4983
20160119 100800;36.08;36.08;36.03;36.03;3953
20160119 100900;35.99;36.01;35.94;35.94;4795
20160119 101000;35.93;35.94;35.82;35.82;4301
20160119 101100;35.83;35.86;35.78;35.85;8570
20160119 101200;35.83;35.85;35.806;35.8373;9201
20160119 101300;35.81;35.86;35.8;35.82;18165
20160119 101400;35.8;35.91;35.78;35.91;4797
20160119 101500;35.9;35.98;35.85;35.87;5469
20160119 101600;35.89;35.92;35.87;35.91;1544
20160119 101700;35.93;36;35.93;35.96;1450
20160119 101800;35.95;36;35.94;35.94;1971
20160119 101900;35.93;35.94;35.8;35.9;8135
20160119 102000;35.91;35.91;35.84;35.84;2800
20160119 102100;35.85;35.96;35.85;35.94;2400
20160119 102200;35.94;35.97;35.9;35.97;2000
20160119 102300;35.95;35.95;35.92;35.95;2448
20160119 102400;35.93;35.98;35.92;35.96;3140
20160119 102500;35.96;36.04;35.93;36.01;27853
20160119 102600;36.04;36.12;36.03;36.12;4967
20160119 102700;36.12;36.17;36.1;36.17;5191
20160119 102800;36.19;36.19;36.17;36.18;1600
20160119 102900;36.2;36.245;36.18;36.24;6100
20160119 103000;36.24;36.27;36.24;36.27;1600
20160119 103100;36.29;36.3;36.23;36.24;4010
20160119 103200;36.23;36.28;36.23;36.28;6030
20160119 103300;36.27;36.29;36.24;36.24;2800
20160119 103400;36.26;36.2877;36.24;36.27;4214
20160119 103500;36.24;36.25;36.15;36.16;7500
20160119 103600;36.15;36.17;36.11;36.11;5400
20160119 103700;36.09;36.09;36.06;36.06;2800
20160119 103800;36.05;36.05;35.94;35.94;7650
20160119 103900;35.97;36.01;35.94;35.94;7000
20160119 104000;35.88;35.88;35.86;35.86;300
20160119 104100;35.86;35.87;35.82;35.84;5250
20160119 104200;35.85;35.85;35.85;35.85;200
20160119 104300;35.87;35.87;35.77;35.7956;3651
20160119 104400;35.78;35.82;35.78;35.81;2200
20160119 104500;35.83;35.9;35.83;35.86;2210
20160119 104600;35.8405;35.85;35.81;35.84;1903
20160119 104700;35.8472;35.88;35.8472;35.86;2850
20160119 104800;35.87;35.9;35.87;35.9;1401
20160119 104900;35.92;35.98;35.9;35.91;13863
20160119 105000;35.92;36.01;35.92;36.01;6649
20160119 105100;36.01;36.06;35.97;35.97;8934
20160119 105200;35.985;35.985;35.9;35.9;3000
20160119 105300;35.88;35.9;35.86;35.87;8104
20160119 105400;35.85;35.85;35.81;35.82;4111
20160119 105500;35.8001;35.8001;35.8001;35.8001;750
20160119 105600;35.8;35.82;35.78;35.78;4429
20160119 105700;35.77;35.8;35.75;35.78;4243
20160119 105800;35.79;35.8199;35.77;35.77;13437
20160119 105900;35.78;35.79;35.71;35.71;10718
20160119 110000;35.71;35.71;35.66;35.67;1390
20160119 110100;35.67;35.78;35.67;35.71;5449
20160119 110200;35.73;35.76;35.72;35.72;800
20160119 110300;35.75;35.76;35.74;35.76;1400
20160119 110400;35.8;35.81;35.79;35.79;521
20160119 110500;35.78;35.8;35.76;35.79;1679
20160119 110600;35.8;35.82;35.79;35.82;3060
20160119 110700;35.77;35.8;35.76;35.8;1995
20160119 110800;35.7903;35.82;35.76;35.76;2204
20160119 110900;35.74;35.8;35.74;35.79;1891
20160119 111000;35.81;35.81;35.78;35.78;3270
20160119 111100;35.75;35.75;35.7;35.7245;4808
20160119 111200;35.72;35.72;35.65;35.67;1900
20160119 111300;35.67;35.675;35.62;35.65;3514
20160119 111400;35.65;35.7;35.65;35.69;2711
20160119 111500;35.67;35.68;35.58;35.58;32277
20160119 111600;35.58;35.6;35.58;35.6;1748
20160119 111700;35.6355;35.66;35.62;35.65;11572
20160119 111800;35.64;35.67;35.63;35.67;2950
20160119 111900;35.67;35.67;35.62;35.6399;8400
20160119 112000;35.62;35.63;35.59;35.6;13751
20160119 112100;35.62;35.62;35.6;35.62;6300
20160119 112200;35.62;35.67;35.62;35.65;2000
20160119 112300;35.68;35.7;35.66;35.67;3100
20160119 112400;35.67;35.67;35.6101;35.6101;6600
20160119 112500;35.6111;35.63;35.581;35.61;10624
20160119 112600;35.605;35.63;35.605;35.61;1500
20160119 112700;35.63;35.64;35.63;35.63;500
20160119 112800;35.63;35.75;35.63;35.73;7091
20160119 112900;35.74;35.75;35.71;35.75;3460
20160119 113000;35.76;35.8;35.76;35.8;4148
20160119 113100;35.82;35.84;35.81;35.825;20984
20160119 113200;35.83;35.83;35.795;35.795;12800
20160119 113300;35.8;35.81;35.79;35.795;3300
20160119 113400;35.8;35.82;35.76;35.78;12771
20160119 113500;35.77;35.79;35.77;35.77;8175
20160119 113600;35.77;35.77;35.73;35.73;4922
20160119 113700;35.73;35.75;35.69;35.72;9003
20160119 113800;35.73;35.73;35.73;35.73;1434
20160119 113900;35.75;35.79;35.75;35.78;2400
20160119 114000;35.8;35.84;35.8;35.82;13250
20160119 114100;35.82;35.82;35.77;35.775;10802
20160119 114200;35.775;35.79;35.75;35.77;4069
20160119 114300;35.78;35.7801;35.77;35.775;3729
20160119 114400;35.76;35.78;35.76;35.77;1400
20160119 114500;35.765;35.765;35.75;35.75;4901
20160119 114600;35.77;35.82;35.77;35.79;12860
20160119 114700;35.79;35.79;35.75;35.76;6800
20160119 114800;35.75;35.76;35.71;35.74;3200
20160119 114900;35.76;35.82;35.74;35.82;10500
20160119 115000;35.81;35.82;35.81;35.82;5200
20160119 115100;35.81;35.85;35.7901;35.84;12659
20160119 115200;35.84;35.88;35.84;35.88;2501
20160119 115300;35.875;35.875;35.83;35.85;6500
20160119 115400;35.85;35.895;35.85;35.895;8318
20160119 115500;35.895;35.895;35.84;35.84;3100
20160119 115600;35.84;35.89;35.84;35.855;18300
20160119 115700;35.88;35.905;35.87;35.88;6500
20160119 115800;35.8805;35.8805;35.83;35.84;1635
20160119 115900;35.815;35.82;35.8;35.8;3300
20160119 120000;35.795;35.8;35.75;35.75;3237
20160119 120100;35.76;35.81;35.75;35.79;2100
20160119 120200;35.795;35.795;35.75;35.75;3500
20160119 120300;35.74;35.74;35.71;35.717;900
20160119 120400;35.705;35.72;35.68;35.68;5225
20160119 120500;35.68;35.7;35.67;35.67;1895
20160119 120700;35.69;35.69;35.67;35.67;953
20160119 120800;35.67;35.69;35.66;35.69;1520
20160119 120900;35.7;35.71;35.645;35.65;2500
20160119 121000;35.65;35.65;35.61;35.61;2336
20160119 121100;35.6;35.625;35.59;35.625;3850
20160119 121200;35.62;35.63;35.62;35.63;600
20160119 121300;35.64;35.65;35.62;35.63;2900
20160119 121400;35.63;35.69;35.63;35.66;1300
20160119 121500;35.68;35.68;35.65;35.66;1000
20160119 121600;35.65;35.68;35.64;35.67;8613
20160119 121700;35.68;35.7;35.67;35.69;4700
20160119 121800;35.69;35.72;35.67;35.69;3200
20160119 121900;35.685;35.69;35.66;35.68;18158
20160119 122000;35.71;35.72;35.69;35.7;4050
20160119 122100;35.67;35.69;35.67;35.67;1702
20160119 122200;35.67;35.7;35.64;35.67;5400
20160119 122300;35.65;35.69;35.65;35.69;8200
20160119 122400;35.7;35.74;35.69;35.69;2977
20160119 122500;35.7;35.71;35.68;35.69;3100
20160119 122600;35.67;35.7;35.67;35.7;2100
20160119 122700;35.69;35.69;35.67;35.68;3104
20160119 122800;35.687;35.73;35.67;35.73;2460
20160119 122900;35.74;35.8;35.72;35.8;7603
20160119 123000;35.82;35.89;35.82;35.87;1900
20160119 123100;35.87;35.92;35.86;35.8974;1950
20160119 123200;35.91;35.95;35.91;35.95;2861
20160119 123300;35.95;35.97;35.95;35.96;2268
