20160119 090700;56.78;56.78;56.78;56.78;21
20160119 093100;57.26;57.45;57.04;57.04;1230
20160119 093200;57.28;57.36;57.24;57.35;500
20160119 093300;57.22;57.22;57.2;57.21;300
20160119 093400;57.22;57.22;57.22;57.22;495
20160119 093500;57.14;57.14;57.13;57.13;300
20160119 093600;57.12;57.53;57.02;57.53;2475
20160119 093700;57.54;57.7;57.54;57.7;2646
20160119 093800;57.66;57.76;57.57;57.62;1675
20160119 093900;57.61;57.61;57.61;57.61;200
20160119 094000;57.48;57.59;57.43;57.43;1302
20160119 094100;57.5;57.59;57.43;57.43;558
20160119 094200;57.55;57.58;57.5;57.5;300
20160119 094300;57.58;57.58;57.58;57.58;211
20160119 094400;57.57;57.57;57.57;57.57;700
20160119 094500;57.47;57.515;57.47;57.5;616
20160119 094600;57.49;57.59;57.49;57.59;5136
20160119 094700;57.59;57.64;57.56;57.59;2962
20160119 094800;57.56;57.57;57.47;57.47;1736
20160119 094900;57.52;57.52;57.49;57.49;400
20160119 095000;57.57;57.57;57.525;57.56;1500
20160119 095100;57.57;57.57;57.39;57.39;2704
20160119 095200;57.41;57.41;57.37;57.37;500
20160119 095400;57.3;57.3;57.24;57.24;400
20160119 095500;57.25;57.31;57.16;57.31;1800
20160119 095600;57.29;57.3;57.29;57.3;200
20160119 095700;57.25;57.34;57.19;57.34;2100
20160119 095800;57.38;57.38;57.38;57.38;100
20160119 095900;57.45;57.45;57.45;57.45;100
20160119 100000;57.48;57.49;57.44;57.44;1000
20160119 100100;57.4;57.425;57.39;57.39;400
20160119 100300;57.385;57.385;57.24;57.24;1100
20160119 100400;57.25;57.26;57.22;57.22;1300
20160119 100500;57.15;57.16;57.15;57.15;1000
20160119 100600;57.13;57.17;57.13;57.17;796
20160119 100700;57.21;57.27;57.21;57.24;1800
20160119 100800;57.22;57.23;57.22;57.23;1009
20160119 100900;57.22;57.22;57.14;57.16;2800
20160119 101000;57.11;57.11;57.11;57.11;100
20160119 101100;57.03;57.14;57.03;57.08;800
20160119 101200;57.08;57.16;57.08;57.1;700
20160119 101300;57.1;57.1;57.1;57.1;400
20160119 101400;57.08;57.08;57.08;57.08;100
20160119 101500;57.08;57.08;57.04;57.04;300
20160119 101600;57.04;57.06;56.98;56.98;1500
20160119 101700;57;57.03;56.99;56.99;900
20160119 101800;57.04;57.04;57.02;57.035;1500
20160119 101900;57.02;57.06;57.01;57.01;2554
20160119 102000;57.01;57.01;57;57;310
20160119 102100;57.04;57.08;57.02;57.08;500
20160119 102200;57.09;57.12;57.09;57.12;1000
20160119 102300;57.12;57.18;57.12;57.15;1300
20160119 102400;57.15;57.15;57.13;57.14;1066
20160119 102500;57.18;57.23;57.18;57.23;1100
20160119 102600;57.2;57.32;57.2;57.32;500
20160119 102700;57.27;57.27;57.24;57.24;1800
20160119 102800;57.2;57.2;57.2;57.2;100
20160119 103000;57.21;57.29;57.21;57.29;1400
20160119 103100;57.26;57.28;57.2;57.2;1200
20160119 103200;57.2;57.2;57.14;57.14;600
20160119 103300;57.12;57.18;57.08;57.15;5525
20160119 103400;57.12;57.135;57.115;57.115;451
20160119 103500;57.03;57.03;56.98;56.98;200
20160119 103600;57;57.02;56.95;56.97;1900
20160119 103700;56.98;57.04;56.97;57.005;1000
20160119 103800;56.98;56.99;56.98;56.99;300
20160119 103900;56.98;56.99;56.96;56.99;600
20160119 104000;57;57.02;56.93;56.93;1800
20160119 104200;56.95;57.04;56.95;57.04;3000
20160119 104300;57.05;57.05;57.01;57.03;1700
20160119 104400;57.03;57.04;57;57.04;400
20160119 104500;57.03;57.09;57.01;57.08;8600
20160119 104600;57.08;57.08;57.03;57.05;6100
20160119 104700;57.05;57.06;57;57.04;7000
20160119 104800;57.03;57.055;57.03;57.03;1550
20160119 104900;57.03;57.08;57.03;57.08;700
20160119 105100;57.12;57.17;57.12;57.16;3516
20160119 105200;57.14;57.14;57.08;57.08;1901
20160119 105300;57.02;57.02;57.01;57.01;600
20160119 105400;56.96;57;56.94;57;1800
20160119 105500;56.98;57.01;56.98;57.01;400
20160119 105600;56.95;56.95;56.91;56.93;1901
20160119 105700;56.93;56.97;56.93;56.97;1000
20160119 105800;57;57.01;56.98;56.99;800
20160119 105900;56.95;56.95;56.95;56.95;500
20160119 110000;56.95;56.95;56.92;56.93;400
20160119 110100;56.99;56.99;56.92;56.92;500
20160119 110200;56.96;56.99;56.93;56.99;900
20160119 110300;57.01;57.04;57.01;57.01;1000
20160119 110400;57.02;57.06;56.99;57.06;1600
20160119 110500;57.01;57.03;56.99;57.03;400
20160119 110600;57.04;57.05;57.02;57.02;400
20160119 110700;57.03;57.03;56.98;56.98;500
20160119 110800;56.98;56.98;56.98;56.98;100
20160119 110900;57.02;57.06;57.02;57.06;1000
20160119 111000;57.12;57.12;57.12;57.12;100
20160119 111200;57.06;57.06;57.04;57.04;900
20160119 111300;57.07;57.1;57.04;57.06;5300
