20160119 093100;17.41;17.42;17.41;17.42;300
20160119 093300;17.445;17.49;17.445;17.49;4300
20160119 093400;17.47;17.47;17.45;17.46;4103
20160119 093500;17.45;17.465;17.45;17.465;309
20160119 093600;17.465;17.47;17.39;17.39;3508
20160119 093700;17.37;17.37;17.3;17.31;3100
20160119 093800;17.26;17.3;17.25;17.3;1900
20160119 093900;17.28;17.33;17.27;17.33;1176
20160119 094000;17.32;17.32;17.26;17.29;1800
20160119 094100;17.26;17.31;17.26;17.31;900
20160119 094200;17.31;17.31;17.23;17.255;4400
20160119 094300;17.24;17.35;17.24;17.3275;3550
20160119 094400;17.29;17.3;17.2;17.2;2930
20160119 094500;17.22;17.29;17.22;17.29;1400
20160119 094600;17.29;17.35;17.29;17.35;2390
20160119 094700;17.3;17.3;17.25;17.25;1238
20160119 094800;17.26;17.26;17.21;17.21;1058
20160119 094900;17.205;17.24;17.205;17.24;710
20160119 095000;17.19;17.2;17.12;17.18;6000
20160119 095100;17.18;17.18;17.07;17.07;1700
20160119 095200;17.09;17.15;17.09;17.12;1400
20160119 095300;17.1;17.11;17.07;17.1;700
20160119 095400;17.1;17.17;17.1;17.15;1766
20160119 095500;17.1725;17.25;17.1725;17.25;1021
20160119 095600;17.23;17.23;17.21;17.22;800
20160119 095700;17.22;17.24;17.22;17.24;200
20160119 095800;17.25;17.3;17.24;17.3;1500
20160119 095900;17.33;17.33;17.33;17.33;300
20160119 100000;17.36;17.36;17.36;17.36;200
20160119 100100;17.42;17.42;17.36;17.39;900
20160119 100300;17.38;17.38;17.34;17.34;1300
20160119 100400;17.33;17.33;17.33;17.33;100
20160119 100500;17.37;17.4;17.35;17.4;1700
20160119 100600;17.42;17.45;17.42;17.45;1200
20160119 100700;17.46;17.46;17.39;17.43;2000
20160119 100800;17.45;17.45;17.42;17.44;1100
20160119 100900;17.43;17.445;17.43;17.43;3700
20160119 101000;17.43;17.43;17.38;17.38;3700
20160119 101100;17.37;17.42;17.35;17.35;1200
20160119 101200;17.39;17.39;17.37;17.38;400
20160119 101300;17.38;17.38;17.38;17.38;100
20160119 101400;17.36;17.42;17.35;17.42;1698
20160119 101500;17.38;17.4;17.36;17.375;3900
20160119 101600;17.3605;17.395;17.3605;17.395;1500
20160119 101700;17.41;17.41;17.4;17.41;1076
20160119 101800;17.43;17.43;17.41;17.41;400
20160119 101900;17.4;17.4;17.39;17.39;1400
20160119 102000;17.41;17.41;17.4;17.4;200
20160119 102100;17.41;17.45;17.38;17.42;2100
20160119 102200;17.44;17.45;17.42;17.42;4522
20160119 102300;17.4;17.41;17.39;17.41;5200
20160119 102400;17.41;17.43;17.39;17.42;4500
20160119 102500;17.425;17.47;17.41;17.47;3845
20160119 102600;17.47;17.48;17.46;17.47;1900
20160119 102700;17.487;17.52;17.46;17.49;5347
20160119 102800;17.49;17.5062;17.487;17.5062;945
20160119 102900;17.52;17.52;17.5;17.5;775
20160119 103000;17.48;17.48;17.43;17.45;51605
20160119 103200;17.43;17.46;17.42;17.46;1800
20160119 103300;17.47;17.49;17.47;17.48;800
20160119 103400;17.4703;17.4703;17.4703;17.4703;100
20160119 103500;17.47;17.47;17.44;17.44;800
20160119 103600;17.43;17.47;17.42;17.47;1200
20160119 103700;17.43;17.445;17.43;17.445;600
20160119 103800;17.45;17.46;17.45;17.45;400
20160119 103900;17.45;17.45;17.43;17.43;400
20160119 104000;17.4;17.4;17.36;17.3831;2755
20160119 104100;17.37;17.41;17.37;17.4;4020
20160119 104200;17.4;17.41;17.38;17.41;1700
20160119 104300;17.4;17.4;17.36;17.37;2877
20160119 104400;17.35;17.36;17.35;17.35;1600
20160119 104500;17.35;17.37;17.35;17.35;3300
20160119 104600;17.3525;17.355;17.32;17.32;4700
20160119 104700;17.34;17.34;17.32;17.34;1707
