20160119 095400;10.1742;10.1742;10.1742;10.1742;200
20160119 095500;10.17;10.174;10.16;10.16;2525
20160119 101200;10.16;10.16;10.16;10.16;543
20160119 101800;10.16;10.16;10.16;10.16;1327
20160119 102100;10.15;10.15;10.09;10.14;1600
20160119 103100;10.14;10.14;10.14;10.14;100
20160119 103700;10.15;10.15;10.13;10.13;1000
20160119 105200;10.13;10.13;10.13;10.13;100
20160119 105800;10.1593;10.16;10.1593;10.16;200
20160119 114700;10.16;10.16;10.16;10.16;200
20160119 121700;10.155;10.157;10.15;10.157;588
20160119 123400;10.16;10.16;10.16;10.16;320
20160119 123700;10.16;10.16;10.16;10.16;400
20160119 141800;10.14;10.14;10.13;10.13;600
20160119 142400;10.13;10.15;10.09;10.14;4573
20160119 143000;10.09;10.09;10.09;10.09;100
20160119 145500;10.1;10.1;10.1;10.1;294
20160119 151000;10.1;10.1;10.1;10.1;400
20160119 153300;10.1057;10.1057;10.1057;10.1057;300
20160119 154700;10.1;10.12;10.1;10.12;700
20160119 155300;10.12;10.12;10.12;10.12;200
20160119 160000;10.11;10.11;10.11;10.11;900
20160120 094500;10.02;10.02;10.02;10.02;300
20160120 095200;10.01;10.02;10.01;10.01;5500
20160120 095300;10.01;10.01;10.01;10.01;500
20160120 100200;9.97;9.97;9.84;9.84;2800
20160120 104400;9.89;9.97;9.85;9.85;1800
20160120 105000;9.87;9.965;9.84;9.965;4600
20160120 105100;9.91;9.91;9.85;9.8878;612
20160120 110400;9.89;9.9;9.886;9.886;5281
20160120 110700;9.98;9.98;9.98;9.98;300
20160120 111700;9.89;9.89;9.89;9.89;150
20160120 112500;9.91;9.91;9.91;9.91;100
20160120 114700;9.9101;9.9101;9.9101;9.9101;1200
20160120 121300;9.91;9.91;9.91;9.91;750
20160120 130800;9.98;9.98;9.98;9.98;100
20160120 131000;9.9301;9.9301;9.9301;9.9301;144
20160120 132200;9.94;9.94;9.93;9.93;489
20160120 134800;9.95;9.96;9.95;9.96;2500
20160120 140800;9.96;9.96;9.96;9.96;500
20160120 143100;9.945;9.96;9.94;9.94;900
20160120 144900;9.97;9.97;9.97;9.97;100
20160120 145400;9.97;9.97;9.97;9.97;200
20160120 145500;9.97;9.98;9.97;9.98;1600
20160120 145700;9.98;9.98;9.98;9.98;300
20160120 153400;10.01;10.01;10.01;10.01;300
20160120 155900;10.02;10.02;10;10;985
20160120 160000;10;10;10;10;400
20160121 094800;10.142;10.142;10.142;10.142;200
20160121 100200;10.045;10.045;10.03;10.03;700
20160121 100300;10.02;10.02;10.02;10.02;300
20160121 100800;10.03;10.03;10.03;10.03;100
20160121 102000;10.0772;10.0772;10.0772;10.0772;500
20160121 104800;10.07;10.07;10.07;10.07;100
20160121 104900;10.06;10.06;10.06;10.06;209
20160121 105200;10.09;10.09;10.09;10.09;100
20160121 120700;10.11;10.11;10.11;10.11;100
20160121 123400;10.13;10.13;10.13;10.13;500
20160121 123500;10.13;10.13;10.13;10.13;400
20160121 141600;10.13;10.13;10.13;10.13;200
20160121 144400;10.13;10.13;10.13;10.13;100
20160121 152400;10.14;10.14;10.14;10.14;100
20160121 153900;10.14;10.14;10.14;10.14;100
20160121 154800;10.14;10.14;10.14;10.14;200
20160121 154900;10.14;10.14;10.14;10.14;100
20160122 105900;10.17;10.17;10.17;10.17;116
20160122 110700;10.197;10.2;10.197;10.2;1155
20160122 115700;10.1757;10.1757;10.1757;10.1757;200
20160122 130600;10.19;10.19;10.19;10.19;100
20160122 132900;10.19;10.19;10.19;10.19;371
20160122 134700;10.21;10.21;10.21;10.21;1600
20160122 134800;10.21;10.23;10.21;10.23;200
20160122 134900;10.21;10.21;10.21;10.21;400
20160122 135000;10.21;10.21;10.21;10.21;500
20160122 135300;10.21;10.21;10.21;10.21;800
20160122 135500;10.21;10.21;10.21;10.21;100
20160122 135600;10.21;10.22;10.21;10.22;700
20160122 135700;10.21;10.21;10.21;10.21;700
20160122 141100;10.19;10.19;10.19;10.19;600
20160122 150200;10.2;10.2;10.2;10.2;300
20160122 152000;10.21;10.21;10.21;10.21;100
20160122 152100;10.21;10.21;10.21;10.21;400
