20160119 085600;67.66;67.66;67.66;67.66;1116
20160119 092300;67.66;67.66;67.66;67.66;1100
20160119 093200;68.51;68.51;68.51;68.51;100
20160119 093300;68.57;68.57;68.1;68.21;17713
20160119 093400;68.12;68.15;67.7;67.73;4000
20160119 093500;67.72;67.72;67.63;67.63;1550
20160119 093600;67.71;67.71;67.38;67.38;1100
20160119 093700;67.35;67.35;67.18;67.18;1771
20160119 093800;67.151;67.17;66.99;67.13;3468
20160119 093900;67.07;67.07;66.9418;66.96;745
20160119 094000;66.8713;66.8713;66.74;66.74;1449
20160119 094100;66.74;66.74;66.4801;66.615;3557
20160119 094200;66.605;66.88;66.605;66.88;2501
20160119 094300;66.875;66.88;66.71;66.74;4873
20160119 094400;66.73;66.75;66.51;66.51;1577
20160119 094500;66.51;66.79;66.48;66.7;3300
20160119 094600;66.76;66.97;66.67;66.97;3325
20160119 094700;66.98;66.99;66.73;66.73;3991
20160119 094800;66.77;66.77;66.658;66.77;2000
20160119 094900;66.725;66.725;66.6;66.6;1400
20160119 095000;66.595;66.6;66.58;66.58;700
20160119 095100;66.5;66.53;66.3;66.3;4095
20160119 095200;66.28;66.4299;66.28;66.33;1187
20160119 095300;66.31;66.32;66.15;66.15;2924
20160119 095400;66.23;66.49;66.225;66.49;3148
20160119 095500;66.47;66.63;66.42;66.56;2875
20160119 095600;66.52;66.67;66.46;66.57;3030
20160119 095700;66.51;66.51;66.5;66.5;600
20160119 095800;66.48;66.69;66.48;66.69;1900
20160119 095900;66.68;66.81;66.68;66.805;1300
20160119 100000;66.87;66.87;66.74;66.84;1139
20160119 100100;66.766;66.92;66.766;66.85;3950
20160119 100200;66.95;67.13;66.95;67.094;1142
20160119 100300;67.01;67.02;66.86;66.86;2000
20160119 100400;66.85;66.85;66.78;66.81;1000
20160119 100500;66.8;66.91;66.78;66.9;2448
20160119 100600;66.96;67.24;66.915;67.16;3000
20160119 100700;67.24;67.24;67.08;67.09;2150
20160119 100800;67.08;67.135;67;67.09;1510
20160119 100900;67.044;67.044;66.84;66.84;4503
20160119 101000;66.85;66.88;66.63;66.64;5200
20160119 101100;66.63;66.79;66.53;66.53;11578
20160119 101200;66.53;66.73;66.53;66.636;4432
20160119 101300;66.6;66.85;66.595;66.83;5300
20160119 101400;66.8;67.02;66.735;67.02;2083
20160119 101500;66.97;67.06;66.96;67.02;1400
20160119 101600;66.982;67.09;66.96;66.96;1800
20160119 101700;67.04;67.21;67.04;67.21;2700
20160119 101800;67.17;67.235;67.15;67.16;900
20160119 101900;67.14;67.14;67.01;67.06;1848
20160119 102000;67.01;67.1;66.98;67.0307;2830
20160119 102100;67.06;67.15;67.02;67.15;1751
20160119 102200;67.13;67.15;66.96;66.96;2330
20160119 102300;66.97;66.97;66.89;66.89;2090
20160119 102400;66.89;66.9;66.797;66.9;5230
20160119 102500;66.91;67.09;66.91;67.055;2765
20160119 102600;67.075;67.16;67.075;67.16;1500
20160119 102700;67.16;67.16;66.95;66.95;4100
20160119 102800;66.93;66.98;66.878;66.93;4000
20160119 102900;66.99;67.04;66.93;66.945;4200
20160119 103000;66.9;67.03;66.9;67.01;3100
20160119 103100;67.03;67.05;66.9;67.01;3919
20160119 103200;67.02;67.02;66.91;67.01;4489
20160119 103300;67.03;67.07;66.98;66.98;1900
20160119 103400;67.03;67.03;66.89;66.89;2750
20160119 103500;66.88;66.88;66.7901;66.7901;827
20160119 103600;66.79;66.915;66.79;66.83;4801
20160119 103700;66.84;66.84;66.8;66.8;556
20160119 103800;66.84;66.84;66.81;66.81;500
20160119 103900;66.78;66.79;66.665;66.7;2000
20160119 104000;66.63;66.64;66.58;66.58;400
20160119 104100;66.56;66.65;66.56;66.61;4302
20160119 104200;66.62;66.62;66.6;66.62;427
20160119 104300;66.62;66.62;66.62;66.62;300
20160119 104400;66.62;66.62;66.59;66.595;500
20160119 104500;66.6;66.78;66.6;66.61;4650
20160119 104600;66.57;66.62;66.57;66.59;900
20160119 104700;66.64;66.7;66.61;66.665;1500
20160119 104800;66.67;66.67;66.59;66.65;6830
20160119 104900;66.65;66.77;66.63;66.665;5000
20160119 105000;66.6;66.74;66.6;66.74;13350
20160119 105100;66.76;66.99;66.76;66.78;5037
20160119 105200;66.79;66.8;66.68;66.73;600
20160119 105300;66.66;66.77;66.62;66.68;4619
20160119 105400;66.7;66.7;66.7;66.7;200
20160119 105500;66.67;66.67;66.66;66.66;300
20160119 105600;66.62;66.69;66.62;66.665;1400
20160119 105700;66.71;66.74;66.64;66.675;2621
20160119 105800;66.69;66.69;66.64;66.65;1300
20160119 105900;66.67;66.72;66.65;66.65;2400
20160119 110000;66.62;66.62;66.57;66.57;1250
20160119 110100;66.55;66.72;66.54;66.615;3700
20160119 110200;66.57;66.66;66.56;66.66;1600
20160119 110300;66.68;66.75;66.68;66.75;971
20160119 110400;66.79;66.85;66.79;66.85;800
20160119 110500;66.85;66.85;66.67;66.71;4300
20160119 110600;66.69;66.75;66.69;66.75;300
20160119 110700;66.67;66.69;66.6;66.66;2100
20160119 110800;66.63;66.63;66.54;66.54;1400
20160119 110900;66.53;66.725;66.53;66.65;2314
20160119 111000;66.65;66.7;66.65;66.7;550
20160119 111100;66.6;66.63;66.56;66.57;1400
20160119 111200;66.55;66.58;66.47;66.49;1505
