20160119 103400;17.2;17.2;17.2;17.2;100
20160119 115600;17.1;17.1;17.1;17.1;100
20160119 115700;16.88;16.88;16.88;16.88;200
20160119 115800;17.05;17.05;17.05;17.05;100
20160119 120800;17.3;17.3;17.3;17.3;100
20160119 120900;17.11;17.11;17.11;17.11;200
20160119 121000;16.88;17.06;16.88;17.06;300
20160119 121100;17.07;17.13;17.01;17.13;900
20160119 121700;17.06;17.06;17.05;17.05;898
20160119 121800;17.1;17.1;17.1;17.1;600
20160119 121900;17.04;17.04;17.04;17.04;100
20160119 122000;17;17;17;17;100
20160119 130100;16.9468;16.9468;16.9468;16.9468;1300
20160119 131200;16.9;16.9;16.9;16.9;200
20160119 131300;16.9;16.9;16.9;16.9;735
20160119 131500;16.9;16.91;16.9;16.9;1500
20160119 134900;16.9;16.9;16.9;16.9;100
20160119 141500;16.7501;16.7501;16.7501;16.7501;400
20160119 141600;16.81;16.81;16.7;16.7;800
20160119 141700;16.75;16.75;16.75;16.75;101
20160119 150700;16.7;16.7;16.7;16.7;100
20160119 150800;16.7;16.7;16.7;16.7;200
20160119 151300;16.59;16.59;16.56;16.56;500
20160119 152100;16.71;16.71;16.71;16.71;300
20160119 152400;16.6;16.6;16.6;16.6;199
20160119 152600;16.6001;16.6001;16.6001;16.6001;400
20160119 152700;16.6;16.71;16.6;16.71;1400
20160119 153100;16.6234;16.6234;16.6234;16.6234;300
20160119 153200;16.63;16.63;16.63;16.63;100
20160119 154700;16.64;16.64;16.64;16.64;100
20160119 155600;16.61;16.61;16.61;16.61;200
20160119 155700;16.6;16.6;16.6;16.6;100
20160119 160000;16.6;16.6;16.6;16.6;400
20160120 093700;16.5042;16.5042;16.5042;16.5042;500
20160120 093800;16.51;16.54;16.5011;16.54;425
20160120 101300;16.51;16.51;16.5;16.5;300
20160120 101700;16.5;16.51;16.35;16.35;1000
20160120 102800;16.351;16.36;16.25;16.25;5400
20160120 112600;16.03;16.03;16.03;16.03;100
20160120 113800;16.03;16.03;16.03;16.03;100
