20160119 094500;0.7349;0.735;0.731;0.735;3300
20160119 095300;0.7348;0.7349;0.7348;0.7349;578
20160119 102200;0.7132;0.735;0.7132;0.735;2000
20160119 113400;0.7132;0.7132;0.7132;0.7132;100
20160119 114200;0.7128;0.7129;0.7128;0.7129;4000
20160119 114300;0.7132;0.7132;0.7132;0.7132;400
20160119 115500;0.7193;0.7193;0.7193;0.7193;100
20160119 121400;0.713;0.713;0.71;0.71;7000
20160119 121500;0.71;0.71;0.71;0.71;200
20160119 122200;0.7147;0.7147;0.71;0.71;300
20160119 152700;0.7;0.7;0.7;0.7;1600
20160119 154400;0.7101;0.7101;0.7101;0.7101;2000
20160119 154600;0.7019;0.7019;0.7019;0.7019;400
20160119 154700;0.7;0.7;0.7;0.7;200
20160119 154800;0.7018;0.7018;0.7018;0.7018;200
20160119 155000;0.7018;0.7018;0.7018;0.7018;200
20160119 155300;0.7018;0.7018;0.7018;0.7018;200
20160119 155400;0.7018;0.7018;0.7018;0.7018;200
20160119 155500;0.7;0.7;0.7;0.7;200
20160119 155600;0.7018;0.7018;0.7018;0.7018;100
20160119 160000;0.7001;0.7001;0.7;0.7;4125
20160120 102200;0.6999;0.7;0.6999;0.6999;7000
20160120 104500;0.7;0.7;0.7;0.7;100
20160120 113800;0.7;0.7;0.7;0.7;100
20160120 120700;0.671;0.671;0.671;0.671;2000
20160120 135200;0.68;0.68;0.68;0.68;1100
20160120 143800;0.6999;0.71;0.6999;0.7;7125
20160120 153000;0.6846;0.6846;0.6846;0.6846;2130
20160120 160000;0.681;0.681;0.681;0.681;100
20160121 095500;0.71;0.71;0.7;0.7;9614
20160121 095900;0.7;0.7;0.68;0.68;4150
20160121 100500;0.685;0.685;0.685;0.685;500
20160121 102600;0.6827;0.6827;0.6827;0.6827;5000
20160121 103900;0.6839;0.6839;0.6839;0.6839;1000
20160121 111400;0.6673;0.6673;0.6673;0.6673;5000
20160121 113300;0.65;0.65;0.65;0.65;400
20160121 122600;0.6758;0.6758;0.6689;0.6689;200
20160121 122700;0.6689;0.6689;0.6689;0.6689;200
20160121 141900;0.66;0.66;0.66;0.66;100
20160121 145500;0.6602;0.6602;0.6601;0.6601;8080
20160121 150500;0.66;0.66;0.66;0.66;100
20160121 151200;0.66;0.66;0.66;0.66;100
20160121 153000;0.66;0.66;0.66;0.66;100
20160121 153300;0.6675;0.6675;0.6675;0.6675;100
20160121 153900;0.6748;0.6748;0.66;0.66;5100
20160121 154300;0.6675;0.6726;0.6675;0.6726;200
20160121 154500;0.6726;0.6726;0.6726;0.6726;100
20160121 154800;0.6675;0.6675;0.6675;0.6675;100
20160121 155000;0.6726;0.6726;0.6726;0.6726;100
20160121 155100;0.6726;0.6726;0.6726;0.6726;200
20160121 155200;0.6726;0.6726;0.6726;0.6726;100
20160121 155300;0.6726;0.6726;0.6726;0.6726;100
20160121 155500;0.6726;0.6726;0.6726;0.6726;200
20160121 155600;0.6726;0.6726;0.6726;0.6726;100
20160121 155700;0.6726;0.6726;0.6726;0.6726;100
20160121 155800;0.6726;0.6726;0.6726;0.6726;100
20160121 155900;0.6726;0.6726;0.6726;0.6726;100
20160121 160000;0.6601;0.6601;0.6601;0.6601;100
20160122 095300;0.7999;0.7999;0.7996;0.7999;800
20160122 100500;0.7998;0.7998;0.7998;0.7998;350
20160122 104600;0.7535;0.7965;0.7535;0.7965;500
20160122 105100;0.755;0.769;0.755;0.7685;500
20160122 105300;0.7799;0.7799;0.7799;0.7799;500
20160122 110300;0.77;0.77;0.77;0.77;580
20160122 122000;0.77;0.77;0.77;0.77;100
20160122 124200;0.77;0.77;0.77;0.77;800
