20160119 091600;19.49;19.49;19.49;19.49;8
20160119 092300;19.49;19.49;19.49;19.49;1300
20160119 093200;19.75;19.75;19.75;19.75;2100
20160119 093300;19.65;19.65;19.65;19.65;100
20160119 093400;19.66;19.8;19.62;19.62;3200
20160119 093500;19.65;19.68;19.62;19.68;3309
20160119 093600;19.66;19.6799;19.55;19.55;5600
20160119 093700;19.56;19.63;19.54;19.6;4534
20160119 093800;19.6;19.62;19.6;19.6;1110
20160119 093900;19.6;19.6;19.6;19.6;600
20160119 094000;19.6;19.6;19.57;19.57;1700
20160119 094100;19.57;19.6;19.57;19.6;1600
20160119 094200;19.6;19.62;19.59;19.62;1862
20160119 094300;19.63;19.63;19.63;19.63;100
20160119 094400;19.63;19.63;19.62;19.62;998
20160119 094500;19.6;19.61;19.52;19.53;1300
20160119 094600;19.61;19.61;19.61;19.61;200
20160119 094700;19.61;19.61;19.6;19.6;300
20160119 094800;19.59;19.59;19.58;19.58;800
20160119 094900;19.535;19.565;19.53;19.53;1300
20160119 095000;19.545;19.545;19.51;19.51;1000
20160119 095100;19.53;19.53;19.49;19.5;4400
20160119 095200;19.47;19.48;19.46;19.475;1050
20160119 095300;19.475;19.54;19.475;19.54;1500
20160119 095400;19.545;19.57;19.5;19.535;17100
20160119 095500;19.51;19.535;19.51;19.53;1800
20160119 095600;19.53;19.57;19.51;19.54;2651
20160119 095700;19.56;19.56;19.56;19.56;200
20160119 095800;19.56;19.58;19.55;19.57;11700
20160119 095900;19.61;19.67;19.6001;19.65;553
20160119 100000;19.62;19.62;19.6101;19.6101;500
20160119 100100;19.62;19.62;19.62;19.62;300
20160119 100200;19.62;19.63;19.62;19.63;300
20160119 100300;19.61;19.61;19.54;19.54;600
20160119 100400;19.55;19.55;19.47;19.47;15000
20160119 100500;19.48;19.51;19.47;19.47;500
20160119 100600;19.47;19.495;19.47;19.495;2800
20160119 100700;19.5;19.52;19.5;19.52;2700
20160119 100800;19.53;19.53;19.53;19.53;500
20160119 100900;19.52;19.52;19.47;19.47;500
20160119 101000;19.47;19.48;19.43;19.43;2420
20160119 101100;19.42;19.42;19.42;19.42;200
20160119 101300;19.41;19.41;19.41;19.41;400
20160119 101400;19.4;19.41;19.4;19.41;300
20160119 101500;19.41;19.41;19.35;19.35;2286
20160119 101600;19.36;19.42;19.36;19.4;1400
20160119 101800;19.4;19.4;19.39;19.39;200
20160119 101900;19.39;19.39;19.37;19.37;400
20160119 102000;19.36;19.4;19.36;19.38;735
20160119 102100;19.38;19.38;19.38;19.38;100
20160119 102200;19.38;19.42;19.38;19.42;1600
20160119 102300;19.38;19.38;19.38;19.38;100
20160119 102400;19.37;19.37;19.37;19.37;100
20160119 102500;19.36;19.41;19.36;19.41;700
20160119 102600;19.41;19.43;19.405;19.43;700
20160119 102700;19.44;19.44;19.44;19.44;100
20160119 102800;19.46;19.46;19.45;19.45;628
20160119 102900;19.46;19.46;19.46;19.46;400
20160119 103000;19.45;19.45;19.44;19.44;200
20160119 103200;19.46;19.46;19.46;19.46;100
20160119 103300;19.44;19.48;19.44;19.48;2030
20160119 103400;19.46;19.46;19.46;19.46;100
20160119 103500;19.45;19.45;19.42;19.43;600
20160119 103600;19.43;19.435;19.43;19.435;1200
20160119 103800;19.43;19.43;19.43;19.43;100
20160119 103900;19.44;19.44;19.41;19.41;700
20160119 104000;19.41;19.41;19.4;19.4;700
20160119 104100;19.35;19.35;19.35;19.35;100
20160119 104200;19.35;19.36;19.35;19.36;300
20160119 104300;19.35;19.35;19.34;19.35;1580
20160119 104400;19.33;19.33;19.33;19.33;100
20160119 104500;19.31;19.34;19.31;19.31;1000
20160119 104600;19.315;19.315;19.29;19.29;1500
20160119 104700;19.28;19.29;19.28;19.29;700
20160119 104800;19.3;19.3;19.3;19.3;200
20160119 105000;19.3;19.35;19.3;19.35;800
20160119 105200;19.35;19.35;19.32;19.32;600
20160119 105300;19.31;19.31;19.31;19.31;500
20160119 105400;19.29;19.29;19.25;19.25;8100
20160119 105500;19.25;19.25;19.25;19.25;600
20160119 105600;19.25;19.25;19.25;19.25;750
20160119 105700;19.22;19.23;19.22;19.22;400
20160119 105800;19.23;19.24;19.23;19.235;700
20160119 105900;19.25;19.25;19.25;19.25;129
20160119 110000;19.22;19.22;19.2;19.2;400
20160119 110100;19.2;19.2;19.18;19.18;2800
20160119 110200;19.195;19.2;19.195;19.2;1190
20160119 110300;19.19;19.19;19.19;19.19;100
20160119 110400;19.19;19.19;19.19;19.19;200
20160119 110500;19.22;19.22;19.21;19.21;600
20160119 110600;19.23;19.23;19.23;19.23;100
20160119 110700;19.21;19.23;19.21;19.23;200
20160119 110800;19.21;19.23;19.21;19.21;500
20160119 110900;19.21;19.23;19.21;19.23;200
20160119 111000;19.22;19.23;19.22;19.22;300
20160119 111100;19.22;19.22;19.21;19.21;1000
20160119 111200;19.19;19.19;19.18;19.18;300
20160119 111300;19.18;19.18;19.16;19.16;1300
20160119 111400;19.17;19.205;19.17;19.205;1000
20160119 111500;19.19;19.205;19.19;19.205;200
20160119 111700;19.21;19.21;19.19;19.19;1000
20160119 111800;19.19;19.19;19.18;19.18;1000
20160119 111900;19.17;19.17;19.17;19.17;400
20160119 112000;19.17;19.18;19.17;19.17;700
20160119 112200;19.165;19.17;19.165;19.17;600
20160119 112300;19.17;19.17;19.15;19.15;651
20160119 112400;19.13;19.14;19.13;19.14;500
20160119 112500;19.13;19.13;19.13;19.13;500
20160119 112600;19.12;19.16;19.12;19.16;800
20160119 112700;19.17;19.19;19.17;19.18;500
20160119 112800;19.18;19.18;19.18;19.18;100
20160119 113000;19.21;19.22;19.2;19.2;2924
20160119 113100;19.22;19.23;19.22;19.23;600
20160119 113300;19.23;19.23;19.21;19.21;600
20160119 113400;19.22;19.22;19.22;19.22;100
20160119 113500;19.19;19.19;19.19;19.19;350
20160119 113600;19.19;19.195;19.19;19.195;300
20160119 113700;19.185;19.185;19.185;19.185;100
20160119 113800;19.18;19.18;19.18;19.18;400
20160119 113900;19.18;19.2;19.18;19.2;1419
20160119 114000;19.19;19.19;19.19;19.19;100
20160119 114100;19.21;19.21;19.2;19.2;1000
20160119 114200;19.19;19.19;19.19;19.19;100
20160119 114300;19.19;19.19;19.19;19.19;100
20160119 114400;19.19;19.19;19.17;19.19;1600
20160119 114500;19.19;19.19;19.19;19.19;100
20160119 114600;19.21;19.21;19.21;19.21;300
20160119 114800;19.22;19.22;19.2;19.2;300
20160119 114900;19.2;19.2;19.2;19.2;405
20160119 115000;19.18;19.18;19.18;19.18;700
20160119 115200;19.2;19.22;19.2;19.22;700
20160119 115300;19.22;19.22;19.22;19.22;300
20160119 115400;19.21;19.21;19.21;19.21;100
20160119 115500;19.19;19.198;19.19;19.19;400
20160119 115600;19.18;19.19;19.18;19.18;650
20160119 115700;19.19;19.24;19.19;19.23;998
20160119 115800;19.23;19.23;19.23;19.23;200
20160119 115900;19.222;19.222;19.22;19.22;276
20160119 120000;19.22;19.22;19.22;19.22;100
20160119 120100;19.24;19.24;19.24;19.24;300
20160119 120200;19.221;19.221;19.22;19.22;504
20160119 120300;19.21;19.21;19.21;19.21;100
20160119 120400;19.21;19.21;19.21;19.21;200
20160119 120500;19.19;19.19;19.19;19.19;100
20160119 120600;19.2;19.22;19.2;19.21;1500
20160119 120700;19.2;19.21;19.2;19.2;4385
20160119 120800;19.19;19.19;19.19;19.19;300
20160119 120900;19.19;19.19;19.18;19.18;200
20160119 121000;19.17;19.2;19.17;19.185;800
20160119 121200;19.2;19.2;19.2;19.2;400
20160119 121300;19.2;19.2;19.2;19.2;400
20160119 121400;19.21;19.23;19.21;19.22;800
20160119 121500;19.25;19.25;19.25;19.25;300
20160119 121600;19.24;19.24;19.225;19.23;1698
20160119 121700;19.23;19.23;19.22;19.22;300
20160119 121800;19.2425;19.26;19.2425;19.25;897
20160119 121900;19.23;19.23;19.19;19.2;7250
20160119 122000;19.2;19.22;19.2;19.22;900
20160119 122100;19.22;19.22;19.2;19.22;800
20160119 122200;19.22;19.22;19.17;19.17;688
20160119 122400;19.18;19.22;19.18;19.2;1970
20160119 122500;19.19;19.19;19.19;19.19;180
20160119 122600;19.19;19.19;19.19;19.19;500
20160119 122700;19.18;19.18;19.1601;19.1601;800
20160119 122800;19.16;19.18;19.16;19.16;1700
20160119 122900;19.175;19.19;19.17;19.19;1120
20160119 123000;19.17;19.2;19.17;19.2;1100
20160119 123100;19.19;19.2;19.19;19.2;300
20160119 123200;19.195;19.21;19.195;19.21;300
20160119 123300;19.21;19.21;19.2;19.2;1100
20160119 123400;19.2;19.2;19.195;19.195;300
20160119 123500;19.2;19.2;19.19;19.195;400
20160119 123600;19.21;19.21;19.195;19.195;200
20160119 123700;19.195;19.195;19.195;19.195;300
20160119 123800;19.2;19.225;19.2;19.2;3300
20160119 123900;19.21;19.21;19.18;19.18;200
20160119 124000;19.18;19.19;19.18;19.19;500
20160119 124100;19.18;19.19;19.175;19.18;2300
20160119 124200;19.195;19.195;19.195;19.195;600
20160119 124300;19.2;19.2;19.19;19.19;500
20160119 124400;19.19;19.19;19.18;19.18;400
20160119 124500;19.18;19.2;19.17;19.2;820
20160119 124600;19.19;19.21;19.18;19.21;300
20160119 124700;19.19;19.2;19.175;19.2;940
20160119 124800;19.18;19.2;19.17;19.2;1500
20160119 124900;19.2;19.2;19.16;19.16;500
20160119 125000;19.19;19.19;19.19;19.19;200
20160119 125100;19.18;19.185;19.165;19.18;1600
20160119 125200;19.18;19.19;19.18;19.19;300
20160119 125300;19.19;19.19;19.17;19.18;1110
20160119 125400;19.16;19.18;19.16;19.18;200
20160119 125500;19.17;19.17;19.17;19.17;100
20160119 125600;19.18;19.18;19.18;19.18;400
20160119 125700;19.18;19.19;19.18;19.19;1200
20160119 125800;19.19;19.19;19.19;19.19;100
20160119 125900;19.19;19.195;19.19;19.195;1600
20160119 130000;19.195;19.21;19.19;19.21;1000
20160119 130100;19.23;19.2526;19.23;19.2526;850
20160119 130200;19.24;19.24;19.24;19.24;200
