20160119 093500;71.83;71.83;71.83;71.83;100
20160119 093600;71.83;71.83;71.83;71.83;100
20160119 094100;71.17;71.17;71.15;71.15;331
20160119 094200;70.78;70.8;70.78;70.8;300
20160119 094300;70.8;70.85;70.8;70.85;404
20160119 094400;70.6874;70.6874;70.6874;70.6874;250
20160119 094600;70.73;70.8;70.71;70.71;300
20160119 100100;70.94;70.94;70.94;70.94;100
20160119 100500;70.76;70.76;70.76;70.76;100
20160119 101100;70.82;70.83;70.82;70.83;200
20160119 103300;70.99;70.99;70.99;70.99;100
20160119 103800;70.99;70.99;70.99;70.99;100
20160119 103900;71.01;71.01;70.99;70.99;200
20160119 104900;70.86;70.87;70.86;70.87;200
20160119 105000;70.88;70.88;70.88;70.88;300
20160119 105400;70.6;70.6;70.6;70.6;100
20160119 105500;70.45;70.45;70.45;70.45;100
20160119 105600;70.11;70.11;70.11;70.11;100
20160119 110400;70.34;70.38;70.34;70.38;300
20160119 111600;70.42;70.42;70.42;70.42;100
20160119 111700;70.395;70.395;70.365;70.365;200
20160119 111800;70.36;70.36;70.33;70.33;400
20160119 111900;70.4;70.4;70.3;70.3;400
20160119 112000;70.15;70.15;70.15;70.15;300
20160119 112100;70.19;70.2;70.1;70.1;800
20160119 112200;70.28;70.29;70.28;70.29;700
20160119 112300;70.31;70.45;70.2;70.45;500
20160119 112400;70.18;70.18;70.17;70.17;200
20160119 112500;70.2;70.2;70.2;70.2;122
20160119 112600;70.26;70.3;70.18;70.18;1400
20160119 112700;70.36;70.36;70.3225;70.36;600
20160119 112800;70.36;70.36;70.22;70.22;2163
20160119 112900;70.22;70.3;70.21;70.3;300
20160119 113000;70.51;70.51;70.09;70.09;1700
20160119 113100;70.195;70.195;70.1;70.12;510
20160119 113200;70.24;70.26;70.15;70.15;1700
20160119 113300;70.15;70.38;70.14;70.15;1100
20160119 113500;70.05;70.17;69.99;70.17;3468
20160119 113600;70.1;70.1;70.09;70.09;300
20160119 113700;70.08;70.08;70.08;70.08;1500
