20160119 093700;43.64;43.65;43.62;43.65;500
20160119 094500;43.74;43.74;43.74;43.74;500
20160119 102500;43.8;43.8;43.8;43.8;400
20160119 104100;43.75;43.75;43.75;43.75;220
20160119 104200;43.8;43.8;43.8;43.8;200
20160119 105000;43.834;43.834;43.834;43.834;100
20160119 111400;43.63;43.63;43.63;43.63;467
20160119 112000;43.5;43.5;43.48;43.48;200
20160119 112400;43.45;43.45;43.45;43.45;100
20160119 112800;43.48;43.48;43.48;43.48;200
20160119 113100;43.5;43.52;43.5;43.52;2200
20160119 113400;43.52;43.52;43.52;43.52;2060
20160119 113600;43.51;43.51;43.51;43.51;200
20160119 113900;43.52;43.52;43.51;43.51;1300
20160119 114000;43.52;43.52;43.52;43.52;1723
20160119 114100;43.51;43.51;43.51;43.51;100
20160119 114800;43.51;43.51;43.51;43.51;200
20160119 115200;43.52;43.52;43.52;43.52;400
20160119 115300;43.52;43.72;43.52;43.64;4820
20160119 115400;43.61;43.6356;43.55;43.57;4733
20160119 115500;43.57;43.57;43.57;43.57;100
20160119 123700;43.42;43.42;43.42;43.42;100
20160119 124900;43.25;43.26;43.25;43.26;702
20160119 125200;43.25;43.25;43.23;43.23;200
20160119 130100;43.3883;43.3883;43.3883;43.3883;115
20160119 130300;43.4477;43.4477;43.4477;43.4477;100
20160119 131800;43.4199;43.4199;43.36;43.36;461
20160119 133100;43.32;43.32;43.32;43.32;200
20160119 133800;43.346;43.346;43.346;43.346;250
20160119 134500;43.3;43.3;43.3;43.3;100
20160119 135300;43.3;43.3;43.3;43.3;100
20160119 140600;43.23;43.23;43.23;43.23;100
20160119 141500;43.17;43.17;43.17;43.17;200
20160119 142000;43.1702;43.1702;43.1702;43.1702;100
20160119 143500;43.203;43.203;43.203;43.203;1000
20160119 144400;43.16;43.16;43.16;43.16;100
20160119 144900;43.06;43.06;43.06;43.06;200
20160119 145000;43.04;43.04;43.04;43.04;200
20160119 145100;43.01;43.01;43.01;43.01;500
20160119 145200;43.02;43.02;43.02;43.02;100
20160119 145700;43.02;43.02;43.02;43.02;100
20160119 150700;43.22;43.22;43.22;43.22;100
20160119 151000;43.2205;43.2205;43.21;43.21;737
20160119 151200;43.16;43.16;43.16;43.16;168
20160119 152700;43.2031;43.39;43.2031;43.39;1127
20160119 152800;43.38;43.38;43.38;43.38;200
20160119 153800;43.432;43.432;43.432;43.432;232
20160119 154800;43.45;43.45;43.45;43.45;200
20160119 155400;43.47;43.49;43.47;43.4798;400
20160119 160000;43.44;43.44;43.44;43.44;100
20160120 095200;41.458;41.52;41.458;41.52;800
20160120 095400;41.49;41.49;41.35;41.35;900
20160120 095500;41.35;41.42;41.3;41.3;535
20160120 095700;41.26;41.26;41.26;41.26;100
20160120 100400;41.18;41.18;41.18;41.18;100
20160120 100700;41.32;41.32;41.32;41.32;100
20160120 102700;41.21;41.21;41.21;41.21;100
20160120 104300;41.13;41.13;41.13;41.13;100
20160120 104400;41.13;41.13;41.13;41.13;200
20160120 105000;41.07;41.07;41.02;41.02;656
20160120 105300;41.074;41.074;41.056;41.056;321
20160120 105600;41.03;41.03;41.03;41.03;540
20160120 105700;41;41;41;41;100
20160120 105800;40.98;40.98;40.905;40.914;1477
20160120 110400;40.89;40.94;40.87;40.892;1724
20160120 110800;40.96;41.01;40.8917;41.01;1365
20160120 111000;41.01;41.01;41.01;41.01;115
20160120 111100;40.86;40.86;40.84;40.84;376
20160120 111600;40.99;41.04;40.99;41.04;300
20160120 112000;41.079;41.08;41.079;41.08;270
20160120 114900;41.05;41.05;41.05;41.05;237
20160120 120000;40.92;40.92;40.805;40.805;445
20160120 120100;40.92;40.92;40.92;40.92;100
20160120 121100;40.879;40.879;40.879;40.879;500
20160120 121200;40.7801;40.7801;40.7801;40.7801;249
20160120 121400;40.8785;40.98;40.8785;40.895;703
20160120 122200;40.86;40.86;40.86;40.86;100
20160120 124600;40.7;40.7001;40.62;40.62;1375
20160120 125000;40.7;40.7;40.7;40.7;100
20160120 125200;40.69;40.69;40.69;40.69;100
20160120 130400;40.7801;40.7801;40.7801;40.7801;197
20160120 132300;40.82;40.82;40.82;40.82;100
20160120 132500;40.8738;40.8738;40.8738;40.8738;180
20160120 133200;40.89;40.89;40.89;40.89;100
20160120 134600;41.11;41.11;41.11;41.11;100
20160120 135100;41.2;41.2;41.2;41.2;100
20160120 140800;41.04;41.04;41.04;41.04;100
20160120 141900;41.145;41.145;41.145;41.145;100
20160120 142400;41.1;41.1;41.1;41.1;100
20160120 142700;41.065;41.065;41.065;41.065;100
20160120 144400;41.2099;41.2099;41.2099;41.2099;282
20160120 145600;41.269;41.35;41.269;41.35;300
20160120 150100;41.42;41.42;41.42;41.42;100
20160120 151500;41.469;41.469;41.469;41.469;151
20160120 152500;41.66;41.66;41.66;41.66;194
20160120 152800;41.69;41.69;41.6;41.6588;2869
20160120 153400;41.68;41.68;41.68;41.68;200
20160120 153700;41.66;41.66;41.66;41.66;200
20160120 153800;41.64;41.64;41.64;41.64;100
20160120 153900;41.63;41.63;41.63;41.63;100
20160120 154500;41.53;41.5458;41.53;41.5458;200
20160120 155500;41.54;41.54;41.54;41.54;100
20160120 155600;41.53;41.53;41.52;41.52;400
20160120 155800;41.51;41.51;41.51;41.51;200
20160121 092900;41.76;41.76;41.76;41.76;100
