20160119 090700;471.28;471.28;471.28;471.28;5
20160119 092300;471.28;471.28;471.28;471.28;500
20160119 093800;471.9901;471.9901;471.9901;471.9901;100
20160119 100500;473.33;473.33;473.33;473.33;300
20160119 100900;473.33;474.54;473.33;474.39;625
20160119 101000;473.33;473.33;473.33;473.33;125
20160119 101300;471.98;473.46;471.98;473.46;400
20160119 101400;473.94;474.11;473.94;474.11;200
20160119 102300;472.56;472.56;472.56;472.56;100
20160119 104000;474.07;474.07;474.07;474.07;121
20160119 104200;473.4;473.4;473.4;473.4;100
20160119 104300;473.35;473.35;473.35;473.35;100
20160119 104800;472.02;472.058;472.02;472.058;200
20160119 105000;473.02;473.06;472.8;473.06;400
20160119 105100;472.78;472.78;472.78;472.78;100
20160119 105300;471.3;471.51;470.99;470.99;1300
20160119 105400;470.97;470.97;470.856;470.856;200
20160119 105700;470.11;470.11;470.11;470.11;100
20160119 110000;470.07;470.07;470;470;230
20160119 110100;470;470.38;469.95;469.95;1270
20160119 111400;468.975;469.56;468.975;469.56;400
20160119 111500;469.8683;469.8683;469.8683;469.8683;150
20160119 111900;468.92;468.92;468.81;468.81;500
20160119 112000;468.5;468.5;468.5;468.5;100
20160119 112200;468.39;468.39;468.39;468.39;100
20160119 112300;468.31;468.31;468.31;468.31;100
20160119 113000;469.442;469.442;469.442;469.442;100
20160119 113200;469.48;469.48;469.48;469.48;300
20160119 113900;469.7;469.7;469.01;469.01;500
20160119 114200;468.51;468.51;468.48;468.48;300
20160119 114300;468.96;468.96;467.86;468.82;1100
20160119 114700;469.32;469.32;468.92;468.92;400
20160119 115000;468.27;468.3775;467.15;467.15;300
20160119 115100;467.465;467.6313;467.465;467.51;500
20160119 115200;467.51;467.89;467.37;467.89;300
20160119 120000;467.84;467.84;467.84;467.84;100
20160119 120300;467.75;467.75;467.7;467.7;300
20160119 120400;467.4;467.9;467.4;467.9;200
20160119 120900;467.19;467.19;465.71;465.71;500
20160119 121600;465.78;465.78;465.78;465.78;300
20160119 121700;465.88;465.88;465.88;465.88;100
20160119 121800;465.7801;465.7801;465.7801;465.7801;100
20160119 122300;465.23;465.23;465.23;465.23;100
20160119 122800;465.58;465.58;465.58;465.58;100
20160119 123200;465;465;465;465;100
20160119 123500;465.96;466.01;465.96;466.01;343
20160119 123800;466.56;468.1;466.56;468.1;500
20160119 124200;467.08;467.08;467.03;467.08;400
20160119 124300;466.005;466.005;466.005;466.005;100
20160119 124600;465.98;465.98;465.98;465.98;100
20160119 125600;465.505;465.505;465.505;465.505;100
20160119 130000;465.66;465.66;465.66;465.66;100
20160119 130300;466.49;466.7;466.49;466.7;300
20160119 130400;467.77;467.77;467.6085;467.77;400
20160119 131100;466.74;466.74;466.74;466.74;100
20160119 131200;466.73;466.73;466.73;466.73;100
20160119 132500;466.97;466.97;466.97;466.97;100
20160119 134800;466.97;466.99;466.97;466.99;200
20160119 134900;466.8;466.8;466.8;466.8;100
20160119 135000;467;467;466.34;466.34;400
20160119 135100;467.53;467.53;467.4065;467.4065;396
20160119 135400;466.59;467.07;466.53;466.97;600
20160119 140100;466.64;466.64;466.64;466.64;100
20160119 141500;463.62;463.62;463.62;463.62;100
20160119 142000;464.06;464.06;463.62;463.62;400
20160119 142100;463.51;463.51;460.9;460.9;200
20160119 142300;461.43;461.43;461.43;461.43;100
20160119 142800;460.74;460.74;460.74;460.74;100
20160119 143200;463.04;463.5;463.04;463.04;800
20160119 143300;463.5;463.5;463.5;463.5;100
20160119 143500;463.04;463.059;463.04;463.059;400
20160119 143600;462.55;462.55;462.55;462.55;100
