20160119 040000;29.14;29.14;29.14;29.14;100
20160119 052600;29.88;29.88;29.87;29.87;3000
20160119 054200;29.88;29.88;29.88;29.88;249
20160119 060200;30.29;30.29;30.24;30.29;1000
20160119 060600;30.29;30.33;30.29;30.33;1751
20160119 061800;30.35;30.35;30.35;30.35;100
20160119 062400;30.3;30.32;30.3;30.32;1700
20160119 062600;30.03;30.04;30.03;30.04;602
20160119 063300;30;30;30;30;3120
20160119 063400;30;30;30;30;2778
20160119 063600;30;30;30;30;300
20160119 063800;30;30;30;30;1400
20160119 064200;29.9;29.9;29.9;29.9;392
20160119 064700;30;30;30;30;765
20160119 065900;30.05;30.05;30.05;30.05;2100
20160119 070000;30.05;30.05;30.05;30.05;100
20160119 070200;30.05;30.05;30.05;30.05;2000
20160119 070300;30;30;30;30;500
20160119 073800;29.96;30;29.96;30;5000
20160119 074300;29.93;29.93;29.92;29.92;2100
20160119 074400;29.9;29.9;29.9;29.9;4100
20160119 074500;29.91;29.91;29.91;29.91;100
20160119 074700;29.94;29.94;29.94;29.94;650
20160119 074900;29.99;29.99;29.99;29.99;1000
20160119 075100;30;30;30;30;1508
20160119 075900;29.9;29.9;29.9;29.9;500
20160119 080000;29.9;29.9;29.9;29.9;358
20160119 080100;29.95;30;29.9;29.9;4028
20160119 080200;29.9;29.9;29.9;29.9;1000
20160119 080400;29.9;29.9;29.9;29.9;399
20160119 080600;29.9;29.9;29.9;29.9;301
20160119 080800;29.95;30;29.95;30;2529
20160119 080900;30;30;30;30;4170
20160119 081100;29.9701;29.9701;29.97;29.97;300
20160119 081200;29.97;30;29.97;30;2221
20160119 081300;30;30.01;30;30.01;548
20160119 081700;30.02;30.02;30.02;30.02;100
20160119 081800;30.02;30.03;30;30.03;3527
20160119 081900;29.97;29.97;29.97;29.97;170
20160119 082000;29.97;30;29.97;30;812
20160119 082100;29.9;29.9;29.9;29.9;220
20160119 082200;29.99;29.99;29.99;29.99;1000
20160119 082300;29.9;29.99;29.9;29.99;1150
20160119 082400;29.91;29.91;29.91;29.91;100
20160119 082500;29.86;29.91;29;29.75;25199
20160119 082600;29.75;29.75;29.75;29.75;1191
20160119 082700;29.76;29.76;29.76;29.76;689
20160119 082800;29.79;29.8;29.79;29.8;611
20160119 082900;29.8;29.84;29.8;29.84;1339
20160119 083000;29.89;29.89;29.89;29.89;200
20160119 083100;29.89;29.89;29.89;29.89;200
20160119 083400;29.89;29.89;29.89;29.89;1400
20160119 083800;29.91;29.91;29.9;29.9;333
20160119 084400;29.89;29.9;29.89;29.9;300
20160119 085200;29.9;29.91;29.9;29.91;200
