20160119 041800;27.25;27.26;27.25;27.26;100
20160119 043900;27.2;27.2;27.16;27.16;200
20160119 053900;27.2;27.2;27.2;27.2;100
20160119 055600;27.2;27.2;27.2;27.2;100
20160119 093100;27.14;27.16;27.14;27.16;14546
20160119 093200;27.16;27.16;27.15;27.15;6564
20160119 093300;27.15;27.16;27.15;27.15;1100
20160119 093400;27.155;27.155;27.155;27.155;200
20160119 093500;27.155;27.16;27.15;27.16;4900
20160119 093600;27.16;27.16;27.15;27.15;10196
20160119 093700;27.15;27.18;27.15;27.18;19255
20160119 093800;27.175;27.19;27.17;27.19;25963
20160119 093900;27.19;27.2;27.19;27.2;18100
20160119 094000;27.2;27.2;27.18;27.18;25931
20160119 094100;27.19;27.19;27.16;27.17;16186
20160119 094200;27.17;27.18;27.17;27.18;1200
20160119 094300;27.18;27.18;27.175;27.175;6600
20160119 094400;27.17;27.175;27.17;27.175;1900
20160119 094500;27.175;27.19;27.175;27.19;10832
20160119 094600;27.19;27.2;27.19;27.2;10800
20160119 094700;27.195;27.2;27.18;27.195;6238
20160119 094800;27.19;27.2;27.18;27.195;6900
20160119 094900;27.195;27.195;27.185;27.185;5200
20160119 095000;27.19;27.19;27.17;27.18;18014
20160119 095100;27.18;27.18;27.16;27.17;14299
20160119 095200;27.17;27.18;27.17;27.17;3800
20160119 095300;27.17;27.175;27.16;27.17;8405
20160119 095400;27.17;27.175;27.165;27.17;15901
20160119 095500;27.17;27.175;27.15;27.155;18053
20160119 095600;27.16;27.17;27.16;27.165;1100
20160119 095700;27.16;27.165;27.15;27.155;7828
20160119 095800;27.155;27.155;27.155;27.155;100
20160119 095900;27.15;27.165;27.15;27.165;6000
20160119 100000;27.16;27.17;27.16;27.165;3900
20160119 100100;27.165;27.165;27.155;27.165;5200
20160119 100200;27.165;27.17;27.16;27.165;18784
20160119 100300;27.165;27.17;27.165;27.165;4000
20160119 100400;27.16;27.165;27.16;27.16;4000
20160119 100500;27.165;27.175;27.165;27.175;6300
20160119 100600;27.18;27.18;27.175;27.18;1000
20160119 100700;27.18;27.19;27.17;27.18;20800
20160119 100800;27.18;27.18;27.17;27.18;3300
20160119 100900;27.175;27.175;27.175;27.175;100
20160119 101000;27.18;27.18;27.17;27.175;5600
20160119 101100;27.17;27.18;27.17;27.175;4000
20160119 101200;27.175;27.18;27.175;27.176;1400
20160119 101300;27.18;27.18;27.175;27.175;700
20160119 101400;27.175;27.18;27.175;27.175;6000
20160119 101500;27.175;27.175;27.17;27.175;1200
