20160119 040100;56.98;56.98;56.98;56.98;100
20160119 051100;57.6;57.6;57.6;57.6;100
20160119 051200;57.6;57.6;57.6;57.6;800
20160119 063700;57.9;57.9;57.9;57.9;400
20160119 075300;57.48;57.5;57.48;57.5;1100
20160119 075600;57.5;57.5;57.5;57.5;400
20160119 081000;57.5;57.5;57.5;57.5;100
20160119 081600;57.48;57.48;57.48;57.48;100
20160119 083200;57.54;57.54;57.54;57.54;200
20160119 083600;57.54;57.55;57.54;57.55;1172
20160119 090200;57.61;57.61;57.61;57.61;200
20160119 090900;57.69;57.69;57.69;57.69;500
20160119 091000;57.7;57.7;57.7;57.7;1200
20160119 091100;57.7;57.7;57.7;57.7;500
20160119 091600;57.7;57.73;57.69;57.7;1200
20160119 092600;57.74;57.75;57.74;57.75;1000
20160119 092700;57.75;57.75;57.75;57.75;100
20160119 092800;57.66;57.75;57.62;57.71;3600
20160119 093100;57.21;58.44;57.21;58.39;33392
20160119 093200;58.325;58.72;58.3;58.66;9420
20160119 093300;58.63;59.22;58.63;59.03;24820
20160119 093400;59.09;59.09;58.44;58.52;7045
20160119 093500;58.43;58.535;58.43;58.43;6000
20160119 093600;58.43;58.5125;57.97;58.05;16400
20160119 093700;57.86;57.97;57.86;57.94;1341
20160119 093800;57.95;57.95;57.7;57.7;11300
20160119 093900;57.71;57.73;57.57;57.65;6328
20160119 094000;57.62;57.84;57.61;57.79;6475
20160119 094100;57.815;58.01;57.815;57.9952;1580
20160119 094200;58;58.2;57.93;58.17;4987
20160119 094300;58.35;58.4;58.33;58.39;5974
20160119 094400;58.39;58.46;58.08;58.17;10100
20160119 094500;58.13;58.5;58.13;58.5;6750
20160119 094600;58.5;58.75;58.46;58.75;2100
20160119 094700;58.84;58.84;58.4;58.6;3000
20160119 094800;58.61;58.61;58.42;58.46;4065
20160119 094900;58.54;58.54;58.47;58.47;2322
20160119 095000;58.4701;58.72;58.17;58.4599;18973
20160119 095100;58.39;58.455;58.32;58.34;4800
20160119 095200;58.38;58.415;58.34;58.3501;4122
20160119 095300;58.36;58.36;57.69;57.7;14601
20160119 095400;57.915;58.0999;57.85;57.87;2428
20160119 095500;57.9;58;57.9;58;4750
20160119 095600;58.12;58.18;58.04;58.06;3200
20160119 095700;58.105;58.105;58.06;58.06;537
20160119 095800;58.06;58.11;58;58;4500
20160119 095900;57.96;57.975;57.81;57.81;2000
20160119 100000;57.85;57.88;57.77;57.86;4000
20160119 100100;57.85;57.91;57.71;57.81;9390
20160119 100200;57.91;58.16;57.8;58.13;7285
20160119 100300;58;58.28;57.99;58.28;5000
20160119 100400;58.25;58.49;58.22;58.49;4500
20160119 100500;58.3701;58.425;58.34;58.37;3685
20160119 100600;58.4;58.46;58.32;58.32;4600
20160119 100800;58.24;58.3;58.24;58.3;3251
20160119 100900;58.3009;58.3009;58.22;58.22;2900
20160119 101000;58.28;58.28;58.22;58.22;3100
20160119 101100;58.235;58.3599;58.18;58.24;6050
20160119 101200;58.2575;58.38;58.25;58.29;2600
20160119 101300;58.305;58.305;58.13;58.13;6300
20160119 101400;58.18;58.34;58.18;58.34;3277
20160119 101500;58.25;58.25;58.18;58.18;3800
20160119 101600;58.19;58.19;58.075;58.18;2250
20160119 101700;58.19;58.28;58.17;58.2;4100
20160119 101800;58.165;58.165;58.165;58.165;100
20160119 101900;58.19;58.28;58.19;58.28;1400
20160119 102000;58.295;58.36;58.2;58.2;6000
20160119 102100;58.22;58.32;58.22;58.32;1200
20160119 102200;58.275;58.275;58.18;58.18;2648
20160119 102300;58.2199;58.23;58.17;58.17;9351
20160119 102400;58.17;58.19;58.09;58.1;4300
20160119 102500;58.1087;58.17;58.1087;58.11;12725
20160119 102600;58.11;58.24;58.1;58.24;8585
20160119 102800;58.32;58.37;58.27;58.33;1900
20160119 102900;58.38;58.45;58.355;58.3701;14685
20160119 103000;58.41;58.49;58.33;58.33;3600
20160119 103100;58.3;58.385;58.3;58.36;300
20160119 103200;58.39;58.39;58.37;58.37;200
20160119 103300;58.369;58.49;58.369;58.475;4746
20160119 103400;58.49;58.5;58.346;58.39;23700
20160119 103500;58.395;58.43;58.395;58.43;1000
20160119 103600;58.43;58.4311;58.35;58.39;4185
20160119 103700;58.41;58.41;58.41;58.41;100
20160119 103800;58.4299;58.44;58.419;58.419;2699
20160119 103900;58.41;58.42;58.33;58.37;2100
20160119 104100;58.37;58.37;58.32;58.37;1352
20160119 104200;58.37;58.37;58.35;58.35;600
20160119 104300;58.37;58.4;58.37;58.4;1100
20160119 104400;58.385;58.39;58.385;58.39;700
20160119 104500;58.39;58.42;58.33;58.33;2649
20160119 104600;58.35;58.35;58.25;58.25;600
20160119 104700;58.29;58.29;58.26;58.26;1000
20160119 104800;58.27;58.28;58.27;58.27;1200
20160119 104900;58.26;58.26;58.02;58.09;6350
20160119 105000;58.08;58.14;58.08;58.14;1000
20160119 105200;58.155;58.17;58;58.06;3900
20160119 105400;58.06;58.06;57.9375;57.99;2951
20160119 105500;57.99;57.99;57.94;57.94;400
20160119 105600;57.94;57.99;57.86;57.99;1050
20160119 105700;57.99;57.99;57.99;57.99;200
20160119 105800;58.033;58.033;57.97;57.99;3601
20160119 105900;57.98;57.99;57.98;57.99;300
20160119 110000;57.99;57.99;57.8;57.81;1900
20160119 110100;57.81;57.83;57.8;57.83;1426
20160119 110200;57.9188;57.9188;57.91;57.91;500
20160119 110300;57.9124;57.97;57.91;57.94;1680
20160119 110500;57.99;57.99;57.97;57.97;600
20160119 110600;57.99;57.99;57.99;57.99;100
20160119 110700;57.99;58;57.98;57.99;2100
20160119 110800;57.996;57.996;57.99;57.99;300
20160119 110900;57.9632;57.98;57.9632;57.98;819
20160119 111000;58.006;58.006;57.97;57.97;200
20160119 111100;58.01;58.01;57.78;57.78;3000
20160119 111200;57.81;57.81;57.8;57.8;900
20160119 111300;57.8;57.875;57.8;57.8288;700
20160119 111400;57.89;57.89;57.89;57.89;300
20160119 111600;57.909;57.909;57.909;57.909;100
20160119 111700;57.92;57.92;57.92;57.92;100
20160119 111900;57.87;57.9;57.86;57.89;2400
20160119 112000;57.88;57.89;57.85;57.85;1900
20160119 112100;57.85;57.85;57.79;57.85;400
20160119 112200;57.77;57.81;57.77;57.81;1000
20160119 112400;57.82;57.82;57.76;57.76;300
20160119 112500;57.74;57.75;57.72;57.74;1700
20160119 112600;57.78;57.78;57.69;57.69;2100
20160119 112700;57.68;57.72;57.62;57.69;1300
20160119 112800;57.72;57.76;57.72;57.75;1800
20160119 112900;57.71;57.73;57.7;57.73;400
20160119 113000;57.74;57.77;57.53;57.53;3100
20160119 113100;57.58;57.67;57.58;57.67;1000
20160119 113200;57.62;57.62;57.58;57.58;600
20160119 113300;57.58;57.58;57.58;57.58;100
20160119 113400;57.58;57.58;57.38;57.4;3100
20160119 113500;57.499;57.499;57.499;57.499;100
20160119 113600;57.4;57.455;57.38;57.38;1000
20160119 113900;57.44;57.44;57.4;57.43;4900
20160119 114000;57.4;57.42;57.4;57.4;600
20160119 114100;57.38;57.38;57.33;57.38;900
20160119 114200;57.45;57.471;57.45;57.47;300
20160119 114400;57.4601;57.48;57.46;57.47;1200
20160119 114500;57.4633;57.59;57.46;57.59;1700
20160119 114600;57.52;57.63;57.52;57.63;800
20160119 114700;57.64;57.6799;57.59;57.6799;2800
20160119 114800;57.68;57.68;57.655;57.655;637
20160119 114900;57.69;57.7;57.68;57.685;900
20160119 115100;57.69;57.69;57.69;57.69;200
20160119 115200;57.69;57.69;57.69;57.69;200
20160119 115300;57.665;57.665;57.665;57.665;200
20160119 115400;57.693;57.693;57.66;57.67;400
20160119 115500;57.69;57.7;57.69;57.7;600
20160119 115600;57.65;57.7;57.6301;57.7;3300
20160119 115700;57.689;57.71;57.68;57.6846;2200
20160119 115800;57.7;57.81;57.69;57.75;7800
20160119 115900;57.75;57.77;57.73;57.77;1100
20160119 120100;57.832;57.832;57.832;57.832;100
20160119 120400;57.76;57.76;57.73;57.73;1400
20160119 120500;57.75;57.75;57.75;57.75;235
20160119 120700;57.75;57.75;57.75;57.75;100
20160119 120900;57.75;57.75;57.63;57.665;1400
20160119 121000;57.64;57.67;57.48;57.48;5100
20160119 121100;57.48;57.48;57.48;57.48;300
20160119 121200;57.49;57.5029;57.4805;57.5029;300
20160119 121300;57.56;57.582;57.56;57.5654;300
20160119 121400;57.59;57.59;57.575;57.575;207
20160119 121500;57.52;57.52;57.52;57.52;200
20160119 121600;57.51;57.51;57.46;57.48;1100
20160119 121700;57.45;57.45;57.37;57.4;800
20160119 121800;57.372;57.372;57.372;57.372;100
20160119 121900;57.4;57.4;57.32;57.32;590
20160119 122000;57.34;57.34;57.27;57.27;200
20160119 122100;57.34;57.35;57.34;57.34;800
20160119 122200;57.35;57.35;57.32;57.32;1008
20160119 122300;57.31;57.31;57.3;57.3;300
20160119 122400;57.26;57.33;57.26;57.3;562
20160119 122600;57.29;57.29;57.28;57.29;300
20160119 122700;57.262;57.262;57.17;57.17;900
20160119 122900;57.21;57.21;57.19;57.19;400
20160119 123000;57.2447;57.31;57.2447;57.31;2103
20160119 123100;57.3334;57.3334;57.3334;57.3334;115
20160119 123200;57.36;57.41;57.3411;57.3411;1664
20160119 123300;57.3411;57.36;57.3;57.35;1900
20160119 123400;57.33;57.33;57.32;57.32;200
20160119 123500;57.34;57.34;57.34;57.34;100
20160119 123800;57.35;57.385;57.33;57.33;800
20160119 123900;57.32;57.345;57.25;57.25;1525
20160119 124000;57.23;57.28;57.23;57.28;500
