20160119 093100;25.16;25.16;25.12;25.12;200
20160119 093200;25.1;25.11;25.1;25.105;400
20160119 093300;25.1;25.1;24.98;25.0125;800
20160119 093400;25.09;25.09;24.98;25.05;1104
20160119 093500;25.05;25.12;24.99;25.12;1100
20160119 093600;25.12;25.21;25.12;25.21;900
20160119 093700;25.2;25.23;25.16;25.23;1976
20160119 093800;25.23;25.29;25.22;25.27;1000
20160119 093900;25.28;25.29;25.26;25.28;1100
20160119 094000;25.28;25.28;25.19;25.2;2500
20160119 094100;25.17;25.17;25.07;25.095;2900
20160119 094200;25.1;25.1;25.06;25.06;400
20160119 094300;25.06;25.14;25.06;25.12;1100
20160119 094400;25.08;25.1;25.06;25.06;1060
20160119 094500;25.06;25.08;25.06;25.06;1600
20160119 094600;25.08;25.17;25.065;25.17;2250
20160119 094700;25.19;25.2;25.16;25.2;1800
20160119 094800;25.19;25.19;25.13;25.16;2250
20160119 094900;25.12;25.15;25.05;25.05;2900
20160119 095000;25.05;25.1;25.02;25.02;1072
20160119 095100;25.02;25.05;24.975;24.975;2200
20160119 095200;24.96;25.03;24.96;25.03;3400
20160119 095300;25.06;25.07;25.045;25.055;400
20160119 095400;25.07;25.15;25.06;25.15;2478
20160119 095500;25.16;25.16;25.12;25.12;3274
20160119 095600;25.125;25.125;25.11;25.11;1200
20160119 095700;25.06;25.08;25.06;25.07;1400
20160119 095800;25.052;25.071;25;25.07;16600
20160119 095900;25.06;25.06;25.05;25.05;200
20160119 100000;25.07;25.11;25.065;25.11;2700
20160119 100100;25.11;25.15;25.11;25.15;1400
20160119 100200;25.15;25.16;25.14;25.15;2900
20160119 100300;25.14;25.14;25.1;25.11;2500
20160119 100400;25.08;25.08;25.03;25.03;1700
20160119 100500;25.03;25.07;25.03;25.06;2700
20160119 100600;25.09;25.13;25.09;25.13;859
20160119 100700;25.13;25.15;25.13;25.13;1250
20160119 100800;25.13;25.14;25.11;25.11;2023
20160119 100900;25.1;25.1;25.05;25.05;1300
20160119 101000;25.03;25.03;25;25.015;600
20160119 101100;25.018;25.05;25;25.045;2865
20160119 101200;25.06;25.07;25.05;25.065;2400
20160119 101300;25.06;25.07;25.05;25.07;600
20160119 101400;25.08;25.12;25.07;25.12;1300
20160119 101500;25.13;25.14;25.13;25.14;1607
20160119 101600;25.13;25.14;25.12;25.12;3000
20160119 101700;25.13;25.13;25.11;25.12;5084
20160119 101800;25.12;25.12;25.09;25.1;2000
20160119 101900;25.09;25.09;25.06;25.07;1900
20160119 102000;25.08;25.09;25.06;25.06;1900
20160119 102100;25.08;25.105;25.08;25.1;1600
20160119 102200;25.1;25.11;25.09;25.09;3000
20160119 102300;25.08;25.08;25.05;25.05;3300
20160119 102400;25.04;25.04;25.02;25.025;1694
20160119 102500;25.02;25.04;24.99;25.04;5100
20160119 102600;25.08;25.08;25.065;25.08;800
20160119 102700;25.08;25.08;25.03;25.03;2120
20160119 102800;25.03;25.06;25.02;25.05;3600
20160119 102900;25.06;25.06;25.04;25.05;4536
20160119 103000;25.06;25.09;25.06;25.07;1529
20160119 103100;25.09;25.09;25.08;25.08;400
20160119 103200;25.08;25.08;25.06;25.06;3571
20160119 103300;25.06;25.06;25.05;25.05;4800
20160119 103400;25.04;25.04;25.03;25.03;1600
20160119 103500;25.02;25.02;25.01;25.01;1100
20160119 103600;25.01;25.05;25.01;25.05;1300
20160119 103700;25.04;25.05;25.04;25.05;900
20160119 103800;25.05;25.05;25.04;25.05;300
20160119 103900;25.04;25.04;25.01;25.01;2900
20160119 104000;25;25.03;24.99;25.03;3100
20160119 104100;25.035;25.035;25.01;25.02;2700
20160119 104200;25.02;25.03;25.02;25.03;200
20160119 104300;25.04;25.05;25.03;25.03;2600
20160119 104400;25.02;25.02;25.02;25.02;600
20160119 104500;25.02;25.05;25.02;25.03;2179
20160119 104600;25.02;25.02;25;25;1600
20160119 104700;25.01;25.03;25.01;25.03;900
20160119 104800;25.04;25.05;25.04;25.04;600
20160119 104900;25.05;25.05;25.05;25.05;900
20160119 105000;25.06;25.08;25.05;25.07;2700
20160119 105100;25.07;25.08;25.05;25.05;3000
20160119 105200;25.04;25.04;25.02;25.02;3071
20160119 105300;25.01;25.01;25;25;600
20160119 105400;25;25;25;25;550
20160119 105500;25;25.02;25;25.02;2887
20160119 105600;25.01;25.04;25;25.03;2052
20160119 105700;25.04;25.05;25.03;25.05;900
20160119 105800;25.055;25.06;25.04;25.04;2400
20160119 105900;25.04;25.06;25.04;25.06;2200
20160119 110000;25.05;25.05;25.0399;25.04;9140
20160119 110100;25.04;25.05;25.01;25.01;4479
20160119 110200;25;25.02;25;25;3453
20160119 110300;25.01;25.02;25.01;25.01;2600
20160119 110400;25.01;25.03;25.01;25.02;2600
20160119 110500;25.02;25.03;25.02;25.02;4026
20160119 110600;25.02;25.03;25.02;25.03;1200
20160119 110700;25.04;25.04;25.02;25.02;1800
20160119 110800;25.03;25.03;25.02;25.02;800
20160119 110900;25.03;25.04;25.03;25.04;4151
20160119 111000;25.05;25.05;25.04;25.04;300
20160119 111100;25.04;25.04;25.04;25.04;2100
20160119 111200;25.04;25.04;25.04;25.04;800
20160119 111300;25.03;25.035;25.02;25.02;1700
20160119 111400;25.02;25.03;25.02;25.03;3407
20160119 111500;25.03;25.03;25.02;25.02;700
20160119 111600;25.01;25.015;25.01;25.01;1634
20160119 111700;25.01;25.01;24.99;24.99;1700
20160119 111800;24.99;24.99;24.96;24.97;2900
20160119 111900;24.97;24.97;24.97;24.97;400
20160119 112000;24.96;24.96;24.92;24.92;3235
20160119 112100;24.93;24.95;24.93;24.94;700
20160119 112200;24.96;24.97;24.95;24.96;900
20160119 112300;24.96;24.96;24.95;24.95;300
20160119 112400;24.95;24.95;24.91;24.9197;3753
20160119 112500;24.92;24.92;24.92;24.92;200
20160119 112600;24.94;24.96;24.93;24.95;1600
20160119 112700;24.96;24.96;24.96;24.96;300
20160119 112800;24.97;24.98;24.96;24.98;3242
20160119 112900;24.98;24.98;24.98;24.98;800
20160119 113000;24.98;25;24.98;25;1600
20160119 113100;25;25.06;25;25.06;1200
20160119 113200;25.06;25.06;25.02;25.02;3326
20160119 113400;25.0103;25.06;25.0103;25.05;2029
20160119 113500;25.04;25.04;25.04;25.04;100
20160119 113600;25.03;25.03;25.03;25.03;1024
20160119 113800;25.02;25.03;25.02;25.02;1600
20160119 113900;25.02;25.04;25.01;25.04;1400
20160119 114000;25.05;25.07;25.05;25.065;4800
20160119 114100;25.065;25.07;25.05;25.05;2022
20160119 114200;25.04;25.05;25.04;25.05;700
20160119 114300;25.04;25.04;25.04;25.04;100
20160119 114400;25.07;25.07;25.06;25.065;4700
20160119 114500;25.07;25.08;25.07;25.08;1926
20160119 114600;25.08;25.1;25.075;25.08;3856
20160119 114700;25.08;25.09;25.075;25.09;600
20160119 114800;25.1;25.1;25.08;25.0801;1900
20160119 114900;25.08;25.085;25.07;25.08;1096
20160119 115000;25.07;25.075;25.05;25.05;1777
20160119 115100;25.05;25.0701;25.04;25.0701;3042
20160119 115200;25.07;25.08;25.065;25.08;600
20160119 115300;25.08;25.085;25.08;25.08;1700
20160119 115400;25.08;25.08;25.06;25.08;1800
20160119 115500;25.08;25.08;25.05;25.0598;1107
20160119 115600;25.06;25.08;25.05;25.08;748
