20160119 092800;30.77;30.77;30.77;30.77;200
20160119 093000;31.33;31.33;31.33;31.33;100
20160119 093100;31.37;31.37;30.7;30.7;4600
20160119 093200;30.721;30.721;30.684;30.684;1800
20160119 093300;30.6833;30.9;30.6801;30.9;4200
20160119 093400;30.91;31.08;30.91;31.08;1400
20160119 093500;31.25;31.26;31.25;31.26;200
20160119 093600;31.4;31.71;31.4;31.7001;1000
20160119 093700;31.8;32;31.8;32;1930
20160119 093800;32.15;32.16;32.094;32.16;300
20160119 093900;32.08;32.1;32.05;32.1;2300
20160119 094000;32.59;32.59;32.59;32.59;100
20160119 094200;32.7;32.7;32.61;32.61;400
20160119 094400;32.3687;32.7;32.3687;32.59;1170
20160119 094500;32.48;32.51;32.36;32.51;1200
20160119 094700;33;33;33;33;1000
20160119 094800;33.15;33.15;33.15;33.15;300
20160119 094900;33.5;33.5;33.5;33.5;200
20160119 095000;33.44;33.49;33.44;33.49;300
20160119 095100;33.61;33.66;33.6;33.66;400
20160119 095200;33.68;33.68;33.47;33.6;800
20160119 095300;33.62;33.6201;33.52;33.52;2500
20160119 095400;33.4;33.4;33.4;33.4;1000
20160119 095500;33.25;33.25;33.25;33.25;200
20160119 095700;33.23;33.23;33.23;33.23;100
20160119 095900;33.04;33.04;33.04;33.04;700
20160119 100100;32.37;32.58;32.37;32.58;600
20160119 100600;32.27;32.27;32;32;1500
20160119 100900;31.9799;32;31.94;31.94;800
20160119 101200;32.12;32.16;32.07;32.07;5200
20160119 101400;31.98;31.98;31.98;31.98;100
20160119 101600;31.88;31.88;31.88;31.88;300
20160119 101700;31.75;31.75;31.75;31.75;100
20160119 101900;31.82;31.82;31.77;31.82;600
20160119 102300;32.23;32.28;32.23;32.28;200
20160119 103200;31.78;31.78;31.77;31.77;500
20160119 103900;31.9;31.9;31.83;31.83;2400
20160119 104500;32.0987;32.0987;32.0987;32.0987;500
20160119 104600;32.28;32.28;32.28;32.28;100
20160119 104700;32.2548;32.2548;32.2548;32.2548;2000
20160119 105200;32.26;32.3;32.26;32.3;200
20160119 105500;32.74;32.74;32.68;32.68;265
20160119 110700;33;33;32.94;32.94;1400
20160119 111100;33.04;33.04;32.97;32.97;200
20160119 111500;33.1;33.1;33.1;33.1;100
20160119 111700;33.16;33.16;33.16;33.16;300
20160119 112200;33.56;33.56;33.53;33.53;1400
20160119 112300;33.439;33.51;33.42;33.49;3905
20160119 112500;33.65;33.65;33.6;33.65;300
20160119 112600;33.652;33.652;33.652;33.652;200
20160119 112700;33.593;33.593;33.593;33.593;500
20160119 114600;33.2;33.2;33.2;33.2;100
20160119 120900;33.5;33.5;33.5;33.5;200
20160119 121000;33.7;33.77;33.7;33.77;600
20160119 121300;33.74;33.7821;33.74;33.7401;2700
20160119 121400;33.52;33.52;33.52;33.52;100
20160119 121500;33.52;33.53;33.49;33.49;500
20160119 121900;33.99;34;33.99;34;700
20160119 122000;34;34;33.93;33.93;300
20160119 122200;34;34;34;34;800
20160119 122500;33.96;33.976;33.93;33.93;6700
20160119 122600;34;34.14;33.99;34.14;1100
20160119 122800;34.1;34.1;34.1;34.1;200
20160119 123000;34;34;34;34;300
20160119 123800;33.54;33.54;33.54;33.54;300
20160119 123900;33.64;33.64;33.62;33.62;200
20160119 124100;33.81;33.81;33.81;33.81;422
20160119 124300;33.72;33.72;33.72;33.72;100
20160119 124700;34;34;33.94;33.94;400
20160119 124800;34;34;34;34;200
20160119 125100;34.1;34.13;34.07;34.07;500
20160119 125300;34.09;34.09;34.09;34.09;116
20160119 125700;34.1644;34.1644;34.1644;34.1644;145
20160119 130000;33.98;33.98;33.98;33.98;100
20160119 130200;33.95;33.95;33.95;33.95;212
20160119 130400;33.83;33.83;33.76;33.76;300
20160119 131100;34.04;34.04;34.04;34.04;100
20160119 131300;34.01;34.01;34.01;34.01;100
20160119 131400;33.97;34.08;33.97;34.08;200
20160119 131500;34.19;34.19;34.19;34.19;150
20160119 131700;34.2;34.2;34.2;34.2;100
20160119 131800;34.23;34.23;34.23;34.23;350
20160119 131900;34.17;34.17;34.17;34.17;200
20160119 132000;33.95;33.95;33.95;33.95;125
20160119 132200;33.81;33.81;33.81;33.81;100
20160119 132300;34.12;34.12;34.12;34.12;300
20160119 132600;34.38;34.38;34.38;34.38;300
20160119 132700;34.47;34.47;34.47;34.47;300
20160119 133000;34.55;34.56;34.55;34.56;900
20160119 133100;34.53;34.53;34.53;34.53;100
20160119 133300;34.66;34.8;34.66;34.8;200
20160119 133700;34.57;34.57;34.57;34.57;114
20160119 134000;34.41;34.41;34.33;34.33;500
20160119 134100;34.46;34.55;34.46;34.55;900
20160119 134200;34.54;34.54;34.54;34.54;184
20160119 134300;34.58;34.64;34.58;34.61;724
20160119 134600;34.87;34.87;34.87;34.87;300
20160119 135500;35;35;35;35;100
20160119 135700;34.8;34.8;34.8;34.8;250
20160119 141100;35.63;35.78;35.63;35.78;300
20160119 141600;35.9132;35.9132;35.9132;35.9132;115
20160119 141700;36;36.01;36;36.01;300
20160119 141800;36.06;36.08;36.06;36.08;200
20160119 142000;35.88;35.9;35.88;35.9;500
20160119 142100;36.0999;36.0999;36.0999;36.0999;100
20160119 142200;35.98;35.98;35.98;35.98;100
20160119 142300;36.14;36.21;36.14;36.21;200
20160119 142400;36.14;36.14;36.14;36.14;300
20160119 142500;36.0846;36.0846;36.0846;36.0846;200
20160119 142600;36.02;36.02;36.02;36.02;100
20160119 142700;36.03;36.0304;36.03;36.0304;2300
20160119 143000;36.04;36.04;36.04;36.04;100
20160119 143500;35.7;35.7;35.7;35.7;300
20160119 143800;35.8501;35.8501;35.85;35.85;300
20160119 144300;35.93;35.93;35.93;35.93;150
20160119 144600;36.25;36.25;36.25;36.25;300
20160119 144800;36.2301;36.28;36.2301;36.28;500
20160119 144900;36.22;36.22;36.22;36.22;100
20160119 145300;36.2;36.2;36.17;36.17;200
20160119 145500;36;36.06;36;36.06;300
20160119 145600;35.95;35.95;35.95;35.95;100
20160119 145700;35.9489;35.9489;35.8;35.8;630
20160119 145800;35.78;35.78;35.78;35.78;100
20160119 150000;36.03;36.03;36.03;36.03;100
20160119 150200;35.95;35.95;35.95;35.95;400
20160119 150300;35.715;35.73;35.6;35.73;700
20160119 150800;35.18;35.22;35.14;35.22;500
20160119 150900;35.25;35.25;35.25;35.25;100
20160119 151300;35.41;35.41;35.41;35.41;120
20160119 151600;35.53;35.53;35.53;35.53;200
20160119 152100;35.5;35.5;35.5;35.5;200
20160119 152200;35.5;35.5;35.37;35.37;500
20160119 152400;35.02;35.1;35.02;35.1;1100
20160119 152600;34.85;34.85;34.76;34.76;850
20160119 152700;34.57;34.57;34.52;34.52;600
20160119 153100;34.36;34.36;34.36;34.36;100
20160119 153200;34.4953;34.4953;34.4953;34.4953;100
20160119 153300;34.57;34.57;34.57;34.57;100
20160119 153400;34.44;34.44;34.41;34.42;510
20160119 153700;34.24;34.34;34.24;34.34;200
20160119 154100;34.57;34.57;34.57;34.57;800
20160119 154300;34.31;34.31;34.17;34.17;200
20160119 154700;34.24;34.24;34.24;34.24;500
20160119 154800;34.03;34.03;34.03;34.03;110
20160119 155000;34;34;34;34;5899
20160119 155100;34.08;34.08;34.08;34.08;100
20160119 155200;34.15;34.29;34.15;34.29;400
20160119 155300;34.26;34.26;34.26;34.26;250
20160119 155400;34.28;34.36;34.28;34.36;200
20160119 155600;34.29;34.29;34.29;34.29;100
20160119 155700;34.37;34.37;34.37;34.37;200
20160119 155800;34.38;34.48;34.38;34.48;300
20160119 155900;34.52;34.55;34.52;34.55;700
20160119 160000;34.66;34.66;34.66;34.66;100
20160120 070000;37.21;37.21;37.15;37.15;40
20160120 070300;36.95;36.95;36.95;36.95;500
20160120 070900;37.07;37.07;37.05;37.05;500
20160120 071100;37.16;37.77;37.15;37.77;1800
20160120 080100;37.79;37.79;37.79;37.79;50
20160120 090100;37.04;37.04;37.04;37.04;100
