20160119 090700;56.55;56.55;56.55;56.55;17
20160119 090800;56.55;56.55;56.55;56.55;1
20160119 093100;58.35;58.35;58.35;58.35;100
20160119 093200;57.12;57.12;57.12;57.12;100
20160119 093300;57.76;57.76;57.66;57.66;200
20160119 093400;57.66;57.73;57.3716;57.72;450
20160119 093500;57.71;57.71;57.71;57.71;100
20160119 093600;57.7;57.7;57.19;57.67;800
20160119 093700;57.25;57.59;57.16;57.44;1800
20160119 093800;57.3;57.41;57.25;57.34;1000
20160119 093900;57.26;57.29;57.19;57.19;700
20160119 094000;57.18;57.18;56.83;56.92;1100
20160119 094100;56.92;57.14;56.92;56.93;4500
20160119 094200;56.83;57.13;56.83;57.13;600
20160119 094300;57.13;57.14;57.1;57.1;400
20160119 094400;57.06;57.14;56.86;56.86;900
20160119 094500;56.93;57.1;56.93;57.1;400
20160119 094600;57.08;57.09;57;57.08;2982
20160119 094700;57.09;57.255;57.08;57.14;2500
20160119 094800;57.08;57.16;57.01;57.16;1900
20160119 094900;57.04;57.07;56.94;56.94;1100
20160119 095000;56.91;57;56.91;57;400
20160119 095100;57;57.11;56.88;56.89;1300
20160119 095200;56.84;57.03;56.84;56.88;1500
20160119 095300;56.9;56.9;56.9;56.9;100
20160119 095400;56.875;57.02;56.875;57.02;2200
20160119 095500;56.94;57.08;56.94;57;2900
20160119 095600;57;57.12;57;57.09;4100
20160119 095700;57;57.08;57;57.08;1100
20160119 095800;57.0308;57.17;57.03;57.15;1500
20160119 095900;57.13;57.31;57.13;57.17;1100
20160119 100000;57.25;57.29;57.25;57.29;200
20160119 100100;57.25;57.34;57.2;57.26;1800
20160119 100200;57.43;57.44;57.43;57.43;400
20160119 100300;57.42;57.46;57.42;57.45;3700
20160119 100400;57.42;57.42;57.275;57.34;1800
20160119 100500;57.34;57.36;57.34;57.36;500
20160119 100600;57.55;57.59;57.46;57.59;700
20160119 100700;57.6;57.6;57.51;57.51;3300
20160119 100800;57.51;57.69;57.51;57.69;2200
20160119 100900;57.71;57.71;57.55;57.56;1200
20160119 101000;57.56;57.56;57.35;57.38;1580
20160119 101100;57.38;57.41;57.36;57.36;800
