20160119 093300;23.32;23.32;23.31;23.32;300
20160119 093400;23.27;23.27;23.27;23.27;100
20160119 093500;23.16;23.16;23.16;23.16;400
20160119 093600;23.18;23.18;23.1;23.1;800
20160119 093700;22.99;22.99;22.99;22.99;100
20160119 093800;22.889;23.03;22.889;23.01;300
20160119 093900;22.98;22.99;22.95;22.95;300
20160119 094000;23.03;23.03;23.02;23.02;700
20160119 094100;23.02;23.13;23.01;23.1;2160
20160119 094200;23.15;23.16;22.97;22.97;2791
20160119 094300;22.98;23.03;22.94;23.03;2400
20160119 094400;23.08;23.15;23.08;23.15;2300
20160119 094500;23.12;23.12;23;23.04;2900
20160119 094600;23.12;23.12;23.04;23.06;2200
20160119 094700;23.09;23.11;23.01;23.04;2200
20160119 094800;23.04;23.04;22.98;23.01;3500
20160119 094900;23.13;23.13;23.06;23.06;1400
20160119 095000;23.03;23.03;22.97;23.01;1200
20160119 095100;23.07;23.12;23.07;23.09;1108
20160119 095200;23.06;23.13;23.06;23.06;3300
20160119 095300;23;23;22.89;22.96;4600
20160119 095400;22.98;23.03;22.97;22.98;730
20160119 095500;23.07;23.08;23.07;23.08;200
20160119 095600;23.07;23.07;23.04;23.04;500
20160119 095700;23.03;23.04;23;23.04;400
20160119 095800;23.05;23.05;22.93;22.93;1400
20160119 095900;22.97;22.97;22.92;22.92;1397
20160119 100000;22.93;23.04;22.92;23.04;1100
20160119 100100;23.05;23.05;22.96;22.98;2300
20160119 100200;22.99;23.13;22.99;23.13;2791
20160119 100300;23.13;23.15;23.06;23.06;2990
20160119 100400;23.01;23.1;23.01;23.08;1900
20160119 100500;23.05;23.06;23;23.04;2100
20160119 100600;23.07;23.1;23.07;23.09;1740
20160119 100700;23.17;23.17;23.15;23.15;400
20160119 100800;23.15;23.15;23.15;23.15;1000
20160119 100900;23.21;23.24;23.19;23.21;1300
20160119 101000;23.17;23.17;23.024;23.062;7900
20160119 101100;23.054;23.07;23.01;23.02;2400
20160119 101200;23.05;23.05;22.995;22.995;500
20160119 101300;22.96;23.04;22.96;23.04;1800
20160119 101400;23.09;23.15;23.07;23.1;2700
20160119 101500;23.08;23.14;23.03;23.05;2300
20160119 101600;23;23.03;22.97;23.03;1500
20160119 101700;23.05;23.14;23.05;23.14;704
20160119 101800;23.19;23.19;23.13;23.13;1400
20160119 101900;23.15;23.15;23.1;23.1;800
20160119 102000;23.09;23.12;23.09;23.09;1287
20160119 102100;23.15;23.15;23.15;23.15;100
20160119 102200;23.18;23.2;23.18;23.2;200
20160119 102300;23.2;23.2;23.14;23.15;600
20160119 102400;23.14;23.14;23.14;23.14;100
20160119 102500;23.14;23.21;23.14;23.17;1000
20160119 102700;23.22;23.22;23.19;23.19;300
20160119 102800;23.2;23.2;23.18;23.18;1200
20160119 102900;23.2;23.2;23.18;23.18;1500
20160119 103000;23.2;23.21;23.18;23.18;900
20160119 103100;23.16;23.16;23.16;23.16;100
20160119 103200;23.14;23.16;23.14;23.14;500
20160119 103300;23.13;23.13;23.13;23.13;100
20160119 103400;23.15;23.15;23.15;23.15;902
20160119 103500;23.15;23.15;23.06;23.08;700
20160119 103600;23.07;23.13;23.07;23.13;1500
20160119 103700;23.14;23.16;23.14;23.16;300
20160119 103900;23.13;23.13;23.05;23.06;3900
20160119 104000;23.06;23.06;23.06;23.06;700
20160119 104100;23.04;23.08;23.04;23.08;1300
20160119 104200;23.02;23.02;23;23;1134
20160119 104300;22.9681;22.99;22.9681;22.99;300
20160119 104400;22.97;23.01;22.97;23;1600
20160119 104500;23.01;23.01;22.98;22.99;3875
20160119 104600;23;23.01;22.95;22.96;2337
20160119 104700;22.97;23;22.97;23;300
20160119 104800;23;23;22.99;23;300
20160119 104900;23.035;23.04;23.01;23.03;1530
20160119 105000;23.04;23.0895;23.04;23.085;435
20160119 105100;23.104;23.145;23.104;23.11;1207
20160119 105200;23.1;23.11;23.07;23.09;930
20160119 105300;23.075;23.09;23.02;23.02;1100
