20160119 081900;0.58;0.58;0.58;0.58;2900
20160119 082100;0.6253;0.6253;0.6253;0.6253;2100
20160119 090400;0.645;0.645;0.645;0.645;1000
20160119 093100;0.58;0.58;0.5521;0.58;46749
20160119 093200;0.5756;0.5756;0.5558;0.5611;7975
20160119 093300;0.57;0.57;0.5523;0.5523;3760
20160119 093400;0.569;0.58;0.5522;0.58;24558
20160119 093500;0.5752;0.5999;0.5701;0.59;124125
20160119 093600;0.5998;0.5998;0.58;0.5801;32010
20160119 093700;0.5801;0.5801;0.5601;0.5613;50225
20160119 093800;0.5699;0.57;0.55;0.5697;78232
20160119 093900;0.5697;0.57;0.55;0.55;44016
20160119 094000;0.5599;0.56;0.5501;0.5501;17200
20160119 094100;0.5503;0.56;0.5503;0.5504;55100
20160119 094200;0.5551;0.5552;0.5503;0.5503;31400
20160119 094300;0.5503;0.5513;0.5476;0.5476;17700
20160119 094400;0.5539;0.5539;0.5539;0.5539;500
20160119 094500;0.5488;0.5488;0.5488;0.5488;16000
20160119 094600;0.5477;0.5498;0.5477;0.5477;2000
20160119 094700;0.5476;0.5476;0.5476;0.5476;300
20160119 094800;0.5477;0.5477;0.5456;0.5475;18258
20160119 094900;0.5456;0.5456;0.54;0.54;17732
20160119 095000;0.5401;0.5401;0.5201;0.5205;21500
20160119 095100;0.5205;0.5208;0.52;0.5208;19101
20160119 095200;0.521;0.5295;0.521;0.521;19378
20160119 095300;0.5105;0.516;0.51;0.51;24499
20160119 095400;0.51;0.5145;0.51;0.5101;38103
20160119 095500;0.5101;0.5148;0.51;0.5147;38384
20160119 095600;0.5119;0.5142;0.5083;0.5083;5337
20160119 095800;0.5061;0.51;0.505;0.505;1600
20160119 095900;0.505;0.5051;0.505;0.5051;1875
20160119 100000;0.5051;0.5051;0.5051;0.5051;200
20160119 100100;0.505;0.505;0.505;0.505;1000
20160119 100200;0.505;0.5073;0.5005;0.5005;16475
20160119 100300;0.5005;0.506;0.5005;0.5059;27564
20160119 100400;0.5057;0.5059;0.5009;0.5009;18572
20160119 100500;0.5009;0.5046;0.5;0.5046;56485
20160119 100600;0.5028;0.5135;0.5016;0.5117;13400
20160119 100700;0.5112;0.5126;0.507;0.5126;21644
20160119 100800;0.5113;0.52;0.5107;0.511;5635
20160119 100900;0.511;0.5131;0.511;0.5131;1100
20160119 101100;0.5119;0.5119;0.5116;0.5119;5300
20160119 101200;0.512;0.5149;0.5035;0.5085;36300
20160119 101300;0.5034;0.5076;0.5016;0.5076;3500
20160119 101400;0.51;0.51;0.5061;0.509;7400
20160119 101500;0.5089;0.5089;0.5001;0.5001;19200
20160119 101600;0.501;0.5013;0.5007;0.5013;1422
20160119 101700;0.508;0.508;0.5037;0.5037;3800
20160119 101800;0.504;0.511;0.504;0.51;900
20160119 101900;0.504;0.51;0.504;0.51;200
20160119 102000;0.5085;0.5107;0.5085;0.5107;4000
20160119 102100;0.5119;0.5119;0.5001;0.5001;41800
20160119 102200;0.5006;0.51;0.5005;0.5061;4300
20160119 102300;0.5061;0.5061;0.5001;0.5003;15900
20160119 102400;0.5046;0.5085;0.5046;0.5085;1500
20160119 102500;0.5005;0.5054;0.5001;0.5001;1100
20160119 102600;0.5001;0.508;0.5001;0.508;5225
20160119 102700;0.5031;0.5031;0.5013;0.502;2900
20160119 102800;0.502;0.5088;0.5001;0.5064;6050
20160119 103000;0.5081;0.5081;0.5081;0.5081;100
20160119 103100;0.5041;0.507;0.504;0.5065;2200
20160119 103200;0.505;0.5065;0.505;0.505;3300
20160119 103300;0.5065;0.5065;0.5031;0.5031;477
20160119 103400;0.5031;0.5031;0.5001;0.5005;1500
20160119 103500;0.5009;0.5021;0.5001;0.5005;17872
20160119 103600;0.5008;0.5008;0.5005;0.5005;3800
20160119 103700;0.5002;0.5002;0.49;0.4902;79983
20160119 103800;0.4966;0.4987;0.49;0.49;1700
20160119 103900;0.491;0.4981;0.4905;0.4981;13100
20160119 104000;0.4951;0.4951;0.49;0.4901;9800
20160119 104100;0.4924;0.4924;0.47;0.4801;91281
20160119 104200;0.4754;0.4754;0.4703;0.4703;5700
20160119 104300;0.4799;0.48;0.4713;0.4725;675
20160119 104400;0.4755;0.48;0.471;0.48;14902
20160119 104500;0.48;0.48;0.48;0.48;1000
20160119 104600;0.4778;0.4778;0.4778;0.4778;100
20160119 104700;0.4757;0.4778;0.4756;0.4756;1700
20160119 104800;0.4778;0.4778;0.47;0.47;19700
20160119 104900;0.4701;0.4701;0.4618;0.463;13786
20160119 105000;0.463;0.4653;0.4619;0.4619;25400
20160119 105100;0.4653;0.4653;0.4595;0.46;26970
20160119 105200;0.453;0.4595;0.45;0.45;49150
20160119 105300;0.4501;0.4592;0.45;0.455;39415
20160119 105400;0.455;0.455;0.455;0.455;200
20160119 105500;0.4592;0.4592;0.4507;0.4507;7330
20160119 105600;0.4507;0.4538;0.4507;0.4538;9569
20160119 105700;0.4507;0.455;0.45;0.4506;24400
20160119 105800;0.4506;0.4506;0.4506;0.4506;3400
20160119 105900;0.4506;0.4599;0.4506;0.4549;11900
20160119 110000;0.4549;0.4599;0.4486;0.4486;44326
20160119 110100;0.4486;0.4486;0.4258;0.4258;73549
20160119 110200;0.425;0.4253;0.42;0.4217;64581
20160119 110300;0.4206;0.424;0.42;0.4223;53849
20160119 110400;0.4223;0.4286;0.4223;0.4286;40113
20160119 110500;0.4256;0.4286;0.4256;0.4258;24797
20160119 110600;0.4259;0.4286;0.4256;0.427;40204
20160119 110700;0.428;0.428;0.42;0.421;33700
20160119 110800;0.4211;0.428;0.421;0.4211;6200
20160119 110900;0.4235;0.4235;0.4212;0.4212;1100
20160119 111000;0.4265;0.428;0.4212;0.422;2266
20160119 111100;0.422;0.4227;0.422;0.4227;21900
20160119 111200;0.4227;0.4227;0.4118;0.4118;17129
20160119 111300;0.4144;0.4144;0.41;0.4101;9387
20160119 111400;0.4101;0.4104;0.41;0.4102;33397
20160119 111500;0.4142;0.4142;0.405;0.405;63088
20160119 111600;0.4057;0.4128;0.401;0.4028;25800
20160119 111700;0.41;0.41;0.4099;0.4099;1890
20160119 111800;0.41;0.41;0.4051;0.4051;6400
20160119 111900;0.4099;0.41;0.405;0.405;15600
20160119 112000;0.41;0.4176;0.4051;0.4101;22100
20160119 112100;0.4103;0.416;0.4103;0.416;3300
20160119 112200;0.416;0.42;0.416;0.4166;6885
20160119 112300;0.4169;0.4268;0.4164;0.4164;25908
20160119 112400;0.4101;0.4106;0.41;0.41;800
20160119 112500;0.4125;0.4125;0.4114;0.4114;200
20160119 112600;0.4112;0.4187;0.4101;0.4187;16224
20160119 112700;0.4103;0.42;0.4103;0.4174;5159
