20160119 091600;25.89;25.89;25.89;25.89;2
20160119 092300;25.89;25.89;25.89;25.89;700
20160119 093100;25.945;25.945;25.92;25.92;200
20160119 093300;26.03;26.09;26.02;26.06;1000
20160119 093400;26;26.04;25.95;26.04;4043
20160119 093500;25.98;26.07;25.98;26.07;200
20160119 093600;25.97;26.04;25.66;25.69;9335
20160119 093700;25.8;25.8;25.7;25.7;400
20160119 093800;25.615;25.775;25.615;25.715;400
20160119 094000;25.745;25.75;25.6;25.6;8300
20160119 094100;25.59;25.61;25.43;25.43;1700
20160119 094200;25.42;25.495;25.34;25.415;8897
20160119 094300;25.36;25.49;25.36;25.42;3200
20160119 094400;25.36;25.365;25.24;25.24;600
20160119 094500;25.22;25.34;25.22;25.33;2800
20160119 094600;25.3;25.43;25.3;25.39;4200
20160119 094700;25.41;25.41;25.38;25.38;1050
20160119 094900;25.27;25.3299;25.22;25.27;1050
20160119 095000;25.27;25.34;25.27;25.33;1860
20160119 095100;25.34;25.36;25.3;25.3;3500
20160119 095300;25.2701;25.28;25.27;25.27;2700
20160119 095400;25.27;25.33;25.27;25.33;800
20160119 095500;25.29;25.37;25.27;25.35;2100
20160119 095800;25.38;25.38;25.38;25.38;100
20160119 095900;25.38;25.51;25.375;25.51;1800
20160119 100000;25.51;25.51;25.51;25.51;100
20160119 100100;25.54;25.54;25.46;25.46;400
20160119 100200;25.5;25.59;25.5;25.59;800
20160119 100300;25.58;25.58;25.53;25.53;200
20160119 100400;25.49;25.49;25.49;25.49;300
20160119 100500;25.42;25.42;25.39;25.39;300
20160119 100600;25.43;25.52;25.43;25.485;1120
20160119 100700;25.52;25.57;25.52;25.52;2510
20160119 100900;25.55;25.55;25.5;25.5;3047
20160119 101000;25.52;25.52;25.45;25.5;2400
20160119 101100;25.51;25.51;25.395;25.395;3780
20160119 101200;25.4;25.5;25.38;25.5;3200
20160119 101300;25.5;25.5;25.44;25.44;2300
20160119 101400;25.4;25.5;25.4;25.5;3850
20160119 101600;25.52;25.53;25.51;25.51;1300
20160119 101700;25.51;25.51;25.51;25.51;200
20160119 101800;25.52;25.52;25.49;25.49;970
20160119 101900;25.47;25.47;25.47;25.47;1600
20160119 102000;25.483;25.51;25.4825;25.49;1150
20160119 102100;25.5;25.6;25.49;25.57;17200
20160119 102200;25.58;25.58;25.53;25.53;800
20160119 102300;25.52;25.52;25.42;25.42;2950
20160119 102500;25.4;25.48;25.4;25.48;1800
20160119 102600;25.49;25.51;25.49;25.51;200
20160119 102700;25.54;25.54;25.52;25.52;400
20160119 103000;25.47;25.47;25.46;25.46;300
20160119 103100;25.49;25.49;25.49;25.49;100
20160119 103300;25.47;25.5;25.47;25.47;800
20160119 103400;25.47;25.49;25.43;25.43;1500
20160119 103500;25.42;25.42;25.39;25.39;400
20160119 103600;25.39;25.39;25.39;25.39;100
20160119 103700;25.39;25.39;25.39;25.39;100
20160119 103800;25.4;25.41;25.39;25.39;1000
20160119 103900;25.37;25.38;25.28;25.28;1000
20160119 104000;25.28;25.29;25.22;25.29;3150
20160119 104100;25.28;25.3;25.25;25.25;1550
20160119 104200;25.26;25.26;25.18;25.18;2725
20160119 104300;25.17;25.17;25.13;25.13;300
20160119 104400;25.11;25.14;25.1;25.14;1550
20160119 104500;25.15;25.19;25.15;25.18;1500
20160119 104600;25.15;25.15;25.12;25.128;700
20160119 104700;25.17;25.19;25.17;25.19;700
20160119 104800;25.16;25.16;25.16;25.16;100
20160119 104900;25.2;25.22;25.2;25.21;1200
20160119 105000;25.23;25.25;25.23;25.24;1100
20160119 105100;25.23;25.24;25.23;25.24;300
20160119 105200;25.19;25.21;25.12;25.19;8926
20160119 105300;25.195;25.195;25.17;25.1762;5700
20160119 105400;25.2;25.2;25.195;25.195;400
20160119 105500;25.195;25.21;25.16;25.16;5427
20160119 105600;25.14;25.18;25.14;25.18;475
20160119 105700;25.19;25.19;25.19;25.19;1100
20160119 105800;25.22;25.26;25.22;25.24;1000
20160119 105900;25.24;25.3125;25.24;25.3125;2857
20160119 110000;25.28;25.2925;25.23;25.23;3846
20160119 110100;25.23;25.29;25.23;25.24;900
20160119 110400;25.28;25.28;25.28;25.28;400
20160119 110700;25.25;25.25;25.19;25.2;1400
20160119 110800;25.2;25.2;25.2;25.2;100
20160119 110900;25.22;25.33;25.22;25.32;2400
20160119 111000;25.33;25.33;25.31;25.31;602
20160119 111100;25.3;25.34;25.27;25.27;940
20160119 111200;25.275;25.31;25.27;25.27;3220
20160119 111300;25.27;25.3;25.265;25.3;2200
20160119 111400;25.31;25.34;25.27;25.34;2720
20160119 111500;25.43;25.43;25.4;25.4;465
20160119 111600;25.4;25.41;25.36;25.385;2700
20160119 111700;25.385;25.43;25.3801;25.4;8400
20160119 111800;25.4;25.41;25.4;25.4;600
20160119 111900;25.4;25.4;25.4;25.4;900
20160119 112000;25.395;25.395;25.28;25.28;8100
20160119 112100;25.34;25.35;25.24;25.24;2050
20160119 112200;25.25;25.3;25.19;25.2;1913
20160119 112300;25.19;25.19;25.11;25.11;1000
20160119 112400;25.1;25.1;25.05;25.05;900
20160119 112500;25.02;25.03;25.02;25.02;600
20160119 112600;25.0201;25.0201;25.02;25.02;1300
20160119 112700;25.02;25.07;25.02;25.02;2400
20160119 112800;25.07;25.08;25.07;25.07;400
20160119 112900;25.0601;25.0601;25.03;25.03;1700
20160119 113000;25.03;25.031;25.03;25.031;575
20160119 113100;25.04;25.1;25.04;25.1;1949
20160119 113200;25.11;25.14;25.11;25.14;800
20160119 113400;25.14;25.18;25.14;25.15;2670
20160119 113500;25.15;25.15;25.12;25.12;700
20160119 113600;25.11;25.12;25.07;25.07;1600
20160119 113700;25.07;25.07;25.05;25.05;500
20160119 113900;25.06;25.14;25.06;25.14;1600
20160119 114000;25.14;25.17;25.14;25.17;1000
20160119 114100;25.17;25.17;25.17;25.17;100
20160119 114200;25.14;25.14;25.11;25.11;1900
