20160119 074900;16;16;16;16;100
20160119 075900;16;16;16;16;400
20160119 080100;16;16;16;16;400
20160119 080900;15.6;16;15.5;15.61;1600
20160119 082000;15.61;15.61;15.61;15.61;200
20160119 083000;15.61;15.61;15.61;15.61;100
20160119 090900;15.6;15.6;15.6;15.6;100
20160119 092300;15.6;15.6;15.6;15.6;200
20160119 092500;15.6;15.6;15.6;15.6;100
20160119 092600;15.55;15.55;15.55;15.55;100
20160119 093300;15.5;15.63;15.5;15.63;64837
20160119 093400;15.5;15.63;15.5;15.56;1281
20160119 093500;15.64;15.67;15.55;15.55;3880
20160119 093600;15.54;15.54;15.54;15.54;400
20160119 093700;15.54;15.55;15.52;15.54;1541
20160119 093900;15.61;15.62;15.61;15.62;563
20160119 094000;15.55;15.55;15.53;15.53;500
20160119 094100;15.53;15.53;15.53;15.53;100
20160119 094300;15.51;15.54;15.5;15.5392;15241
20160119 094400;15.59;15.62;15.57;15.62;2162
20160119 094500;15.65;15.65;15.65;15.65;100
20160119 094600;15.6;15.6;15.59;15.59;900
20160119 094800;15.6389;15.6389;15.51;15.51;300
20160119 095000;15.53;15.53;15.51;15.51;300
20160119 095100;15.51;15.51;15.51;15.51;100
20160119 095200;15.51;15.5198;15.5;15.5;4300
20160119 095300;15.5;15.5;15.5;15.5;2300
20160119 095400;15.51;15.51;15.5;15.5;12489
20160119 095500;15.505;15.53;15.505;15.53;400
20160119 095600;15.5899;15.5899;15.51;15.5399;2800
20160119 095700;15.51;15.56;15.51;15.56;600
20160119 095800;15.575;15.575;15.53;15.53;700
20160119 100000;15.52;15.52;15.51;15.51;400
20160119 100100;15.53;15.55;15.53;15.55;1400
20160119 100200;15.58;15.585;15.57;15.57;500
20160119 100700;15.55;15.55;15.53;15.53;300
20160119 101000;15.51;15.51;15.51;15.51;400
20160119 101200;15.51;15.53;15.51;15.53;400
20160119 101500;15.51;15.51;15.51;15.51;300
20160119 101600;15.57;15.57;15.57;15.57;100
20160119 101800;15.52;15.52;15.51;15.51;300
20160119 102000;15.51;15.54;15.51;15.54;200
20160119 102100;15.51;15.53;15.51;15.52;700
20160119 102200;15.53;15.56;15.53;15.56;200
20160119 102300;15.532;15.532;15.532;15.532;500
20160119 102400;15.54;15.54;15.54;15.54;100
20160119 102700;15.55;15.56;15.535;15.56;900
20160119 102800;15.57;15.58;15.56;15.58;400
20160119 102900;15.575;15.575;15.575;15.575;100
20160119 103000;15.55;15.55;15.55;15.55;300
20160119 103100;15.57;15.71;15.57;15.6;4400
20160119 103200;15.7;15.7;15.68;15.68;300
20160119 103400;15.74;15.74;15.685;15.74;900
20160119 103500;15.74;15.74;15.7;15.7399;1020
20160119 103600;15.74;15.8;15.71;15.8;1000
20160119 103800;15.82;15.82;15.76;15.76;1500
20160119 104000;15.78;15.78;15.78;15.78;1000
20160119 104100;15.82;15.82;15.82;15.82;100
20160119 104200;15.8;15.95;15.8;15.95;4600
20160119 104300;15.96;16;15.96;16;1300
20160119 104400;15.94;15.9401;15.88;15.91;1200
20160119 104500;15.97;16.1;15.97;16.089;1700
20160119 104600;16.081;16.0889;16;16;1070
20160119 104700;16;16.19;16;16.19;6000
20160119 104800;16.15;16.2;16.03;16.03;7023
20160119 104900;16.03;16.05;15.98;16.0499;1700
20160119 105000;16.05;16.06;16;16.06;5700
20160119 105100;16.06;16.06;16.0599;16.0599;5000
20160119 105200;16;16;15.99;15.99;700
20160119 105400;15.91;15.91;15.91;15.91;500
20160119 105500;15.9289;15.9289;15.8;15.8;3700
20160119 105700;15.8;15.8;15.8;15.8;300
20160119 105800;15.8;15.8;15.8;15.8;700
20160119 110000;15.75;15.75;15.75;15.75;100
20160119 110100;15.73;15.73;15.73;15.73;200
20160119 110200;15.72;15.72;15.72;15.72;200
20160119 110300;15.73;15.73;15.73;15.73;900
20160119 110800;15.74;15.74;15.74;15.74;200
20160119 111000;15.73;15.73;15.72;15.72;800
20160119 111100;15.68;15.68;15.65;15.65;500
20160119 111400;15.67;15.67;15.63;15.66;1000
20160119 111500;15.63;15.63;15.62;15.62;300
20160119 111600;15.64;15.69;15.6399;15.69;1250
20160119 112200;15.74;15.87;15.713;15.87;1100
20160119 112400;15.825;15.825;15.79;15.79;200
20160119 112500;15.78;15.78;15.78;15.78;300
20160119 112900;15.78;15.78;15.77;15.77;900
20160119 113100;15.79;15.79;15.72;15.72;3000
20160119 113300;15.73;15.73;15.73;15.73;300
20160119 113500;15.73;15.75;15.73;15.75;300
20160119 113600;15.75;15.76;15.75;15.76;900
20160119 114000;15.75;15.75;15.75;15.75;900
20160119 114500;15.77;15.77;15.77;15.77;300
20160119 114600;15.85;15.85;15.8185;15.8185;470
20160119 114700;15.799;15.82;15.799;15.82;400
20160119 114900;15.79;15.79;15.79;15.79;500
20160119 115000;15.84;15.85;15.84;15.85;500
20160119 115200;15.9299;15.94;15.9;15.92;2585
20160119 115400;15.9299;15.95;15.9299;15.95;915
20160119 115700;15.94;15.96;15.94;15.96;2091
20160119 120200;15.87;15.87;15.87;15.87;100
20160119 120400;15.87;15.87;15.82;15.82;250
20160119 120800;15.8;15.8;15.77;15.77;500
20160119 121000;15.77;15.77;15.77;15.77;100
20160119 121200;15.77;15.77;15.77;15.77;300
20160119 121400;15.83;15.83;15.83;15.83;100
20160119 121600;15.77;15.77;15.76;15.76;800
20160119 121700;15.78;15.78;15.76;15.76;391
20160119 121800;15.78;15.78;15.78;15.78;500
20160119 122200;15.8011;15.8011;15.8;15.8;400
20160119 122500;15.8;15.8;15.8;15.8;200
20160119 122600;15.78;15.78;15.78;15.78;100
20160119 122700;15.8;15.8;15.8;15.8;800
20160119 123400;15.91;15.91;15.91;15.91;100
20160119 123500;15.86;15.86;15.84;15.84;400
20160119 123900;15.84;15.85;15.84;15.85;800
20160119 124400;15.84;15.84;15.84;15.84;200
20160119 124500;15.84;15.84;15.83;15.83;600
20160119 124600;15.83;15.83;15.83;15.83;500
20160119 124900;15.9;15.9;15.9;15.9;300
20160119 125700;15.87;15.87;15.87;15.87;300
20160119 125800;15.87;15.87;15.82;15.82;300
20160119 125900;15.84;15.84;15.84;15.84;200
20160119 130200;15.83;15.83;15.83;15.83;900
20160119 130700;15.84;15.84;15.83;15.83;200
20160119 130900;15.91;15.91;15.91;15.91;100
20160119 131000;15.89;15.89;15.83;15.83;200
20160119 131100;15.82;15.84;15.82;15.84;801
20160119 131200;15.83;15.86;15.83;15.86;800
20160119 131300;15.88;15.89;15.88;15.89;400
20160119 131500;15.89;15.89;15.89;15.89;2700
20160119 131600;15.89;15.89;15.89;15.89;100
20160119 131800;15.91;15.92;15.91;15.92;1200
20160119 132000;15.93;15.95;15.93;15.95;400
20160119 132400;15.95;16;15.95;16;400
20160119 132600;15.99;16;15.99;16;900
20160119 133100;16.015;16.0578;16.015;16.0578;200
20160119 133300;16.05;16.05;16.05;16.05;100
20160119 133400;15.97;15.97;15.97;15.97;100
20160119 133500;15.97;15.97;15.9;15.9;1400
