20160119 085600;43.285;43.285;43.285;43.285;4698
20160119 092300;43.285;43.285;43.285;43.285;1500
20160119 093200;44.38;44.47;44.32;44.46;2796
20160119 093300;44.34;44.46;44.34;44.45;4200
20160119 093400;44.39;44.46;44.3;44.4;1900
20160119 093500;44.31;44.31;44.11;44.17;2265
20160119 093600;44.17;44.17;44;44.09;3468
20160119 093700;44.02;44.06;43.89;43.92;9371
20160119 093800;43.94;43.98;43.89;43.98;6113
20160119 093900;44.02;44.09;43.99;44.02;6295
20160119 094000;43.96;43.985;43.89;43.93;14001
20160119 094100;43.95;44.05;43.9;43.95;22585
20160119 094200;43.96;44.01;43.9;43.9801;43360
20160119 094300;44.04;44.12;44.02;44.08;11600
20160119 094400;44.05;44.05;43.89;43.95;22458
20160119 094500;43.96;44;43.92;43.92;3741
20160119 094600;43.93;43.965;43.87;43.91;6100
20160119 094700;43.895;43.895;43.73;43.79;8884
20160119 094800;43.75;43.84;43.74;43.76;16582
20160119 094900;43.78;43.81;43.71;43.73;6246
20160119 095000;43.7;43.745;43.68;43.73;4761
20160119 095100;43.72;43.74;43.64;43.65;7378
20160119 095200;43.67;43.74;43.65;43.65;4399
20160119 095300;43.67;43.77;43.65;43.77;48929
20160119 095400;43.78;43.88;43.77;43.82;15906
20160119 095500;43.82;43.93;43.79;43.93;6811
20160119 095600;43.99;43.99;43.89;43.92;5663
20160119 095700;43.91;43.92;43.87;43.8837;5507
20160119 095800;43.89;44.01;43.88;43.98;8411
20160119 095900;43.98;44.07;43.96;44.03;6875
20160119 100000;44.05;44.055;44.03;44.05;3800
20160119 100100;44.04;44.11;44;44.11;45770
20160119 100200;44.1;44.17;44.06;44.14;8576
20160119 100300;44.13;44.17;44.01;44.04;13247
20160119 100400;44.06;44.06;43.98;44.03;14055
20160119 100500;44.03;44.1101;44;44.1;10825
20160119 100600;44.11;44.28;44.11;44.28;12296
20160119 100700;44.24;44.275;44.22;44.23;7104
20160119 100800;44.24;44.33;44.23;44.26;11338
20160119 100900;44.26;44.31;44.26;44.27;4500
20160119 101000;44.26;44.26;44.13;44.17;9749
20160119 101100;44.13;44.202;44.09;44.145;10100
20160119 101200;44.14;44.21;44.14;44.2;10507
20160119 101300;44.2;44.27;44.2;44.25;8226
20160119 101400;44.23;44.305;44.21;44.305;4476
20160119 101500;44.3;44.35;44.27;44.285;9746
20160119 101600;44.29;44.335;44.27;44.31;6805
20160119 101700;44.34;44.41;44.32;44.41;6588
20160119 101800;44.43;44.46;44.4;44.415;14845
20160119 101900;44.415;44.47;44.41;44.465;18448
20160119 102000;44.46;44.52;44.4501;44.46;21905
20160119 102100;44.48;44.535;44.47;44.525;22045
20160119 102200;44.53;44.53;44.36;44.37;12655
20160119 102300;44.37;44.39;44.32;44.38;11404
20160119 102400;44.38;44.43;44.34;44.43;14970
20160119 102500;44.44;44.58;44.44;44.58;15752
20160119 102600;44.6;44.665;44.59;44.64;14941
20160119 102700;44.64;44.68;44.63;44.64;17451
20160119 102800;44.635;44.67;44.61;44.64;13648
20160119 102900;44.605;44.7;44.605;44.605;26223
20160119 103000;44.61;44.66;44.58;44.62;21536
20160119 103100;44.61;44.615;44.525;44.57;14588
20160119 103200;44.58;44.635;44.57;44.63;12723
20160119 103300;44.64;44.7235;44.62;44.68;9185
20160119 103400;44.68;44.69;44.62;44.66;9661
20160119 103500;44.67;44.68;44.62;44.62;9393
20160119 103600;44.61;44.62;44.55;44.55;7003
20160119 103700;44.56;44.57;44.49;44.52;6604
20160119 103800;44.51;44.52;44.42;44.42;3200
20160119 103900;44.4;44.4;44.27;44.29;3886
20160119 104000;44.27;44.305;44.17;44.17;7210
20160119 104100;44.17;44.17;44.13;44.13;5900
20160119 104200;44.1;44.18;44.1;44.13;3400
20160119 104300;44.14;44.14;44.06;44.06;2500
20160119 104400;44.07;44.08;44.03;44.05;3177
20160119 104500;44.03;44.16;44.03;44.07;5600
20160119 104600;44.07;44.08;44.03;44.04;5016
20160119 104700;44.03;44.06;44;44;3402
20160119 104800;44;44.06;44;44.04;3497
20160119 104900;44.05;44.09;44.04;44.075;4301
20160119 105000;44.06;44.1299;44.06;44.1102;3993
20160119 105100;44.11;44.15;44.075;44.12;15900
20160119 105200;44.09;44.09;43.97;43.9725;7300
20160119 105300;43.97;43.99;43.9;43.9;5733
20160119 105400;43.89;43.895;43.83;43.83;6794
20160119 105500;43.81;43.85;43.81;43.845;4300
20160119 105600;43.82;43.93;43.78;43.785;73115
20160119 105700;43.79;43.85;43.79;43.84;4900
20160119 105800;43.84;43.87;43.84;43.86;3900
20160119 105900;43.86;43.9;43.86;43.88;2329
20160119 110000;43.87;43.87;43.85;43.855;5753
20160119 110100;43.84;43.93;43.83;43.91;5945
20160119 110200;43.91;43.97;43.91;43.945;8176
20160119 110300;43.95;43.99;43.95;43.9785;2006
20160119 110400;43.97;43.975;43.91;43.915;4902
20160119 110500;43.915;43.915;43.83;43.83;3153
20160119 110600;43.82;43.85;43.78;43.78;5350
