20160119 093100;17.48;17.48;17.328;17.328;1100
20160119 093400;17.12;17.13;17.1;17.1;1251
20160119 093500;17.04;17.04;17.04;17.04;400
20160119 093600;16.9793;16.9793;16.77;16.79;2828
20160119 093700;16.78;16.82;16.77;16.7859;1300
20160119 093800;16.82;16.86;16.77;16.86;800
20160119 093900;16.85;16.85;16.7703;16.7703;700
20160119 094000;16.76;16.76;16.75;16.75;300
20160119 094100;16.7;16.7;16.48;16.48;3900
20160119 094200;16.55;16.58;16.47;16.54;1700
20160119 094300;16.58;16.64;16.58;16.58;700
20160119 094400;16.54;16.54;16.44;16.455;700
20160119 094500;16.52;16.53;16.49;16.49;500
20160119 094600;16.5;16.51;16.46;16.46;500
20160119 094700;16.51;16.51;16.51;16.51;100
20160119 094800;16.4848;16.4848;16.43;16.43;2767
20160119 094900;16.43;16.43;16.39;16.39;1100
20160119 095000;16.39;16.39;16.34;16.34;800
20160119 095100;16.32;16.32;16.24;16.29;700
20160119 095200;16.24;16.29;16.24;16.28;800
20160119 095300;16.28;16.29;16.25;16.25;900
20160119 095400;16.28;16.28;16.28;16.28;400
20160119 095500;16.3;16.33;16.28;16.32;900
20160119 095600;16.39;16.39;16.39;16.39;100
20160119 095700;16.36;16.4;16.34;16.34;560
20160119 095800;16.36;16.36;16.36;16.36;100
20160119 095900;16.35;16.365;16.35;16.365;300
20160119 100000;16.37;16.4;16.37;16.4;400
20160119 100100;16.4;16.49;16.4;16.47;900
20160119 100300;16.5;16.5;16.5;16.5;100
20160119 100500;16.47;16.47;16.42;16.42;826
20160119 100600;16.435;16.53;16.435;16.525;1100
20160119 100700;16.51;16.51;16.51;16.51;100
20160119 101000;16.49;16.54;16.46;16.5;3200
20160119 101100;16.5;16.51;16.48;16.5;2400
20160119 101200;16.46;16.5;16.46;16.5;400
20160119 101300;16.5;16.5;16.47;16.47;200
20160119 101400;16.5;16.53;16.5;16.5;1740
20160119 101600;16.5;16.5;16.48;16.48;200
20160119 101700;16.5;16.5;16.47;16.495;2900
20160119 101800;16.46;16.5;16.46;16.5;500
20160119 101900;16.5;16.5;16.5;16.5;200
20160119 102000;16.47;16.51;16.47;16.51;500
20160119 102100;16.54;16.55;16.54;16.54;500
20160119 102200;16.56;16.57;16.56;16.57;300
20160119 102400;16.55;16.55;16.51;16.51;1300
20160119 102500;16.53;16.53;16.51;16.53;1300
20160119 102600;16.55;16.55;16.55;16.55;100
20160119 102700;16.57;16.57;16.56;16.56;400
20160119 102800;16.59;16.67;16.59;16.6517;2200
20160119 103100;16.67;16.685;16.67;16.685;800
20160119 103200;16.67;16.67;16.67;16.67;700
20160119 103400;16.67;16.68;16.67;16.68;1300
20160119 103500;16.67;16.67;16.61;16.61;1453
20160119 103600;16.58;16.58;16.56;16.56;1100
20160119 103700;16.56;16.56;16.51;16.51;960
20160119 103800;16.51;16.51;16.5;16.5;300
20160119 103900;16.5;16.5;16.5;16.5;100
20160119 104000;16.46;16.5;16.45;16.5;4420
20160119 104100;16.5;16.5;16.5;16.5;300
20160119 104200;16.43;16.455;16.38;16.4;1700
